Fecha;NO;NO2;PM10;BEN
19/08/2015;3;25;Sense dades;Sense dades
20/08/2015;4;27;Sense dades;Sense dades
21/08/2015;3;21;Sense dades;Sense dades
22/08/2015;2;20;Sense dades;Sense dades
23/08/2015;2;14;Sense dades;Sense dades
24/08/2015;2;17;Sense dades;Sense dades
25/08/2015;4;23;Sense dades;Sense dades
26/08/2015;4;18;Sense dades;Sense dades
27/08/2015;3;21;Sense dades;Sense dades
28/08/2015;4;31;Sense dades;Sense dades
29/08/2015;3;19;Sense dades;Sense dades
30/08/2015;2;28;Sense dades;Sense dades
31/08/2015;2;22;Sense dades;Sense dades
01/09/2015;4;26;Sense dades;Sense dades
02/09/2015;4;27;Sense dades;Sense dades
03/09/2015;3;23;Sense dades;Sense dades
04/09/2015;4;37;Sense dades;Sense dades
05/09/2015;2;18;Sense dades;Sense dades
06/09/2015;2;19;Sense dades;Sense dades
07/09/2015;4;32;Sense dades;Sense dades
08/09/2015;3;32;Sense dades;Sense dades
09/09/2015;11;44;Sense dades;Sense dades
10/09/2015;8;46;Sense dades;Sense dades
11/09/2015;3;38;Sense dades;Sense dades
12/09/2015;2;29;Sense dades;Sense dades
13/09/2015;3;30;Sense dades;Sense dades
14/09/2015;5;27;Sense dades;Sense dades
15/09/2015;5;31;Sense dades;Sense dades
16/09/2015;4;22;Sense dades;Sense dades
17/09/2015;3;18;Sense dades;Sense dades
18/09/2015;4;27;Sense dades;Sense dades
19/09/2015;4;25;Sense dades;Sense dades
20/09/2015;2;18;Sense dades;Sense dades
21/09/2015;8;43;Sense dades;Sense dades
22/09/2015;7;41;Sense dades;Sense dades
23/09/2015;4;21;Sense dades;Sense dades
24/09/2015;3;25;Sense dades;Sense dades
25/09/2015;19;52;Sense dades;Sense dades
26/09/2015;3;35;Sense dades;Sense dades
27/09/2015;3;33;Sense dades;Sense dades
28/09/2015;3;33;Sense dades;Sense dades
29/09/2015;4;33;Sense dades;Sense dades
30/09/2015;6;38;Sense dades;Sense dades
01/10/2015;9;44;Sense dades;Sense dades
02/10/2015;11;44;Sense dades;Sense dades
03/10/2015;10;44;Sense dades;Sense dades
04/10/2015;3;32;Sense dades;Sense dades
05/10/2015;24;51;Sense dades;Sense dades
06/10/2015;20;39;Sense dades;Sense dades
07/10/2015;11;33;Sense dades;Sense dades
08/10/2015;14;35;Sense dades;Sense dades
09/10/2015;15;50;Sense dades;Sense dades
10/10/2015;Sense dades;Sense dades;Sense dades;Sense dades
11/10/2015;Sense dades;Sense dades;Sense dades;Sense dades
12/10/2015;Sense dades;Sense dades;Sense dades;Sense dades
13/10/2015;33;52;Sense dades;Sense dades
14/10/2015;9;38;Sense dades;Sense dades
15/10/2015;4;32;Sense dades;Sense dades
16/10/2015;12;43;Sense dades;Sense dades
17/10/2015;4;42;Sense dades;Sense dades
18/10/2015;17;64;Sense dades;Sense dades
19/10/2015;29;74;Sense dades;Sense dades
20/10/2015;11;43;Sense dades;Sense dades
21/10/2015;8;37;Sense dades;Sense dades
22/10/2015;12;45;Sense dades;Sense dades
23/10/2015;15;47;Sense dades;Sense dades
24/10/2015;25;60;Sense dades;Sense dades
25/10/2015;3;28;Sense dades;Sense dades
26/10/2015;9;45;Sense dades;Sense dades
27/10/2015;14;47;Sense dades;Sense dades
28/10/2015;5;23;Sense dades;Sense dades
29/10/2015;32;60;Sense dades;Sense dades
30/10/2015;23;56;Sense dades;Sense dades
31/10/2015;6;37;Sense dades;Sense dades
01/11/2015;2;20;Sense dades;Sense dades
02/11/2015;6;25;Sense dades;Sense dades
03/11/2015;19;35;Sense dades;Sense dades
04/11/2015;Sense dades;Sense dades;Sense dades;Sense dades
05/11/2015;Sense dades;Sense dades;Sense dades;Sense dades
