Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP;BEN;TOL;XIL
09/08/2015;11:00:00;43;2;21;3;43;24;1.8;0;0;937;25.4;0;0;0
09/08/2015;12:00:00;44;2;23;3;54;10;1.4;0;0;938;28.2;0;0;0
09/08/2015;13:00:00;53;2;22;2;66;2;1.2;0;0;937;30.7;0;0;0
09/08/2015;14:00:00;37;2;23;2;89;60;1.9;0;0;937;30.9;0;0;0
09/08/2015;15:00:00;68;2;18;2;96;94;1.8;0;0;936;32.4;0;0;0
09/08/2015;16:00:00;43;2;13;3;85;215;2.2;0;0;936;32.7;0;0;0
09/08/2015;17:00:00;43;2;10;2;76;210;4.3;0;0;936;33.6;0;0;0
09/08/2015;18:00:00;59;2;9;2;74;219;6.1;0;0;936;31.2;0;0;0
09/08/2015;19:00:00;78;2;10;3;70;206;5.4;0;0;936;28.2;0;0;0
09/08/2015;20:00:00;82;2;11;2;65;178;3.6;0;0;936;28.9;0;0;0
09/08/2015;21:00:00;30;2;10;2;65;204;3.7;0;0;936;28.3;0;0;0
09/08/2015;22:00:00;29;2;13;2;64;210;3.3;0;0;936;27.4;0;0;0
09/08/2015;23:00:00;35;2;17;2;60;194;2.6;0;0;935;26.6;0;0;0
09/08/2015;0:00:00;35;2;17;2;59;199;2.2;0;0;936;25.9;0;0;0
10/08/2015;1:00:00;30;2;13;2;63;175;1.6;0;0;936;25.8;0;0;0
10/08/2015;2:00:00;30;2;18;2;56;181;2.1;0;0;936;25.2;0;0;0
10/08/2015;3:00:00;29;2;12;2;61;198;2.1;0;0;937;25.6;0;0;0
10/08/2015;4:00:00;46;2;12;2;59;223;1.4;0;0;936;25;0;0;0
10/08/2015;5:00:00;46;2;11;2;60;198;1.9;0;0;936;24.8;0;0;0
10/08/2015;6:00:00;40;2;13;3;57;181;1.5;0;0;936;24.1;0;0;0
10/08/2015;7:00:00;39;2;36;2;43;187;1;0;0;936;23.3;0;0;0
10/08/2015;8:00:00;46;2;55;6;37;177;0.8;0;0;936;23.2;0;0;0
