Fecha;NO;NO2;NOX;O3;PM10;PM25;SO2
12/01/2015;10;51;36;43;;;6
11/01/2015;5;30;25;65;21;9;8
10/01/2015;13;29;39;27;23;14;9
09/01/2015;25;30;57;22;21;13;6
08/01/2015;26;33;63;16;21;14;7
07/01/2015;14;32;39;31;21;11;6
06/01/2015;12;25;35;18;22;14;6
05/01/2015;18;30;47;27;18;;6
04/01/2015;12;26;36;22;24;15;6
03/01/2015;20;34;50;35;23;15;7
02/01/2015;21;39;54;24;19;;7
01/01/2015;14;30;41;36;37;24;7
