Fecha;SO2;NO;NO2;O3;CO
03/03/2015;1;12;23;58;0.2
04/03/2015;1;20;29;45;0.3
05/03/2015;1;1;15;63;0.2
06/03/2015;2;5;34;44;0.2
07/03/2015;1;6;31;48;0.3
08/03/2015;1;5;30;47;0.3
09/03/2015;1;10;42;42;0.3
10/03/2015;1;17;43;42;0.4
11/03/2015;2;13;51;48;0.4
12/03/2015;1;18;41;51;0.4
13/03/2015;1;6;31;62;0.3
14/03/2015;1;1;17;70;0.2
15/03/2015;1;3;25;46;0.2
16/03/2015;1;7;33;45;0.2
17/03/2015;2;5;35;57;0.2
18/03/2015;1;2;25;66;0.3
19/03/2015;1;2;24;76;0.3
20/03/2015;1;2;25;73;0.3
21/03/2015;1;1;13;75;0.2
22/03/2015;1;1;14;65;0.3
23/03/2015;1;2;20;75;0.3
24/03/2015;1;2;27;61;0.3
25/03/2015;1;2;14;63;0.2
26/03/2015;1;4;23;54;0.2
27/03/2015;1;2;20;64;0.2
28/03/2015;1;2;17;48;0.2
29/03/2015;1;1;12;61;0.2
30/03/2015;1;1;15;68;0.2
31/03/2015;2;7;29;50;0.2
01/04/2015;1;2;19;59;0.2
02/04/2015;1;3;20;61;0.2
03/04/2015;1;1;11;67;0.2
04/04/2015;1;2;14;60;0.2
05/04/2015;1;2;11;65;0.2
06/04/2015;1;1;12;81;0.2
07/04/2015;1;6;22;64;0.3
08/04/2015;2;3;25;80;0.3
09/04/2015;1;3;22;79;0.2
10/04/2015;1;8;27;81;0.2
11/04/2015;1;2;18;81;0.2
12/04/2015;1;2;22;77;0.2
13/04/2015;3;14;48;58;0.3
14/04/2015;3;15;49;66;0.2
15/04/2015;1;6;33;73;0.2
16/04/2015;2;2;21;81;0.2
17/04/2015;1;7;26;61;0.2
18/04/2015;2;4;19;75;0.2
19/04/2015;1;1;10;83;0.2
20/04/2015;1;8;19;72;0.2
21/04/2015;2;7;32;75;0.2
22/04/2015;2;11;41;57;0.2
23/04/2015;2;11;32;74;0.2
24/04/2015;1;4;25;76;0.2
25/04/2015;1;1;10;91;0.2
26/04/2015;1;1;12;80;0.2
27/04/2015;1;1;12;70;0.2
28/04/2015;1;1;17;Sense dades;0.2
29/04/2015;2;4;27;76;0.2
30/04/2015;1;4;20;66;0.2
01/05/2015;1;2;21;69;0.2
02/05/2015;2;2;21;78;0.2
03/05/2015;2;3;26;65;0.2
04/05/2015;2;2;29;68;0.2
05/05/2015;2;1;21;85;0.2
06/05/2015;2;3;21;73;0.2
07/05/2015;2;3;15;76;0.2
08/05/2015;2;7;23;68;0.2
09/05/2015;3;2;20;86;0.2
10/05/2015;4;2;15;73;0.2
11/05/2015;3;8;31;55;0.2
12/05/2015;2;6;23;58;0.3
13/05/2015;3;9;28;61;0.3
14/05/2015;2;8;27;57;0.3
15/05/2015;1;1;8;87;0.2
16/05/2015;2;1;9;87;0.2
17/05/2015;5;2;14;71;0.2
18/05/2015;2;4;19;70;0.2
19/05/2015;2;2;23;52;0.3
20/05/2015;1;2;15;68;0.2
21/05/2015;2;2;17;68;0.2
22/05/2015;2;2;19;73;0.2
23/05/2015;2;1;14;76;0.2
24/05/2015;2;1;11;73;0.2
25/05/2015;3;5;25;68;0.2
26/05/2015;2;2;14;70;0.2
27/05/2015;2;3;16;75;0.2
28/05/2015;2;2;15;75;0.2
29/05/2015;2;4;20;71;0.2
30/05/2015;2;2;13;92;0.2
31/05/2015;3;1;11;93;0.2
01/06/2015;3;3;19;74;0.2
02/06/2015;2;4;18;65;0.2
03/06/2015;3;7;25;58;0.2
04/06/2015;5;6;32;66;0.2
05/06/2015;4;8;41;57;0.2
06/06/2015;3;2;27;66;0.2
07/06/2015;4;1;20;86;0.2
08/06/2015;3;3;33;92;0.2
09/06/2015;3;3;20;100;0.2
10/06/2015;2;2;19;84;0.3
11/06/2015;2;2;19;90;0.2
12/06/2015;3;2;18;85;0.2
13/06/2015;2;1;12;88;0.2
14/06/2015;2;1;13;69;0.2
15/06/2015;2;2;22;69;0.2
16/06/2015;3;2;30;58;0.2
17/06/2015;3;2;19;71;0.2
18/06/2015;2;2;22;78;0.2
19/06/2015;3;3;22;71;0.2
20/06/2015;4;1;21;66;0.2
21/06/2015;2;1;16;62;0.2
22/06/2015;2;6;20;68;0.2
23/06/2015;3;2;25;75;0.2
24/06/2015;3;1;13;89;0.2
25/06/2015;2;2;16;77;0.2
26/06/2015;2;2;18;84;0.2
27/06/2015;3;1;14;87;0.2
28/06/2015;2;1;10;85;0.2
29/06/2015;3;5;24;70;0.2
30/06/2015;3;3;25;82;0.2
