Fecha;Hora;PM10;PM25;SO2;NO2;NO;CO;O3;dd;vv;HR;LL;PRB;TMP
09/06/2015;7:00:00;23;14;2;11;2;0.09;54;138;0;42.4;0;939;18.1
09/06/2015;8:00:00;31;16;2;24;2;0.11;38;121;0;44.8;0;939;18.3
09/06/2015;9:00:00;33;18;2;14;2;0.11;49;129;0;47;0;939;20
09/06/2015;10:00:00;31;13;2;6;2;0.08;66;112;0.3;39.3;0;939;22.6
09/06/2015;11:00:00;31;16;2;6;2;0.09;76;95;0.1;34.5;0;939;25
09/06/2015;12:00:00;34;12;3;5;2;0.09;92;75;0;29;0;939;28.5
09/06/2015;13:00:00;34;17;3;8;2;0.1;109;68;0;25.5;0;939;30.8
09/06/2015;14:00:00;34;16;3;13;2;0.15;111;252;0.3;23.2;0;938;31.7
09/06/2015;15:00:00;34;12;2;11;2;0.11;111;246;0.6;22.4;0;938;32.4
09/06/2015;16:00:00;39;16;2;6;2;0.2;121;249;0.5;19.2;0;936;33.3
09/06/2015;17:00:00;20;11;2;6;2;0.33;122;216;0.2;18.1;0;936;33.1
09/06/2015;18:00:00;15;12;3;13;2;0.18;115;330;1;19.8;0;935;32.4
09/06/2015;19:00:00;16;14;2;10;2;0.15;117;14;2.2;18.4;0;934;31.8
09/06/2015;20:00:00;29;13;2;17;2;0.11;115;22;3;24.4;0;935;29
09/06/2015;21:00:00;30;15;2;21;2;0.09;107;15;0.6;26.4;0;937;27.9
09/06/2015;22:00:00;26;15;2;16;2;0.16;99;283;0.7;48;1.06;937;23.7
09/06/2015;23:00:00;30;18;2;7;2;0.11;99;97;1.5;54.4;0;938;22
09/06/2015;0:00:00;24;21;2;10;2;0.16;89;66;2.3;65.6;0.35;939;20.9
10/06/2015;1:00:00;23;13;2;13;2;0.18;78;139;0;69.1;0;939;20.1
10/06/2015;2:00:00;23;19;2;17;2;0.13;72;136;0;71.8;0.35;940;19.5
10/06/2015;3:00:00;16;17;2;17;2;0.14;66;228;0.1;75.1;0;939;19.5
10/06/2015;4:00:00;17;15;2;6;2;0.15;83;113;0.1;72.2;0;938;19.6
10/06/2015;5:00:00;12;14;2;8;2;0.17;63;131;0;80.9;0;937;18.8
10/06/2015;6:00:00;25;15;2;9;2;0.13;51;90;0;86.1;0;937;18.3
