Fecha;CO;NO;NO2;NOX;O3;PM10;SO2;dd;HR;PRB;TMP;vv
30/05/2015;0.22;7;39;33;65;20;11;52;81;1007.4;15.5;0.93
29/05/2015;0.25;9;49;37;69;20;9;353;85;1005.9;15.8;0.51
28/05/2015;0.26;10;45;40;70;28;11;51;83;1007.9;15.7;0.66
27/05/2015;0.26;7;34;28;71;20;7;314;85;1011.5;15.6;0.94
26/05/2015;0.25;9;30;31;54;18;6;328;93;1012.3;14.5;0.35
25/05/2015;0.25;8;32;31;41;20;8;317;92;1010.6;15.3;0.32
24/05/2015;0.23;6;24;24;53;15;7;261;95;1009.5;14.9;0.21
23/05/2015;0.23;6;30;25;70;16;7;318;82;1011.7;13.7;0.54
22/05/2015;0.25;9;58;38;69;19;7;320;86;1016.3;12.3;0.62
21/05/2015;0.27;5;33;22;76;14;6;282;84;1018.3;11.9;1.67
20/05/2015;0.26;7;49;27;68;9;5;260;97;1012.2;11.2;1.3
19/05/2015;0.22;6;33;25;68;12;6;275;90;1007.4;11.9;0.98
18/05/2015;0.28;14;43;48;59;21;11;48;88;1005.2;13;0.83
17/05/2015;0.28;5;27;22;50;14;7;33;91;1014.6;14.7;0.72
16/05/2015;0.3;5;36;25;61;16;6;327;98;1020;13.4;0.14
15/05/2015;0.24;5;19;17;74;7;5;259;98;1014.3;11.9;2.15
14/05/2015;0.29;5;44;25;78;23;8;274;84;1007.8;14.6;1.67
13/05/2015;0.45;21;64;80;45;53;13;66;89;1007.1;17.7;1.91
12/05/2015;0.43;15;74;62;51;58;17;73;86;1007.3;18.6;1.38
11/05/2015;0.49;16;53;63;54;60;15;71;90;1007.9;17.6;1.62
10/05/2015;0.3;7;62;36;90;29;9;193;69;1008.4;21.1;0.12
09/05/2015;0.31;7;31;30;60;20;8;44;89;1014;15.8;1.06
08/05/2015;0.29;9;41;36;70;19;8;345;65;1005.5;19.1;0.51
07/05/2015;0.29;8;40;38;88;25;7;246;63;1001.6;18.6;0.89
06/05/2015;0.29;11;50;44;74;22;11;32;77;1007.7;13.1;1.11
05/05/2015;0.29;7;40;32;65;16;10;57;74;1000.2;15.3;0.9
04/05/2015;0.32;9;36;37;60;24;6;229;59;989;23.2;1.73
03/05/2015;0.31;4;47;26;59;20;6;246;67;995.9;21.2;1.09
02/05/2015;0.32;5;22;20;32;14;6;259;85;997.2;20.6;0.89
01/05/2015;0.3;3;40;19;56;12;6;291;78;1000.9;18.9;0.53
30/04/2015;0.24;7;41;28;66;18;7;246;65;1004.2;17.5;1.32
29/04/2015;0.27;15;55;55;52;27;13;31;88;1007.6;12.1;0.34
28/04/2015;0.21;5;31;25;61;16;8;21;76;1009.1;12.1;0.68
27/04/2015;0.23;3;19;13;65;9;5;253;100;1001.2;12.1;1.2
26/04/2015;0.26;3;24;16;65;8;6;239;85;993.7;15.2;0.77
25/04/2015;0.45;7;44;30;75;18;7;181;62;998.4;18.9;1.21
24/04/2015;0.45;16;65;64;47;39;11;20;87;1001.1;15.2;0.3
23/04/2015;0.3;8;50;41;62;24;9;50;85;1006.8;14.5;1.06
22/04/2015;0.26;5;34;27;82;16;7;246;63;1005.9;18.1;0.81
21/04/2015;0.32;12;45;47;82;26;9;105;62;1008.3;17.5;0.51
20/04/2015;0.29;12;48;46;69;24;9;56;76;1009.3;13.2;1
19/04/2015;0.26;3;29;18;78;12;7;307;81;1004.4;12.7;0.78
18/04/2015;0.3;8;51;42;52;27;9;60;93;1001;13.5;0.9
17/04/2015;0.31;13;57;55;57;25;7;36;95;1005.2;13.2;0.47
16/04/2015;0.35;8;59;43;78;29;8;292;78;1001.7;14.8;0.53
15/04/2015;0.25;5;36;29;88;27;6;150;34;1002.3;20.9;1.02
14/04/2015;0.24;6;50;37;91;37;7;157;40;1008.6;22.2;0.85
13/04/2015;0.26;8;66;41;86;45;8;188;46;1013.9;19.9;0.38
12/04/2015;0.26;4;28;23;92;31;6;145;65;1013.7;16.4;0.54
11/04/2015;0.33;6;36;32;66;28;10;44;84;1014;13.8;1
