Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
11/09/2015;1:00:00;15;2;11;2;50;241;0.9;50.4;0;942;20.1
11/09/2015;2:00:00;15;2;7;2;54;241;1.3;55.1;0;942;19.3
11/09/2015;3:00:00;14;2;6;2;53;274;0;57.4;0;941;18.3
11/09/2015;4:00:00;18;3;4;2;53;252;0;59.4;0;941;17.5
11/09/2015;5:00:00;17;2;7;2;46;228;0;61;0;941;17.5
11/09/2015;6:00:00;16;2;10;2;43;243;0;63.3;0;941;16.9
11/09/2015;7:00:00;18;2;16;2;35;220;0;63.9;0;941;16.8
11/09/2015;8:00:00;17;2;30;2;27;223;0;62.5;0;941;16.4
11/09/2015;9:00:00;22;2;35;13;14;181;0;62.4;0;942;15.3
11/09/2015;10:00:00;25;3;34;17;25;246;0;52.3;0;942;18.2
11/09/2015;11:00:00;28;2;19;5;59;227;0;40.9;0;942;22
11/09/2015;12:00:00;35;5;11;2;82;204;0.2;37.9;0;942;24.4
11/09/2015;13:00:00;32;4;6;2;96;229;1.3;34.4;0;942;26.1
11/09/2015;14:00:00;24;4;5;2;93;246;2.2;29;0;941;27.4
11/09/2015;15:00:00;13;2;3;2;87;251;2;27.2;0;941;28.4
11/09/2015;16:00:00;14;2;3;2;90;246;2.3;26.8;0;940;28.9
11/09/2015;17:00:00;13;3;2;2;92;262;2.6;25.7;0;940;29.4
11/09/2015;18:00:00;19;2;3;2;95;250;2.4;25.5;0;939;29.1
11/09/2015;19:00:00;13;2;5;2;92;245;2.2;24.6;0;939;29.1
11/09/2015;20:00:00;13;3;6;2;85;245;1.9;26.8;0;939;28.5
11/09/2015;21:00:00;13;3;10;2;71;238;1.8;30.1;0;939;26.5
11/09/2015;22:00:00;17;2;19;2;52;240;1;31.2;0;940;24.3
11/09/2015;23:00:00;17;2;17;2;51;240;1.3;33.1;0;940;22.5
11/09/2015;0:00:00;24;2;9;2;62;246;1;32.1;0;941;21
12/09/2015;1:00:00;20;2;7;2;68;247;0.3;32.3;0;941;19.9
12/09/2015;2:00:00;22;3;7;2;70;244;0.1;33.3;0;941;19.1
12/09/2015;3:00:00;16;3;5;2;77;222;0.8;32.8;0;941;19.1
12/09/2015;4:00:00;13;3;9;2;63;250;0.3;36.1;0;941;17.5
12/09/2015;5:00:00;11;2;7;2;62;120;0;38.6;0;941;16.3
12/09/2015;6:00:00;19;2;11;2;56;38;0;39.4;0;941;16.1
12/09/2015;7:00:00;17;2;7;2;58;351;0;41.4;0;941;15.6
12/09/2015;8:00:00;16;3;22;4;44;157;0;40.4;0;941;16.4
12/09/2015;9:00:00;19;3;28;4;37;247;0;40.8;0;941;17
12/09/2015;10:00:00;19;3;28;6;28;159;0;42.1;0;941;17.8
12/09/2015;11:00:00;27;5;19;4;68;252;0.8;41.4;0;942;20.6
12/09/2015;12:00:00;29;4;5;2;101;265;0.5;41.4;0;942;21.6
12/09/2015;13:00:00;25;2;4;2;106;270;2;35.4;0;942;22.6
12/09/2015;14:00:00;25;2;3;2;112;248;2.2;34.9;0;942;23.4
12/09/2015;15:00:00;24;3;3;2;115;250;2.8;31.3;0;941;25.8
12/09/2015;16:00:00;24;3;3;2;111;249;2.9;29.3;0;940;26
12/09/2015;17:00:00;20;3;2;2;106;242;2.8;27.6;0;940;26.7
12/09/2015;18:00:00;17;4;3;2;104;245;3;26.7;0;939;26.4
12/09/2015;19:00:00;16;2;2;2;104;266;2.2;22;0;939;27
12/09/2015;20:00:00;16;3;3;2;99;265;2;21;0;939;26.4
12/09/2015;21:00:00;14;3;10;2;81;256;1.4;26.3;0;939;23.8
12/09/2015;22:00:00;27;2;9;2;83;244;1.3;31.9;0;940;21.8
12/09/2015;23:00:00;26;3;4;2;91;245;2.9;35.8;0;941;20.9
12/09/2015;0:00:00;24;3;3;2;89;246;2.5;37.4;0;941;20
13/09/2015;1:00:00;18;3;6;2;77;249;0.6;40.5;0;941;18.7
13/09/2015;2:00:00;20;4;6;2;76;244;1.2;41.7;0;941;18.5
13/09/2015;3:00:00;25;2;4;2;65;256;1.5;46.6;0;941;17.9
13/09/2015;4:00:00;19;2;2;2;79;264;1.4;47.2;0;940;17.8
13/09/2015;5:00:00;20;2;2;2;80;253;1.2;49.7;0;940;17.2
13/09/2015;6:00:00;22;2;2;2;75;247;0.6;52.8;0;940;16.6
13/09/2015;7:00:00;19;3;3;2;70;266;0.3;55;0;940;15.9
13/09/2015;8:00:00;22;2;4;2;66;246;0.5;57.4;0;940;15.4
13/09/2015;9:00:00;20;3;4;2;64;257;0.7;61.1;0;940;14.8
13/09/2015;10:00:00;26;2;3;2;71;271;1.5;61.3;0;941;15.7
13/09/2015;11:00:00;29;2;2;2;76;284;2.2;60.9;0;941;16.7
13/09/2015;12:00:00;19;3;2;2;77;258;2.6;57.8;0;942;17.9
13/09/2015;13:00:00;25;5;2;2;82;250;3.2;49;0;941;19.9
13/09/2015;14:00:00;24;2;2;2;91;252;3.6;34.9;0;941;21.8
13/09/2015;15:00:00;22;2;2;2;97;287;3.7;24.7;0;940;23.3
13/09/2015;16:00:00;27;2;2;2;99;270;3.7;21.4;0;940;23.7
13/09/2015;17:00:00;20;2;2;2;100;269;3.3;19;0;940;23.9
13/09/2015;18:00:00;21;2;2;2;98;270;3.2;19.1;0;939;24.1
13/09/2015;19:00:00;13;3;2;2;94;271;3.3;18.4;0;938;23.5
13/09/2015;20:00:00;12;4;2;2;90;270;3.2;25.1;0;940;22.4
13/09/2015;21:00:00;34;3;4;2;80;296;2;34.4;0;940;20.2
13/09/2015;22:00:00;22;3;7;2;70;316;0.4;39.7;0;941;18.8
13/09/2015;23:00:00;23;3;10;2;66;252;0.2;43.7;0;941;18
13/09/2015;0:00:00;23;3;3;2;67;252;0.6;47.4;0;941;17.5
14/09/2015;1:00:00;23;3;4;2;62;246;0.7;49.7;0;942;17.4
14/09/2015;2:00:00;17;2;2;2;62;292;2.9;61.2;0;942;17.3
14/09/2015;3:00:00;19;2;2;2;61;293;2.5;64.4;0;942;17.3
14/09/2015;4:00:00;15;2;2;2;60;264;2.4;69;0;942;16.7
14/09/2015;5:00:00;14;2;2;2;56;270;2.9;78.7;0;942;15.5
14/09/2015;6:00:00;23;2;2;2;53;288;2.1;82.4;0;942;13.5
14/09/2015;7:00:00;19;3;2;2;55;295;2;77.1;0;942;13.4
14/09/2015;8:00:00;14;2;2;2;52;271;1.8;75.4;0;942;13.1
14/09/2015;9:00:00;14;2;4;2;47;290;1.7;79.1;0;943;12.4
14/09/2015;10:00:00;12;3;6;2;47;319;0.4;73.6;0;943;13.5
14/09/2015;11:00:00;11;3;4;2;56;277;1.3;65.4;0;943;15.1
14/09/2015;12:00:00;26;3;3;2;62;269;1.4;54.4;0;944;17.2
14/09/2015;13:00:00;17;3;3;2;64;269;1.7;51.5;0;944;18.1
14/09/2015;14:00:00;19;2;2;2;70;286;1.5;44.8;0;943;20
14/09/2015;15:00:00;17;4;2;2;74;274;1.5;40.1;0;943;20.7
14/09/2015;16:00:00;16;3;3;2;77;291;1.9;36;0;942;22.1
14/09/2015;17:00:00;16;2;2;2;82;272;2.2;33.6;0;942;22.5
14/09/2015;18:00:00;14;2;2;2;87;270;2.5;32.3;0;941;22.5
14/09/2015;19:00:00;11;2;3;2;90;295;2.2;31.7;0;941;22.4
14/09/2015;20:00:00;32;2;4;2;92;298;2;34.4;0;941;21.3
14/09/2015;21:00:00;17;2;6;2;84;296;0.8;39.7;0;941;18.9
14/09/2015;22:00:00;14;2;6;2;81;310;0.3;43.9;0;941;17.2
14/09/2015;23:00:00;16;2;9;2;75;263;0.4;46.5;0;941;16
14/09/2015;0:00:00;74;2;4;2;80;255;0;49.1;0;942;15.2
15/09/2015;1:00:00;31;2;8;2;72;245;0;51.4;0;941;14.8
15/09/2015;2:00:00;18;3;4;2;69;285;0.1;54.4;0;941;13.5
15/09/2015;3:00:00;16;2;4;2;69;255;0;56.5;0;941;12.9
15/09/2015;4:00:00;14;3;4;2;69;245;0;58.5;0;941;12.6
15/09/2015;5:00:00;22;5;6;2;62;248;0.5;61.3;0;940;11.8
15/09/2015;6:00:00;14;3;3;2;69;243;2;62.5;0;940;11.8
15/09/2015;7:00:00;17;3;5;2;66;245;1.1;64.4;0;940;11.3
15/09/2015;8:00:00;15;3;14;2;52;249;0.4;67.1;0;940;10.8
15/09/2015;9:00:00;20;3;19;3;52;242;0.6;64.4;0;940;11.5
15/09/2015;10:00:00;21;7;12;3;63;245;0.7;58.4;0;940;13.4
15/09/2015;11:00:00;24;2;6;2;80;240;2.2;52.3;0;940;15.6
15/09/2015;12:00:00;25;3;4;2;86;250;2.5;46.9;0;940;17.8
15/09/2015;13:00:00;31;2;2;2;89;255;3.5;42.9;0;940;19.6
15/09/2015;14:00:00;30;3;2;2;90;258;3.5;38.6;0;940;20.1
15/09/2015;15:00:00;24;2;2;2;94;266;3.2;33.6;0;940;21.7
15/09/2015;16:00:00;33;2;2;2;95;263;3.1;28.7;0;939;23.2
15/09/2015;17:00:00;28;5;2;2;96;265;3.6;28.3;0;938;22.9
15/09/2015;18:00:00;25;3;2;2;95;299;3.1;28.7;0;937;22
15/09/2015;19:00:00;20;4;3;2;91;293;2.3;30.4;0;937;21.9
15/09/2015;20:00:00;24;2;3;2;88;269;2.3;35.3;0;937;21.5
15/09/2015;21:00:00;25;4;5;2;91;256;3.4;41.7;0;937;20.4
15/09/2015;22:00:00;25;4;5;2;98;257;3.6;40.7;0;937;19.3
15/09/2015;23:00:00;25;4;6;2;97;257;4.5;38.9;0;937;18.3
15/09/2015;0:00:00;27;4;3;2;91;260;3;41.2;0;938;17.1
16/09/2015;1:00:00;29;2;2;2;84;260;2;51.1;0;937;16.1
16/09/2015;2:00:00;28;7;3;2;74;262;1.1;61;0;937;15
16/09/2015;3:00:00;22;2;3;2;71;255;4.4;69.4;0;936;14.6
16/09/2015;4:00:00;22;2;2;2;68;256;5.2;73.1;0;936;14.7
16/09/2015;5:00:00;25;2;2;2;65;262;4.6;74.6;0;936;14.9
16/09/2015;6:00:00;24;6;2;2;63;261;4.9;76.3;0;935;14.7
16/09/2015;7:00:00;19;3;2;2;62;262;4.2;76.7;0;935;14.5
16/09/2015;8:00:00;9;2;2;2;60;262;3.8;75.2;0;935;14.7
16/09/2015;9:00:00;8;2;3;2;65;264;5.6;69.7;0;935;15.1
16/09/2015;10:00:00;7;3;2;2;65;262;5;67.1;0;935;15.9
16/09/2015;11:00:00;16;2;2;2;63;268;6;67.5;0;935;16.7
16/09/2015;12:00:00;21;2;2;2;63;267;5.9;67.9;0;935;16.9
16/09/2015;13:00:00;29;4;2;2;62;261;6.7;68.9;0;935;17.5
16/09/2015;14:00:00;33;7;2;2;60;261;6.5;69.7;0;935;17.4
16/09/2015;15:00:00;21;2;2;2;62;252;5.7;66.6;0;935;18.5
16/09/2015;16:00:00;43;4;2;2;58;252;5.3;76.1;0;935;16.9
16/09/2015;17:00:00;18;3;2;2;58;246;4.4;74.4;0;935;17.3
16/09/2015;18:00:00;17;5;2;2;64;252;5.6;66.2;0;934;18.8
16/09/2015;19:00:00;26;3;2;2;61;247;4.6;67.3;0;933;18.5
16/09/2015;20:00:00;22;2;2;2;56;251;5.2;69.5;0;933;18.2
16/09/2015;21:00:00;28;2;2;2;51;250;5.8;84.7;0.24;933;16.3
16/09/2015;22:00:00;0;4;2;2;44;248;5.4;100;1.2;935;14.6
16/09/2015;23:00:00;0;2;2;2;50;267;2.7;98.3;0.48;935;14.1
16/09/2015;0:00:00;0;3;2;2;61;257;4.2;88.6;0.24;936;13.5
17/09/2015;1:00:00;0;3;2;2;59;254;2.7;87.9;0;936;13.4
17/09/2015;2:00:00;0;2;2;2;56;249;2.8;89.4;0.24;936;13
17/09/2015;3:00:00;0;3;2;2;52;275;1.8;87.1;0;937;12.5
17/09/2015;4:00:00;0;3;2;2;47;256;0.9;88.4;0;938;11.6
17/09/2015;5:00:00;0;4;3;2;46;273;1;88.4;0;938;10.5
17/09/2015;6:00:00;0;2;4;2;44;249;0.3;89.2;0;938;9.7
17/09/2015;7:00:00;0;3;4;2;43;247;0.8;90.4;0;939;9.1
17/09/2015;8:00:00;2;5;9;2;38;245;0.4;89.6;0;939;8.8
17/09/2015;9:00:00;2;7;24;8;17;240;0.6;87.3;0;940;8.7
17/09/2015;10:00:00;65;2;12;5;41;252;0.6;78.7;0;941;10.9
17/09/2015;11:00:00;16;2;5;2;58;273;1.4;73.8;0;941;12.1
17/09/2015;12:00:00;2;2;4;2;65;263;1.7;65.9;0;942;13.5
17/09/2015;13:00:00;2;4;4;2;69;269;1;60.2;0;942;14.6
17/09/2015;14:00:00;2;3;3;2;76;272;0.9;50.4;0;942;17
17/09/2015;15:00:00;2;3;3;2;82;264;1.1;43;0;942;18.5
17/09/2015;16:00:00;2;3;3;2;84;276;1.1;35.3;0;942;19.7
17/09/2015;17:00:00;15;3;3;2;86;258;2.1;32;0;941;20.2
17/09/2015;18:00:00;8;5;3;2;88;274;1.5;29.5;0;941;20.4
17/09/2015;19:00:00;4;6;4;2;88;276;1.5;31.1;0;941;20.3
17/09/2015;20:00:00;2;6;5;2;81;298;1.4;33.7;0;942;19.4
17/09/2015;21:00:00;2;6;10;2;62;292;0.2;40.3;0;942;16.5
