Fecha;O3;PM25
26/05/2015;63;Sense dades
27/05/2015;66;14
28/05/2015;70;Sense dades
29/05/2015;78;14
30/05/2015;88;Sense dades
31/05/2015;59;Sense dades
01/06/2015;52;Sense dades
02/06/2015;102;Sense dades
03/06/2015;60;15
04/06/2015;70;Sense dades
05/06/2015;75;15
06/06/2015;89;Sense dades
07/06/2015;80;16
08/06/2015;56;Sense dades
09/06/2015;52;10
10/06/2015;68;Sense dades
11/06/2015;65;14
12/06/2015;71;Sense dades
13/06/2015;73;11
14/06/2015;72;Sense dades
15/06/2015;64;9
16/06/2015;42;Sense dades
17/06/2015;67;12
18/06/2015;84;Sense dades
19/06/2015;89;18
20/06/2015;83;Sense dades
21/06/2015;83;Sense dades
22/06/2015;74;Sense dades
23/06/2015;62;16
24/06/2015;73;Sense dades
25/06/2015;83;15
26/06/2015;95;Sense dades
27/06/2015;96;16
28/06/2015;91;Sense dades
29/06/2015;102;Sense dades
30/06/2015;105;Sense dades
01/07/2015;99;15
02/07/2015;84;Sense dades
03/07/2015;87;20
04/07/2015;99;Sense dades
05/07/2015;90;19
06/07/2015;90;Sense dades
07/07/2015;102;24
08/07/2015;95;Sense dades
09/07/2015;95;21
10/07/2015;90;Sense dades
11/07/2015;90;25
12/07/2015;77;Sense dades
13/07/2015;93;28
14/07/2015;97;Sense dades
15/07/2015;92;16
16/07/2015;103;Sense dades
17/07/2015;100;20
18/07/2015;97;Sense dades
19/07/2015;96;21
20/07/2015;67;Sense dades
21/07/2015;70;20
22/07/2015;90;Sense dades
23/07/2015;71;22
24/07/2015;63;Sense dades
25/07/2015;54;24
26/07/2015;77;Sense dades
27/07/2015;48;25
28/07/2015;66;Sense dades
29/07/2015;48;29
30/07/2015;51;Sense dades
31/07/2015;64;13
01/08/2015;83;Sense dades
02/08/2015;83;Sense dades
03/08/2015;70;Sense dades
04/08/2015;84;Sense dades
05/08/2015;79;Sense dades
06/08/2015;83;Sense dades
07/08/2015;77;Sense dades
08/08/2015;44;Sense dades
09/08/2015;56;Sense dades
10/08/2015;59;Sense dades
11/08/2015;77;Sense dades
12/08/2015;55;Sense dades
13/08/2015;61;Sense dades
14/08/2015;59;Sense dades
15/08/2015;56;Sense dades
16/08/2015;55;Sense dades
17/08/2015;59;Sense dades
18/08/2015;57;Sense dades
19/08/2015;59;Sense dades
20/08/2015;60;Sense dades
21/08/2015;50;Sense dades
22/08/2015;54;Sense dades
23/08/2015;51;Sense dades
24/08/2015;52;Sense dades
25/08/2015;55;Sense dades
26/08/2015;50;Sense dades
27/08/2015;60;Sense dades
28/08/2015;64;Sense dades
29/08/2015;59;Sense dades
30/08/2015;62;Sense dades
31/08/2015;69;Sense dades
01/09/2015;74;Sense dades
02/09/2015;56;Sense dades
03/09/2015;64;Sense dades
04/09/2015;39;Sense dades
05/09/2015;68;Sense dades
06/09/2015;58;Sense dades
07/09/2015;52;Sense dades
08/09/2015;50;Sense dades
09/09/2015;56;Sense dades
10/09/2015;28;Sense dades
11/09/2015;48;Sense dades
12/09/2015;59;Sense dades
13/09/2015;46;Sense dades
14/09/2015;38;Sense dades
15/09/2015;53;Sense dades
16/09/2015;66;Sense dades
17/09/2015;67;Sense dades
18/09/2015;50;Sense dades
19/09/2015;52;Sense dades
20/09/2015;58;Sense dades
21/09/2015;52;Sense dades
22/09/2015;59;Sense dades
23/09/2015;59;Sense dades
24/09/2015;49;Sense dades
25/09/2015;51;Sense dades
26/09/2015;53;Sense dades
27/09/2015;31;Sense dades
28/09/2015;39;Sense dades
29/09/2015;50;Sense dades
30/09/2015;60;Sense dades
01/10/2015;44;Sense dades
02/10/2015;39;Sense dades
03/10/2015;52;Sense dades
04/10/2015;43;Sense dades
05/10/2015;32;Sense dades
06/10/2015;54;Sense dades
07/10/2015;38;Sense dades
08/10/2015;39;Sense dades
09/10/2015;35;Sense dades
10/10/2015;36;Sense dades
11/10/2015;41;Sense dades
12/10/2015;41;Sense dades
13/10/2015;29;Sense dades
14/10/2015;29;Sense dades
15/10/2015;43;Sense dades
16/10/2015;33;Sense dades
17/10/2015;42;Sense dades
18/10/2015;51;Sense dades
19/10/2015;32;Sense dades
20/10/2015;32;Sense dades
21/10/2015;33;Sense dades
22/10/2015;37;Sense dades
23/10/2015;23;Sense dades
24/10/2015;6;Sense dades
25/10/2015;18;Sense dades
26/10/2015;13;Sense dades
27/10/2015;21;Sense dades
28/10/2015;51;Sense dades
29/10/2015;16;Sense dades
30/10/2015;21;Sense dades
31/10/2015;36;Sense dades
01/11/2015;62;Sense dades
02/11/2015;59;Sense dades
03/11/2015;51;Sense dades
04/11/2015;25;Sense dades
05/11/2015;11;Sense dades
06/11/2015;12;Sense dades
07/11/2015;5;Sense dades
