Fecha;Hora;S02;NO;NO2;O3;PM10;dd;vv;TMP;HR;PRB;LL
14/05/2015;21:00:00;1;0.3;29;80;34;100;0.1;23.6;54;1009;0.0
14/05/2015;22:00:00;1;0.1;36;74;54;60;0.2;24.3;53;1010;0.0
14/05/2015;23:00:00;1;0.4;6;90;40;56;0.3;22.3;65;1010;0.0
14/05/2015;0:00:00;1;0.3;4;80;43;70;0.5;21.1;66;1010;0.0
15/05/2015;1:00:00;1;0.1;2;78;28;58;0.5;20.4;66;1011;0.0
15/05/2015;2:00:00;1;0.4;2;85;38;58;0.6;19.4;66;1011;0.0
15/05/2015;3:00:00;0;0.3;2;95;31;67;0.4;18.6;63;1012;0.0
15/05/2015;4:00:00;0;0.1;3;87;42;101;0.1;18.1;64;1012;0.0
15/05/2015;5:00:00;0;0.3;7;84;35;74;0.1;17.9;63;1013;0.0
15/05/2015;6:00:00;1;2.3;25;67;41;63;0.1;18.0;64;1014;0.0
15/05/2015;7:00:00;4;3.0;28;66;45;59;0.2;19.5;58;1014;0.0
15/05/2015;8:00:00;1;0.6;5;87;34;58;0.3;20.4;47;1015;0.0
15/05/2015;9:00:00;1;0.4;3;88;44;57;0.4;22.8;37;1015;0.0
15/05/2015;10:00:00;0;0.6;2;89;25;63;0.4;22.7;35;1016;0.0
15/05/2015;11:00:00;0;0.3;2;91;26;64;0.4;22.8;35;1016;0.0
15/05/2015;12:00:00;0;0.4;2;93;25;63;0.4;23.1;35;1016;0.0
15/05/2015;13:00:00;2;1.1;4;94;70;62;0.4;24.1;33;1016;0.0
15/05/2015;14:00:00;1;0.3;2;96;30;60;0.4;24.4;31;1015;0.0
15/05/2015;15:00:00;1;0.6;2;97;40;63;0.4;24.4;32;1015;0.0
15/05/2015;16:00:00;0;0.3;2;103;36;65;0.4;23.6;33;1015;0.0
15/05/2015;17:00:00;0;0.6;2;106;38;65;0.5;22.2;35;1015;0.0
15/05/2015;18:00:00;0;0.1;2;105;49;60;0.5;21.3;38;1015;0.0
15/05/2015;19:00:00;0;0.2;2;101;39;64;0.3;20.4;45;1016;0.0
15/05/2015;20:00:00;0;0.2;3;97;39;77;0.2;19.4;50;1016;0.0
15/05/2015;21:00:00;0;0.2;3;96;38;58;0.2;19.4;55;1017;0.0
15/05/2015;22:00:00;0;0.4;4;91;29;62;0.3;18.8;62;1018;0.0
15/05/2015;23:00:00;1;0.3;6;97;17;60;0.4;18.1;50;1019;0.0
15/05/2015;0:00:00;1;0.4;5;94;22;92;0.2;17.2;53;1019;0.0
16/05/2015;1:00:00;1;0.5;6;92;11;107;0.2;16.1;55;1019;0.0
