Fecha;BEN;CO;EBN;NO;NO2;NOX;O3;PM10;SO2;TOL
17/09/2015;null(null);0.1;null(null);2.3;7.6;11.0;60.0;11.0;1.2;null(null)
18/09/2015;null(null);0.1;null(null);2.7;11.0;15.0;53.0;12.0;1.2;null(null)
19/09/2015;null(null);0.1;null(null);9.3;23.0;37.0;36.0;14.0;3.6;null(null)
20/09/2015;null(null);0.1;null(null);13.0;29.0;49.0;40.0;17.0;7.4;null(null)
21/09/2015;null(null);0.1;null(null);4.5;15.0;22.0;49.0;19.0;3.6;null(null)
22/09/2015;null(null);0.1;null(null);2.5;8.3;12.0;55.0;13.0;1.1;null(null)
23/09/2015;null(null);0.1;null(null);3.2;11.0;16.0;45.0;10.0;1.1;null(null)
24/09/2015;null(null);0.1;null(null);7.6;16.0;28.0;41.0;15.0;2.0;null(null)
25/09/2015;null(null);0.1;null(null);3.5;22.0;27.0;40.0;17.0;2.8;null(null)
26/09/2015;null(null);0.1;null(null);2.9;23.0;28.0;43.0;20.0;4.6;null(null)
27/09/2015;null(null);0.1;null(null);2.3;15.0;19.0;52.0;18.0;3.9;null(null)
28/09/2015;null(null);0.1;null(null);3.5;22.0;27.0;58.0;19.0;4.9;null(null)
29/09/2015;null(null);0.1;null(null);4.3;25.0;31.0;53.0;23.0;4.8;null(null)
30/09/2015;null(null);0.1;null(null);4.3;16.0;23.0;60.0;20.0;1.6;null(null)
1/08/2015;null(null);0.1;null(null);2.5;11.0;14.0;66.0;16.0;2.1;null(null)
2/08/2015;null(null);0.1;null(null);3.3;16.0;21.0;56.0;11.0;2.4;null(null)
3/08/2015;null(null);0.1;null(null);5.0;14.0;21.0;45.0;11.0;2.3;null(null)
4/08/2015;null(null);0.1;null(null);8.1;11.0;24.0;44.0;16.0;2.0;null(null)
5/08/2015;null(null);0.1;null(null);3.4;12.0;17.0;48.0;14.0;1.8;null(null)
6/08/2015;null(null);0.1;null(null);5.5;11.0;20.0;37.0;11.0;1.8;null(null)
7/08/2015;null(null);0.1;null(null);1.8;4.2;6.8;61.0;14.0;1.0;null(null)
8/08/2015;null(null);0.1;null(null);2.9;7.9;12.0;50.0;16.0;1.3;null(null)
9/08/2015;null(null);0.1;null(null);1.6;3.3;5.7;64.0;15.0;1.1;null(null)
10/08/2015;null(null);0.1;null(null);4.2;15.0;21.0;48.0;22.0;2.6;null(null)
11/08/2015;null(null);0.1;null(null);1.9;5.3;8.1;60.0;18.0;1.0;null(null)
12/08/2015;null(null);0.1;null(null);2.9;14.0;18.0;45.0;17.0;1.2;null(null)
13/08/2015;null(null);0.1;null(null);2.0;5.9;9.1;58.0;9.6;1.0;null(null)
14/08/2015;null(null);0.1;null(null);2.6;9.8;13.0;39.0;10.0;1.0;null(null)
15/08/2015;null(null);0.1;null(null);4.5;9.9;17.0;35.0;14.0;1.8;null(null)
16/08/2015;null(null);0.1;null(null);2.2;6.1;9.6;41.0;7.2;1.1;null(null)
17/08/2015;null(null);0.1;null(null);3.2;7.9;13.0;40.0;7.9;1.3;null(null)
18/08/2015;null(null);0.1;null(null);4.2;7.3;14.0;38.0;8.5;1.1;null(null)
19/08/2015;null(null);0.1;null(null);5.5;7.5;16.0;47.0;13.0;1.1;null(null)
20/08/2015;null(null);0.1;null(null);14.0;17.0;38.0;42.0;58.0;4.2;null(null)
21/08/2015;null(null);0.1;null(null);4.3;13.0;19.0;45.0;16.0;1.2;null(null)
22/08/2015;null(null);0.1;null(null);9.8;11.0;26.0;30.0;8.0;4.0;null(null)
23/08/2015;null(null);0.1;null(null);1.9;3.2;5.8;53.0;11.0;1.0;null(null)
24/08/2015;null(null);0.1;null(null);2.6;6.9;11.0;57.0;16.0;1.4;null(null)
25/08/2015;null(null);0.1;null(null);2.6;7.7;12.0;44.0;6.3;3.0;null(null)
26/08/2015;null(null);0.1;null(null);3.9;11.0;17.0;43.0;5.4;2.0;null(null)
27/08/2015;null(null);0.1;null(null);3.5;13.0;19.0;33.0;4.4;1.8;null(null)
28/08/2015;null(null);0.1;null(null);18.0;24.0;52.0;22.0;7.0;3.0;null(null)
29/08/2015;null(null);0.1;null(null);16.0;12.0;36.0;22.0;8.9;3.1;null(null)
30/08/2015;null(null);0.1;null(null);12.0;14.0;32.0;20.0;14.0;1.8;null(null)
31/08/2015;null(null);0.1;null(null);2.9;9.1;13.0;30.0;16.0;1.0;null(null)
1/04/2015;null(null);0.1;null(null);2.8;9.0;13.0;66.0;23.0;1.3;null(null)
2/04/2015;null(null);0.1;null(null);4.7;17.0;24.0;62.0;20.0;4.1;null(null)
3/04/2015;null(null);0.1;null(null);2.1;9.2;13.0;64.0;13.0;1.9;null(null)
4/04/2015;null(null);0.1;null(null);1.9;6.0;8.8;79.0;12.0;1.0;null(null)
5/04/2015;null(null);0.1;null(null);2.5;13.0;17.0;61.0;14.0;2.4;null(null)
6/04/2015;null(null);0.1;null(null);2.5;13.0;17.0;72.0;19.0;2.8;null(null)
7/04/2015;null(null);0.11;null(null);3.3;20.0;25.0;73.0;19.0;3.6;null(null)
