Fecha;Hora;SO2;NO2;NO;O3;BEN;TOL;XIL
12/08/2015;16:00:00;4;15;2;80;0;0;0
12/08/2015;17:00:00;3;13;2;78;0;0;0
12/08/2015;18:00:00;3;11;2;95;0;0;0
12/08/2015;19:00:00;3;12;3;96;0;0;0
12/08/2015;20:00:00;3;14;3;90;0;0;0
12/08/2015;21:00:00;2;14;3;82;0;0;0
12/08/2015;22:00:00;2;13;3;76;0;0;0
12/08/2015;23:00:00;3;11;2;75;0;0;0
12/08/2015;0:00:00;3;9;3;64;0;0;0
13/08/2015;1:00:00;2;9;2;54;0;0;0
13/08/2015;2:00:00;3;7;2;49;0;0;0
13/08/2015;3:00:00;3;6;2;43;0;0;0
13/08/2015;4:00:00;3;7;2;39;0;0;0
13/08/2015;5:00:00;2;7;2;38;0;0;0
13/08/2015;6:00:00;3;8;2;38;0;0;0
13/08/2015;7:00:00;3;9;3;41;0;0;0
13/08/2015;8:00:00;3;10;2;43;0;0;0
13/08/2015;9:00:00;4;11;3;44;0;0;0
13/08/2015;10:00:00;4;12;3;47;0;0;0
13/08/2015;11:00:00;4;10;2;56;0;0;0
13/08/2015;12:00:00;4;11;3;64;0;0;0
13/08/2015;13:00:00;5;12;3;67;0;0;0
13/08/2015;14:00:00;5;11;2;75;0;0;0
13/08/2015;15:00:00;5;10;2;79;0;0;0
13/08/2015;16:00:00;5;8;2;87;0;0;0
13/08/2015;17:00:00;4;7;3;101;0;0;0
13/08/2015;18:00:00;4;7;2;106;0;0;0
13/08/2015;19:00:00;3;10;3;107;0;0;0
13/08/2015;20:00:00;3;9;3;107;0;0;0
13/08/2015;21:00:00;3;10;2;101;0;0;0
13/08/2015;22:00:00;3;11;2;92;0;0;0
13/08/2015;23:00:00;2;10;2;81;0;0;0
13/08/2015;0:00:00;2;9;2;75;0;0;0
14/08/2015;1:00:00;3;7;2;77;0;0;0
14/08/2015;2:00:00;5;7;2;78;0;0;0
14/08/2015;3:00:00;6;5;2;71;0;0;0
14/08/2015;4:00:00;6;5;2;63;0;0;0
14/08/2015;5:00:00;6;5;2;60;0;0;0
14/08/2015;6:00:00;6;5;2;54;0;0;0
14/08/2015;7:00:00;7;14;8;45;0;0;0
14/08/2015;8:00:00;7;17;9;38;0;0;0
14/08/2015;9:00:00;6;18;5;37;0;0;0
14/08/2015;10:00:00;6;13;3;46;0;0;0
14/08/2015;11:00:00;6;11;3;51;0;0;0
14/08/2015;12:00:00;7;16;5;51;0;0;0
14/08/2015;13:00:00;7;12;3;55;0;0;0
14/08/2015;14:00:00;7;13;3;56;0;0;0
14/08/2015;15:00:00;8;10;3;60;0;0;0
