Fecha;PM10;PM25;SO2
20/03/2015;null(null);16.0;2.7
21/03/2015;null(null);12.0;3.2
22/03/2015;null(null);10.0;2.9
23/03/2015;null(null);7.4;3.0
24/03/2015;null(null);7.4;2.9
25/03/2015;null(null);6.9;3.0
26/03/2015;null(null);5.3;3.3
27/03/2015;null(null);5.8;2.2
28/03/2015;null(null);7.0;2.7
29/03/2015;null(null);5.9;2.5
30/03/2015;null(null);7.8;2.6
31/03/2015;null(null);6.9;2.6
1/04/2015;null(null);11.0;2.1
2/04/2015;null(null);12.0;5.3
3/04/2015;null(null);8.0;2.5
4/04/2015;null(null);7.5;2.5
5/04/2015;null(null);9.6;3.2
6/04/2015;null(null);12.0;3.3
7/04/2015;null(null);13.0;3.5
8/04/2015;null(null);13.0;5.6
9/04/2015;null(null);13.0;3.3
10/04/2015;null(null);10.0;4.8
11/04/2015;null(null);9.6;3.9
12/04/2015;null(null);14.0;4.2
13/04/2015;null(null);13.0;4.4
14/04/2015;null(null);21.0;6.4
15/04/2015;null(null);19.0;6.8
16/04/2015;null(null);12.0;3.8
17/04/2015;null(null);6.9;3.6
18/04/2015;null(null);6.6;3.4
19/04/2015;null(null);8.8;4.1
20/04/2015;null(null);10.0;8.2
21/04/2015;null(null);14.0;5.6
22/04/2015;null(null);11.0;8.6
23/04/2015;null(null);7.6;null(null)
24/04/2015;null(null);8.0;4.6
25/04/2015;null(null);6.5;3.3
26/04/2015;null(null);6.5;3.8
27/04/2015;null(null);7.2;3.6
28/04/2015;null(null);6.8;4.1
29/04/2015;null(null);7.7;4.9
30/04/2015;null(null);5.8;3.1
1/05/2015;null(null);7.4;3.0
2/05/2015;null(null);7.0;2.9
3/05/2015;null(null);8.7;3.5
1/02/2015;null(null);7.3;3.9
2/02/2015;null(null);5.6;2.8
3/02/2015;null(null);5.6;3.3
4/02/2015;null(null);9.9;2.6
5/02/2015;null(null);7.1;2.5
6/02/2015;null(null);8.4;2.5
7/02/2015;null(null);15.0;2.7
8/02/2015;null(null);14.0;2.9
9/02/2015;null(null);11.0;3.0
10/02/2015;null(null);11.0;5.4
11/02/2015;null(null);13.0;8.3
12/02/2015;null(null);11.0;10.0
13/02/2015;null(null);7.0;2.9
14/02/2015;null(null);6.3;2.7
15/02/2015;null(null);5.3;2.6
16/02/2015;null(null);7.0;2.3
17/02/2015;null(null);8.8;2.0
18/02/2015;null(null);8.3;3.2
19/02/2015;null(null);8.5;7.6
20/02/2015;null(null);7.0;3.1
21/02/2015;null(null);7.8;3.5
22/02/2015;null(null);5.4;2.6
23/02/2015;null(null);6.9;2.4
24/02/2015;null(null);9.1;2.5
25/02/2015;null(null);7.3;2.3
26/02/2015;null(null);5.3;2.1
27/02/2015;null(null);7.5;2.1
28/02/2015;null(null);5.3;2.3
1/03/2015;null(null);5.7;2.0
1/01/2015;null(null);11.0;12.0
2/01/2015;null(null);7.9;9.6
3/01/2015;null(null);5.9;2.8
4/01/2015;null(null);7.5;3.2
5/01/2015;null(null);12.0;12.0
6/01/2015;null(null);7.3;3.2
7/01/2015;null(null);9.8;26.0
8/01/2015;null(null);11.0;8.3
9/01/2015;null(null);10.0;9.0
10/01/2015;null(null);9.8;14.0
11/01/2015;null(null);5.9;2.8
12/01/2015;null(null);9.4;6.0
13/01/2015;null(null);6.3;2.4
14/01/2015;null(null);6.4;3.3
15/01/2015;null(null);5.4;null(null)
16/01/2015;null(null);7.3;4.2
17/01/2015;null(null);5.4;3.5
18/01/2015;null(null);6.7;4.3
19/01/2015;null(null);7.3;3.5
20/01/2015;null(null);6.6;6.1
21/01/2015;null(null);7.6;5.5
22/01/2015;null(null);8.7;3.8
23/01/2015;null(null);5.9;4.1
24/01/2015;null(null);6.3;6.2
25/01/2015;null(null);7.3;3.0
26/01/2015;null(null);8.3;4.7
27/01/2015;null(null);5.4;6.3
28/01/2015;null(null);5.1;2.3
29/01/2015;null(null);6.8;3.4
30/01/2015;null(null);5.4;2.6
31/01/2015;null(null);8.9;4.3
