Fecha;SO2;NO;NO2;PM10;PM25
13/09/2015;3;1;13;Sense dades;Sense dades
14/09/2015;1;2;19;Sense dades;Sense dades
15/09/2015;2;4;19;Sense dades;Sense dades
16/09/2015;2;7;27;Sense dades;Sense dades
17/09/2015;1;Sense dades;Sense dades;Sense dades;Sense dades
18/09/2015;2;2;18;Sense dades;Sense dades
19/09/2015;3;2;11;Sense dades;Sense dades
20/09/2015;2;2;11;Sense dades;Sense dades
21/09/2015;2;5;23;Sense dades;Sense dades
22/09/2015;3;4;23;Sense dades;Sense dades
23/09/2015;1;1;12;Sense dades;Sense dades
24/09/2015;2;3;18;Sense dades;Sense dades
25/09/2015;3;6;27;Sense dades;Sense dades
26/09/2015;2;1;12;Sense dades;Sense dades
27/09/2015;1;1;13;Sense dades;Sense dades
28/09/2015;3;5;22;Sense dades;Sense dades
29/09/2015;2;6;27;Sense dades;Sense dades
30/09/2015;1;7;28;Sense dades;Sense dades
01/10/2015;2;9;22;Sense dades;Sense dades
02/10/2015;1;5;28;Sense dades;Sense dades
03/10/2015;1;Sense dades;Sense dades;Sense dades;Sense dades
04/10/2015;2;Sense dades;Sense dades;Sense dades;Sense dades
05/10/2015;1;Sense dades;Sense dades;Sense dades;Sense dades
06/10/2015;1;2;26;Sense dades;Sense dades
07/10/2015;2;3;24;Sense dades;Sense dades
08/10/2015;2;6;24;Sense dades;Sense dades
09/10/2015;2;7;28;Sense dades;Sense dades
10/10/2015;2;3;20;Sense dades;Sense dades
11/10/2015;3;2;21;Sense dades;Sense dades
12/10/2015;2;1;14;Sense dades;Sense dades
13/10/2015;1;6;29;Sense dades;Sense dades
14/10/2015;1;2;21;Sense dades;Sense dades
15/10/2015;3;8;32;Sense dades;Sense dades
16/10/2015;3;8;31;Sense dades;Sense dades
17/10/2015;2;1;25;Sense dades;Sense dades
18/10/2015;2;2;17;Sense dades;Sense dades
19/10/2015;1;6;30;Sense dades;Sense dades
20/10/2015;1;7;26;Sense dades;Sense dades
21/10/2015;2;4;27;Sense dades;Sense dades
22/10/2015;1;2;22;Sense dades;Sense dades
23/10/2015;3;19;33;Sense dades;Sense dades
24/10/2015;2;3;27;Sense dades;Sense dades
25/10/2015;2;1;17;Sense dades;Sense dades
26/10/2015;2;4;23;Sense dades;Sense dades
27/10/2015;1;2;18;Sense dades;Sense dades
28/10/2015;1;3;23;Sense dades;Sense dades
29/10/2015;1;11;27;Sense dades;Sense dades
30/10/2015;3;8;33;Sense dades;Sense dades
31/10/2015;2;2;22;Sense dades;Sense dades
01/11/2015;2;1;13;Sense dades;Sense dades
02/11/2015;1;1;8;Sense dades;Sense dades
03/11/2015;2;11;29;Sense dades;Sense dades
04/11/2015;2;8;31;Sense dades;Sense dades
05/11/2015;2;11;30;Sense dades;Sense dades
06/11/2015;3;15;34;Sense dades;Sense dades
07/11/2015;3;7;29;Sense dades;Sense dades
