Fecha;Hora;S02;NO;NO2;PM10;O3;dd;vv;TMP;PRB;LL
07/06/2015;22:00:00;;0.0;6;5;76;123;0.0;21.3;1012;0.0
07/06/2015;23:00:00;;0.0;3;2;70;121;0.0;19.8;1012;0.0
07/06/2015;0:00:00;;0.0;3;10;64;98;0.0;18.9;1011;0.0
08/06/2015;1:00:00;;0.0;2;6;64;115;0.0;18.0;1011;0.0
08/06/2015;2:00:00;;0.0;3;3;58;115;0.0;17.6;1011;0.0
08/06/2015;3:00:00;;0.0;2;;57;56;0.0;17.4;1011;0.0
08/06/2015;4:00:00;;0.0;3;;43;55;0.0;17.3;1010;0.0
08/06/2015;5:00:00;;0.0;3;;42;55;0.0;16.9;1010;0.0
08/06/2015;6:00:00;;0.0;3;;44;55;0.0;16.8;1010;0.0
08/06/2015;7:00:00;;0.3;8;7;44;55;0.0;17.6;1010;0.0
08/06/2015;8:00:00;;2.4;15;11;78;74;0.3;22.4;1010;0.0
08/06/2015;9:00:00;;0.8;8;16;98;87;0.9;25.6;1010;0.0
08/06/2015;10:00:00;;0.8;5;12;115;93;1.1;27.4;1010;0.0
08/06/2015;11:00:00;;0.7;6;12;118;91;1.1;28.4;1010;0.0
08/06/2015;12:00:00;;0.1;5;8;119;94;1.0;29.4;1009;0.0
08/06/2015;13:00:00;;0.1;4;8;124;99;1.1;30.2;1009;0.0
08/06/2015;14:00:00;;0.9;6;7;125;125;1.0;29.8;1009;0.0
08/06/2015;15:00:00;;0.2;5;10;125;119;0.8;30.0;1008;0.0
08/06/2015;16:00:00;;1.9;7;14;125;122;0.7;30.1;1007;0.0
08/06/2015;17:00:00;;0.2;6;16;129;114;0.8;30.0;1007;0.0
08/06/2015;18:00:00;;1.5;7;16;129;109;0.7;29.3;1007;0.0
08/06/2015;19:00:00;;0.5;8;21;126;91;0.4;28.2;1006;0.0
08/06/2015;20:00:00;;0.0;5;29;122;58;0.4;26.1;1007;0.0
08/06/2015;21:00:00;;1.1;14;27;100;58;0.1;23.8;1007;0.0
08/06/2015;22:00:00;;0.1;5;4;84;49;0.0;22.2;1008;0.0
08/06/2015;23:00:00;;0.0;3;;76;49;0.0;20.9;1008;0.0
08/06/2015;0:00:00;;0.1;4;18;76;19;0.1;20.3;1008;0.0
09/06/2015;1:00:00;;0.2;4;;82;276;0.1;20.3;1008;0.0
09/06/2015;2:00:00;;0.1;4;;68;342;0.1;19.7;1007;0.0
09/06/2015;3:00:00;;0.1;4;;64;342;0.0;18.6;1007;0.0
09/06/2015;4:00:00;;0.1;3;;59;342;0.0;17.7;1006;0.0
