Fecha;NO;NO2;O3;PM10;SO2
06/10/2015;0.83;3.3;59.0;13.0;2.5
07/10/2015;1.0;6.7;41.0;12.0;2.7
08/10/2015;7.4;7.1;36.0;15.0;3.2
09/10/2015;4.2;9.5;29.0;18.0;4.9
10/10/2015;1.5;10.0;20.0;25.0;7.7
11/10/2015;0.8;3.3;42.0;18.0;3.4
12/10/2015;0.8;3.0;64.0;26.0;18.0
13/10/2015;0.8;3.6;76.0;25.0;13.0
14/10/2015;0.81;3.4;79.0;19.0;3.7
15/10/2015;1.3;7.8;55.0;15.0;3.8
16/10/2015;3.1;11.0;42.0;17.0;4.7
17/10/2015;1.4;11.0;41.0;22.0;6.0
18/10/2015;1.6;5.5;31.0;20.0;3.5
19/10/2015;0.8;3.1;55.0;19.0;3.1
20/10/2015;0.8;4.7;63.0;23.0;6.8
21/10/2015;0.9;6.2;50.0;13.0;3.1
22/10/2015;4.2;8.2;36.0;21.0;2.6
23/10/2015;13.0;18.0;11.0;40.0;40.0
24/10/2015;0.91;5.2;46.0;19.0;4.3
25/10/2015;1.6;5.1;42.0;19.0;2.8
26/10/2015;1.6;7.8;40.0;11.0;2.9
27/10/2015;1.9;6.2;53.0;12.0;3.0
28/10/2015;0.88;4.0;65.0;13.0;3.4
29/10/2015;0.95;5.1;48.0;8.0;3.9
30/10/2015;2.0;10.0;42.0;20.0;6.0
31/10/2015;1.5;9.4;29.0;16.0;5.8
01/11/2015;1.1;5.6;43.0;14.0;4.8
02/11/2015;1.7;8.4;27.0;25.0;9.4
03/11/2015;1.0;7.3;55.0;16.0;5.3
04/11/2015;4.0;11.0;31.0;15.0;5.7
05/11/2015;1.1;3.5;50.0;6.9;3.0
06/11/2015;1.7;8.0;35.0;9.4;3.0
07/11/2015;1.4;8.6;20.0;14.0;5.3
08/11/2015;1.4;7.9;31.0;14.0;3.2
