Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;LL;PRB;TMP;BEN;TOL;XIL
25/08/2015;9:00:00;7;2;54;37;6;n;n;n;n;n;n;n;n
25/08/2015;10:00:00;9;0;0;0;0;n;n;n;n;n;n;n;n
25/08/2015;11:00:00;9;0;0;0;0;n;n;n;n;n;n;n;n
25/08/2015;12:00:00;9;65;30;5;62;n;n;n;n;n;n;n;n
25/08/2015;13:00:00;9;60;24;5;72;n;n;n;n;n;n;n;n
25/08/2015;14:00:00;0;36;22;4;71;n;n;n;n;n;n;n;n
25/08/2015;15:00:00;4;15;15;2;76;n;n;n;n;n;n;n;n
25/08/2015;16:00:00;6;21;18;3;84;n;n;n;n;n;n;n;n
25/08/2015;17:00:00;3;20;23;5;86;n;n;n;n;n;n;n;n
25/08/2015;18:00:00;7;14;22;4;86;n;n;n;n;n;n;n;n
25/08/2015;19:00:00;11;9;24;4;86;n;n;n;n;n;n;n;n
25/08/2015;20:00:00;7;6;30;5;80;n;n;n;n;n;n;n;n
25/08/2015;21:00:00;9;3;30;5;74;n;n;n;n;n;n;n;n
25/08/2015;22:00:00;8;2;32;4;70;n;n;n;n;n;n;n;n
25/08/2015;23:00:00;6;2;23;2;71;n;n;n;n;n;n;n;n
25/08/2015;0:00:00;4;3;25;3;59;n;n;n;n;n;n;n;n
26/08/2015;1:00:00;7;4;28;3;45;n;n;n;n;n;n;n;n
26/08/2015;2:00:00;8;6;34;4;34;n;n;n;n;n;n;n;n
26/08/2015;3:00:00;4;5;20;3;46;n;n;n;n;n;n;n;n
26/08/2015;4:00:00;8;4;17;3;37;n;n;n;n;n;n;n;n
26/08/2015;5:00:00;9;3;15;2;38;n;n;n;n;n;n;n;n
26/08/2015;6:00:00;6;3;15;4;39;n;n;n;n;n;n;n;n
26/08/2015;7:00:00;2;3;24;4;27;n;n;n;n;n;n;n;n
26/08/2015;8:00:00;2;4;42;10;13;n;n;n;n;n;n;n;n
26/08/2015;9:00:00;5;4;54;19;10;n;n;n;n;n;n;n;n
26/08/2015;10:00:00;17;4;54;16;33;n;n;n;n;n;n;n;n
26/08/2015;11:00:00;17;9;26;5;63;n;n;n;n;n;n;n;n
26/08/2015;12:00:00;14;3;20;5;76;n;n;n;n;n;n;n;n
26/08/2015;13:00:00;9;3;21;5;82;n;n;n;n;n;n;n;n
26/08/2015;14:00:00;8;3;21;6;90;n;n;n;n;n;n;n;n
26/08/2015;15:00:00;18;3;17;4;82;n;n;n;n;n;n;n;n
26/08/2015;16:00:00;11;2;15;3;82;n;n;n;n;n;n;n;n
26/08/2015;17:00:00;8;3;18;4;82;n;n;n;n;n;n;n;n
26/08/2015;18:00:00;4;3;17;3;83;n;n;n;n;n;n;n;n
26/08/2015;19:00:00;2;5;27;6;82;n;n;n;n;n;n;n;n
26/08/2015;20:00:00;2;4;30;6;82;n;n;n;n;n;n;n;n
26/08/2015;21:00:00;3;46;22;5;79;n;n;n;n;n;n;n;n
26/08/2015;22:00:00;4;2;27;6;76;n;n;n;n;n;n;n;n
26/08/2015;23:00:00;9;2;31;3;68;n;n;n;n;n;n;n;n
26/08/2015;0:00:00;8;2;20;3;70;n;n;n;n;n;n;n;n
27/08/2015;1:00:00;5;3;17;3;70;n;n;n;n;n;n;n;n
27/08/2015;2:00:00;11;2;17;3;61;n;n;n;n;n;n;n;n
27/08/2015;3:00:00;9;3;14;2;62;n;n;n;n;n;n;n;n
27/08/2015;4:00:00;9;3;16;3;56;n;n;n;n;n;n;n;n
27/08/2015;5:00:00;10;3;14;2;50;n;n;n;n;n;n;n;n
