Fecha;PM10;SO2;NO2;NO;O3;dd;vv;TMP;HR;PRB;RS;LL
30/01/2015;7;1;5;1;78;287;6.9;6.1;91;915;5;67.4
31/01/2015;11;2;1;0;87;285;6.5;0.7;85.8;917;28;25.8
01/02/2015;;;;;;291;5;;;;;
02/02/2015;8;1;2;0;78;130;1.7;2.2;77.7;922;57;24
03/02/2015;9;2;1;0;83;248;2.6;-0.1;87.7;919;53;19.6
04/02/2015;;;;;;;;;;;;
05/02/2015;;;;;;291;5.8;;;;;
06/02/2015;9;0;14;2;67;292;4.8;-2.4;95.9;931;46;0
07/02/2015;26;0;19;2;58;297;4.2;-1.3;94.1;936;12;0
08/02/2015;26;0;14;2;68;266;3;-0.4;88.9;945;28;0.8
09/02/2015;22;;;;36;180;2;0.8;68.9;943;128;6.6
10/02/2015;12;;;;;178;1.9;4.1;47.4;937;138;14.4
11/02/2015;15;;;;;156;1.9;3.6;55.9;935;95;4.8
12/02/2015;17;;;;;158;2.4;4.9;56.6;935;82;0
13/02/2015;11;;;;;156;2.2;4.4;67.2;933;83;0.8
14/02/2015;8;1;4;0;84;131;2.2;3.6;78.9;929;42;5.2
15/02/2015;7;0;4;1;77;273;2.9;5.2;91;930;33;21.2
16/02/2015;10;1;3;1;82;270;3.7;3.6;91.6;938;55;22
17/02/2015;18;1;3;1;88;308;4.9;1.9;82.8;950;48;25
18/02/2015;16;2;6;1;80;227;2.1;1.4;80.4;950;62;0.8
19/02/2015;12;3;6;1;88;135;1.7;4.9;57.7;945;157;0
20/02/2015;9;3;6;0;90;180;2.1;5.6;60.6;933;55;2.2
21/02/2015;9;0;3;1;90;287;7;2.2;90.6;929;35;22.6
22/02/2015;10;0;3;1;82;277;4.5;4.3;85.5;932;60;6.6
23/02/2015;9;0;3;1;78;272;5.1;4.7;83.4;931;40;10
24/02/2015;10;0;2;1;88;274;5.7;2;82.1;940;44;15
25/02/2015;11;0;3;1;85;288;4.9;5.6;84;945;27;7.4
26/02/2015;5;0;3;1;70;272;2.8;7.1;95.6;942;47;14.4
27/02/2015;10;1;3;1;93;287;5.4;2.4;93.7;942;47;13.4
28/02/2015;6;1;4;1;65;110;1.6;7.2;92.8;939;65;1.2
01/03/2015;7;1;4;1;60;116;2.1;11.5;71.3;937;100;0
02/03/2015;5;0;3;1;63;158;1.6;7.6;95.1;940;32;5.2
03/03/2015;7;1;5;1;68;270;2.9;6.2;96.5;942;69;6.2
04/03/2015;10;0;3;1;91;290;4.5;2.5;88.4;951;106;13.6
05/03/2015;;;;;;138;1.9;;;;;
06/03/2015;6;2;0;0;85;112;3.9;11.2;29.4;947;200;0
07/03/2015;8;4;1;0;85;160;1.5;12.7;35.6;945;202;0
08/03/2015;22;9;2;0;96;151;1.7;9.8;44.6;943;199;0
09/03/2015;10;4;1;0;88;177;1.6;11;37.5;943;193;0
10/03/2015;14;3;3;0;88;182;1.4;10.8;49.8;942;199;0
11/03/2015;23;1;3;0;80;250;2.3;7.3;75.1;943;156;0
12/03/2015;37;0;3;0;77;292;3.9;7.7;74.5;940;131;0.2
13/03/2015;14;0;1;0;87;289;5.1;3.1;90.1;943;55;3.2
14/03/2015;17;0;2;0;85;287;4.3;1.3;85.8;941;26;5.8
15/03/2015;26;0;2;0;79;271;3.4;0.7;90.7;937;22;5.8
16/03/2015;23;0;3;0;80;134;1.8;3.9;66.8;933;218;0
17/03/2015;16;0;3;0;89;153;2.1;8.7;46.4;933;198;0
18/03/2015;16;0;4;0;81;136;1.4;6.8;72.6;937;107;2.6
19/03/2015;13;0;2;0;76;136;1.4;5.8;94.1;937;42;5.2
20/03/2015;21;0;3;0;78;312;2.9;3.4;97.8;936;12;1.4
21/03/2015;13;0;2;0;69;269;2.4;2.7;99;932;20;8.2
22/03/2015;17;0;2;0;81;86;4.3;3.1;92.2;932;52;8.4
23/03/2015;8;0;1;0;68;157;1.4;0.9;94;927;49;12.2
24/03/2015;6;0;2;0;81;268;4.1;1.7;97.3;929;26;38.4
25/03/2015;7;0;1;0;86;273;4.8;0.7;91.3;932;98;19.2
26/03/2015;8;0;0;0;74;276;5;5.4;93.9;935;57;19
27/03/2015;7;0;0;0;63;246;2.2;7.8;100;945;54;16.6
28/03/2015;13;0;0;0;55;141;1;8.2;95.2;947;149;0
29/03/2015;13;0;0;0;66;157;1.7;10.4;74.1;944;192;0
30/03/2015;14;0;0;0;78;250;2.6;11;68;945;157;0
31/03/2015;11;0;0;0;66;274;3.6;8.2;95.1;948;143;0
01/04/2015;16;0;0;0;78;222;3.1;6.3;87;949;180;2.2
02/04/2015;14;0;2;0;86;249;3.5;9.6;40.7;944;259;0
03/04/2015;13;0;0;0;71;274;3.7;8.6;69.4;940;210;0
04/04/2015;11;0;0;0;85;244;2.6;5.7;88.6;936;105;0.6
05/04/2015;13;0;0;0;66;135;1.7;6.8;84.8;933;244;0
06/04/2015;16;0;2;0;77;250;4;6.6;67.2;936;274;0
07/04/2015;19;1;2;0;88;108;4.4;10.6;54.7;940;273;0
08/04/2015;15;0;1;0;101;152;4;14.1;34;939;284;0
09/04/2015;23;1;2;0;92;127;3.7;10.8;57;938;137;0
10/04/2015;9;1;1;0;80;136;1.9;9.1;81.3;938;105;1
11/04/2015;14;0;0;0;76;241;2.8;9;87.1;943;154;0
12/04/2015;37;1;1;0;93;131;2.9;15.4;46.2;943;260;0
13/04/2015;68;3;4;1;100;112;3.6;17.9;33.9;943;273;0
14/04/2015;53;2;1;0;106;157;6.3;19.2;28.2;939;165;0
15/04/2015;54;1;2;0;92;158;4.7;15.2;46.5;933;65;0.6
16/04/2015;24;0;1;0;81;204;2.1;10.6;78.7;932;129;22
17/04/2015;13;0;1;0;82;268;2.8;8.7;97.8;934;80;3.8
18/04/2015;13;0;0;0;78;156;2;8.2;83.1;931;162;1
19/04/2015;8;0;0;0;88;141;1.7;6.9;82.8;934;153;0.4
20/04/2015;17;0;1;0;72;268;3.2;8.7;82.8;938;199;0.2
21/04/2015;15;0;0;0;107;132;3.4;16.2;48.2;938;286;0.4
22/04/2015;17;0;1;0;103;180;2.2;13.6;62.1;936;113;0.8
23/04/2015;;1;0;1;79;133;1.5;10.3;86.8;937;182;0
24/04/2015;13;2;0;1;85;267;3;12.8;62.8;932;102;0
25/04/2015;8;2;0;1;91;179;2.8;14;56.6;929;228;0
26/04/2015;7;3;0;1;87;229;2.2;9;86.3;925;74;14.4
27/04/2015;7;1;0;1;89;270;2.5;7.2;91.5;932;96;16.4
28/04/2015;14;0;0;1;81;269;3;7.5;79.8;938;204;4.8
29/04/2015;15;0;2;0;67;153;1.5;6.9;89.1;937;46;1.2
30/04/2015;14;0;3;0;74;267;3.6;14.3;60.7;934;257;0
01/05/2015;8;0;2;0;56;245;2.7;14.3;77.6;931;62;0.2
02/05/2015;8;0;0;0;58;159;2.3;17.6;60.6;928;62;0
03/05/2015;11;0;0;0;71;246;2.7;15.1;71.5;927;68;0
04/05/2015;;0;0;0;75;132;4.3;16.3;62.3;921;210;2
05/05/2015;12;0;0;0;83;240;3.3;8.9;89.3;931;92;0.4
06/05/2015;13;0;0;0;82;176;2.5;8.1;77.8;937;199;0.2
07/05/2015;21;0;0;0;93;185;4;17.3;42.6;932;309;0
08/05/2015;14;0;0;0;99;246;2.7;14.2;67.5;937;263;0
09/05/2015;11;0;0;0;65;250;2.4;11.1;99.5;943;103;0.4
10/05/2015;18;0;0;0;89;180;1.7;18.5;58.6;940;310;0
11/05/2015;28;0;1;0;71;266;4.2;15;80.5;939;299;0
12/05/2015;34;0;2;0;91;268;3.8;18.3;67.8;938;311;0
13/05/2015;32;0;10;1;89;272;3.5;16.3;71.7;938;242;0
14/05/2015;20;0;8;0;75;315;3.2;8.2;94.2;938;40;2.6
15/05/2015;13;0;6;1;83;296;4.8;7.5;86.1;944;115;0.2
16/05/2015;18;0;5;0;78;312;3.2;10;83.1;949;172;0
17/05/2015;11;0;6;0;59;157;1.2;11.6;85.4;944;181;0
18/05/2015;13;0;5;0;74;292;3.1;8.8;81.3;935;138;2.2
19/05/2015;11;0;4;0;88;295;3.9;6.4;87.8;937;118;7.6
20/05/2015;10;0;3;0;91;292;3.6;6.6;82.7;942;154;2.2
21/05/2015;15;0;3;0;91;316;3.8;7.2;80.3;947;225;3.6
22/05/2015;15;1;3;0;84;300;2.8;7.1;81.7;945;144;0
23/05/2015;16;2;2;0;78;247;3.4;8.9;78.9;941;298;0
24/05/2015;16;2;2;0;59;222;2.4;10.1;90.9;940;120;0.6
25/05/2015;;1;2;0;60;291;2.9;10.7;89.6;941;187;1.6
26/05/2015;12;0;1;0;69;291;2.7;10.2;93;942;170;0.4
27/05/2015;18;0;3;0;77;21;2.7;11.8;82;941;256;0
28/05/2015;20;1;3;1;81;268;2.7;11.6;86.4;938;265;0
29/05/2015;19;1;2;0;79;274;2;11.4;88.5;936;222;0
30/05/2015;16;1;2;0;75;162;1.9;12.3;79.9;938;270;0
31/05/2015;15;1;2;0;62;245;2.7;14.1;76.7;937;230;0
01/06/2015;15;1;2;0;48;130;1;11.9;98.9;938;65;1.4
02/06/2015;25;1;2;0;76;182;1.4;14.4;74.8;939;349;0.2
03/06/2015;23;1;4;1;64;290;3.3;13.3;89.9;941;181;0.2
04/06/2015;22;1;3;1;82;224;2.4;19.8;70.1;938;166;2.8
05/06/2015;;1;2;0;69;274;2.6;13.7;91.5;939;50;3.4
06/06/2015;13;0;3;1;49;289;2.4;11.7;99.1;943;66;1.4
07/06/2015;17;0;2;1;48;267;3.3;13.8;95.5;941;208;0
08/06/2015;17;1;3;1;72;268;3;15.6;91.7;940;235;0.2
09/06/2015;15;1;3;0;83;288;2.4;11.9;95.4;937;98;6.4
10/06/2015;14;0;2;0;79;270;2.3;11.1;94.9;932;108;9.2
11/06/2015;11;0;2;0;79;141;2.1;13.1;90.4;929;110;2.2
12/06/2015;11;0;2;0;75;288;1.9;9.7;99.7;930;45;3.4
13/06/2015;11;0;2;0;73;290;2.8;11.8;94;930;171;0
14/06/2015;9;0;1;0;84;286;2.2;10.9;85.6;932;166;6.2
15/06/2015;12;0;1;0;83;271;1.9;10.8;91.5;938;105;5
16/06/2015;13;0;1;0;79;315;2.6;10.5;89.9;943;108;0
17/06/2015;15;0;1;0;89;176;1.9;12.5;80.5;945;261;0
18/06/2015;13;0;1;0;83;292;3.5;14.3;80.1;943;353;0
19/06/2015;9;0;1;0;46;158;1.7;13.4;91.1;942;147;0
20/06/2015;13;1;3;0;73;271;3.6;15.4;69.9;941;364;0
21/06/2015;15;1;3;0;78;288;3.5;16.6;72.7;939;351;0
22/06/2015;17;1;3;1;66;266;3.3;17.6;81.2;935;284;0.2
23/06/2015;16;0;3;1;56;288;2.3;14.4;91;936;112;1.2
24/06/2015;14;1;2;0;68;289;3.7;15.3;73.4;938;356;0
25/06/2015;15;1;1;0;90;183;1.3;20.2;60.9;940;348;0
26/06/2015;20;0;1;0;83;290;3.8;17;77.6;941;226;0
27/06/2015;18;0;1;0;67;288;3.6;17.1;77.9;941;324;0
28/06/2015;14;0;1;0;60;287;3;16.8;84.1;940;168;0.8
29/06/2015;14;0;1;0;71;291;3.1;19;79.1;938;347;0.2
30/06/2015;27;3;1;0;121;250;3;24.8;52;933;329;0
01/07/2015;15;0;1;0;56;273;3.8;15.4;96.1;933;216;0.2
02/07/2015;6;0;1;0;48;290;2.2;13.5;98;939;80;0.8
03/07/2015;17;1;1;0;82;182;2.9;19.9;65.9;936;278;0
04/07/2015;16;1;1;0;76;292;3;16.3;79.9;940;221;0.8
05/07/2015;5;0;1;1;43;273;2;14.5;99.5;940;54;2.4
06/07/2015;10;0;1;0;63;266;3.3;19.7;74.8;937;368;0
07/07/2015;14;1;1;0;73;286;2.8;17;71.7;938;281;1
08/07/2015;7;0;1;0;54;271;1.8;13;99.7;941;78;3
09/07/2015;13;0;1;0;63;177;1.3;15.6;79.2;939;325;0
10/07/2015;20;1;1;0;106;200;1.6;19.9;56.1;936;260;0
11/07/2015;17;0;1;0;61;268;2.3;15.5;86.5;942;181;0
12/07/2015;12;0;1;0;54;294;3.1;15.3;85.4;941;158;0
13/07/2015;13;1;1;0;64;290;3.8;17.1;79.9;941;333;0
14/07/2015;16;1;1;0;74;251;2.1;17.3;78.4;940;304;0
15/07/2015;13;0;1;1;49;294;3;16.5;93.8;937;157;0.2
16/07/2015;15;1;1;1;64;198;1.4;17.8;89;935;232;0.2
17/07/2015;20;1;;;83;262;2.6;18.1;69.1;937;226;0
18/07/2015;20;0;;;;289;3.1;17.6;82.7;936;159;0
19/07/2015;19;0;;;;179;1.2;19.1;76.4;937;215;0
20/07/2015;19;2;2;1;78;205;1.3;19.9;78.7;937;225;0
21/07/2015;14;2;1;2;54;294;2.7;17.7;97.9;936;59;2
22/07/2015;7;1;0;1;56;294;2.4;15.2;100;939;62;4.6
23/07/2015;11;0;0;0;64;292;3.4;17.6;79.4;936;291;0
24/07/2015;11;1;0;0;76;310;3.6;15.8;81.5;933;131;4.2
25/07/2015;14;0;0;0;74;312;2.8;13.5;76.6;938;196;0
26/07/2015;16;1;0;0;76;176;1.4;18.6;69.4;934;278;2.6
27/07/2015;13;0;0;0;52;268;1.9;13.9;94.4;936;63;3.6
28/07/2015;9;1;0;0;58;90;1.8;17.7;80.1;934;299;0.2
29/07/2015;10;0;0;0;52;272;2.3;14.3;96.7;934;41;5.4
30/07/2015;11;0;0;0;59;89;1;11.8;93.7;935;45;1
31/07/2015;10;0;0;0;67;297;2.7;11.2;94.7;932;71;10.6
01/08/2015;13;0;0;0;82;180;1.2;13.8;78.2;935;264;0
02/08/2015;13;1;0;0;108;179;1.8;21.1;54.7;933;306;0
03/08/2015;15;1;0;0;93;273;3.3;17;70.4;935;218;0
04/08/2015;9;0;0;0;57;273;2.1;13.9;97;937;79;1.8
05/08/2015;17;1;0;0;79;179;1.6;17.5;75.7;933;279;0.2
06/08/2015;16;0;0;0;68;286;3;15.5;88.6;934;193;0.2
07/08/2015;9;0;0;0;62;290;2.5;12.6;98.5;938;49;7
08/08/2015;11;0;0;0;68;293;2.5;12.8;85;942;162;0.2
09/08/2015;12;0;0;0;68;250;2.5;14.7;80.2;941;252;0
10/08/2015;13;1;0;0;103;199;1.9;20.8;57.7;935;299;0
11/08/2015;22;1;0;0;83;292;2.6;16.6;89.2;933;105;0
12/08/2015;21;0;0;0;73;251;3.1;18;87.9;934;185;0.2
13/08/2015;12;0;0;0;63;318;3.4;15.5;84.6;935;152;2.8
14/08/2015;10;0;0;0;64;290;2.3;13.9;74.9;936;220;0
15/08/2015;11;0;0;0;54;266;2.3;13.3;85.6;935;148;0.2
16/08/2015;12;0;0;0;57;271;2.7;14.8;76.1;933;152;0
17/08/2015;11;0;0;0;60;222;2.1;14.5;82.7;934;137;0
18/08/2015;8;0;0;0;58;84;3.4;14;82.7;936;136;0
19/08/2015;10;0;0;0;63;176;1.2;14.7;78.8;938;264;0
20/08/2015;13;1;0;0;87;270;3.5;18.7;64.3;939;278;0
21/08/2015;21;1;0;0;89;251;3.4;19.3;69.9;937;198;0
22/08/2015;15;0;0;0;61;291;3.2;15.5;96.7;931;113;6.6
23/08/2015;7;1;0;0;65;199;3.7;15.8;68.1;926;251;1.6
24/08/2015;9;1;0;0;64;155;1.5;12.6;73.5;932;119;0
25/08/2015;8;1;0;0;60;169;1.1;16.3;71.1;936;272;0
26/08/2015;8;1;4;1;74;220;3.5;20.9;52.3;932;195;0
27/08/2015;9;0;4;1;57;158;2.2;20.5;61.9;931;90;0
28/08/2015;15;0;5;1;58;250;2.3;18.1;88.9;935;251;0
29/08/2015;16;0;5;1;68;249;3.7;21;76;935;261;0
30/08/2015;23;0;4;1;81;160;2.1;23.2;58.5;933;144;0.4
31/08/2015;18;0;4;1;73;271;2.3;16.7;90.4;934;31;18.4
01/09/2015;8;0;3;1;69;285;2.3;12;100;939;40;9.2
02/09/2015;10;0;4;1;63;269;2.3;12;94.3;936;68;8.6
03/09/2015;7;0;2;1;75;227;1.6;10.1;98.3;937;51;11.6
04/09/2015;7;0;2;1;64;290;3;9.9;98.3;937;82;4.8
05/09/2015;8;0;3;1;66;134;0.9;11.3;86.2;940;159;0.6
06/09/2015;11;0;4;1;67;162;1.2;11.6;79.4;941;214;0
07/09/2015;12;0;4;1;71;178;1.2;12.3;78.3;941;213;0
08/09/2015;11;0;3;0;82;157;1.3;13.8;65.5;936;252;0
09/09/2015;17;2;4;0;88;175;1.3;15.2;65.4;933;141;0
10/09/2015;14;0;3;0;68;161;1;13.3;85.9;934;99;0.6
11/09/2015;13;0;2;0;58;178;1.4;13.8;86.3;932;199;0.2
12/09/2015;12;0;2;0;59;248;1.9;13;86;931;64;0
13/09/2015;7;0;2;0;52;204;2.9;14.2;83;926;125;0.4
14/09/2015;10;0;2;0;64;6;2.9;11.6;81.3;931;115;0
15/09/2015;10;1;2;0;57;201;4.7;14.1;72;920;53;2.8
16/09/2015;9;1;1;0;75;248;7;16.7;54.9;915;194;2.4
17/09/2015;7;0;2;0;60;180;1.4;10.5;80.3;930;82;4.8
18/09/2015;9;0;2;0;60;200;1;9.9;86.1;939;75;0
19/09/2015;11;0;3;0;63;292;2.9;11.3;86.6;943;170;0
20/09/2015;9;0;3;0;66;182;1;13.1;77.7;940;218;0
21/09/2015;14;1;3;0;79;222;1.3;13.2;80.9;937;175;0.8
22/09/2015;11;0;2;0;68;315;3;11.1;92;935;68;1.2
23/09/2015;7;0;2;0;62;314;3.4;11.8;89.6;937;59;0
24/09/2015;12;0;4;0;54;269;3;13.5;88.6;939;173;0
25/09/2015;16;0;6;0;47;265;2.7;13.4;94.4;938;152;0
26/09/2015;15;0;5;0;49;290;3.1;13.4;94.7;938;117;0
27/09/2015;16;0;4;0;60;289;3.6;12.4;89.8;940;188;0.2
28/09/2015;11;0;4;0;72;178;1.5;11.9;66.8;939;199;0
29/09/2015;15;0;4;0;70;273;2.7;12;82.6;936;125;0
30/09/2015;16;0;4;0;72;185;1.5;11.9;76.1;934;156;0
01/10/2015;19;1;4;0;91;179;2.2;12.8;72.1;939;136;0
02/10/2015;19;0;4;0;80;288;1.8;8.7;90.2;935;34;4
03/10/2015;15;0;3;0;72;162;1.3;8.4;81.3;933;168;0.2
04/10/2015;8;0;2;0;59;177;2.5;16.4;67.8;929;95;0.2
05/10/2015;6;0;1;0;68;223;4.6;18.9;60.9;925;110;2.2
06/10/2015;6;0;2;0;65;201;2.7;12.9;80.6;930;39;9
07/10/2015;12;0;2;0;56;179;1.3;9.3;86;938;106;0
08/10/2015;9;0;2;0;51;185;1;9.1;82.2;937;92;0
09/10/2015;10;0;3;0;61;183;1.5;10.6;73.2;932;169;0
10/10/2015;12;0;1;0;82;179;1.8;16.1;48.4;926;142;0
11/10/2015;12;1;3;0;68;269;1.9;14.4;82.4;925;92;0.2
12/10/2015;12;0;2;0;64;268;2;11.1;99.8;931;8;23
13/10/2015;21;0;2;0;72;270;2.1;9.3;90.5;936;50;1.6
14/10/2015;18;0;4;0;68;201;1.4;6.9;82.3;936;75;0
15/10/2015;11;0;4;0;67;201;1.5;5.6;71.4;934;149;0
16/10/2015;15;0;6;0;56;183;1.2;7.5;76.3;933;115;0
17/10/2015;12;0;4;0;67;181;2.9;14.5;58.2;928;65;0
18/10/2015;10;0;3;0;57;182;2.1;14.9;77.4;929;75;0
19/10/2015;7;0;8;0;33;115;0.9;11.9;100;931;13;49.4
20/10/2015;13;0;3;0;69;;;8.3;92.9;940;37;6.2
21/10/2015;14;0;2;0;67;;;8.1;88.5;941;64;0.2
22/10/2015;13;0;2;0;62;;;9.4;83.6;941;114;0
23/10/2015;8;0;1;0;63;;;14;53.2;936;102;0
24/10/2015;16;1;6;0;60;;;12.7;77;937;69;0.4
25/10/2015;12;0;3;0;57;;;12.9;86.1;937;87;2.8
26/10/2015;11;0;2;0;72;;;14.9;60.8;927;50;0
27/10/2015;6;0;1;0;72;;;9.9;75.8;926;69;4.8
28/10/2015;7;0;2;0;69;221;1.5;10.8;59.5;929;82;0.2
29/10/2015;6;0;1;0;62;219;3;16;59.3;932;91;0
30/10/2015;6;0;1;0;66;202;2.2;17.8;47.8;932;85;0
31/10/2015;12;0;2;0;74;201;3.2;16.9;52.4;934;100;0
01/11/2015;13;0;2;0;70;130;2.9;13.9;59.7;938;108;0
02/11/2015;11;0;2;0;75;157;4.3;11.7;67.4;929;52;0
03/11/2015;5;0;2;0;61;199;2.7;10.5;71.2;930;32;1.2
04/11/2015;7;0;2;0;63;203;2.2;13.2;61.9;934;40;0
05/11/2015;5;0;2;0;56;199;1.9;14.7;63.6;937;39;0
06/11/2015;6;0;3;0;45;183;1.6;15.3;69.8;941;102;0
07/11/2015;9;0;2;0;52;201;1.7;14.7;62.6;943;108;0
08/11/2015;7;0;1;0;61;204;2.1;17.7;49.3;943;104;0
09/11/2015;;;;;;;;;;;;
