Fecha;CO;NO;NO2;PM10;SO2
02/07/2014;0.2;9;17;9;4
03/07/2014;0.3;10;23;15;4
04/07/2014;0.2;9;19;17;6
05/07/2014;0.2;7;15;9;12
06/07/2014;0.2;3;10;6;4
07/07/2014;0.3;9;19;13;5
08/07/2014;0.3;9;19;12;4
09/07/2014;0.2;4;12;13;3
10/07/2014;0.3;9;18;12;4
11/07/2014;0.3;10;18;14;3
12/07/2014;0.3;4;12;14;2
13/07/2014;0.3;3;11;17;4
14/07/2014;0.3;8;20;18;4
15/07/2014;0.3;10;28;22;6
16/07/2014;0.3;10;34;30;5
17/07/2014;0.2;8;26;45;4
18/07/2014;0.2;11;27;35;6
19/07/2014;0.2;5;18;12;4
20/07/2014;0.3;5;11;9;6
21/07/2014;0.3;10;19;12;3
22/07/2014;0.3;11;28;19;5
23/07/2014;0.3;9;27;21;10
24/07/2014;0.3;9;29;23;11
25/07/2014;0.3;9;29;25;10
26/07/2014;0.3;5;19;23;6
27/07/2014;0.3;3;24;27;10
28/07/2014;0.2;7;24;20;6
29/07/2014;0.2;6;19;10;4
30/07/2014;0.3;10;25;13;4
31/07/2014;0.3;11;32;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;6
01/08/2014;0.3;9;25;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;5
02/08/2014;0.2;4;10;8;3
03/08/2014;0.2;4;12;8;3
04/08/2014;0.3;10;20;12;4
05/08/2014;0.2;10;25;18;7
06/08/2014;0.2;8;19;18;5
07/08/2014;0.2;9;17;15;4
08/08/2014;0.2;8;14;13;3
09/08/2014;0.2;4;13;11;4
10/08/2014;0.2;3;8;7;2
11/08/2014;0.2;8;15;9;3
12/08/2014;0.2;8;14;12;5
13/08/2014;0.3;8;15;10;2
14/08/2014;0.2;10;19;13;4
15/08/2014;0.2;4;15;17;4
16/08/2014;0.3;5;13;12;2
17/08/2014;0.3;7;21;13;3
18/08/2014;0.3;10;29;21;6
19/08/2014;0.3;9;22;20;3
20/08/2014;0.3;10;22;16;4
21/08/2014;0.3;11;22;17;4
22/08/2014;0.3;9;23;20;4
23/08/2014;0.3;6;18;18;2
24/08/2014;0.2;4;14;14;2
25/08/2014;0.3;9;19;18;4
26/08/2014;0.3;5;9;12;2
27/08/2014;0.3;13;16;16;3
28/08/2014;0.2;12;23;16;6
29/08/2014;0.2;11;28;16;10
30/08/2014;0.3;7;24;19;4
31/08/2014;0.3;6;22;15;7
01/09/2014;0.3;19;40;22;14
02/09/2014;0.3;16;39;30;13
03/09/2014;0.4;11;28;30;7
04/09/2014;0.4;10;34;32;11
05/09/2014;0.3;16;34;29;6
06/09/2014;0.3;8;19;19;3
07/09/2014;0.3;6;17;11;2
08/09/2014;0.2;8;19;15;2
09/09/2014;0.3;16;29;19;3
10/09/2014;0.3;18;34;23;5
11/09/2014;0.2;13;29;19;5
12/09/2014;0.3;16;27;19;7
13/09/2014;0.3;6;22;18;5
14/09/2014;0.2;7;21;14;3
15/09/2014;0.3;14;26;14;2
16/09/2014;0.2;9;23;16;2
17/09/2014;0.3;8;19;11;2
18/09/2014;0.2;8;18;12;2
19/09/2014;0.3;8;21;11;2
20/09/2014;0.2;8;20;16;2
21/09/2014;0.2;5;15;12;2
22/09/2014;0.3;11;23;14;3
23/09/2014;0.3;22;32;22;18
24/09/2014;0.3;16;30;27;12
25/09/2014;0.3;17;31;26;10
26/09/2014;0.3;23;32;25;6
27/09/2014;0.3;9;22;21;4
28/09/2014;0.3;4;17;13;3
29/09/2014;0.3;20;32;18;9
30/09/2014;0.4;22;35;23;10
01/10/2014;0.4;25;38;23;13
02/10/2014;0.4;22;34;24;7
03/10/2014;0.4;26;38;26;15
04/10/2014;0.3;13;30;19;21
05/10/2014;0.2;7;17;8;4
06/10/2014;0.3;7;17;13;7
07/10/2014;0.3;11;20;11;5
08/10/2014;0.3;8;12;6;4
09/10/2014;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;12;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
10/10/2014;;;;20;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
11/10/2014;;;;18;3
12/10/2014;;;;9;1
13/10/2014;;;;9;1
14/10/2014;;;;12;2
15/10/2014;;;;11;3
16/10/2014;;;;8;1
17/10/2014;;;;12;2
20/10/2014;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
21/10/2014;;;;59;10
22/10/2014;;;;32;4
23/10/2014;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;32;16
24/10/2014;0.5;70;46;40;25
25/10/2014;0.4;38;34;30;15
26/10/2014;0.4;28;32;28;10
27/10/2014;0.5;51;43;38;13
28/10/2014;0.4;41;45;36;14
29/10/2014;0.5;49;47;45;11
30/10/2014;0.5;56;52;48;14
31/10/2014;0.5;50;42;47;11
01/11/2014;0.4;18;25;32;9
02/11/2014;0.4;18;23;19;11
03/11/2014;0.4;19;24;14;10
04/11/2014;0.4;26;27;11;12
05/11/2014;0.4;29;34;12;11
06/11/2014;0.5;22;31;14;9
07/11/2014;0.4;13;23;12;4
08/11/2014;0.5;12;29;18;7
09/11/2014;0.5;16;30;14;7
10/11/2014;0.6;36;40;23;12
11/11/2014;0.5;17;26;10;7
12/11/2014;0.5;22;36;12;9
13/11/2014;0.4;13;26;9;6
14/11/2014;0.4;20;34;12;8
15/11/2014;0.3;8;15;7;6
16/11/2014;0.3;5;10;6;6
17/11/2014;0.5;25;32;13;11
18/11/2014;0.6;35;42;22;15
19/11/2014;0.6;28;47;17;13
20/11/2014;0.7;44;45;25;18
21/11/2014;0.8;65;48;45;18
22/11/2014;0.8;43;36;45;17
23/11/2014;0.6;22;32;41;13
24/11/2014;0.7;55;46;27;26
25/11/2014;0.6;39;42;29;13
26/11/2014;0.6;34;42;33;14
27/11/2014;0.6;29;40;20;15
28/11/2014;0.7;34;45;14;17
29/11/2014;0.5;21;39;10;9
30/11/2014;0.5;13;30;9;9
01/12/2014;0.4;22;33;18;8
02/12/2014;0.6;43;50;19;17
03/12/2014;0.8;53;44;25;19
04/12/2014;0.5;35;43;15;17
05/12/2014;0.7;40;49;19;12
06/12/2014;0.5;14;32;12;9
07/12/2014;0.6;16;37;11;10
08/12/2014;0.6;15;32;14;11
09/12/2014;0.6;28;42;19;10
10/12/2014;0.8;59;54;34;25
11/12/2014;0.8;49;47;35;19
12/12/2014;0.4;23;39;22;11
13/12/2014;0.4;6;26;12;9
14/12/2014;0.5;20;39;12;20
15/12/2014;0.7;45;49;23;21
16/12/2014;0.5;41;48;15;14
17/12/2014;0.6;52;47;24;18
18/12/2014;0.6;44;41;31;22
19/12/2014;0.8;64;41;40;19
20/12/2014;0.7;40;31;33;15
21/12/2014;1.1;76;50;40;28
