Fecha;BEN;CO;EBN;NO;NO2;NOX;OXL;PM10;PM25;TOL
16/04/2015;;0.19;;3;32;22;;24;9;
15/04/2015;0.16;0.22;0.2;4;42;24;0.53;20;7;0.84
14/04/2015;0.41;0.42;1.1;13;95;54;4.41;30;10;2.82
13/04/2015;0.37;0.31;0.62;10;93;53;2.35;40;11;2.66
12/04/2015;0.33;0.29;0.32;8;46;34;0.9;23;10;1.49
11/04/2015;0.32;0.26;0.23;7;45;34;0.75;14;10;0.62
10/04/2015;0.3;0.24;0.24;5;62;33;0.71;18;7;0.86
09/04/2015;0.26;0.21;0.11;4;45;25;0.33;16;7;0.57
08/04/2015;0.25;0.19;0.1;4;24;20;0.26;17;8;0.53
07/04/2015;0.57;0.37;0.65;30;78;83;2.47;21;10;3.13
06/04/2015;0.32;0.31;0.27;9;48;42;0.84;12;7;1.21
05/04/2015;0.16;0.21;0.07;8;33;27;0.2;6;;0.27
04/04/2015;0.15;0.19;0.09;5;30;22;0.21;7;;0.27
03/04/2015;0.34;0.28;0.41;11;40;41;1.2;18;8;1.81
02/04/2015;0.35;0.29;0.55;12;50;50;2.01;16;5;1.58
01/04/2015;0.27;0.24;0.15;9;44;39;0.4;20;5;0.58
31/03/2015;0.32;0.31;0.3;10;48;41;0.82;17;8;1.67
30/03/2015;0.53;0.51;0.52;30;79;89;1.36;24;9;2.64
29/03/2015;0.29;0.25;0.34;5;56;30;1.12;11;6;1.11
28/03/2015;0.22;0.24;0.19;8;53;35;0.53;13;8;0.72
27/03/2015;0.22;0.22;0.18;6;54;32;0.53;5;2;0.73
26/03/2015;0.3;0.22;0.52;5;54;33;1.55;7;3;1.05
25/03/2015;0.3;0.22;0.14;8;60;40;0.39;6;2;0.47
24/03/2015;0.51;0.41;0.3;12;69;61;1.06;6;;1.06
23/03/2015;0.69;0.57;0.91;33;106;106;3.44;10;;3.24
22/03/2015;0.4;0.34;0.13;7;43;35;0.3;11;6;0.45
21/03/2015;0.63;0.38;0.18;10;44;44;0.41;10;;0.64
20/03/2015;0.63;0.4;0.16;11;50;46;0.38;24;17;0.69
19/03/2015;0.36;0.29;0.32;7;42;38;1.3;14;8;0.81
18/03/2015;;0.29;;17;83;;;;;
17/03/2015;;0.4;;25;101;;;;;
16/03/2015;0.52;0.33;0.33;8;83;51;1.05;25;;1.2
15/03/2015;0.41;0.28;0.22;3;36;23;0.84;19;14;0.51
14/03/2015;0.31;0.25;0.19;3;27;19;0.7;7;4;0.37
13/03/2015;0.27;0.27;0.11;4;41;22;0.36;31;7;0.41
12/03/2015;0.62;0.43;0.64;21;98;72;2.31;44;26;2.27
11/03/2015;1.12;0.68;1.25;42;89;114;1.73;51;26;6.26
10/03/2015;1.19;0.56;1.04;46;99;137;1.6;34;15;6.22
