Fecha;NO;NO2;O3
25/03/2015;3;14;61
26/03/2015;4;16;38
27/03/2015;4;12;39
28/03/2015;7;12;38
29/03/2015;2;9;51
30/03/2015;4;11;57
31/03/2015;9;19;53
01/04/2015;6;14;61
02/04/2015;2;11;62
03/04/2015;2;10;48
04/04/2015;2;4;71
05/04/2015;3;5;67
06/04/2015;6;13;63
07/04/2015;6;17;64
08/04/2015;7;18;66
09/04/2015;10;24;42
10/04/2015;7;16;46
11/04/2015;6;15;49
12/04/2015;5;10;61
13/04/2015;7;18;64
14/04/2015;6;22;55
15/04/2015;5;13;62
16/04/2015;6;10;62
17/04/2015;7;19;53
18/04/2015;5;8;60
19/04/2015;5;9;64
20/04/2015;16;18;56
21/04/2015;8;22;57
22/04/2015;9;28;39
23/04/2015;9;16;45
24/04/2015;10;14;50
25/04/2015;5;4;62
26/04/2015;5;3;68
27/04/2015;6;6;67
28/04/2015;5;5;69
29/04/2015;6;10;60
30/04/2015;8;9;51
01/05/2015;5;3;45
02/05/2015;6;4;36
03/05/2015;6;6;40
04/05/2015;9;8;46
05/05/2015;5;4;82
06/05/2015;6;10;70
07/05/2015;9;18;57
08/05/2015;5;6;71
09/05/2015;5;13;61
10/05/2015;5;12;69
11/05/2015;11;21;63
12/05/2015;8;20;65
13/05/2015;8;18;56
14/05/2015;5;8;76
15/05/2015;4;1;77
16/05/2015;5;3;70
17/05/2015;4;5;67
18/05/2015;8;13;66
19/05/2015;4;2;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
20/05/2015;7;8;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
21/05/2015;4;4;82
22/05/2015;4;6;87
23/05/2015;4;6;78
24/05/2015;4;5;63
25/05/2015;5;4;68
26/05/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;68
27/05/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;84
28/05/2015;3;19;81
29/05/2015;1;12;87
30/05/2015;1;10;78
31/05/2015;1;6;71
01/06/2015;3;14;63
02/06/2015;3;18;67
03/06/2015;3;25;70
04/06/2015;3;22;72
05/06/2015;2;15;90
06/06/2015;1;13;81
07/06/2015;2;11;87
08/06/2015;2;13;98
09/06/2015;1;12;98
10/06/2015;1;13;71
11/06/2015;2;20;61
12/06/2015;2;17;79
13/06/2015;1;10;87
14/06/2015;1;10;66
15/06/2015;2;14;60
16/06/2015;2;10;80
17/06/2015;1;11;85
18/06/2015;1;14;85
19/06/2015;2;12;57
