Fecha;SO2;NO;NO2;PM10;NOX;O3
09/05/2015;4;9;52;34;66;54
10/05/2015;4;8;42;23;55;55
11/05/2015;3;12;62;22;81;48
12/05/2015;3;18;67;27;94;52
13/05/2015;3;31;91;39;138;39
14/05/2015;4;55;67;81;151;50
15/05/2015;4;8;28;35;40;73
16/05/2015;3;7;37;21;48;70
17/05/2015;4;6;36;21;45;56
18/05/2015;3;18;48;;75;50
19/05/2015;3;7;38;23;49;53
20/05/2015;3;8;41;16;53;60
21/05/2015;3;7;42;16;52;65
22/05/2015;4;7;45;17;56;61
23/05/2015;3;5;39;23;46;67
24/05/2015;3;7;45;22;56;63
25/05/2015;;;;23;;
26/05/2015;3;11;33;21;49;51
27/05/2015;3;8;34;23;47;57
28/05/2015;3;7;30;28;41;66
29/05/2015;3;8;36;28;49;63
30/05/2015;4;5;26;21;34;66
31/05/2015;3;4;23;20;29;64
01/06/2015;4;6;26;;35;66
02/06/2015;4;8;29;23;40;65
03/06/2015;4;16;44;25;69;55
04/06/2015;4;14;49;;70;48
05/06/2015;4;12;47;26;65;50
06/06/2015;4;8;44;28;55;47
07/06/2015;4;4;33;;40;54
08/06/2015;4;10;45;29;60;63
09/06/2015;4;14;44;;64;67
10/06/2015;3;5;27;24;35;77
11/06/2015;3;6;33;;42;59
12/06/2015;3;6;29;29;37;63
13/06/2015;4;3;25;;30;58
14/06/2015;3;3;16;19;20;67
15/06/2015;3;8;34;28;45;56
16/06/2015;3;9;38;21;51;55
17/06/2015;4;14;39;;59;49
18/06/2015;4;13;38;26;58;55
19/06/2015;3;10;40;30;56;61
20/06/2015;3;6;28;;37;56
21/06/2015;3;4;23;25;30;62
22/06/2015;4;10;38;29;53;55
23/06/2015;4;7;38;28;48;68
24/06/2015;4;6;28;21;37;67
25/06/2015;3;12;35;;52;61
26/06/2015;3;11;42;;59;61
27/06/2015;4;9;43;37;57;58
28/06/2015;3;4;28;;34;66
29/06/2015;3;6;29;;37;71
30/06/2015;3;13;43;31;63;60
01/07/2015;3;9;34;34;47;53
02/07/2015;3;6;31;45;40;61
03/07/2015;3;5;25;40;33;68
04/07/2015;4;5;28;34;35;73
05/07/2015;4;3;26;34;31;72
06/07/2015;4;17;51;45;77;51
07/07/2015;3;17;50;62;76;51
08/07/2015;3;6;34;43;43;58
09/07/2015;3;5;22;46;29;56
10/07/2015;3;8;28;51;41;54
11/07/2015;3;3;19;33;23;56
12/07/2015;3;3;21;30;26;58
13/07/2015;3;12;32;;50;44
14/07/2015;3;10;25;;40;49
15/07/2015;3;8;29;;42;57
16/07/2015;3;6;33;;41;64
17/07/2015;3;10;38;;53;52
18/07/2015;3;4;24;;29;53
19/07/2015;4;4;23;;29;45
20/07/2015;3;11;27;;44;42
21/07/2015;3;9;25;;39;44
22/07/2015;4;6;32;;40;55
23/07/2015;3;8;33;;45;43
24/07/2015;3;6;35;;44;50
25/07/2015;3;4;17;;22;57
26/07/2015;3;3;16;;21;45
27/07/2015;3;12;29;;47;39
28/07/2015;3;6;20;;28;
29/07/2015;3;8;23;35;35;
30/07/2015;3;6;24;;34;
31/07/2015;4;6;25;31;33;44
01/08/2015;4;4;20;23;26;74
02/08/2015;3;3;19;23;24;71
03/08/2015;3;7;26;29;36;59
04/08/2015;3;9;31;32;44;54
05/08/2015;3;6;26;33;35;56
06/08/2015;3;9;28;30;41;46
07/08/2015;3;5;29;;36;42
08/08/2015;3;4;26;;32;41
09/08/2015;3;4;17;32;23;47
10/08/2015;4;7;26;;36;58
11/08/2015;4;5;26;32;34;48
12/08/2015;3;5;22;17;30;47
13/08/2015;3;5;26;22;34;54
14/08/2015;5;9;30;18;43;52
15/08/2015;4;3;17;20;22;54
16/08/2015;3;4;19;18;25;50
17/08/2015;4;6;27;24;37;49
18/08/2015;4;4;20;23;25;57
19/08/2015;4;4;19;;26;60
20/08/2015;3;5;23;;30;57
21/08/2015;3;7;25;24;35;58
22/08/2015;3;4;21;18;27;57
23/08/2015;3;3;16;17;21;41
24/08/2015;4;3;18;;24;52
25/08/2015;3;5;25;21;32;54
26/08/2015;3;4;22;24;28;55
27/08/2015;3;7;23;;33;49
28/08/2015;3;8;28;;41;46
29/08/2015;3;5;21;;28;47
30/08/2015;3;4;20;;26;47
31/08/2015;3;6;27;;37;33
