Fecha;Hora;SO2;NO;NO2;PM10;dd;vv;TMP;O3
04/06/2015;6:00:00;;-0.1;20;;213;1.2;18.1;43
04/06/2015;7:00:00;;1.0;13;;247;0.4;18.5;43
04/06/2015;8:00:00;0;0.7;8;;263;1.2;23.9;72
04/06/2015;9:00:00;0;-0.1;2;;304;2.3;26.5;90
04/06/2015;10:00:00;0;-0.1;0;;304;2.7;27.7;95
04/06/2015;11:00:00;0;-0.1;1;;316;2.9;29.2;93
04/06/2015;12:00:00;0;-0.1;0;;315;3.1;29.6;98
04/06/2015;13:00:00;0;-0.1;0;;108;3.3;29.9;96
04/06/2015;14:00:00;0;-0.1;0;;65;3.4;30.0;95
04/06/2015;15:00:00;0;0.2;0;;143;3.1;30.4;95
04/06/2015;16:00:00;0;-0.1;0;;175;3.5;29.7;96
04/06/2015;17:00:00;0;-0.1;0;;63;3.0;28.9;99
04/06/2015;18:00:00;0;-0.1;0;;60;2.5;28.2;101
04/06/2015;19:00:00;0;-0.1;0;;61;2.4;27.2;106
04/06/2015;20:00:00;1;-0.1;1;;61;2.0;25.6;107
04/06/2015;21:00:00;0;-0.1;2;;52;0.6;23.4;99
04/06/2015;22:00:00;0;-0.1;6;;163;0.6;21.7;84
04/06/2015;23:00:00;0;-0.1;3;;260;0.3;21.4;84
04/06/2015;0:00:00;0;-0.1;4;;294;0.5;20.6;76
05/06/2015;1:00:00;0;-0.1;2;;263;0.5;20.6;81
05/06/2015;2:00:00;0;-0.1;2;;292;0.3;20.1;76
05/06/2015;3:00:00;0;-0.1;7;;319;0.2;18.2;56
05/06/2015;4:00:00;0;-0.1;9;;316;0.6;17.6;54
05/06/2015;5:00:00;0;-0.1;15;;229;0.4;16.3;36
05/06/2015;6:00:00;0;1.4;16;;243;0.2;15.3;27
05/06/2015;7:00:00;0;11.8;36;;224;0.4;18.7;25
05/06/2015;8:00:00;0;0.1;6;;248;0.2;23.8;73
05/06/2015;9:00:00;0;-0.1;2;;308;0.9;26.5;86
