Fecha;SO2;NO;NO2
31/03/2015;2;8;22
01/04/2015;1;4;20
02/04/2015;2;5;22
03/04/2015;1;2;14
04/04/2015;1;2;13
05/04/2015;1;2;10
06/04/2015;1;1;12
07/04/2015;1;5;20
08/04/2015;2;4;26
09/04/2015;1;4;20
10/04/2015;1;4;22
11/04/2015;1;2;15
12/04/2015;1;2;15
13/04/2015;2;7;39
14/04/2015;3;7;43
15/04/2015;1;3;19
16/04/2015;1;5;26
17/04/2015;2;8;27
18/04/2015;1;4;20
19/04/2015;2;2;11
20/04/2015;1;8;23
21/04/2015;1;6;26
22/04/2015;1;6;35
23/04/2015;2;5;28
24/04/2015;1;4;27
25/04/2015;1;2;18
26/04/2015;1;2;12
27/04/2015;4;4;18
28/04/2015;4;5;24
29/04/2015;1;6;25
30/04/2015;1;4;19
01/05/2015;1;2;17
02/05/2015;1;3;21
03/05/2015;1;3;29
04/05/2015;1;2;21
05/05/2015;2;6;24
06/05/2015;2;4;21
07/05/2015;1;3;17
08/05/2015;2;6;22
09/05/2015;1;2;16
10/05/2015;1;2;15
11/05/2015;1;5;25
12/05/2015;1;4;22
13/05/2015;1;5;29
14/05/2015;2;7;33
15/05/2015;7;4;24
16/05/2015;4;2;17
17/05/2015;3;2;15
18/05/2015;1;5;25
19/05/2015;1;4;19
20/05/2015;2;4;12
21/05/2015;2;4;16
22/05/2015;1;3;15
23/05/2015;1;2;10
24/05/2015;1;1;8
25/05/2015;2;4;18
26/05/2015;2;3;12
27/05/2015;2;2;13
28/05/2015;1;7;16
29/05/2015;1;2;19
30/05/2015;2;1;10
31/05/2015;1;1;10
01/06/2015;2;3;18
02/06/2015;1;3;14
03/06/2015;2;3;21
04/06/2015;3;4;26
05/06/2015;2;4;24
06/06/2015;3;2;17
07/06/2015;3;2;17
08/06/2015;2;2;19
09/06/2015;1;2;14
10/06/2015;1;2;13
11/06/2015;1;2;13
12/06/2015;1;2;16
13/06/2015;1;8;14
14/06/2015;1;2;15
15/06/2015;1;3;16
16/06/2015;1;6;22
17/06/2015;2;5;21
18/06/2015;2;3;20
19/06/2015;2;4;20
20/06/2015;2;2;17
21/06/2015;1;2;16
22/06/2015;1;4;18
23/06/2015;2;3;20
24/06/2015;2;2;14
25/06/2015;1;4;18
26/06/2015;1;3;20
27/06/2015;2;2;16
28/06/2015;1;1;11
29/06/2015;1;3;21
30/06/2015;1;3;22
01/07/2015;1;3;16
02/07/2015;1;3;19
03/07/2015;1;3;18
04/07/2015;2;2;20
05/07/2015;2;2;17
06/07/2015;1;3;22
07/07/2015;1;4;25
08/07/2015;1;3;14
09/07/2015;2;4;17
10/07/2015;1;4;18
11/07/2015;1;2;10
12/07/2015;1;2;15
13/07/2015;1;3;19
14/07/2015;1;5;19
15/07/2015;1;4;17
16/07/2015;2;4;19
17/07/2015;1;3;14
18/07/2015;1;2;11
19/07/2015;1;2;13
20/07/2015;1;3;13
21/07/2015;1;4;13
22/07/2015;1;2;15
23/07/2015;2;3;16
24/07/2015;1;3;15
25/07/2015;1;2;10
26/07/2015;1;5;12
27/07/2015;1;3;10
28/07/2015;1;3;13
29/07/2015;1;3;15
30/07/2015;1;2;10
31/07/2015;1;3;17
01/08/2015;1;2;13
02/08/2015;1;2;18
03/08/2015;1;5;21
04/08/2015;1;4;16
05/08/2015;1;3;17
06/08/2015;1;3;15
07/08/2015;1;3;13
08/08/2015;1;3;13
09/08/2015;1;2;9
10/08/2015;2;4;17
11/08/2015;1;3;14
12/08/2015;1;3;13
13/08/2015;3;4;18
14/08/2015;2;2;11
15/08/2015;2;2;10
16/08/2015;2;3;12
17/08/2015;1;3;10
18/08/2015;1;4;16
19/08/2015;1;4;15
20/08/2015;1;4;14
21/08/2015;1;6;17
22/08/2015;1;6;15
