Fecha;PM25;SO2;CO;NO;NO2;PM10;NOX;O3
26/06/2015;8;7;0.1;;;33;;74
27/06/2015;8;9;0.1;;;37;;84
28/06/2015;9;6;0.2;;;32;;86
29/06/2015;8;6;0.1;;;29;;83
30/06/2015;7;7;0.1;;;27;;84
01/07/2015;9;7;0.1;;;33;;75
02/07/2015;6;5;0.1;;;30;;82
03/07/2015;4;4;0.1;;;30;;84
04/07/2015;8;6;0.1;;;25;;95
05/07/2015;14;7;0.1;;;27;;88
06/07/2015;14;7;0.2;;;35;;77
07/07/2015;17;10;0.1;;;45;;78
08/07/2015;13;5;0.1;;;42;;80
09/07/2015;4;3;0.2;3;11;46;14;56
10/07/2015;5;3;0.2;3;11;46;15;54
11/07/2015;4;3;0.1;2;6;38;7;68
12/07/2015;2;3;0.1;2;9;29;12;68
13/07/2015;7;4;0.1;5;15;36;22;63
14/07/2015;7;4;0.1;7;16;31;25;55
15/07/2015;4;4;0.2;4;14;25;19;66
16/07/2015;5;5;0.2;4;17;22;23;79
17/07/2015;7;5;0.2;5;22;27;30;73
18/07/2015;4;4;0.2;2;12;19;15;68
19/07/2015;7;5;0.2;6;18;24;27;56
20/07/2015;10;3;0.2;3;12;26;16;55
21/07/2015;13;3;0.2;4;13;29;18;52
22/07/2015;5;4;0.1;3;12;20;16;81
23/07/2015;4;4;0.2;3;12;18;16;64
24/07/2015;9;5;0.2;5;21;27;29;65
25/07/2015;3;4;0.3;3;11;21;15;61
26/07/2015;3;3;0.3;3;9;27;12;46
27/07/2015;9;4;0.1;12;21;30;38;53
28/07/2015;7;3;0.2;3;9;23;13;55
29/07/2015;7;3;0.1;3;9;27;12;50
30/07/2015;1;3;0.1;2;6;17;8;50
31/07/2015;5;3;0.1;2;9;15;12;58
01/08/2015;3;3;0.1;3;9;12;13;68
02/08/2015;5;3;0.1;3;7;16;11;69
03/08/2015;8;3;0.1;6;12;25;21;53
04/08/2015;6;4;0.1;4;11;20;17;66
05/08/2015;7;4;0.1;4;10;18;15;70
06/08/2015;9;3;0.1;3;7;23;12;54
07/08/2015;13;3;0.1;6;13;33;21;43
08/08/2015;10;3;0.2;2;7;32;10;39
09/08/2015;4;3;0.1;2;5;17;8;37
10/08/2015;8;5;0.1;6;11;20;19;58
11/08/2015;8;4;0.1;5;13;26;21;47
12/08/2015;8;3;0.2;3;5;28;9;50
13/08/2015;11;;0.1;5;12;26;20;37
14/08/2015;7;4;0.1;4;9;12;15;62
15/08/2015;5;3;0.1;3;6;8;9;46
16/08/2015;4;3;0.1;3;5;8;8;60
17/08/2015;4;3;0.1;3;6;14;9;51
18/08/2015;3;3;0.1;2;4;10;7;55
19/08/2015;4;3;0.1;3;8;11;11;59
20/08/2015;4;3;0.2;4;9;15;14;53
21/08/2015;4;3;0.2;5;10;16;16;53
22/08/2015;5;3;0.2;2;7;13;10;59
23/08/2015;5;3;0.1;2;6;12;9;52
24/08/2015;6;3;0.1;3;6;11;10;68
25/08/2015;3;3;0.2;3;8;;12;63
26/08/2015;5;3;0.1;3;8;;12;61
27/08/2015;4;3;0.1;4;10;;16;55
28/08/2015;3;3;0.1;;;;;51
29/08/2015;;3;0.1;;;15;;61
30/08/2015;;3;0.1;;;22;;58
31/08/2015;3;3;0.1;;;32;;47
