Fecha;CO;NO;NO2;O3;PM10;PM25;SO2
28/07/2015;0.7;2;11;85;;;5
29/07/2015;0.8;2;10;82;;;5
30/07/2015;0.8;2;10;71;;;5
31/07/2015;0.9;2;10;76;;;5
01/08/2015;0.9;2;8;96;;;5
02/08/2015;1;2;7;99;;;5
03/08/2015;1;3;11;83;;;5
04/08/2015;0.9;2;10;96;;;5
05/08/2015;;2;9;95;;;5
06/08/2015;;3;11;77;;;5
07/08/2015;;2;10;78;;;5
08/08/2015;;2;10;52;;;6
09/08/2015;;2;9;72;;;6
10/08/2015;;3;11;71;;;4
11/08/2015;;2;10;73;;;3
12/08/2015;;2;9;74;;;3
13/08/2015;;2;9;80;;;3
14/08/2015;;3;10;69;;;3
15/08/2015;;2;7;72;;;3
16/08/2015;;3;8;67;;;3
17/08/2015;;3;11;70;;;3
18/08/2015;0.5;2;10;61;;;4
19/08/2015;0.4;2;11;73;;;4
20/08/2015;0.5;3;10;82;;;4
21/08/2015;;2;9;77;;;4
22/08/2015;;2;9;69;;;4
23/08/2015;;2;8;66;;;4
24/08/2015;;3;10;73;;;4
25/08/2015;;4;9;72;;;4
26/08/2015;0.3;3;9;82;;;4
27/08/2015;0.2;3;10;87;;;4
28/08/2015;0.2;5;12;81;;;4
29/08/2015;0.2;2;8;87;;;4
30/08/2015;;2;6;85;;;4
31/08/2015;;3;7;78;;;4
01/09/2015;;4;8;74;;;4
02/09/2015;;4;9;83;;;4
03/09/2015;;3;8;85;;;4
04/09/2015;;3;11;69;;;5
05/09/2015;;3;7;70;;;5
06/09/2015;0.4;3;5;76;;;5
07/09/2015;0.2;3;8;62;;;5
08/09/2015;0.3;4;9;63;;;5
09/09/2015;0.3;3;8;83;;;5
10/09/2015;0.3;4;10;71;;;5
11/09/2015;0.4;3;7;87;;;5
12/09/2015;0.3;3;6;84;;;5
13/09/2015;0.2;3;6;76;;;5
14/09/2015;0.4;7;11;66;;;5
15/09/2015;0.3;9;10;72;;;5
16/09/2015;0.2;8;7;71;;;5
17/09/2015;0.3;8;9;73;;;5
18/09/2015;0.2;12;12;59;;;5
19/09/2015;0.2;9;11;63;;;5
20/09/2015;0.2;9;12;61;;;5
21/09/2015;0.2;11;16;67;;;5
22/09/2015;0.3;12;15;69;;;5
23/09/2015;0.2;9;11;61;;;5
24/09/2015;0.3;10;15;51;;;5
25/09/2015;0.2;11;16;54;;;5
26/09/2015;0.3;9;14;57;;;5
27/09/2015;0.3;9;13;56;;;5
28/09/2015;0.5;9;11;51;;;4
29/09/2015;0.2;6;9;63;;;4
30/09/2015;0.3;4;11;71;;;6
01/10/2015;0.2;4;13;54;;;4
02/10/2015;0.3;4;11;61;;;4
03/10/2015;0.3;3;11;57;;;4
04/10/2015;0.2;4;7;40;;;4
05/10/2015;0.2;3;6;62;;;4
06/10/2015;0.1;4;10;60;;;4
07/10/2015;0.2;7;11;51;;;4
08/10/2015;0.3;5;12;53;;;4
09/10/2015;0.3;6;13;47;;;4
10/10/2015;0.3;4;11;55;;;4
11/10/2015;0.2;4;9;45;;;4
12/10/2015;0.3;6;9;41;;;4
13/10/2015;0.2;8;11;38;;;5
14/10/2015;0.3;4;13;62;;;4
15/10/2015;0.4;9;18;39;;;4
16/10/2015;0.3;9;14;42;;;4
17/10/2015;0.4;3;9;66;;;4
18/10/2015;0.3;3;7;;;;4
19/10/2015;0.4;4;12;;;;4
20/10/2015;0.3;5;11;46;;;4
21/10/2015;0.3;4;10;66;;;3
22/10/2015;0.4;9;13;38;;;5
23/10/2015;0.3;10;15;26;;;4
24/10/2015;0.3;7;13;37;;;4
25/10/2015;0.6;4;10;42;;;4
26/10/2015;0.4;4;9;63;;;4
