Fecha;NO;NO2;O3;PM10;SO2
07/08/2014;2;13;34;16;1
08/08/2014;2;11;42;14;2
09/08/2014;1;7;44;14;2
10/08/2014;1;8;48;15;1
11/08/2014;1;8;46;15;2
12/08/2014;2;8;41;13;2
13/08/2014;1;5;56;13;1
14/08/2014;2;11;54;17;2
15/08/2014;1;10;56;16;2
16/08/2014;1;8;50;22;1
17/08/2014;1;8;48;21;2
18/08/2014;1;7;55;27;2
19/08/2014;1;11;62;23;1
20/08/2014;1;9;54;20;1
21/08/2014;1;12;46;21;2
22/08/2014;1;12;44;18;2
23/08/2014;1;15;44;17;1
24/08/2014;1;15;46;17;1
25/08/2014;1;14;48;17;2
26/08/2014;1;9;30;20;1
27/08/2014;1;10;29;25;1
28/08/2014;1;11;37;20;1
29/08/2014;1;9;44;16;1
30/08/2014;1;11;42;20;1
31/08/2014;1;12;44;22;1
01/09/2014;1;15;62;19;2
02/09/2014;1;15;78;32;1
03/09/2014;1;16;75;28;1
04/09/2014;1;13;67;23;2
05/09/2014;1;18;61;16;1
06/09/2014;1;14;53;14;3
07/09/2014;1;13;57;14;1
08/09/2014;2;22;50;12;1
09/09/2014;1;16;63;11;1
10/09/2014;4;18;61;13;1
11/09/2014;2;11;53;11;1
12/09/2014;2;14;45;11;1
13/09/2014;1;11;49;13;2
14/09/2014;1;13;44;12;3
15/09/2014;3;14;43;12;2
16/09/2014;1;6;61;18;1
17/09/2014;1;6;51;13;1
18/09/2014;1;6;54;14;1
19/09/2014;1;8;48;11;1
20/09/2014;1;13;44;13;1
21/09/2014;2;11;47;10;1
22/09/2014;1;9;53;9;1
23/09/2014;3;17;39;12;1
24/09/2014;2;11;45;16;1
25/09/2014;5;18;49;31;2
26/09/2014;4;24;48;21;1
27/09/2014;1;13;56;20;2
28/09/2014;1;8;56;18;2
29/09/2014;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;35;14;2
30/09/2014;10;10;42;13;2
01/10/2014;4;16;52;19;2
02/10/2014;3;11;54;27;2
03/10/2014;4;16;51;23;2
04/10/2014;5;12;56;17;2
05/10/2014;3;9;50;16;2
06/10/2014;8;11;39;12;2
07/10/2014;9;13;38;12;1
08/10/2014;3;5;40;13;1
09/10/2014;4;10;30;12;2
10/10/2014;5;16;37;12;2
11/10/2014;3;7;47;12;2
12/10/2014;3;5;62;10;2
13/10/2014;3;4;56;8;2
14/10/2014;4;9;56;10;2
15/10/2014;3;9;35;11;2
16/10/2014;3;5;43;11;2
17/10/2014;3;6;47;13;2
18/10/2014;3;7;55;28;2
19/10/2014;3;14;50;31;2
20/10/2014;6;19;39;47;2
21/10/2014;9;15;40;46;2
22/10/2014;4;13;47;31;2
23/10/2014;10;25;38;21;3
24/10/2014;15;20;31;29;2
25/10/2014;7;23;31;25;2
26/10/2014;5;23;31;26;2
27/10/2014;6;20;35;26;2
28/10/2014;4;22;35;27;2
29/10/2014;3;17;47;31;2
30/10/2014;6;23;32;29;2
