Fecha;vv;dd;TMP;HR;PRB;RS;LL;SO2;CO;NO;NO2;PM10;NOX;O3
23/03/2015;1.4;54;14.3;93;1012;95;2.2;3;;2;7;30;9;80
24/03/2015;0.7;166;14.4;;1010;156;4.3;3;;2;12;21;14;62
25/03/2015;1.7;302;12.2;66;1011;106;1.6;3;;2;17;6;19;69
26/03/2015;2.6;315;13.1;44;1015;242;0;3;;4;18;8;24;73
27/03/2015;1.8;317;19;53;1018;252;0;3;;7;13;10;23;54
28/03/2015;1.2;355;20.2;52;1019;260;0;3;;6;13;10;20;58
29/03/2015;1.6;344;19.9;51;1019;244;0;3;;4;12;17;17;66
30/03/2015;1.3;308;24.2;37;1019;201;0;3;0.2;3;22;14;26;62
31/03/2015;0.8;6;23.5;38;1019;240;0;3;0.1;7;17;16;27;70
01/04/2015;1.5;59;18;59;1020;246;0;3;0.1;4;12;16;18;74
02/04/2015;0.9;112;16;75;1020;246;0;3;0.1;3;21;24;25;67
03/04/2015;0.6;204;15.7;80;1017;228;0;3;0.2;4;20;27;26;57
04/04/2015;1.5;39;15.6;79;1015;205;0;3;0.2;5;18;19;25;58
05/04/2015;1.3;133;16;75;1014;254;0;4;0.2;5;8;14;15;69
06/04/2015;3;61;15.5;67;1017;181;0;4;0.3;3;6;15;10;88
07/04/2015;3.7;55;14.9;59;1020;109;0;3;0.3;8;9;19;20;94
08/04/2015;4.9;66;14.6;59;1021;222;0;4;0.3;;;20;;106
09/04/2015;3;54;15.2;61;1020;184;0;4;0.3;7;6;20;15;102
10/04/2015;1.1;328;15.1;68;1019;218;0;3;0.4;8;18;23;29;84
11/04/2015;0.7;272;15.4;72;1019;97;0;3;0.4;7;16;28;26;80
12/04/2015;2.7;49;16.6;67;1020;148;0.2;3;0.4;9;7;27;20;90
13/04/2015;3.6;55;19.1;44;1020;176;0;3;;;;35;;107
14/04/2015;3.2;41;19.3;40;1019;223;0;3;;3;27;49;30;86
15/04/2015;1.8;81;17.8;67;1016;75;0.6;4;;3;10;34;13;86
16/04/2015;0.9;137;18.5;76;1016;241;0;3;;5;22;26;28;57
17/04/2015;1.2;348;20.1;57;1016;244;0;3;;4;18;19;24;77
18/04/2015;0.9;69;18.2;66;1015;248;0;3;0.1;6;21;19;29;70
19/04/2015;1.4;314;19.2;50;1015;236;0;3;0.2;10;11;12;24;84
20/04/2015;1.3;44;17.7;63;1018;265;0;4;0.2;;;14;;82
21/04/2015;2.5;46;17.1;68;1019;207;0.4;4;;6;13;14;22;86
22/04/2015;1.1;48;17.6;71;1018;205;0;4;;4;13;17;19;85
23/04/2015;0.8;193;18.1;78;1017;243;0;4;;8;20;32;31;72
24/04/2015;0.7;91;17.1;87;1016;211;0;3;;5;10;34;18;80
25/04/2015;1;171;20.5;68;1015;203;0;3;;4;15;40;20;78
26/04/2015;1.5;257;20.2;68;1013;211;5.2;4;;3;16;18;20;61
27/04/2015;2.5;279;20.1;43;1014;218;0;3;;5;11;8;18;80
28/04/2015;1.4;14;19.5;53;1017;259;0;3;0.1;7;10;12;20;78
29/04/2015;1.2;61;19.3;71;1017;255;0;4;0.1;5;16;25;22;68
30/04/2015;1.1;82;18.8;81;1017;249;0;3;0.1;6;13;23;22;81
01/05/2015;0.9;216;22.6;63;1016;249;0;3;0.1;4;17;28;24;80
02/05/2015;0.9;110;24.4;48;1015;281;0;3;0.1;4;11;22;16;79
03/05/2015;0.9;89;24;57;1014;252;0;3;0.1;10;13;24;28;77
04/05/2015;0.6;127;22.7;66;1012;171;0;4;0.1;8;15;28;27;68
05/05/2015;0.9;307;23.9;57;1014;216;0;4;0.1;10;10;29;23;61
06/05/2015;2;339;23.2;46;1016;293;0;3;0.1;9;18;25;30;87
07/05/2015;1.4;41;21.2;63;1017;297;0;3;0.1;4;26;21;31;83
08/05/2015;1.1;247;24.2;49;1017;302;0;3;;8;23;30;35;77
09/05/2015;1.9;43;23.6;58;1019;296;0;3;;2;6;26;8;78
10/05/2015;1.5;55;21.7;57;1019;292;0;4;;3;12;16;16;73
11/05/2015;2.2;28;22.8;44;1019;304;0;3;;5;15;17;22;92
12/05/2015;1;159;22.7;48;1019;307;0;3;;6;18;19;26;84
13/05/2015;0.7;104;22.7;56;1019;279;0;4;;7;13;25;22;70
14/05/2015;1.3;242;30.3;30;1015;275;0;4;;;;56;;77
15/05/2015;2;106;22.4;54;1016;305;0;6;;;;27;;90
16/05/2015;1.4;178;20.4;57;1019;309;0;4;;;;;;86
17/05/2015;1.2;144;20.8;56;1018;314;0;3;;;;13;;88
18/05/2015;1;65;21.2;58;1015;283;0;4;;;;15;;82
19/05/2015;2.1;76;21.4;70;1013;227;0.2;4;0.1;3;6;21;9;81
20/05/2015;1.5;75;19.2;65;1016;209;0;4;0.1;3;6;13;10;83
21/05/2015;1.3;51;18.8;57;1019;239;0;4;0.1;4;10;14;15;82
22/05/2015;1.4;56;18.7;61;1018;290;0;4;0.1;2;12;;15;83
23/05/2015;1.1;79;19;60;1016;316;0;4;0.1;4;10;;15;85
24/05/2015;1.2;38;19;58;1016;128;0;5;0.1;3;6;6;10;93
25/05/2015;1.6;21;21.6;46;1016;284;0;3;0.2;6;8;11;16;96
26/05/2015;1.4;180;22.6;51;1016;306;0;4;0.2;5;9;12;17;92
