Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
01/08/2015;14:00:00;22;4;2;2;73;317;0.4;30.8;0;0;29.1
01/08/2015;15:00:00;15;4;2;2;83;313;0.7;26.3;0;0;31
01/08/2015;16:00:00;19;4;2;2;91;334;0.4;25;0;0;31.4
01/08/2015;17:00:00;12;4;2;2;96;339;0.4;24;0;0;31.9
01/08/2015;18:00:00;10;4;2;2;98;181;1.3;23.8;0;0;32.3
01/08/2015;19:00:00;9;4;2;2;105;135;1.1;23.3;0;0;31.5
01/08/2015;20:00:00;12;4;2;2;101;100;0.9;21.3;0;0;31.6
01/08/2015;21:00:00;15;4;2;2;110;114;0.9;22.8;0;0;30.7
01/08/2015;22:00:00;14;3;2;2;105;111;0.7;26.5;0;0;28.9
01/08/2015;23:00:00;14;4;3;2;93;98;0.4;29;0;0;27.5
01/08/2015;0:00:00;18;4;9;2;79;30;0.2;29.3;0;0;26.6
02/08/2015;1:00:00;19;4;8;2;77;127;2;32.5;0;0;25.7
02/08/2015;2:00:00;23;3;4;2;49;138;1.6;56.5;0;0;24.8
02/08/2015;3:00:00;34;3;2;2;35;132;2.2;64.5;0;0;24
02/08/2015;4:00:00;27;3;3;2;32;133;1.1;68.8;0;0;22.7
02/08/2015;5:00:00;30;4;4;2;27;93;1.3;72.5;0;0;21.7
02/08/2015;6:00:00;23;3;5;2;23;86;1.4;75.3;0;0;21
02/08/2015;7:00:00;34;3;4;2;21;68;0.9;76.5;0;0;20.5
02/08/2015;8:00:00;27;3;5;2;20;65;0.9;77.3;0;0;20.2
02/08/2015;9:00:00;26;3;3;2;27;72;1.7;73;0;0;21.2
02/08/2015;10:00:00;34;3;2;2;34;82;1.7;68.5;0;0;22.2
02/08/2015;11:00:00;26;4;2;2;36;87;1.2;63.3;0;0;23.8
02/08/2015;12:00:00;30;3;2;2;41;92;1.1;57;0;0;25.6
02/08/2015;13:00:00;40;4;2;2;48;73;0.6;48;0;0;28.3
02/08/2015;14:00:00;30;3;2;2;60;140;0.5;36.5;0;0;31.4
02/08/2015;15:00:00;32;5;2;2;72;61;0.6;31.3;0;0;33.2
02/08/2015;16:00:00;20;4;2;2;84;325;0.7;25;0;0;34.4
02/08/2015;17:00:00;27;4;3;2;84;255;0.5;20.8;0;0;35.8
02/08/2015;18:00:00;28;4;2;2;88;243;0.7;21;0;0;35.8
02/08/2015;19:00:00;22;4;6;2;89;229;0.5;21.3;0;0;35.9
02/08/2015;20:00:00;25;4;3;2;88;287;0.4;21.3;0;0;35.7
02/08/2015;21:00:00;28;4;2;2;93;207;0.2;22;0;0;34.9
02/08/2015;22:00:00;29;4;2;2;90;112;0.2;24.8;0;0;33.2
02/08/2015;23:00:00;31;4;85;5;30;341;0.2;25.8;0;0;31.8
02/08/2015;0:00:00;52;5;111;16;5;324;0.2;27.3;0;0;30.3
03/08/2015;1:00:00;52;4;71;3;17;238;0.2;28.8;0;0;29
03/08/2015;2:00:00;43;4;13;2;54;84;0.6;34.5;0;0;27.9
03/08/2015;3:00:00;31;4;15;2;39;122;0.2;40.5;0;0;26.3
03/08/2015;4:00:00;34;4;4;2;37;113;0.3;52.3;0;0;25.9
03/08/2015;5:00:00;37;4;2;2;29;118;0.5;60.3;0;0;25.1
03/08/2015;6:00:00;32;4;3;2;26;87;0.4;64;0;0;24.3
03/08/2015;7:00:00;38;4;2;2;30;115;0.7;64.5;0;0;23.9
03/08/2015;8:00:00;28;4;5;2;28;67;0.6;64.5;0;0;23.6
03/08/2015;9:00:00;45;3;9;2;26;80;1;62.5;0;0;24.3
03/08/2015;10:00:00;45;3;5;2;30;78;1.1;57;0;0;25.6
03/08/2015;11:00:00;36;3;3;2;36;89;1.1;51;0;0;27.3
03/08/2015;12:00:00;40;4;3;2;42;94;0.7;43.3;0;0;30
03/08/2015;13:00:00;48;5;3;2;59;119;0.5;35;0;0;32.6
03/08/2015;14:00:00;39;5;6;2;63;182;0.4;27.3;0;0;35.4
03/08/2015;15:00:00;42;5;9;2;77;228;0.7;26.3;0;0;35.9
03/08/2015;16:00:00;53;5;6;2;84;271;0.8;26.5;0;0;36.1
03/08/2015;17:00:00;55;5;6;2;79;285;1.2;25.5;0;0;36.9
03/08/2015;18:00:00;51;4;7;2;73;253;1.5;26;0;0;37.1
03/08/2015;19:00:00;57;4;9;2;65;268;1.9;27.5;0;0;36.4
