Fecha;vv;dd;TMP;HR;PRB;RS;LL;PM25;SO2;NO;NO2;PM10;NOX;O3
05/04/2015;1.8;88;12.3;70;981;251;0;10;3;2;4;13;6;66
06/04/2015;1.2;113;10.7;78;985;29;0.7;9;3;2;4;12;6;76
07/04/2015;2.9;66;9.7;63;989;155;0;10;3;2;4;13;6;80
08/04/2015;3.9;72;9.9;60;990;240;0;6;3;2;4;9;6;97
09/04/2015;1.3;65;9.6;73;989;124;0.6;10;3;2;4;13;6;79
10/04/2015;1.2;82;11.2;62;987;228;0.1;12;3;2;4;17;6;80
11/04/2015;0.8;97;10.4;79;988;58;0.4;21;3;2;4;27;6;61
12/04/2015;2.2;94;12.7;;989;234;0;21;3;2;4;29;6;78
13/04/2015;1.5;89;13.7;58;990;209;0;12;3;2;4;20;6;93
14/04/2015;1.6;91;13.7;56;988;210;0;13;3;2;4;26;6;83
15/04/2015;1.3;110;12.5;65;984;99;0.2;20;3;2;4;31;6;68
16/04/2015;3.3;265;15.4;53;983;192;0;12;3;2;4;15;6;72
17/04/2015;2.9;220;17.1;54;983;245;0;6;3;2;4;10;6;77
18/04/2015;1.4;92;15.6;63;982;210;0;12;3;2;4;20;6;84
19/04/2015;4;278;15.2;44;982;229;0;2;3;2;4;6;6;86
20/04/2015;1.5;97;13.7;58;986;257;0;6;3;2;4;11;6;81
21/04/2015;2.3;82;13.6;67;987;219;0;8;3;2;4;13;6;76
22/04/2015;0.9;103;14.1;72;986;210;0.7;15;3;2;4;18;6;78
23/04/2015;1.5;114;16.9;55;984;249;0;11;3;2;4;18;6;81
24/04/2015;1;99;17.2;61;982;223;0;17;3;2;4;28;6;84
25/04/2015;4.2;275;18.9;47;981;127;0;7;3;2;4;11;6;77
26/04/2015;6.7;275;16.7;56;978;166;1.5;3;3;2;4;5;6;79
27/04/2015;7.3;274;16;46;979;228;0;1;3;2;4;2;6;86
28/04/2015;3.8;282;15.7;51;984;283;0;4;3;2;4;10;6;80
29/04/2015;1.7;94;15.4;62;984;225;0;9;3;2;4;18;6;77
30/04/2015;1.2;98;16.6;64;985;270;0;14;3;2;4;22;6;83
01/05/2015;3.9;264;21.1;42;983;193;0;6;3;2;4;11;6;74
02/05/2015;1.6;132;22.4;48;982;258;0;5;3;2;4;14;6;67
03/05/2015;2.4;273;23.8;41;980;203;0;5;3;2;4;13;6;70
04/05/2015;1.6;130;22;48;979;208;0;12;3;2;4;24;6;82
05/05/2015;5.8;262;21;38;981;163;0;4;3;2;4;11;6;79
06/05/2015;2.9;228;18.6;40;983;286;0;4;3;2;4;13;6;93
07/05/2015;1.5;86;17.2;58;984;271;0;9;3;2;4;19;6;90
08/05/2015;5.1;282;21.6;40;984;287;0;5;3;2;4;12;6;87
09/05/2015;1.6;108;21.1;43;987;277;0;5;3;2;4;15;6;87
10/05/2015;1.6;93;19.7;48;988;271;0;6;3;2;4;13;6;85
11/05/2015;1.4;84;19.4;48;987;279;0;7;3;2;4;20;6;92
12/05/2015;1.2;82;20.3;43;987;285;0;8;3;2;4;22;6;99
13/05/2015;0.7;100;24.5;42;986;251;0;13;3;2;4;36;6;111
14/05/2015;5.9;243;29.9;18;982;264;0;17;3;2;4;64;6;87
15/05/2015;4.5;291;20;36;984;294;0;5;3;2;4;18;6;89
16/05/2015;2.5;175;18.7;34;987;296;0;3;3;2;4;13;6;96
17/05/2015;1.5;91;18.5;42;986;294;0;4;3;2;4;12;6;92
18/05/2015;1.2;98;19.4;46;982;290;0;5;3;2;4;15;6;94
19/05/2015;1.4;106;15.5;75;981;62;14.5;9;3;2;4;15;6;66
20/05/2015;1.8;136;14.7;55;984;292;0;5;3;2;4;6;6;78
21/05/2015;1.9;156;15.1;48;987;300;0;3;3;2;4;5;6;85
22/05/2015;1.7;144;15.1;50;986;284;0;4;3;2;4;9;6;87
23/05/2015;1.4;120;16.5;53;983;250;0;5;3;2;4;11;6;85
24/05/2015;1.7;93;16.9;48;983;242;0;4;3;2;4;8;6;87
25/05/2015;1;114;18.6;48;984;179;0;7;3;2;4;13;6;86
26/05/2015;1.9;147;19.5;44;983;299;0;4;3;2;4;9;6;77
27/05/2015;1.7;88;17.7;57;984;254;0;7;3;;;12;;80
28/05/2015;1.6;89;18;61;985;289;0;9;3;;;13;;89
29/05/2015;1.5;99;18.4;52;983;260;0.1;6;3;;;11;;92
30/05/2015;1.7;102;18;67;984;241;3.2;7;3;;;9;;81
31/05/2015;1.4;89;18.3;71;984;209;1.6;9;3;;;10;;76
01/06/2015;1.2;110;19.3;;985;246;1.4;18;3;;;21;;62
02/06/2015;1.2;108;20.4;53;985;269;0.1;12;3;;;17;;73
03/06/2015;1.7;84;21.5;42;986;295;0;7;3;;;15;;87
04/06/2015;1.9;97;21.2;39;986;301;0;7;3;;;14;;87
05/06/2015;1.6;94;20.8;42;986;301;0;9;3;;;18;;91
06/06/2015;1.7;90;21.5;40;986;294;0;7;3;2;5;17;7;91
07/06/2015;1.8;92;21.9;34;986;304;0;5;3;2;5;11;6;99
08/06/2015;1.6;104;23;33;984;296;0;8;3;2;5;17;7;106
09/06/2015;2;110;22.5;49;983;270;1.7;14;3;2;5;23;7;96
10/06/2015;1.6;101;21.1;63;983;218;3.4;16;3;2;6;18;7;88
11/06/2015;1;307;19.5;75;981;112;0.2;17;3;2;6;21;7;68
12/06/2015;2.5;258;21.7;53;980;274;0;8;3;2;5;11;7;83
13/06/2015;;;;;;;2.2;;;;;;;
15/06/2015;1.5;226;18.1;;984;204;3.3;5;;2;4;10;6;
16/06/2015;2;230;18.6;64;986;212;2.3;5;3;2;4;6;6;79
17/06/2015;1.3;100;19.7;59;986;292;0;6;3;2;4;10;6;80
18/06/2015;1;109;21.2;54;986;294;0;10;3;2;4;18;6;83
19/06/2015;1.8;133;22.7;50;985;294;0;9;3;2;4;18;6;91
20/06/2015;1.4;112;21.9;58;985;294;0;10;3;2;4;20;6;79
21/06/2015;1.4;97;22.6;57;985;289;0;9;3;2;4;19;6;80
22/06/2015;2.8;79;22.9;59;984;241;6.1;11;3;2;4;24;6;84
23/06/2015;1.8;182;22;59;982;172;0.2;7;3;2;4;13;6;83
24/06/2015;1.5;126;20.9;65;985;243;0;9;3;2;4;16;6;80
25/06/2015;1.2;87;22.6;59;987;329;0;10;3;2;4;19;6;84
26/06/2015;1.4;97;25.5;47;986;347;0;9;3;2;4;28;6;95
27/06/2015;1.1;90;26.8;42;985;343;0;11;3;2;4;29;6;100
28/06/2015;1.2;99;26.4;47;985;342;0;13;3;2;4;32;6;94
29/06/2015;1.4;85;25;53;986;337;0;14;3;2;4;34;6;90
30/06/2015;1.4;79;25.6;43;985;346;0;9;3;;;27;;97
01/07/2015;1.5;100;24.3;51;984;316;0;12;3;;;33;;85
02/07/2015;1.3;99;23.5;61;986;190;0;16;3;;;36;;79
03/07/2015;1.7;88;24.3;63;987;302;0;21;3;;;37;;76
04/07/2015;1.3;90;24.9;51;987;334;0;14;3;;;34;;90
05/07/2015;1.3;84;26.4;47;985;340;0;14;3;;;28;;91
06/07/2015;1.4;78;27.1;39;985;338;0;12;3;;;36;;91
07/07/2015;1.6;109;30.6;29;983;342;0;15;3;;;53;;97
08/07/2015;2;97;27.1;45;983;331;0;20;3;;;52;;88
09/07/2015;1.6;97;24.9;64;984;294;0;31;3;;;60;;71
10/07/2015;1.2;112;26;62;984;336;0;28;3;3;5;56;7;74
11/07/2015;1.7;101;24;70;985;230;0;27;3;3;6;43;8;59
12/07/2015;1.5;87;25.2;59;;334;0;20;3;3;5;36;7;70
13/07/2015;1.3;102;26;60;;334;0;21;3;3;7;40;9;75
14/07/2015;1.6;97;25.6;65;;327;0;22;3;3;8;40;10;70
15/07/2015;;;;;;;0;;;;;;;
16/07/2015;1.6;109;27.2;48;984;406;0;13;3;;;38;;101
17/07/2015;1.5;91;26.1;51;985;323;0;15;3;2;4;33;6;91
18/07/2015;1.1;69;24.4;71;984;220;0.1;23;3;2;4;36;6;58
19/07/2015;1.4;84;26.2;61;983;265;0;20;3;2;4;31;6;63
20/07/2015;1.4;108;26.1;61;983;329;0;25;3;2;4;40;6;73
21/07/2015;1.5;112;26.6;60;983;294;0;33;3;2;4;48;6;67
22/07/2015;1.9;86;24.6;67;984;260;0.2;15;3;2;4;25;6;69
23/07/2015;1.1;88;25;64;983;303;1.3;15;3;2;4;21;6;70
24/07/2015;1.9;115;28.4;52;980;327;0;13;3;2;4;26;6;86
25/07/2015;2.1;133;25.7;56;983;304;0;16;3;2;4;29;6;73
26/07/2015;1.3;118;26.8;65;983;312;0;35;3;2;4;53;6;59
27/07/2015;2.2;137;27.7;53;982;329;0;16;3;2;5;30;7;74
28/07/2015;1.6;103;26;68;982;290;0;33;3;2;5;53;6;65
29/07/2015;1.5;109;26.5;70;981;292;0;33;3;2;5;43;6;60
30/07/2015;2.3;117;25.1;72;981;214;0.1;22;3;2;4;32;6;55
31/07/2015;2.3;95;23.5;80;980;139;2.2;16;3;2;4;24;6;51
03/08/2015;;;;;;;0.1;;;;;;;
04/08/2015;1.3;82;25.1;63;984;314;0;11;3;2;10;24;10;69
05/08/2015;1.1;102;25.6;68;984;315;0;16;3;2;9;26;9;68
06/08/2015;1.5;109;25.9;75;984;291;0;24;3;2;9;35;9;52
07/08/2015;1.7;165;27.4;68;984;236;0;30;3;2;9;62;10;38
08/08/2015;1.3;19;23.9;77;986;111;0;25;3;2;9;38;9;36
09/08/2015;1;113;22;84;986;115;0;18;3;2;9;27;9;41
10/08/2015;1.4;99;23.7;71;984;302;0;14;3;2;8;23;8;57
11/08/2015;1.2;103;25.4;71;983;255;0;25;3;2;5;37;6;54
12/08/2015;1.4;120;26.2;70;984;296;0;31;3;2;4;48;6;48
13/08/2015;4.8;264;26.6;25;983;332;0;8;3;2;5;16;7;62
14/08/2015;1.7;33;23.4;47;983;235;0;3;3;2;4;13;6;75
15/08/2015;1.2;117;20.9;65;983;125;0;6;3;2;4;16;6;64
16/08/2015;0.9;98;21.9;65;982;232;0;7;3;2;4;11;6;66
17/08/2015;1.8;108;23;74;981;186;0.1;9;3;2;4;14;6;57
18/08/2015;1.4;128;22.1;77;982;142;0;10;3;2;4;15;6;63
19/08/2015;1.3;116;22.5;72;985;196;0;9;3;2;4;15;6;65
20/08/2015;1.6;114;24.3;72;986;257;0;13;3;2;4;23;6;65
21/08/2015;1.3;103;24;68;986;251;0;10;3;2;4;19;6;68
22/08/2015;1.3;149;21.8;73;983;244;0;11;3;2;5;17;6;50
23/08/2015;5.4;273;23.7;38;980;288;0.1;6;3;2;6;14;7;56
24/08/2015;5.7;280;23.1;41;982;289;0;3;3;2;5;9;6;71
25/08/2015;1.5;103;22.4;56;985;299;0;6;3;2;6;14;6;76
26/08/2015;1.2;71;23.2;69;984;279;0;10;3;2;6;20;7;67
27/08/2015;1.3;75;24.5;65;984;292;0;10;3;2;6;23;7;64
28/08/2015;1.4;81;24.4;58;985;293;0;8;3;2;6;21;7;73
29/08/2015;1.2;106;23.8;68;986;276;0;11;3;2;5;18;6;63
30/08/2015;1.8;117;24.3;68;985;235;0.7;17;3;2;5;31;6;62
31/08/2015;1.3;140;24.1;74;983;196;0.1;24;3;2;6;40;7;51
