Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP;BEN;TOL;XIL
25/02/2015;6:00:00;8.25;2;3.25;2;51.75;310;1.4;93.6;0;944;0.825;1.375;5.4;0.475
25/02/2015;7:00:00;14;2;17.5;4;33.5;140;0.6;98.25;0;944.75;-0.05;1.475;4;0.4
25/02/2015;8:00:00;15.25;2;44.5;6.5;14.75;331;0.9;98.925;0;944.75;0.15;2.1;3.7;0.725
25/02/2015;9:00:00;19;2;39;9.33333;22;322;1.8;92.8667;0;944.667;1.13333;1.93333;2.3;0.666667
26/02/2015;13:00:00;31.25;2;3.5;2;67.75;337;1.7;49.525;0;942;13.15;0.625;0.625;0.2
26/02/2015;14:00:00;11;2;2;2;69.25;315;1.9;45.575;0;941.25;13.95;0.675;0.5;0.2
26/02/2015;15:00:00;11.75;2;2;2;70;293;2.2;40.125;0;940.25;15.4;0.725;0.45;0.2
26/02/2015;16:00:00;9;2;2;2;66.75;266;3.9;43.2;0;939.25;15.225;0.775;0.35;0.2
26/02/2015;17:00:00;10;2;2;2;65.5;272;4.7;47.9;0;939;14.1;0.9;0.375;0.225
26/02/2015;18:00:00;10.5;2;2.75;2;60.25;274;4.9;56.275;0;939;13.25;0.775;0.425;0.2
26/02/2015;19:00:00;26.25;2;9.25;2;55.25;308;3.7;64.1;0;939;11.975;1.1;1.25;0.2
26/02/2015;20:00:00;33;2;18.25;2;47.5;305;3;78.475;0;939;10.175;1.4;1.125;0.25
26/02/2015;21:00:00;34.25;2;22;2.25;42;312;2.3;83.6;0;939;9.475;2.175;1.175;0.225
26/02/2015;22:00:00;36.5;2;23.5;2.25;39;312;1.4;86.925;0;939;8.85;1.75;1.075;0.25
26/02/2015;23:00:00;48;2;15.5;2;45.5;315;1.3;88.325;0;939;8.225;1.8;1.125;0.25
26/02/2015;0:00:00;23.75;2;22;2;35.75;312;0.6;93.175;0;939;7.6;2.075;1.125;0.2
27/02/2015;1:00:00;18;2;12.25;2;41.5;320;0.8;96.75;0;939;6.75;1.8;1.525;0.375
27/02/2015;2:00:00;22.75;2;7.25;2;41.75;297;1.2;96.925;0;938.25;6.15;1.6;1.4;0.3
27/02/2015;3:00:00;17;2;7;2;36;335;0.7;99.9;0;938.25;4.975;1.75;2.375;0.375
27/02/2015;4:00:00;17;2;6.25;2;33.25;299;0.7;100;0;938;4.15;1.575;2.35;0.35
27/02/2015;5:00:00;17.75;2;2;2;44.25;300;1.5;100;0;938;4.775;1.475;2.4;0.375
27/02/2015;6:00:00;11;2;3.5;2;39.25;298;1.3;100;0;937.5;4.225;1.1;0.925;0.225
27/02/2015;7:00:00;13;2;8.75;2;33.5;312;1.8;100;0;937.75;4.025;2.1;1.5;0.35
27/02/2015;8:00:00;13;2;11;2;28.25;306;1.8;100;0;938;3.45;1.7;1.25;0.375
27/02/2015;9:00:00;14;2;11.5;3.25;30;305;1.8;100;0;938;3.3;1.425;1.1;0.35
27/02/2015;10:00:00;10.25;2;4;2;34.5;287;2.1;99.9;0.32;938.25;4.05;1.075;0.75;0.225
27/02/2015;11:00:00;12;2;2.5;2;38.25;273;2.7;100;0;939;5.175;0.975;0.775;0.2
27/02/2015;12:00:00;10;2;2;2;41.5;270;3;98.275;0;939;7.6;0.875;0.475;0.2
27/02/2015;13:00:00;14.25;2;2;2;49.5;305;2;79.375;0;939;10.575;1.2;0.5;0.2
27/02/2015;14:00:00;16;2;2;2;55;313;2.1;65.1;0;939;11.925;1.025;0.425;0.2
27/02/2015;15:00:00;11.75;2;2;2;58.25;296;2.2;60.775;0;938.25;12.675;0.875;0.425;0.2
27/02/2015;16:00:00;9;2;2;2;60.75;313;2.6;53.425;0;938;14.05;0.85;0.425;0.2
27/02/2015;17:00:00;10.75;2;2.25;2;58.25;300;3.8;53.825;0;938;14.175;0.9;0.5;0.2
27/02/2015;18:00:00;36.25;2;4;2;59;302;3.7;51.6;0;938;14.15;1.075;0.575;0.225
27/02/2015;19:00:00;41.25;2;11.75;2;52.75;301;2.6;57.1;0;938;13;1.125;0.825;0.25
27/02/2015;20:00:00;46.5;2;18;2;48.5;270;1.9;64.525;0;938;11.775;1.575;1.425;0.35
27/02/2015;21:00:00;31.5;2;11;2;50.75;317;2.3;73.5;0;939;10.175;1.675;1.125;0.35
27/02/2015;22:00:00;20.25;2;14.75;2;56.75;319;1;69.2;0;939;9.9;1.6;1.025;0.35
27/02/2015;23:00:00;30.5;2;22.25;2;44.25;18;0.6;75.175;0;939.25;8.975;2.15;1.35;0.475
27/02/2015;0:00:00;18.75;2;10.25;2;49.5;24;0.9;79.15;0;939.5;7.55;2.375;1.35;0.45
28/02/2015;1:00:00;14;2;8.25;2;47.5;70;0.9;76.3;0;939.75;6.675;14.625;2.575;0.425
28/02/2015;2:00:00;15;2;5.75;2;40.5;266;0.2;83.425;0;939.75;6.2;22.825;4.775;0.7
28/02/2015;3:00:00;14.25;2;8.5;2;44;290;0.5;74.2;0;939;6.725;23.7;3.5;0.6
28/02/2015;4:00:00;17;5.5;9.25;2;45.75;290;0.9;70.4;0;939;6.375;23.3;2.8;0.525
28/02/2015;5:00:00;17.25;12.5;9.5;2;40;301;1.2;73.75;0;938;5.875;20.55;3.3;0.775
28/02/2015;6:00:00;21;8;9.5;2;32.75;357;1.2;81.4;0;938;4.8;16.2;3.3;0.875
28/02/2015;7:00:00;20;6.25;21.75;4;29;297;1.1;80.375;0;938.25;4.625;12.575;2.5;0.75
28/02/2015;8:00:00;15.25;4.25;37;3.5;17.75;357;0.5;87.325;0;939;3.875;11.05;2.65;0.775
28/02/2015;9:00:00;23;2;18.25;3;34.25;287;1.7;87.475;0;939.75;4.8;10.375;5.9;1.425
28/02/2015;10:00:00;18.25;2;5;2;50;290;1.7;80.3;0;940;6.475;6.175;3.45;0.8
28/02/2015;11:00:00;22;2;4.25;2;61.25;251;1.8;66.075;0;940;8.95;3.65;1.225;0.25
28/02/2015;12:00:00;20;2;2;2;78.5;354;1.9;43.125;0;940.25;11.6;2.975;0.75;0.2
28/02/2015;13:00:00;19.25;2;2.25;2;83;306;2.5;33.625;0;940.5;13.4;2.5;0.625;0.2
28/02/2015;14:00:00;30.75;16.5;7.75;2;83;165;1.9;33.65;0;940;14.475;3.4;0.9;0.2
28/02/2015;15:00:00;22.5;12;3.5;2;81.25;207;2.7;33.175;0;940;15.225;4.65;2.475;0.4
28/02/2015;16:00:00;13;2;2;2;80.5;333;2;33.175;0;939;15.425;2.05;0.625;0.2
28/02/2015;17:00:00;12;2;2;2;83.25;339;2;32.625;0;939;15.85;1.65;0.275;0.2
28/02/2015;18:00:00;12.75;2;2;2;80.75;319;2.4;36.45;0;939;14.75;1.55;0.35;0.225
28/02/2015;19:00:00;10.5;2;6;2;68.75;321;2.8;47.825;0;939.5;13.175;1.625;0.475;0.2
28/02/2015;20:00:00;21;2;13.75;2;58.5;293;2.4;58.725;0;940;11.125;2.05;1.075;0.45
28/02/2015;21:00:00;26.75;2;10.25;2;53;292;2.2;70.125;0;940.5;9.55;2.275;1;0.2
28/02/2015;22:00:00;22.25;2;13.5;2;48.5;295;1.9;74.35;0;941;8.75;2.425;1.15;0.275
28/02/2015;23:00:00;26.25;2;20.5;2.25;38;278;1.1;78.95;0;941;7.875;6.05;1.9;0.375
28/02/2015;0:00:00;31;2;19.25;2;36.25;301;1.3;83.675;0;941;7.05;10.975;2.5;0.45
01/06/2015;1:00:00;27;47;18;3;71;68;1.4;0;0;935;20.3;2.35;2.35;0.78
01/06/2015;2:00:00;19;66;12;3;75;91;0.9;0;0;935;18.9;2.23;2.7;0.35
01/06/2015;3:00:00;26;37;11;3;77;90;0.8;0;0;935;18.5;2.15;1.13;0.4
01/06/2015;4:00:00;26;33;9;3;82;86;1;0;0;934;18.6;1.88;3.08;0.7
01/06/2015;5:00:00;23;25;14;6;68;54;0.7;0;0;934;17.7;4.25;2.78;0.85
01/06/2015;6:00:00;23;18;19;6;49;320;0.2;0;0;934;16.1;5.65;2.03;0.68
01/06/2015;7:00:00;23;9;25;8;40;275;0.9;0;0;934;14.4;3.3;1.4;0.55
01/06/2015;8:00:00;25;7;38;19;21;99;0.4;0;0;935;14.1;2.88;0.48;0.98
01/06/2015;9:00:00;40;9;48;47;24;143;0.4;0;0;935;17.1;4.05;8.1;0.88
01/06/2015;10:00:00;71;42;38;22;61;129;1.8;0;0;935;21.2;4.28;2.08;0.78
01/06/2015;11:00:00;58;19;14;9;72;142;2.8;0;0;936;22.8;1.3;0.83;0.53
01/06/2015;12:00:00;20;5;9;4;86;97;2;0;0;936;24.8;1.75;0.65;0.68
01/06/2015;13:00:00;14;3;8;3;88;242;2.4;0;0;936;26.1;1.28;1.13;0.3
01/06/2015;14:00:00;22;2;5;2;88;244;2.7;0;0;936;26.9;0.93;1.15;0.63
01/06/2015;15:00:00;18;2;6;2;91;229;2.7;0;0;935;27.8;0.83;0.98;1.03
