Fecha;CO;NO;NO2;NOX;O3;PM10;SO2
11/08/2015;0.11;1.1;11.0;12.0;67.0;21.0;2.8
12/08/2015;0.12;2.1;12.0;14.0;54.0;15.0;3.9
13/08/2015;0.1;1.4;4.9;6.1;56.0;5.8;3.8
14/08/2015;0.1;3.4;12.0;17.0;40.0;4.7;3.3
15/08/2015;0.1;1.4;9.2;11.0;36.0;3.4;3.0
16/08/2015;0.1;1.1;6.5;7.5;39.0;2.2;3.9
17/08/2015;0.1;1.6;7.1;9.2;39.0;null(null);4.4
18/08/2015;0.11;4.3;11.0;17.0;44.0;8.2;4.9
19/08/2015;0.12;4.8;18.0;25.0;41.0;11.0;5.6
20/08/2015;0.13;9.5;21.0;35.0;32.0;12.0;6.7
21/08/2015;0.11;5.4;15.0;23.0;26.0;12.0;6.8
22/08/2015;0.1;3.9;12.0;17.0;26.0;7.7;4.5
23/08/2015;0.1;1.4;4.9;6.8;51.0;7.7;2.8
24/08/2015;0.1;3.4;14.0;19.0;49.0;11.0;2.5
25/08/2015;0.1;2.6;12.0;16.0;36.0;5.8;1.4
26/08/2015;0.1;3.6;11.0;16.0;35.0;3.9;3.9
27/08/2015;0.1;3.2;6.7;11.0;30.0;null(null);3.5
28/08/2015;0.1;3.5;10.0;15.0;22.0;5.8;4.1
29/08/2015;0.1;4.7;9.5;16.0;25.0;5.0;4.1
30/08/2015;0.1;2.4;9.5;13.0;46.0;8.0;4.0
31/08/2015;0.1;1.5;8.0;9.6;51.0;null(null);2.4
1/04/2015;0.2;5.1;17.0;25.0;53.0;18.0;5.0
2/04/2015;0.16;2.2;17.0;19.0;60.0;22.0;4.5
3/04/2015;0.12;1.5;9.9;12.0;62.0;19.0;3.3
4/04/2015;0.12;1.6;9.6;12.0;68.0;16.0;3.4
5/04/2015;0.15;1.5;16.0;18.0;65.0;19.0;4.1
6/04/2015;0.17;1.5;14.0;16.0;67.0;24.0;3.6
7/04/2015;0.23;4.8;23.0;30.0;52.0;28.0;6.2
8/04/2015;0.17;2.0;18.0;20.0;67.0;26.0;2.9
9/04/2015;0.16;2.8;15.0;18.0;60.0;22.0;3.0
10/04/2015;0.14;1.5;11.0;13.0;73.0;20.0;5.3
11/04/2015;0.14;1.6;8.9;11.0;58.0;18.0;4.5
12/04/2015;0.14;1.5;12.0;14.0;65.0;19.0;3.3
13/04/2015;0.17;2.0;16.0;19.0;66.0;34.0;5.6
14/04/2015;0.2;3.6;24.0;29.0;52.0;38.0;1.1
15/04/2015;0.18;2.8;16.0;19.0;61.0;36.0;1.9
16/04/2015;0.16;1.9;12.0;14.0;71.0;26.0;1.1
17/04/2015;0.17;3.6;15.0;21.0;57.0;18.0;3.8
18/04/2015;0.14;1.4;9.4;11.0;71.0;14.0;3.3
19/04/2015;0.13;1.1;7.4;8.6;71.0;17.0;2.8
20/04/2015;0.17;4.6;16.0;23.0;51.0;21.0;3.3
21/04/2015;0.2;5.3;15.0;23.0;55.0;26.0;2.3
22/04/2015;0.16;2.1;13.0;16.0;58.0;20.0;3.4
23/04/2015;0.13;1.9;11.0;13.0;59.0;18.0;3.3
