Fecha;NO;NO2;NOX;PM10;PM25;O3;dd;HR;PRB;LL;RS;TMP;vv
13/06/2015;2;25;15;14;5;;344;88;1010.2;1.7;150;17.9;0.41
12/06/2015;6;53;27;21;10;;319;89;1010.5;1.5;110.7;17.7;0.58
11/06/2015;4;55;27;18;6;;162;86;1009.4;6.7;143.9;18.9;0.31
10/06/2015;10;59;53;26;13;;119;93;1012.1;4.9;76.6;16.8;0.84
09/06/2015;12;71;43;28;12;;316;86;1017.8;0.7;167.4;17.2;0.76
08/06/2015;4;36;22;30;15;;314;83;1019.9;0;302.5;19.9;1.41
07/06/2015;3;14;14;18;7;;279;86;1022.1;0;204.4;19.2;1.09
06/06/2015;2;33;13;13;6;;326;92;1023.9;0.6;49.8;17.3;0.71
05/06/2015;7;73;31;25;12;;329;87;1019.3;0;138.5;19;1.75
04/06/2015;8;46;30;28;12;;138;68;1016.6;0;301.7;24.6;1.02
03/06/2015;3;17;15;23;9;;80;84;1021.4;0;92.7;19.2;1.32
02/06/2015;6;38;30;31;12;;292;84;1018.9;0;279.5;19.4;1.48
01/06/2015;7;42;27;24;7;;324;89;1018;0;93.2;18;0.8
31/05/2015;3;30;15;23;9;;327;73;1017.8;0;306.5;18.3;0.95
30/05/2015;5;35;26;24;10;;313;76;1018.4;0;294.2;16.3;0.41
29/05/2015;3;42;19;19;6;;318;78;1017.2;0;245.9;16.6;1.11
28/05/2015;8;45;31;27;10;;312;82;1019;0;198.1;16.7;1
27/05/2015;5;52;26;27;9;;319;83;1022.4;0;254.5;16.6;1.36
26/05/2015;4;55;20;25;6;;312;85;1023.2;0;143.4;15.4;2.51
25/05/2015;3;19;13;18;5;;319;88;1021.7;0.4;157;15.8;2.84
24/05/2015;2;11;9;18;4;;313;91;1020.6;0.1;85.1;15.6;2.51
23/05/2015;4;31;20;21;5;;321;80;1022.7;0;228.6;14.2;1.47
22/05/2015;5;57;27;23;7;;330;78;1027.1;0.5;160;13.6;0.96
21/05/2015;10;61;37;21;6;;313;80;1028.9;0.3;185.6;12.7;1.48
20/05/2015;4;53;22;19;5;;300;88;1023;9.6;141.8;12.5;2.1
19/05/2015;3;33;18;21;5;;309;82;1018.6;2.5;127.4;13.1;2.27
18/05/2015;12;30;34;23;7;;317;84;1016.6;0.9;199.6;13.7;1.2
17/05/2015;2;38;14;17;5;;319;85;1025.5;0.7;176.7;15.5;1.35
16/05/2015;2;17;12;20;4;;313;89;1030.5;0.2;115.2;14.4;2.2
15/05/2015;3;22;17;16;4;;298;90;1025;12.5;68.4;12.8;4.51
14/05/2015;3;20;17;26;6;;296;77;1018.9;0;94.6;15.2;2.97
13/05/2015;6;35;25;34;14;;313;86;1018.5;0;133.7;16.7;1.31
12/05/2015;4;39;26;36;20;;301;87;1018.9;0;251.2;16.8;1.48
11/05/2015;3;26;18;33;18;;318;89;1019.5;0;188.3;16.4;1.75
10/05/2015;3;32;19;25;10;;82;70;1019.2;0;289.7;20.7;0.43
09/05/2015;4;35;26;19;6;;8;87;1024.8;0;132.6;16.2;0.08
08/05/2015;7;87;32;22;6;;330;61;1016.5;0;254.3;19.6;1.36
07/05/2015;9;60;40;23;9;;150;55;1012.2;0;271.4;20.8;1.69
06/05/2015;9;65;34;18;6;;337;73;1019;0;242.5;14.1;0.82
05/05/2015;5;51;25;20;5;;305;73;1011.7;1.3;126.9;15.6;0.99
04/05/2015;9;49;30;22;7;;209;57;999.9;0.1;166;23.4;2.63
03/05/2015;3;40;16;15;6;;241;68;1006.9;2;95.2;21;2.52
02/05/2015;4;27;16;14;4;;180;69;1007.7;0;123.7;22.7;1.64
01/05/2015;2;6;8;11;3;;235;72;1011.6;0.1;73.5;19.8;3.13
30/04/2015;9;81;46;25;11;;213;63;1014.8;0;213.9;18.6;1.26
29/04/2015;15;57;53;23;10;;330;80;1018.7;0.3;165.7;13.2;0.37
28/04/2015;9;57;32;18;6;;85;66;1020.2;0;232.1;13.3;1.42
27/04/2015;4;41;19;15;4;;305;85;1012.4;5.2;122.5;13.9;3.28
