Fecha;Hora;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
06/06/2015;18:00:00;2;2;3;136;89;1.5;11.1;0;941;32.7
06/06/2015;19:00:00;2;3;3;136;355;0.7;10.7;0;941;32.4
06/06/2015;20:00:00;2;5;3;132;49;0.5;11.7;0;941;31.4
06/06/2015;21:00:00;2;14;3;113;43;0.5;14.5;0;941;30
06/06/2015;22:00:00;2;10;3;109;37;0.9;17.9;0;942;28.1
06/06/2015;23:00:00;2;5;3;108;36;1;20.3;0;942;26.1
06/06/2015;0:00:00;2;6;3;100;45;0.9;24.5;0;943;24
07/06/2015;1:00:00;2;9;3;94;83;0.7;26;0;944;23
07/06/2015;2:00:00;2;4;3;106;46;0.5;23.4;0;944;23.2
07/06/2015;3:00:00;2;2;3;113;137;2.2;22.7;0;944;23.1
07/06/2015;4:00:00;2;2;3;107;42;0.3;23.9;0;944;22.3
07/06/2015;5:00:00;2;4;3;107;118;2.2;24.9;0;944;21.5
07/06/2015;6:00:00;2;3;3;104;48;0.4;26.7;0;944;20.5
07/06/2015;7:00:00;2;4;3;84;43;0.3;32.6;0;944;18.5
07/06/2015;8:00:00;2;6;3;72;47;0.2;36.6;0;945;17.9
07/06/2015;9:00:00;2;3;3;87;46;0.5;30.2;0;945;21
07/06/2015;10:00:00;2;3;3;100;16;0.9;24;0;945;23.5
07/06/2015;11:00:00;2;3;3;105;22;0.8;22.4;0;945;25.2
07/06/2015;12:00:00;2;4;4;119;21;1;18.8;0;944;28.2
07/06/2015;13:00:00;2;3;3;132;135;1.5;15.9;0;944;29.3
07/06/2015;14:00:00;3;6;3;134;159;1.9;15.5;0;943;30.3
07/06/2015;15:00:00;2;3;3;139;119;1.6;14.6;0;943;31.7
07/06/2015;16:00:00;2;2;3;141;136;1.7;13.4;0;942;32.1
07/06/2015;17:00:00;2;2;3;143;329;1.6;11.4;0;941;33.2
07/06/2015;18:00:00;2;3;3;144;264;1.8;10.1;0;940;33.4
07/06/2015;19:00:00;2;3;3;137;120;4.3;13.6;0;940;31.3
07/06/2015;20:00:00;2;6;3;129;92;1.6;14.8;0;940;29.9
07/06/2015;21:00:00;2;8;3;124;97;1;15.4;0;941;29.2
07/06/2015;22:00:00;2;15;3;113;71;0.5;17.3;0;941;28
07/06/2015;23:00:00;2;24;3;96;132;0.8;19.1;0;941;26.2
07/06/2015;0:00:00;3;19;3;98;128;1.1;18.5;0;943;25.9
08/06/2015;1:00:00;2;12;3;95;59;0.3;25.8;0;943;24.4
08/06/2015;2:00:00;2;9;3;84;354;0.2;29;0;943;22.6
08/06/2015;3:00:00;2;10;3;64;51;0.3;42.3;0;943;19.7
08/06/2015;4:00:00;2;7;3;59;46;0.3;48;0;943;17.7
08/06/2015;5:00:00;2;9;3;59;28;0.1;44;0;943;17.1
08/06/2015;6:00:00;2;19;3;41;27;0.3;49.6;0;943;15.9
08/06/2015;7:00:00;2;25;3;32;74;0.4;53.7;0;943;14.6
08/06/2015;8:00:00;2;32;7;28;44;0.3;51.5;0;943;14.6
08/06/2015;9:00:00;2;21;6;50;48;0.5;45.5;0;943;16.8
08/06/2015;10:00:00;2;17;5;73;47;0.4;33.5;0;943;20.5
08/06/2015;11:00:00;2;8;3;112;23;0.6;18.6;0;942;24.4
08/06/2015;12:00:00;2;6;3;124;49;0.5;13.7;0;942;27.2
08/06/2015;13:00:00;2;5;3;134;7;0.8;12.5;0;942;28.6
08/06/2015;15:00:00;2;7;3;141;231;1.3;10.5;0;940;31.6
08/06/2015;16:00:00;4;13;4;136;224;1.5;10.8;0;939;31.7
08/06/2015;17:00:00;2;4;3;130;148;1.3;10.6;0;938;32.5
08/06/2015;18:00:00;3;10;5;132;227;1.6;10.4;0;938;32.7
08/06/2015;19:00:00;2;7;3;138;292;1.1;10.2;0;937;32.8
08/06/2015;20:00:00;2;8;3;134;140;1;11.3;0;937;31.3
08/06/2015;21:00:00;2;15;3;112;134;1.7;15;0;937;29.9
08/06/2015;22:00:00;2;9;3;117;125;1.9;18.3;0;938;27.9
08/06/2015;23:00:00;2;15;3;109;55;0.2;19.1;0;938;26.8
08/06/2015;0:00:00;2;8;3;113;40;0.6;20.8;0;939;26.3
09/06/2015;1:00:00;2;3;3;118;50;1;24.8;0;939;24.6
09/06/2015;2:00:00;2;4;3;106;69;0.8;31.4;0;939;22.2
09/06/2015;3:00:00;2;4;3;104;67;0.4;35.1;0;939;21.3
09/06/2015;4:00:00;2;4;3;101;43;0.7;40.4;0;939;20.2
09/06/2015;5:00:00;2;6;3;91;62;0.4;44.3;0;939;19
09/06/2015;6:00:00;2;7;3;88;48;0.5;46.7;0;939;18
09/06/2015;7:00:00;2;9;3;87;49;0.8;49.4;0;939;17.4
09/06/2015;8:00:00;2;14;3;76;40;0.7;52.8;0;939;16.9
09/06/2015;9:00:00;2;15;4;82;42;0.7;46.4;0;939;19.5
09/06/2015;10:00:00;2;16;4;88;46;0.6;40.9;0;939;21.6
09/06/2015;11:00:00;2;15;3;100;69;0.3;30.1;0;939;25.1
09/06/2015;12:00:00;3;8;3;115;161;1;23.4;0;938;27.8
09/06/2015;13:00:00;3;8;3;127;199;2;19.8;0;938;29.1
09/06/2015;14:00:00;2;10;4;131;205;2.2;18.1;0;937;29.9
09/06/2015;15:00:00;2;7;3;137;224;2.1;16;0;936;31.1
09/06/2015;16:00:00;2;5;3;146;247;2.6;14.6;0;935;31.7
09/06/2015;17:00:00;2;5;3;149;271;2.2;13;0;935;31.6
09/06/2015;18:00:00;2;7;3;140;350;3;21.1;0;935;28.3
09/06/2015;19:00:00;2;7;3;134;268;2.5;27.9;0;935;25.2
09/06/2015;20:00:00;2;8;3;132;41;2.3;34.1;0;936;23.5
09/06/2015;21:00:00;2;8;3;128;47;2.1;41;0;937;21.2
09/06/2015;22:00:00;2;8;3;123;52;1.2;45.4;0;937;20.4
09/06/2015;23:00:00;2;6;3;110;19;1.5;58.7;0;939;18.5
09/06/2015;0:00:00;2;5;3;97;38;0.6;67.9;0;939;17.4
10/06/2015;1:00:00;2;5;3;85;40;0.4;70.9;0;938;17.3
10/06/2015;2:00:00;2;9;3;75;74;0.6;73.5;0;938;17
10/06/2015;3:00:00;2;11;3;71;253;0.3;71.5;0;937;17.5
10/06/2015;4:00:00;2;10;3;70;270;0.3;78.3;0.37;937;17
10/06/2015;5:00:00;2;8;3;61;358;0.4;82.1;0;937;16.6
10/06/2015;6:00:00;2;11;3;48;40;0.4;85;0;936;16.2
10/06/2015;7:00:00;2;23;3;37;142;0.7;85.3;0;936;15.9
10/06/2015;8:00:00;2;25;3;51;197;1;76.4;0;936;16.7
10/06/2015;9:00:00;2;23;5;61;221;1.1;69.3;0;936;18
10/06/2015;10:00:00;2;16;6;78;224;1.3;65.2;0;937;18.4
10/06/2015;11:00:00;2;14;3;86;246;1.1;64.6;0;936;18.6
10/06/2015;12:00:00;2;18;5;75;317;0.6;66.7;0;936;19.3
10/06/2015;13:00:00;2;9;4;101;274;1.3;49;0;936;22.6
10/06/2015;14:00:00;2;10;3;112;245;1.4;45.4;0;936;23.4
10/06/2015;16:00:00;0;0;0;0;226;2.2;34.1;0;934;26
10/06/2015;17:00:00;0;0;0;0;204;3.4;76.6;4.82;936;17.1
10/06/2015;18:00:00;0;0;0;0;195;0.9;57.2;0;935;22.1
10/06/2015;19:00:00;0;0;0;0;196;3.2;45.5;0;935;23.6
10/06/2015;20:00:00;3;21;6;101;196;1.8;43.5;0.37;935;22.3
10/06/2015;21:00:00;4;35;4;69;171;1.8;41.4;0;934;22.4
10/06/2015;22:00:00;16;20;2;83;154;1.5;44.3;0;934;21.4
10/06/2015;23:00:00;7;11;2;83;312;1;49;0;935;20.7
10/06/2015;0:00:00;4;8;2;65;45;0.6;62.8;2.23;936;19.6
11/06/2015;1:00:00;2;3;2;59;41;0.6;84.4;0.37;936;17.3
11/06/2015;2:00:00;2;2;2;54;18;0.4;86.6;0;935;17.3
11/06/2015;3:00:00;2;2;2;84;141;2.8;70.6;0;935;18
11/06/2015;4:00:00;2;6;2;89;149;2.3;65.4;0;935;17.9
11/06/2015;5:00:00;2;11;2;78;200;0.8;64.9;0;935;17.8
11/06/2015;6:00:00;2;2;2;92;90;0.5;65.6;0;935;17.5
11/06/2015;7:00:00;2;2;2;94;108;1;65.5;0;934;17.1
11/06/2015;8:00:00;2;2;2;89;91;0.8;63.2;0;934;17.2
11/06/2015;9:00:00;2;13;6;67;157;1.7;62.5;0;935;18.1
11/06/2015;10:00:00;3;17;9;67;201;1.9;64;0;935;19.5
11/06/2015;11:00:00;2;2;2;79;209;1.6;63;0;935;20.1
11/06/2015;12:00:00;2;3;2;77;295;2.3;67.5;2.6;934;18.9
11/06/2015;13:00:00;2;15;3;75;342;2.8;96.2;4.45;936;12.5
11/06/2015;14:00:00;2;21;2;53;127;1;92.7;0;935;13.9
11/06/2015;15:00:00;2;9;3;75;114;0.9;70.9;0;935;17.1
11/06/2015;16:00:00;2;3;2;97;163;0.9;53.1;0;935;19.9
11/06/2015;17:00:00;2;5;3;120;272;2;42.7;0;934;22.1
11/06/2015;18:00:00;3;17;3;105;253;2;46.6;0;933;21.5
11/06/2015;19:00:00;3;8;2;111;299;1.7;45.3;0;933;21.4
11/06/2015;20:00:00;2;6;2;106;295;0.9;44.5;0;933;21.8
11/06/2015;21:00:00;2;5;2;93;4;2.5;56.2;0.74;934;18.8
11/06/2015;22:00:00;2;6;2;76;46;0.6;79.3;0;934;14.8
11/06/2015;23:00:00;2;9;2;58;95;0.3;80;0;935;14.5
11/06/2015;0:00:00;2;10;2;51;130;0.4;79.2;0;935;14.2
12/06/2015;1:00:00;2;17;2;33;105;0.4;83.4;0;935;13.7
12/06/2015;2:00:00;2;11;2;44;218;1;81.6;0;935;13.9
12/06/2015;3:00:00;2;7;2;34;357;0;86.4;0;935;13.3
12/06/2015;4:00:00;2;6;2;26;64;0.4;93.8;0;935;12.6
12/06/2015;5:00:00;2;4;2;23;27;0.1;99.4;0.37;934;12.2
12/06/2015;6:00:00;2;9;2;15;2;0;100;0;934;12.1
12/06/2015;7:00:00;2;12;2;14;6;0.3;100;0;935;11.8
12/06/2015;8:00:00;2;11;5;14;38;0.3;97.9;0;935;12.3
12/06/2015;9:00:00;2;7;6;23;38;0.3;89.3;0;935;13.7
12/06/2015;10:00:00;2;18;9;35;21;0.4;73.7;0;936;16
12/06/2015;11:00:00;2;5;2;72;229;1.3;64.5;0;936;17.5
12/06/2015;12:00:00;2;3;3;77;243;1.4;55.6;0;936;18.7
12/06/2015;13:00:00;2;7;3;71;297;1.9;56.3;0;936;18.3
12/06/2015;14:00:00;2;2;3;88;230;2.4;44;0;935;20.6
12/06/2015;15:00:00;2;3;2;90;225;2.3;44.1;0;935;20.3
12/06/2015;16:00:00;2;2;2;93;257;2.1;40.9;0;935;20.7
12/06/2015;17:00:00;2;2;2;99;244;2.3;35;0;934;22.3
12/06/2015;18:00:00;2;2;2;100;251;2.4;32;0;934;22.6
12/06/2015;19:00:00;2;2;2;99;245;2.3;32.7;0;933;22.3
12/06/2015;20:00:00;2;2;2;98;248;2.4;33.7;0;933;21.8
12/06/2015;21:00:00;2;3;2;93;254;2;35.3;0;934;20.9
12/06/2015;22:00:00;2;3;2;90;248;1.9;39.1;0;934;19.2
12/06/2015;23:00:00;2;11;2;76;266;0.6;42.8;0;935;17.4
12/06/2015;0:00:00;2;9;2;69;292;0.2;49.3;0;935;16
13/06/2015;1:00:00;2;15;2;58;129;0.2;49.6;0;935;15.7
13/06/2015;2:00:00;2;22;2;38;354;0;55.8;0;935;14.8
13/06/2015;3:00:00;2;19;2;35;179;0;58.8;0;935;14.5
13/06/2015;4:00:00;2;17;2;35;358;0.2;59.4;0;934;14.7
13/06/2015;5:00:00;2;10;2;43;356;0.1;61.3;0;934;14.5
13/06/2015;6:00:00;2;10;2;38;237;0;63;0;934;14.5
13/06/2015;7:00:00;2;17;3;17;26;0;72.5;0;934;14
13/06/2015;8:00:00;2;4;2;28;60;0.2;74.3;0;934;13.8
13/06/2015;9:00:00;2;5;2;43;8;0.2;64.2;0;935;14.8
13/06/2015;10:00:00;2;3;2;75;200;1;49.4;0;935;16.3
13/06/2015;11:00:00;2;2;2;91;265;1.2;41.8;0;934;18.2
13/06/2015;12:00:00;2;2;2;104;243;1.1;36.9;0;934;19.4
13/06/2015;13:00:00;2;2;2;106;226;1.5;36.1;0;934;19.4
13/06/2015;14:00:00;2;2;2;108;248;1.6;35.8;0;934;19.5
13/06/2015;15:00:00;2;2;2;114;283;1.8;34.6;0;934;19.7
13/06/2015;16:00:00;2;2;2;115;243;2;33.2;0;934;19.7
13/06/2015;17:00:00;2;2;2;116;234;2.4;31.3;0;934;20.2
13/06/2015;18:00:00;2;2;2;120;233;2.5;29.3;0;933;20.8
13/06/2015;19:00:00;2;2;2;121;248;2.8;27.8;0;933;21.2
13/06/2015;20:00:00;2;2;2;117;262;2.5;28.8;0;933;20.6
13/06/2015;21:00:00;2;2;2;110;255;2.5;28.9;0;934;19.9
13/06/2015;22:00:00;2;2;2;101;253;1.7;32.2;0;934;18.1
13/06/2015;23:00:00;2;3;2;91;255;1.1;35.7;0;935;16.4
13/06/2015;0:00:00;2;3;2;84;264;1;39.8;0;936;15.2
14/06/2015;1:00:00;2;4;2;77;246;0.7;44;0;936;14.4
14/06/2015;2:00:00;2;5;2;64;310;0.1;50.7;0;936;13.2
14/06/2015;3:00:00;2;14;3;44;28;0;55.9;0;936;12.2
14/06/2015;4:00:00;2;6;2;55;243;0.2;56.4;0;936;11.8
14/06/2015;5:00:00;2;4;2;56;314;0.2;59.9;0;936;11.2
14/06/2015;6:00:00;2;2;2;68;234;0.9;60.1;0;936;11.8
14/06/2015;7:00:00;2;2;2;71;222;1;60.9;0;936;12
14/06/2015;8:00:00;2;2;2;73;206;0.8;62;0;936;12
14/06/2015;9:00:00;2;2;2;81;232;1.4;58.4;0;936;13.4
14/06/2015;10:00:00;2;2;2;84;225;1.2;55.1;0;937;14.5
14/06/2015;11:00:00;2;2;2;93;231;1.9;49.9;0;937;15.5
14/06/2015;12:00:00;2;2;2;101;224;1.8;39.5;0;936;17.6
14/06/2015;13:00:00;2;2;2;107;226;2;32.4;0;936;18.6
14/06/2015;14:00:00;2;2;2;106;244;2.2;31.6;0;936;19.6
14/06/2015;15:00:00;2;2;2;111;238;2.3;30.1;0;936;20.3
14/06/2015;16:00:00;2;2;2;114;244;2.2;28.1;0;936;20.5
14/06/2015;17:00:00;2;2;2;116;226;2.1;26.8;0;935;20.5
14/06/2015;18:00:00;2;2;2;112;247;2.2;26.1;0;935;21.3
14/06/2015;19:00:00;2;2;2;107;227;2.2;27.1;0;935;20.7
14/06/2015;20:00:00;2;2;2;102;221;2.1;28.7;0;935;19.9
14/06/2015;21:00:00;2;2;2;91;297;1.5;34;0;935;19.6
14/06/2015;22:00:00;2;6;2;80;206;2;50.2;0.37;936;16.7
14/06/2015;23:00:00;2;11;2;68;150;0.9;54.1;0;937;15.4
14/06/2015;0:00:00;2;11;2;66;220;0.8;53.7;0;938;15.3
15/06/2015;1:00:00;2;2;2;83;265;0.7;52.1;0;938;14.8
15/06/2015;2:00:00;2;2;2;83;248;0.4;55.5;0;938;14.2
15/06/2015;3:00:00;2;2;2;70;228;0.9;66.2;0;938;13.6
15/06/2015;4:00:00;2;2;2;74;233;0.7;73.4;0;937;12.9
15/06/2015;5:00:00;2;2;2;80;216;0.8;73.6;0;937;12.6
15/06/2015;6:00:00;2;2;2;73;273;0.6;73.9;0;937;12.5
15/06/2015;7:00:00;2;2;2;73;226;1.3;77.6;0;938;12.1
15/06/2015;8:00:00;2;8;2;61;221;1.4;90.8;1.48;938;11.4
15/06/2015;9:00:00;2;13;3;49;69;0.4;98.3;0.74;938;11.6
15/06/2015;10:00:00;2;9;3;56;183;0.5;88.1;0;939;12.6
15/06/2015;11:00:00;2;7;2;59;296;0.6;81.7;0;939;13.2
15/06/2015;12:00:00;2;7;2;62;63;0.4;73.7;0;940;14.3
15/06/2015;13:00:00;2;2;2;73;95;0.6;61.8;0;940;16.1
15/06/2015;14:00:00;2;2;2;82;102;1.3;52.2;0;940;18.2
15/06/2015;15:00:00;2;3;2;80;119;1.1;48.3;0;939;18.7
15/06/2015;16:00:00;2;2;2;90;343;1.2;46.5;0;939;18.9
15/06/2015;17:00:00;2;2;2;101;308;0.9;40.9;0;939;20.3
15/06/2015;18:00:00;2;2;2;104;18;0.6;40.3;0;938;19.5
15/06/2015;19:00:00;2;2;2;105;238;3.3;52.9;7.79;939;16.7
15/06/2015;20:00:00;2;6;2;110;294;3.2;70.7;12.61;940;12.4
15/06/2015;21:00:00;2;15;2;71;137;1.1;81.5;1.85;941;12.8
15/06/2015;22:00:00;2;12;2;66;346;0.5;89.4;0;941;12.4
15/06/2015;23:00:00;2;27;2;41;141;1;93.7;0;942;12.4
15/06/2015;0:00:00;2;18;2;32;25;0.5;99.8;0;942;12.8
16/06/2015;1:00:00;2;3;2;39;51;0.4;99;0;942;12.6
16/06/2015;2:00:00;2;2;2;55;37;0.7;92.3;0;943;12
16/06/2015;3:00:00;2;2;2;50;38;0.6;92.4;0;943;11.3
16/06/2015;4:00:00;2;2;2;45;67;0.4;93.2;0;942;11.1
16/06/2015;5:00:00;2;2;2;38;65;0.3;94.9;0;943;10.9
16/06/2015;6:00:00;2;4;2;29;47;0.2;98.7;0;943;10.5
16/06/2015;7:00:00;2;15;2;18;104;0.1;100;0;943;10.2
16/06/2015;8:00:00;2;18;6;17;242;0;98.5;0;943;10.2
16/06/2015;9:00:00;2;12;6;33;22;0.3;83.9;0.37;944;12.6
16/06/2015;10:00:00;2;5;3;60;67;0.6;66.4;0;944;15.1
16/06/2015;11:00:00;2;2;2;84;22;1;51.7;0;944;17.3
16/06/2015;12:00:00;2;2;2;91;17;1;43.7;0;944;19.4
16/06/2015;13:00:00;2;2;2;93;42;1;37.4;0;944;21.3
16/06/2015;14:00:00;2;2;2;96;88;0.9;33.6;0;944;22.6
16/06/2015;15:00:00;2;2;2;99;5;1.4;32.7;0;944;22.7
16/06/2015;16:00:00;2;2;2;104;347;1.4;29;0;944;24
16/06/2015;17:00:00;2;2;2;102;335;1.6;28.3;0;943;24
16/06/2015;18:00:00;2;2;2;101;26;0.9;26.6;0;943;24.7
16/06/2015;19:00:00;2;2;2;99;47;0.8;26;0;943;24.1
16/06/2015;20:00:00;2;2;2;98;23;0.9;25.8;0;943;24.4
16/06/2015;21:00:00;2;2;2;94;5;1;29;0;943;23.6
16/06/2015;22:00:00;2;11;2;72;50;0.4;36;0;944;21.6
16/06/2015;23:00:00;2;18;2;59;41;0.3;43.6;0;944;19.4
16/06/2015;0:00:00;2;9;2;55;6;0.2;53.2;0;945;17.5
17/06/2015;1:00:00;2;2;2;61;43;0.4;58.5;0;945;16.3
17/06/2015;2:00:00;2;2;2;62;48;0.6;63.6;0;945;15.3
17/06/2015;3:00:00;2;2;2;71;36;0.6;62.2;0;945;15.1
17/06/2015;4:00:00;2;2;2;63;27;0.6;67.9;0;945;14.1
17/06/2015;5:00:00;2;2;2;54;70;0.4;76.4;0;945;12.8
17/06/2015;6:00:00;2;2;2;51;46;0.4;80;0;944;11.9
17/06/2015;7:00:00;2;3;2;50;38;0.7;80.2;0;944;11.5
17/06/2015;8:00:00;2;3;2;50;31;0.8;77.4;0;945;11.6
17/06/2015;9:00:00;2;3;2;56;44;0.8;66.4;0;945;13.7
17/06/2015;10:00:00;2;3;3;64;43;1.2;56.1;0;945;15.6
17/06/2015;11:00:00;2;2;2;86;48;1.4;38.9;0;945;18.4
17/06/2015;12:00:00;2;3;3;89;43;1.5;33.9;0;945;20.3
17/06/2015;13:00:00;2;2;2;99;39;1.3;26.3;0;945;22.5
17/06/2015;14:00:00;2;2;2;105;41;1.5;24;0;944;23.7
17/06/2015;15:00:00;2;2;2;107;48;1.4;25.5;0;944;24.7
17/06/2015;16:00:00;2;3;3;109;43;1.8;26.8;0;944;25.2
17/06/2015;17:00:00;2;2;2;108;46;2.1;27.1;0;943;25.4
17/06/2015;18:00:00;2;3;2;101;66;2.2;27.1;0;942;25.6
17/06/2015;19:00:00;2;3;4;99;41;2;27.4;0;942;25.7
17/06/2015;20:00:00;2;2;2;99;51;1.9;27.6;0;942;25.1
17/06/2015;21:00:00;2;2;2;98;60;1.6;30;0;942;24.1
17/06/2015;22:00:00;2;2;2;98;62;1.5;35.1;0;943;21.7
17/06/2015;23:00:00;2;2;2;93;39;1.3;42.4;0;943;19.6
17/06/2015;0:00:00;2;2;2;91;37;1.2;48.7;0;944;17.9
18/06/2015;1:00:00;2;2;2;94;28;1.3;51.8;0;944;16.5
18/06/2015;2:00:00;2;2;2;95;29;1.2;54;0;945;15.5
18/06/2015;3:00:00;2;2;2;95;39;1.1;57.1;0;945;14.6
18/06/2015;4:00:00;2;2;2;94;41;1.1;60.1;0;945;13.9
18/06/2015;5:00:00;2;2;2;90;41;0.9;64.8;0;944;13.1
18/06/2015;6:00:00;2;2;2;88;43;0.9;67.9;0;944;12.4
18/06/2015;7:00:00;2;2;2;83;41;1;70.7;0;944;11.9
18/06/2015;8:00:00;2;2;2;85;38;1;68.1;0;945;12.4
18/06/2015;9:00:00;2;3;2;86;45;1.2;61.3;0;945;14.3
18/06/2015;10:00:00;2;2;2;88;28;1.2;53.9;0;945;16.6
18/06/2015;11:00:00;2;2;2;92;42;1.1;45.1;0;945;19.9
18/06/2015;12:00:00;2;2;2;106;28;1.1;37.7;0;945;22.7
18/06/2015;13:00:00;2;2;2;114;122;1.1;32.6;0;944;24.7
18/06/2015;14:00:00;2;2;2;119;241;1.2;28.5;0;944;25.8
18/06/2015;15:00:00;2;3;3;116;9;1.4;22.7;0;943;28
18/06/2015;16:00:00;2;2;2;122;18;1.1;19.3;0;943;28.6
18/06/2015;17:00:00;2;2;2;122;66;1;15.6;0;942;29.4
18/06/2015;18:00:00;2;2;2;126;37;1;12.2;0;942;30.7
18/06/2015;19:00:00;2;2;2;125;48;1.1;11.8;0;941;30.6
18/06/2015;20:00:00;2;2;2;120;19;1.1;12.9;0;941;30.2
18/06/2015;21:00:00;2;6;2;114;24;0.7;13.5;0;940;29.6
18/06/2015;22:00:00;2;14;2;98;27;0.4;18.5;0;941;26.5
18/06/2015;23:00:00;2;15;2;88;30;0.4;25.4;0;941;23.4
18/06/2015;0:00:00;2;4;2;93;30;0.5;30.5;0;942;22
19/06/2015;1:00:00;2;2;2;78;23;0.4;42.3;0;942;19.7
19/06/2015;2:00:00;2;2;2;74;63;0.5;48.8;0;942;18.6
19/06/2015;3:00:00;2;2;2;70;85;0.6;54.3;0;942;17.6
19/06/2015;4:00:00;2;4;2;61;85;0.5;56.6;0;942;16.8
19/06/2015;5:00:00;2;3;2;65;85;0.7;58.7;0;942;15.6
19/06/2015;6:00:00;2;2;2;60;90;0.8;60.5;0;942;14.4
19/06/2015;7:00:00;2;8;2;49;89;0.8;60.6;0;942;13.6
19/06/2015;8:00:00;2;14;2;46;44;0.5;55.9;0;942;14.3
19/06/2015;9:00:00;2;11;4;54;81;0.9;46.4;0;942;16.9
19/06/2015;10:00:00;2;9;4;61;62;0.7;33.8;0;942;20.8
19/06/2015;11:00:00;2;2;2;68;24;0.8;30.2;0;942;23.3
19/06/2015;12:00:00;2;2;2;63;41;1.2;26.9;0;942;26
19/06/2015;13:00:00;2;2;3;69;48;1.3;20.7;0;942;28.2
19/06/2015;14:00:00;2;2;3;73;40;1.2;18.4;0;942;29.7
19/06/2015;15:00:00;2;2;2;76;43;1.1;17.8;0;941;30.7
19/06/2015;16:00:00;2;2;2;84;79;1.5;17.4;0;940;31.2
19/06/2015;17:00:00;2;2;2;89;184;1.2;16.8;0;940;31.8
19/06/2015;18:00:00;2;2;2;96;279;1.4;16.4;0;939;32.1
19/06/2015;19:00:00;2;3;3;94;100;1.4;16.1;0;939;32.3
19/06/2015;20:00:00;2;2;2;96;22;0.9;16.5;0;938;32.3
19/06/2015;21:00:00;2;2;2;78;94;2.5;21.5;0;939;30.2
19/06/2015;22:00:00;2;2;2;67;5;2.4;26.4;0;939;27.3
19/06/2015;23:00:00;2;2;2;59;42;1;34.1;0;940;25.2
19/06/2015;0:00:00;2;3;2;64;42;0.9;38.1;0;941;22.7
20/06/2015;1:00:00;2;2;2;64;42;0.9;43.7;0;941;20.7
20/06/2015;2:00:00;2;2;2;66;41;0.8;48.1;0;942;19.1
20/06/2015;3:00:00;2;2;3;69;44;0.7;49.3;0;942;18
20/06/2015;4:00:00;2;2;2;68;44;0.9;52.2;0;942;16.7
20/06/2015;5:00:00;2;2;2;66;68;0.6;53.6;0;941;15.4
20/06/2015;6:00:00;2;2;2;64;61;0.6;53.1;0;942;14.4
20/06/2015;7:00:00;2;2;2;62;48;0.4;50.7;0;942;13.6
20/06/2015;8:00:00;2;3;2;65;46;0.4;41.5;0;942;14.4
20/06/2015;9:00:00;2;8;2;72;133;0.9;31.2;0;942;16.9
20/06/2015;10:00:00;2;2;2;93;42;0.9;21.3;0;942;20.3
20/06/2015;11:00:00;2;2;2;102;45;1.2;16.2;0;942;23.7
20/06/2015;12:00:00;2;2;2;111;38;1.3;11.9;0;942;26.5
20/06/2015;13:00:00;2;2;2;115;26;1;10.9;0;942;28.7
20/06/2015;14:00:00;2;2;2;123;16;1.2;8.3;0;941;30.4
20/06/2015;15:00:00;2;2;2;123;35;1.3;7.2;0;941;31.9
20/06/2015;16:00:00;2;2;2;125;48;1.3;6.3;0;940;32.8
20/06/2015;17:00:00;2;4;3;124;7;1.1;5.9;0;940;33.3
20/06/2015;18:00:00;2;2;2;127;21;0.8;6.3;0;940;33.9
20/06/2015;19:00:00;2;2;2;125;50;1.1;6.6;0;939;33.9
20/06/2015;20:00:00;2;3;3;119;22;1;7.2;0;939;33.1
20/06/2015;21:00:00;2;3;2;113;30;0.7;9.2;0;939;32.3
20/06/2015;22:00:00;2;14;2;89;21;0.4;14.3;0;939;29.2
20/06/2015;23:00:00;2;16;2;71;19;0.3;20.7;0;940;25.4
20/06/2015;0:00:00;2;6;2;81;36;0.4;21.8;0;941;24.1
21/06/2015;1:00:00;2;2;2;79;44;0.4;27.6;0;941;22.8
21/06/2015;2:00:00;2;2;2;84;45;0.8;30.8;0;941;21.9
21/06/2015;3:00:00;2;2;2;83;48;0.9;35.3;0;941;20.3
21/06/2015;4:00:00;2;2;2;76;75;0.6;40.3;0;941;18.9
21/06/2015;5:00:00;2;2;2;74;68;0.5;45;0;941;17.6
21/06/2015;6:00:00;2;2;2;65;64;0.4;49.3;0;941;16.5
21/06/2015;7:00:00;2;2;2;63;70;0.6;51.8;0;942;15.9
21/06/2015;8:00:00;2;2;2;66;47;0.5;50.4;0;942;16.5
21/06/2015;9:00:00;2;2;2;71;46;0.6;44.5;0;942;18.8
21/06/2015;10:00:00;2;2;2;80;45;0.5;36.3;0;942;21.9
21/06/2015;11:00:00;2;2;2;95;26;0.4;32.1;0;942;25.5
21/06/2015;12:00:00;2;2;2;110;263;0.6;28.5;0;941;28.1
21/06/2015;13:00:00;3;7;3;110;341;0.6;24;0;941;30.3
21/06/2015;14:00:00;3;3;2;129;271;1.1;20.5;0;940;32
21/06/2015;15:00:00;3;2;2;140;315;1.8;13.7;0;940;33.4
21/06/2015;16:00:00;2;2;2;141;273;2;10.7;0;940;34
21/06/2015;17:00:00;2;3;2;151;286;2;10.9;0;939;34.7
21/06/2015;18:00:00;2;2;2;170;195;1.5;10.9;0;939;34.7
21/06/2015;19:00:00;2;2;2;169;258;1.7;11.9;0;938;34.8
21/06/2015;20:00:00;2;2;2;161;239;1.4;12.7;0;938;33.9
21/06/2015;21:00:00;2;11;2;130;253;0.7;14.5;0;938;32.4
