Fecha;Hora;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
25/06/2015;1:00:00;2;2;2;121;66;0.5;36.3;0;942;22.8
25/06/2015;2:00:00;5;10;2;100;158;1.8;42.1;0;942;21.7
25/06/2015;3:00:00;6;2;2;107;37;0.3;47;0;943;20.8
25/06/2015;4:00:00;4;2;2;106;46;0.3;49.6;0;943;20.3
25/06/2015;5:00:00;3;2;2;66;61;0.4;58.6;0;943;17.2
25/06/2015;6:00:00;3;2;2;67;49;0.4;61.4;0;943;16.6
25/06/2015;7:00:00;2;8;2;56;53;0.3;63.7;0;943;16.2
25/06/2015;8:00:00;2;11;2;49;48;0.2;64.4;0;944;16.2
25/06/2015;9:00:00;2;6;2;61;47;0.4;58;0;944;18.4
25/06/2015;10:00:00;2;3;2;77;27;0.3;51.1;0;944;21.4
25/06/2015;11:00:00;2;3;2;97;21;0.3;44.8;0;944;24.3
25/06/2015;12:00:00;2;10;3;99;305;0.8;39;0;944;26
25/06/2015;13:00:00;3;3;2;121;282;1.3;34.4;0;944;27.8
25/06/2015;14:00:00;3;2;2;138;241;1.6;27.5;0;944;29.6
25/06/2015;15:00:00;3;2;2;137;271;1.7;16;0;944;30.8
25/06/2015;16:00:00;2;2;2;148;323;1.5;14.6;0;943;31.8
25/06/2015;17:00:00;2;2;2;161;337;1.3;14.4;0;943;32.2
25/06/2015;18:00:00;2;2;2;167;268;1.2;12;0;943;32.7
25/06/2015;19:00:00;2;2;2;181;263;1.5;11.7;0;942;32.6
25/06/2015;20:00:00;2;3;2;181;281;1.5;11.6;0;942;32.3
25/06/2015;21:00:00;2;7;2;171;266;0.8;12;0;942;31.8
25/06/2015;22:00:00;2;25;2;132;287;0.3;16;0;943;29.6
25/06/2015;23:00:00;5;58;2;73;120;0.1;20.2;0;943;26.7
25/06/2015;0:00:00;4;76;4;17;241;0;27.1;0;944;24.5
26/06/2015;1:00:00;3;49;2;18;359;0;29.9;0;944;23.1
26/06/2015;2:00:00;2;47;2;30;39;0.1;32.8;0;944;21.5
26/06/2015;3:00:00;2;33;2;36;51;0.3;39.8;0;944;19.9
26/06/2015;4:00:00;2;17;2;47;121;0.3;45.8;0;944;18.8
26/06/2015;5:00:00;2;5;2;63;5;0.2;46.3;0;943;18.8
26/06/2015;6:00:00;2;3;2;55;45;0.4;52.6;0;944;17.3
26/06/2015;7:00:00;2;12;2;41;36;0.4;56.9;0;944;16.1
26/06/2015;8:00:00;2;19;2;35;44;0.2;57.1;0;945;16.3
26/06/2015;9:00:00;2;29;7;38;67;0.3;50.7;0;945;19.3
26/06/2015;10:00:00;2;7;3;78;45;0.3;44.9;0;945;22.6
26/06/2015;11:00:00;2;5;2;102;351;0.4;35.1;0;945;26.3
26/06/2015;12:00:00;8;28;7;87;320;0.4;26.3;0;945;29
