Fecha;SO2;CO;NO;NO2;PM10;NOX;O3
30/07/2015;3;0.1;2;4;24;6;61
31/07/2015;3;0.1;3;4;;7;48
01/08/2015;3;0.1;4;6;;8;82
02/08/2015;3;0.1;13;5;;24;69
03/08/2015;3;0.1;4;5;;10;60
04/08/2015;3;0.1;2;4;;6;68
05/08/2015;3;0.1;2;4;;6;71
06/08/2015;3;0.1;4;4;;9;75
07/08/2015;3;0.1;4;5;;9;63
08/08/2015;3;0.1;3;5;;9;51
09/08/2015;3;0.1;2;4;;6;58
10/08/2015;3;0.1;4;4;;8;60
11/08/2015;3;0.1;2;4;;6;52
12/08/2015;3;0.1;6;4;;11;53
13/08/2015;4;0.3;8;4;23;14;55
14/08/2015;3;0.2;4;5;;9;68
15/08/2015;3;0.1;2;4;;7;62
16/08/2015;3;0.1;3;4;;6;61
17/08/2015;3;0.1;3;4;;7;63
18/08/2015;3;0.1;3;4;;7;63
19/08/2015;3;0.1;4;4;;8;64
20/08/2015;3;0.1;3;4;;7;55
21/08/2015;3;0.1;2;4;;7;60
22/08/2015;3;0.1;2;4;;6;63
23/08/2015;3;0.2;2;5;;7;46
24/08/2015;3;0.2;4;4;;8;62
25/08/2015;3;0.1;5;5;;10;63
26/08/2015;3;0.1;3;5;;8;
27/08/2015;3;0.2;2;7;22;8;
28/08/2015;3;0.1;3;5;19;8;
29/08/2015;3;0.1;3;8;16;12;
30/08/2015;3;0.1;3;7;19;9;
31/08/2015;3;0.2;4;4;28;8;
