Fecha;Hora;SO2;NO;NO2;PM10;O3;dd;vv;TMP;PRB
10/03/2015;15:00:00;1;0.0;5;13;107;118;2.3;18.5;1025
10/03/2015;16:00:00;1;0.0;4;13;112;106;2.2;18.3;1024
10/03/2015;17:00:00;1;0.0;4;13;119;59;1.9;16.9;1024
10/03/2015;18:00:00;1;0.0;9;15;116;166;0.8;16.9;1024
10/03/2015;19:00:00;0;0.0;7;15;121;181;2.0;14.8;1024
10/03/2015;20:00:00;1;0.0;6;16;113;195;2.0;13.9;1025
10/03/2015;21:00:00;2;0.0;7;18;106;223;1.9;13.4;1025
10/03/2015;22:00:00;2;0.0;8;19;92;220;1.9;12.2;1025
10/03/2015;23:00:00;3;0.0;10;18;81;220;1.5;11.5;1025
10/03/2015;0:00:00;3;0.1;11;23;78;220;1.5;10.9;1025
11/03/2015;1:00:00;4;0.3;14;28;69;235;1.2;10.7;1024
11/03/2015;2:00:00;6;0.3;26;30;50;237;0.2;9.8;1024
11/03/2015;3:00:00;3;1.1;11;26;78;224;1.8;10.0;1024
11/03/2015;4:00:00;2;0.9;6;21;82;237;1.2;9.7;1023
11/03/2015;5:00:00;1;1.0;4;15;83;231;0.9;9.3;1023
11/03/2015;6:00:00;1;0.9;3;14;88;237;1.4;9.5;1023
11/03/2015;7:00:00;1;0.6;3;13;88;240;1.3;9.4;1023
11/03/2015;8:00:00;0;0.2;4;13;89;235;1.5;9.5;1024
11/03/2015;9:00:00;0;1.1;12;13;78;227;1.0;9.8;1024
11/03/2015;10:00:00;1;1.1;9;10;76;212;0.7;10.9;1024
11/03/2015;11:00:00;2;3.3;17;7;72;190;0.4;12.8;1023
11/03/2015;12:00:00;2;1.4;20;6;101;244;1.5;16.4;1023
11/03/2015;13:00:00;11;2.3;18;11;71;207;1.1;18.7;1023
11/03/2015;14:00:00;13;34.1;48;8;98;114;1.9;20.5;1022
11/03/2015;15:00:00;1;0.0;3;7;110;114;1.9;20.8;1022
11/03/2015;16:00:00;1;0.2;1;9;116;113;2.3;19.7;1021
11/03/2015;17:00:00;0;1.0;7;10;113;115;2.4;18.9;1021
11/03/2015;18:00:00;0;0.0;0;10;123;117;2.4;17.1;1021
11/03/2015;19:00:00;0;0.6;1;10;116;120;1.7;15.1;1021
11/03/2015;20:00:00;1;1.3;3;10;109;124;1.1;13.8;1021
11/03/2015;21:00:00;2;2.3;6;12;104;162;0.3;13.0;1022
11/03/2015;22:00:00;4;2.3;10;19;89;227;0.9;13.0;1022
11/03/2015;23:00:00;8;2.9;24;21;59;263;0.4;12.4;1022
11/03/2015;0:00:00;14;7.0;32;28;44;277;0.5;11.7;1021
12/03/2015;1:00:00;8;2.3;18;33;46;222;0.3;11.3;1021
12/03/2015;2:00:00;7;2.3;10;34;43;113;0.1;10.8;1021
12/03/2015;3:00:00;9;2.4;12;36;32;179;0.1;10.2;1020
12/03/2015;4:00:00;10;3.1;19;38;30;180;0.5;10.1;1020
12/03/2015;5:00:00;11;2.6;12;36;34;294;0.2;10.0;1020
12/03/2015;6:00:00;9;2.8;7;29;39;321;0.2;9.4;1019
12/03/2015;7:00:00;8;3.4;6;25;44;179;0.3;9.4;1019
12/03/2015;8:00:00;5;2.6;6;21;53;191;0.6;9.7;1019
12/03/2015;9:00:00;9;15.8;38;26;38;275;0.8;10.8;1019
12/03/2015;10:00:00;5;5.3;13;18;46;175;1.2;12.5;1020
12/03/2015;11:00:00;4;5.7;15;15;55;183;0.5;14.1;1020
12/03/2015;12:00:00;2;1.7;4;14;97;130;2.8;17.0;1020
12/03/2015;13:00:00;1;0.9;0;16;108;117;3.3;18.1;1020
12/03/2015;14:00:00;1;0.4;0;17;106;118;3.7;18.6;1019
12/03/2015;15:00:00;0;0.1;0;15;99;115;3.8;18.8;1018
12/03/2015;16:00:00;0;0.3;0;16;92;114;3.6;18.3;1018
12/03/2015;17:00:00;0;0.3;0;17;94;116;2.9;17.9;1018
12/03/2015;18:00:00;0;0.2;0;19;97;118;2.6;16.4;1018
12/03/2015;19:00:00;0;0.9;0;20;93;111;1.6;14.3;1018
12/03/2015;20:00:00;1;1.2;1;22;92;103;1.7;12.9;1019
12/03/2015;21:00:00;1;2.2;1;22;103;81;1.1;12.3;1019
12/03/2015;22:00:00;0;2.3;2;26;103;52;0.7;12.3;1019
12/03/2015;23:00:00;4;2.2;6;30;79;101;0.8;11.3;1020
12/03/2015;0:00:00;3;2.3;1;28;87;42;0.8;11.0;1020
13/03/2015;1:00:00;1;2.3;2;26;91;62;0.5;11.2;1020
13/03/2015;2:00:00;2;2.3;0;26;87;56;0.7;10.7;1020
13/03/2015;3:00:00;1;2.3;0;25;89;39;0.8;10.9;1019
13/03/2015;4:00:00;1;2.3;0;22;97;60;0.8;11.4;1019
13/03/2015;5:00:00;1;2.3;0;19;99;85;0.6;12.0;1019
13/03/2015;6:00:00;1;2.3;0;19;102;119;1.2;12.2;1019
13/03/2015;7:00:00;3;1.9;5;23;64;127;0.5;11.6;1020
13/03/2015;8:00:00;2;2.2;3;20;64;35;0.6;10.4;1020
13/03/2015;9:00:00;6;7.5;29;22;49;133;0.2;11.4;1020
13/03/2015;10:00:00;2;3.7;16;18;80;146;1.7;14.0;1021
13/03/2015;11:00:00;1;1.1;1;16;94;163;1.8;14.4;1021
13/03/2015;12:00:00;0;0.6;0;16;106;149;2.5;14.8;1021
13/03/2015;13:00:00;0;0.0;0;16;107;119;2.8;17.5;1021
13/03/2015;14:00:00;0;0.0;0;16;108;117;3.7;17.7;1020
