Fecha;CO;NO;NO2;O3;PM10;SH2;PM25;PST;SO2
18/06/2014;;2;12;87;17;;;;2
19/06/2014;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;89;28;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
20/06/2014;;;;89;35;;;;
21/06/2014;;;;78;17;;;;
22/06/2014;;;;82;11;;;;
23/06/2014;;;;74;16;;;;
24/06/2014;;;;79;11;;;;
25/06/2014;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;83;16;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
26/06/2014;;3;10;80;15;;;;2
27/06/2014;;5;12;70;12;;;;3
28/06/2014;;4;7;64;10;;;;2
29/06/2014;;3;7;65;7;;;;1
30/06/2014;;4;8;73;12;;;;1
01/07/2014;;4;6;70;11;;;;2
02/07/2014;;2;6;64;13;;;;3
03/07/2014;;2;9;75;13;;;;2
04/07/2014;;6;11;68;15;;;;1
05/07/2014;;5;5;55;12;;;;1
06/07/2014;;4;3;44;8;;;;1
07/07/2014;;5;7;69;13;;;;2
08/07/2014;;5;7;70;15;;;;1
09/07/2014;;4;7;67;15;;;;1
10/07/2014;;5;8;69;17;;;;1
11/07/2014;;5;10;60;14;;;;2
12/07/2014;;4;8;66;13;;;;2
13/07/2014;;4;5;69;12;;;;1
14/07/2014;;5;14;67;20;;;;1
15/07/2014;;5;13;83;29;;;;1
16/07/2014;;10;17;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;29;;;;2
17/07/2014;;8;14;93;39;;;;2
18/07/2014;;9;11;77;22;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
19/07/2014;;7;8;61;11;;;;1
20/07/2014;;6;5;57;9;;;;1
21/07/2014;;7;12;58;13;;;;1
22/07/2014;;7;16;68;16;;;;2
23/07/2014;;6;13;84;17;;;;2
24/07/2014;;6;11;102;27;;;;2
25/07/2014;;6;12;94;25;;;;1
26/07/2014;;5;11;104;25;;;;1
27/07/2014;;5;8;108;25;;;;2
28/07/2014;;6;10;103;24;;;;1
29/07/2014;;6;9;72;12;;;;1
30/07/2014;;6;13;83;15;;;;1
31/07/2014;;7;14;93;21;;;;2
01/08/2014;;8;10;92;28;;;;2
02/08/2014;;8;6;56;9;;;;1
03/08/2014;;6;6;60;8;;;;1
04/08/2014;;8;11;72;12;;;;1
05/08/2014;;7;11;82;15;;;;1
06/08/2014;;8;9;61;15;;;;1
07/08/2014;;9;10;53;14;;;;2
08/08/2014;;9;7;50;10;;;;1
09/08/2014;;8;6;58;11;;;;1
10/08/2014;;7;4;61;11;;;;1
11/08/2014;;8;10;65;12;;;;1
12/08/2014;;9;8;61;15;;;;1
13/08/2014;;7;9;71;11;;;;2
14/08/2014;;7;13;66;17;;;;1
15/08/2014;;5;7;74;19;;;;1
16/08/2014;;5;6;81;13;;;;1
17/08/2014;;6;13;73;17;;;;1
18/08/2014;;8;13;82;24;;;;1
19/08/2014;;7;10;81;17;;;;1
20/08/2014;;4;7;69;15;;;;2
21/08/2014;;2;6;69;15;;;;2
22/08/2014;;2;9;72;17;;;;2
23/08/2014;;2;11;68;15;;;;2
24/08/2014;;2;6;79;14;;;;2
25/08/2014;;5;12;77;16;;;;1
26/08/2014;;4;3;46;14;;;;1
27/08/2014;;4;6;50;14;;;;1
28/08/2014;;4;5;59;13;;;;2
29/08/2014;;2;8;66;13;;;;3
30/08/2014;;1;6;72;16;;;;2
31/08/2014;;1;5;75;15;;;;1
01/09/2014;;2;15;62;18;;;;1
02/09/2014;;4;15;71;34;;;;2
03/09/2014;;3;10;87;33;;;;2
04/09/2014;;4;8;58;22;;;;2
05/09/2014;;3;9;63;21;;;;2
06/09/2014;;3;4;61;15;;;;1
07/09/2014;;2;9;45;10;;;;1
08/09/2014;;3;12;47;12;;;;1
09/09/2014;;4;18;55;20;;;;1
10/09/2014;;4;14;66;19;;;;1
11/09/2014;;4;8;62;11;;;;1
12/09/2014;;5;12;52;12;;;;1
13/09/2014;;2;8;66;14;;;;1
14/09/2014;;1;7;67;13;;;;2
15/09/2014;;3;9;56;11;;;;1
16/09/2014;;4;10;49;17;;;;1
17/09/2014;;2;6;58;9;;;;1
18/09/2014;;2;6;61;10;;;;2
19/09/2014;;3;8;56;10;;;;2
20/09/2014;;2;10;54;12;;;;2
21/09/2014;;1;5;57;13;;;;2
22/09/2014;;2;6;71;8;;;;1
23/09/2014;;2;6;61;11;;;;1
24/09/2014;;1;7;67;29;;;;3
25/09/2014;;2;8;64;34;;;;2
26/09/2014;;3;12;57;25;;;;2
27/09/2014;;2;7;59;19;;;;1
28/09/2014;;1;4;64;11;;;;1
29/09/2014;;5;9;50;13;;;;2
30/09/2014;;2;10;49;19;;;;2
01/10/2014;;2;8;57;21;;;;1
02/10/2014;;2;10;59;23;;;;2
03/10/2014;;3;10;61;22;;;;1
04/10/2014;;2;8;63;21;;;;2
05/10/2014;;2;4;63;12;;;;1
06/10/2014;;3;4;56;9;;;;1
07/10/2014;;2;3;60;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
08/10/2014;;2;3;41;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
09/10/2014;;4;6;54;13;;;;2
10/10/2014;;4;9;45;16;;;;2
11/10/2014;;2;4;53;12;;;;2
12/10/2014;;1;2;73;5;;;;1
13/10/2014;;1;2;67;8;;;;2
14/10/2014;;4;5;66;9;;;;2
15/10/2014;;2;3;51;9;;;;1
16/10/2014;;1;1;54;9;;;;1
17/10/2014;;5;12;45;13;;;;1
18/10/2014;;9;21;36;21;;;;1
19/10/2014;;4;18;31;30;;;;1
20/10/2014;;28;27;24;45;;;;2
21/10/2014;;14;20;32;44;;;;2
22/10/2014;;9;24;32;29;;;;1
23/10/2014;;27;31;20;34;;;;3
24/10/2014;;25;26;13;37;;;;2
25/10/2014;;8;19;19;38;;;;2
26/10/2014;;8;18;26;32;;;;1
27/10/2014;;19;23;27;35;;;;2
28/10/2014;;11;28;24;36;;;;2
29/10/2014;;29;30;19;48;;;;2
30/10/2014;;22;27;17;41;;;;3
31/10/2014;;13;25;26;37;;;;3
01/11/2014;;5;17;35;27;;;;1
02/11/2014;;2;8;51;12;;;;1
03/11/2014;;3;7;68;9;;;;2
04/11/2014;;6;10;64;6;;;;4
05/11/2014;;7;11;54;10;;;;4
06/11/2014;;5;11;46;12;;;;2
07/11/2014;;7;14;61;11;;;;2
08/11/2014;;3;9;65;9;;;;1
09/11/2014;;4;9;58;7;;;;2
10/11/2014;;5;15;42;8;;;;2
11/11/2014;;5;11;65;5;;;;2
12/11/2014;;6;15;56;8;;;;2
13/11/2014;;4;13;56;6;;;;2
14/11/2014;;6;13;68;6;;;;1
15/11/2014;;4;7;64;6;;;;2
16/11/2014;;2;5;68;9;;;;1
17/11/2014;;8;17;59;7;;;;2
18/11/2014;;10;24;29;14;;;;2
19/11/2014;;8;21;20;10;;;;1
20/11/2014;;18;24;12;18;;;;3
21/11/2014;;15;21;15;24;;;;1
22/11/2014;;7;14;14;31;;;;1
23/11/2014;;5;13;15;37;;;;2
24/11/2014;;11;16;15;30;;;;3
25/11/2014;;7;13;19;25;;;;1
26/11/2014;;7;19;29;19;;;;1
27/11/2014;;6;17;29;13;;;;2
28/11/2014;;4;14;62;6;;;;2
29/11/2014;;3;10;43;5;;;;2
30/11/2014;;3;10;45;6;;;;2
01/12/2014;;13;16;38;13;;;;3
02/12/2014;;7;16;33;11;;;;3
03/12/2014;;7;14;22;9;;;;2
04/12/2014;;5;12;29;9;;;;2
05/12/2014;;10;14;25;10;;;;2
06/12/2014;;3;10;41;9;;;;3
07/12/2014;;4;14;34;11;;;;3
08/12/2014;;6;13;27;10;;;;3
09/12/2014;;18;22;24;17;;;;4
