Fecha;NO;NO2;NOX;PM10;PM25;SO2;dd;vv
09/04/2015;8;98;49;21;11;6;146;2.02
08/04/2015;4;30;27;18;8;4;140;5.13
07/04/2015;26;70;89;29;20;7;163;1.13
06/04/2015;5;41;29;16;10;5;287;0.14
05/04/2015;3;39;20;11;5;4;348;0.49
04/04/2015;3;22;17;9;4;3;320;2.84
03/04/2015;7;52;36;17;10;7;291;1.25
02/04/2015;6;53;37;21;11;6;216;0.66
01/04/2015;12;77;52;24;10;4;326;2.15
31/03/2015;9;46;39;16;7;4;308;4.12
30/03/2015;9;57;51;24;10;4;308;3.92
29/03/2015;3;44;27;17;10;6;311;1.96
28/03/2015;5;57;32;16;10;4;310;2.2
27/03/2015;8;67;42;13;4;4;306;2.52
26/03/2015;13;76;43;9;4;5;298;3.16
25/03/2015;13;59;54;13;3;4;314;5.19
24/03/2015;22;69;77;17;8;4;315;3.18
23/03/2015;31;86;102;14;9;5;177;0.31
22/03/2015;3;21;19;23;10;3;332;3.01
21/03/2015;6;49;37;25;15;4;303;1.32
20/03/2015;12;62;55;43;29;4;326;2.73
19/03/2015;12;53;50;25;17;6;309;1.04
18/03/2015;30;101;105;29;17;8;284;0.9
17/03/2015;7;80;55;23;18;5;141;3.33
16/03/2015;36;76;102;31;21;5;141;2.09
15/03/2015;3;28;20;25;15;4;307;2.04
14/03/2015;4;20;19;18;10;4;301;4.02
13/03/2015;10;59;46;21;9;4;308;4.96
12/03/2015;27;81;90;44;33;6;298;0.71
11/03/2015;15;73;71;36;25;7;311;0.82
10/03/2015;32;76;101;31;19;9;229;0.66
09/03/2015;37;85;108;34;17;6;226;0.96
08/03/2015;8;59;44;22;15;9;224;0.56
07/03/2015;21;82;78;25;18;12;179;1.24
06/03/2015;40;88;118;35;23;7;171;1.48
05/03/2015;7;56;41;23;8;5;346;1.11
04/03/2015;17;66;60;14;4;4;322;4.31
03/03/2015;29;67;88;23;12;5;316;0.94
02/03/2015;26;76;91;17;9;5;293;0.99
01/03/2015;7;56;36;17;17;4;174;1.19
28/02/2015;5;44;31;10;6;4;270;1.13
27/02/2015;13;66;51;18;5;4;314;4.45
26/02/2015;8;35;32;7;3;3;307;5.67
25/02/2015;6;26;23;9;4;3;303;6.5
24/02/2015;6;26;25;11;3;3;300;5.06
23/02/2015;11;44;41;13;7;4;297;3.24
22/02/2015;3;35;17;11;4;4;310;3.15
21/02/2015;3;14;13;11;3;3;309;6.1
20/02/2015;13;65;55;13;10;6;162;1.74
19/02/2015;38;91;114;23;14;11;174;1.13
18/02/2015;17;74;66;19;9;5;311;1.2
17/02/2015;14;61;53;21;7;5;327;5.65
16/02/2015;8;46;36;11;4;4;306;3.39
15/02/2015;3;35;22;8;4;4;306;2.46
14/02/2015;3;20;16;5;4;6;219;0.77
13/02/2015;7;59;37;13;9;5;210;0.66
12/02/2015;;68;;;;;;
11/02/2015;;77;;;;;;
10/02/2015;31;96;101;30;25;7;155;2.62
09/02/2015;16;81;64;26;15;5;337;0.61
08/02/2015;5;46;31;25;18;6;338;2.22
07/02/2015;15;61;58;26;21;4;155;0.7
06/02/2015;13;50;47;12;8;4;334;1.91
05/02/2015;14;49;47;14;5;4;331;4.87
04/02/2015;9;49;38;12;5;4;333;3.96
03/02/2015;10;64;46;10;5;4;321;1.5
02/02/2015;10;70;41;7;5;4;192;0.9
01/02/2015;2;12;11;14;5;4;309;5.9
31/01/2015;3;13;12;12;2;3;303;5.65
30/01/2015;9;77;37;13;5;3;304;5.7
29/01/2015;9;54;31;11;6;5;302;4.39
28/01/2015;8;43;36;11;6;6;294;2.24
27/01/2015;16;70;56;13;6;4;302;3.03
26/01/2015;48;72;113;27;16;7;244;0.8
25/01/2015;7;65;36;22;13;5;283;0.32
24/01/2015;17;58;56;24;17;6;203;0.53
23/01/2015;29;79;87;20;11;5;315;1.22
22/01/2015;15;53;51;12;4;5;314;4.73
21/01/2015;5;35;23;7;3;7;280;2.6
20/01/2015;14;66;54;14;12;7;185;1
19/01/2015;;50;;13;5;7;311;4.87
18/01/2015;;0;;5;4;4;166;1.25
17/01/2015;;0;;13;9;12;262;0.63
16/01/2015;;31;;8;3;9;271;1.98
15/01/2015;8;60;34;10;5;3;157;2.03
14/01/2015;23;71;59;10;8;5;161;1.82
13/01/2015;7;31;29;13;9;4;178;1.67
12/01/2015;12;56;47;13;11;5;153;2.91
11/01/2015;5;62;29;19;10;5;301;1.24
10/01/2015;32;50;82;34;28;10;189;0.83
09/01/2015;52;69;135;35;24;8;166;1.64
08/01/2015;73;76;169;26;18;8;168;1.55
07/01/2015;55;75;136;39;36;7;166;2.15
06/01/2015;23;57;74;35;36;12;167;1.53
05/01/2015;30;73;86;19;16;7;201;1.1
04/01/2015;16;62;66;25;24;9;165;1.02
03/01/2015;35;62;94;48;;14;177;1.42
02/01/2015;43;82;120;17;13;8;164;2.66
01/01/2015;11;58;59;17;14;8;162;3.58
