Fecha;Hora;NO;NO2;O3;PM10;TMP;HR;PRB;LL
31/05/2015;12:00:00;1.6;1;117;12;23.4;50;1018;0.0
31/05/2015;13:00:00;1.4;1;121;24;24.3;45;1018;0.0
31/05/2015;14:00:00;1.6;1;121;24;25.2;45;1018;0.0
31/05/2015;15:00:00;1.6;1;122;18;24.8;48;1018;0.0
31/05/2015;16:00:00;1.4;1;115;15;23.3;55;1018;0.0
31/05/2015;17:00:00;1.4;1;115;17;23.4;54;1017;0.0
31/05/2015;18:00:00;1.7;4;111;19;22.9;57;1018;0.0
31/05/2015;19:00:00;1.5;6;108;12;22.5;60;1018;0.0
31/05/2015;20:00:00;1.6;4;103;21;21.8;63;1018;0.0
31/05/2015;21:00:00;1.8;3;92;22;20.8;66;1019;0.0
31/05/2015;22:00:00;1.6;3;79;22;20.2;70;1019;0.0
31/05/2015;23:00:00;1.7;5;71;24;19.8;72;1019;0.0
31/05/2015;0:00:00;1.5;1;88;14;19.8;76;1019;0.0
01/06/2015;1:00:00;3.5;7;81;20;19.5;80;1018;0.0
01/06/2015;2:00:00;1.5;1;77;13;19.3;82;1019;0.0
01/06/2015;3:00:00;5.1;13;77;25;19.4;83;1019;0.0
01/06/2015;4:00:00;1.8;2;60;16;18.5;83;1019;0.0
01/06/2015;5:00:00;7.0;8;48;16;17.9;85;1019;0.0
01/06/2015;6:00:00;7.6;14;44;24;19.3;86;1019;0.0
01/06/2015;7:00:00;7.1;15;82;37;21.8;73;1019;0.0
01/06/2015;8:00:00;2.9;7;110;22;24.1;44;1019;0.0
01/06/2015;9:00:00;2.6;5;115;19;24.3;44;1019;0.0
01/06/2015;10:00:00;3.5;7;111;21;25.0;46;1019;0.0
01/06/2015;11:00:00;2.9;9;105;23;24.5;58;1019;0.0
01/06/2015;12:00:00;1.9;4;113;28;23.9;63;1019;0.0
01/06/2015;13:00:00;1.7;3;120;22;24.1;54;1019;0.0
01/06/2015;14:00:00;1.9;4;117;11;24.6;49;1018;0.0
01/06/2015;15:00:00;2.1;4;117;22;24.7;48;1018;0.0
01/06/2015;16:00:00;7.9;13;111;22;24.6;46;1018;0.0
01/06/2015;17:00:00;2.0;3;111;25;24.0;53;1018;0.0
01/06/2015;18:00:00;1.6;2;109;11;23.1;58;1018;0.0
01/06/2015;19:00:00;1.8;2;105;13;22.4;62;1019;0.0
01/06/2015;20:00:00;2.9;7;92;23;21.5;72;1019;0.0
01/06/2015;21:00:00;1.6;3;85;24;21.0;75;1019;0.0
01/06/2015;22:00:00;1.8;3;81;19;20.6;78;1020;0.0
01/06/2015;23:00:00;1.6;3;68;32;20.0;81;1020;0.0
01/06/2015;0:00:00;1.5;1;65;23;19.7;83;1020;0.0
02/06/2015;1:00:00;1.7;1;73;20;19.8;85;1019;0.0
02/06/2015;2:00:00;3.1;5;60;26;19.5;86;1019;0.0
02/06/2015;3:00:00;2.8;6;57;28;19.4;88;1019;0.0
02/06/2015;4:00:00;1.6;2;47;26;19.0;88;1019;0.0
02/06/2015;5:00:00;5.5;9;31;19;18.4;89;1019;0.0
02/06/2015;6:00:00;9.9;22;34;28;20.0;90;1020;0.2
02/06/2015;7:00:00;4.7;13;72;35;21.3;87;1020;0.0
02/06/2015;8:00:00;2.9;9;86;26;22.4;72;1021;0.0
02/06/2015;9:00:00;2.9;8;92;13;23.0;70;1021;0.0
02/06/2015;10:00:00;2.7;8;102;18;23.9;57;1021;0.0
02/06/2015;11:00:00;2.3;6;106;13;24.3;56;1021;0.0
02/06/2015;12:00:00;1.8;3;115;25;24.4;49;1021;0.0
02/06/2015;13:00:00;1.6;2;115;18;24.8;47;1021;0.0
02/06/2015;14:00:00;2.0;3;113;13;25.1;49;1021;0.0
02/06/2015;15:00:00;1.9;4;111;30;25.2;49;1021;0.0
02/06/2015;16:00:00;2.0;3;110;12;25.7;43;1020;0.0
02/06/2015;17:00:00;1.8;3;110;21;25.4;44;1020;0.0
02/06/2015;18:00:00;1.7;2;111;16;24.7;46;1020;0.0
02/06/2015;19:00:00;2.6;5;103;11;23.7;55;1021;0.0
02/06/2015;20:00:00;1.5;3;92;21;22.4;71;1021;0.0
02/06/2015;21:00:00;1.8;4;87;26;21.6;75;1022;0.0
02/06/2015;22:00:00;1.4;2;84;24;21.1;79;1022;0.0
02/06/2015;23:00:00;1.6;2;81;24;20.9;82;1022;0.0
02/06/2015;0:00:00;2.7;5;76;21;20.7;84;1022;0.0
03/06/2015;1:00:00;1.3;1;64;24;20.2;85;1022;0.0
03/06/2015;2:00:00;1.5;3;42;19;19.4;85;1021;0.0
03/06/2015;3:00:00;1.9;3;48;23;19.3;86;1021;0.0
03/06/2015;4:00:00;1.4;2;44;21;18.9;87;1021;0.0
03/06/2015;5:00:00;5.8;7;38;21;18.9;88;1022;0.0
03/06/2015;6:00:00;4.7;15;51;28;20.3;89;1022;0.0
03/06/2015;7:00:00;11.4;26;67;29;21.9;79;1022;0.0
03/06/2015;8:00:00;4.3;11;88;31;23.9;58;1022;0.0
03/06/2015;9:00:00;6.5;13;90;22;24.2;62;1022;0.0
03/06/2015;10:00:00;3.0;10;96;17;25.3;53;1022;0.0
03/06/2015;11:00:00;2.6;5;98;16;25.4;60;1023;0.0
03/06/2015;12:00:00;2.8;3;102;17;25.2;59;1023;0.0
03/06/2015;13:00:00;2.4;3;110;17;25.7;55;1022;0.0
03/06/2015;14:00:00;2.9;4;105;26;25.1;58;1022;0.0
03/06/2015;15:00:00;3.4;3;102;21;25.4;57;1022;0.0
03/06/2015;16:00:00;2.7;3;101;21;25.2;57;1021;0.0
03/06/2015;17:00:00;2.0;4;96;29;25.6;56;1021;0.0
03/06/2015;18:00:00;1.7;4;96;25;25.0;56;1021;0.0
03/06/2015;19:00:00;1.6;4;95;12;24.0;63;1021;0.0
03/06/2015;20:00:00;1.6;4;87;10;22.9;73;1022;0.0
03/06/2015;21:00:00;1.7;5;60;58;21.9;75;1022;0.0
03/06/2015;22:00:00;1.8;8;39;33;21.0;77;1022;0.0
03/06/2015;23:00:00;1.4;5;40;32;20.1;79;1022;0.0
03/06/2015;0:00:00;1.6;3;40;24;19.7;81;1022;0.0
04/06/2015;1:00:00;1.5;4;41;14;18.9;82;1022;0.0
04/06/2015;2:00:00;1.5;3;36;15;18.4;83;1022;0.0
04/06/2015;3:00:00;2.0;3;47;19;18.0;83;1022;0.0
