Fecha;Hora;SO2;NO;NO2;dd;vv;TMP;O3
30/08/2015;15:00:00;0;1.1;5;200;1.3;32.9;98
30/08/2015;16:00:00;0;1.1;5;176;1.3;33.1;98
30/08/2015;17:00:00;0;1.1;6;193;0.8;32.6;94
30/08/2015;18:00:00;0;1.1;6;162;0.9;31.8;94
30/08/2015;19:00:00;0;1.1;7;199;0.7;29.9;86
30/08/2015;20:00:00;0;1.1;9;184;0.5;28.4;77
30/08/2015;21:00:00;0;1.1;8;136;0.7;27.6;80
30/08/2015;22:00:00;0;1.1;6;157;0.1;27.1;73
30/08/2015;23:00:00;0;1.1;8;158;0.0;26.5;57
30/08/2015;0:00:00;0;1.1;7;167;0.3;25.7;47
31/08/2015;1:00:00;0;1.1;5;231;0.7;25.1;47
31/08/2015;2:00:00;0;1.1;5;257;0.8;24.7;47
31/08/2015;3:00:00;0;1.1;2;268;0.9;25.2;67
31/08/2015;4:00:00;0;1.1;8;124;0.9;24.5;40
31/08/2015;5:00:00;0;1.1;6;100;0.4;24.1;44
31/08/2015;6:00:00;0;1.1;7;96;0.5;23.9;38
31/08/2015;7:00:00;0;51.1;26;128;0.6;23.9;18
31/08/2015;8:00:00;0;6.9;18;273;0.7;24.8;41
31/08/2015;9:00:00;0;2.6;9;251;0.7;26.2;64
31/08/2015;10:00:00;0;3.5;13;227;0.8;28.3;72
31/08/2015;11:00:00;0;4.5;23;216;0.6;29.7;67
31/08/2015;12:00:00;0;4.7;22;193;1.7;30.7;71
31/08/2015;13:00:00;0;2.1;10;258;2.9;30.7;86
31/08/2015;14:00:00;0;1.5;6;252;1.3;31.4;96
31/08/2015;15:00:00;0;2.5;13;153;1.7;33.0;92
31/08/2015;16:00:00;0;1.8;13;185;0.8;33.7;102
31/08/2015;17:00:00;0;1.7;15;154;1.4;34.0;99
31/08/2015;18:00:00;0;1.9;18;155;1.6;32.6;82
31/08/2015;19:00:00;0;1.6;21;211;0.9;29.2;65
31/08/2015;20:00:00;0;1.1;6;214;0.3;28.0;79
31/08/2015;21:00:00;0;1.1;3;284;2.8;27.7;81
31/08/2015;22:00:00;0;1.1;2;306;2.1;27.3;82
31/08/2015;23:00:00;0;2.0;14;306;1.7;26.9;64
31/08/2015;0:00:00;0;1.1;2;103;1.3;26.6;80
01/09/2015;1:00:00;0;1.1;5;271;0.5;26.2;66
01/09/2015;2:00:00;0;1.1;7;328;1.3;25.9;62
01/09/2015;3:00:00;0;11.3;18;292;1.5;25.9;45
01/09/2015;4:00:00;0;6.7;28;281;1.8;26.7;40
01/09/2015;5:00:00;0;1.2;5;281;2.7;26.2;70
01/09/2015;6:00:00;0;1.2;6;290;0.6;25.6;60
01/09/2015;7:00:00;0;1.3;8;276;0.8;25.0;51
01/09/2015;8:00:00;0;11.3;21;297;0.7;24.9;23
01/09/2015;9:00:00;0;3.3;12;256;1.3;26.4;39
01/09/2015;10:00:00;0;3.6;10;297;3.1;28.2;68
01/09/2015;11:00:00;0;2.9;6;305;3.5;28.9;76
01/09/2015;12:00:00;0;2.6;7;307;3.4;29.1;77
01/09/2015;13:00:00;0;1.3;4;297;2.8;28.8;84
01/09/2015;14:00:00;0;1.2;5;245;2.2;29.5;84
01/09/2015;15:00:00;0;1.5;8;109;3.2;28.6;85
01/09/2015;16:00:00;0;1.3;6;194;1.8;23.8;83
01/09/2015;17:00:00;0;1.7;7;82;1.5;23.8;73
01/09/2015;18:00:00;0;1.5;7;97;3.2;25.1;77
01/09/2015;19:00:00;0;1.1;7;94;3.3;24.9;77
01/09/2015;20:00:00;0;1.1;10;85;4.0;24.2;78
01/09/2015;21:00:00;0;1.1;17;85;3.3;23.8;70
01/09/2015;22:00:00;0;1.1;5;84;2.8;23.7;75
01/09/2015;23:00:00;0;4.1;16;338;0.6;22.9;43
01/09/2015;0:00:00;0;3.0;11;328;0.5;22.7;48
02/09/2015;1:00:00;0;8.9;18;300;0.8;22.2;29
02/09/2015;2:00:00;0;1.1;4;296;0.4;22.0;41
02/09/2015;3:00:00;0;7.9;17;296;0.5;21.7;24
02/09/2015;4:00:00;0;16.3;16;296;0.6;21.5;25
02/09/2015;5:00:00;0;19.3;36;296;0.5;21.5;16
02/09/2015;6:00:00;0;14.3;42;296;0.2;21.6;8
02/09/2015;7:00:00;0;24.0;36;296;0.3;21.6;17
02/09/2015;8:00:00;0;6.5;25;268;0.1;22.5;38
02/09/2015;9:00:00;0;2.2;14;108;1.3;24.3;59
02/09/2015;10:00:00;0;1.5;13;100;1.4;24.0;61
02/09/2015;11:00:00;0;2.9;19;96;1.0;24.2;54
02/09/2015;12:00:00;0;1.4;10;74;0.8;24.7;65
02/09/2015;13:00:00;0;1.5;7;98;2.0;25.8;75
02/09/2015;14:00:00;0;1.5;6;128;1.5;27.4;83
02/09/2015;15:00:00;0;1.5;7;158;1.0;28.7;87
02/09/2015;16:00:00;0;2.0;11;210;1.1;29.0;83
02/09/2015;17:00:00;0;3.0;16;205;0.8;29.0;75
02/09/2015;18:00:00;0;3.4;20;219;0.9;28.2;63
02/09/2015;19:00:00;0;1.3;17;206;0.6;27.2;63
02/09/2015;20:00:00;0;1.1;19;174;0.9;26.0;60
02/09/2015;21:00:00;0;1.1;10;140;1.1;25.2;66
02/09/2015;22:00:00;0;1.1;7;142;0.3;24.9;65
02/09/2015;23:00:00;0;1.1;6;129;0.7;24.6;67
02/09/2015;0:00:00;0;1.1;4;113;0.9;24.2;71
03/09/2015;1:00:00;0;1.1;5;97;1.1;24.0;70
03/09/2015;2:00:00;0;1.1;4;85;0.5;24.1;68
03/09/2015;3:00:00;0;1.1;5;93;1.1;24.1;69
03/09/2015;4:00:00;0;1.1;3;129;0.7;23.8;71
03/09/2015;5:00:00;0;1.1;3;134;0.8;22.9;61
03/09/2015;6:00:00;0;1.3;3;53;0.4;22.9;57
03/09/2015;7:00:00;0;1.7;10;360;0.7;23.0;40
03/09/2015;8:00:00;0;2.0;11;360;0.9;23.3;38
03/09/2015;9:00:00;0;2.3;9;255;0.3;25.2;49
03/09/2015;10:00:00;0;2.1;9;149;0.7;26.9;64
03/09/2015;11:00:00;0;2.5;10;194;1.6;27.6;69
03/09/2015;12:00:00;0;1.5;6;214;1.5;28.0;72
03/09/2015;13:00:00;0;1.3;6;222;1.8;28.3;70
03/09/2015;14:00:00;0;1.4;7;223;1.8;27.3;69
03/09/2015;15:00:00;0;2.3;7;217;1.3;28.3;69
03/09/2015;16:00:00;0;1.2;6;207;1.2;28.2;72
03/09/2015;17:00:00;0;2.0;9;255;0.5;28.3;72
03/09/2015;18:00:00;0;1.5;7;260;1.4;28.6;78
03/09/2015;19:00:00;0;1.4;7;286;1.7;27.1;80
03/09/2015;20:00:00;0;1.1;2;292;1.0;25.5;86
03/09/2015;21:00:00;0;1.1;5;244;1.0;24.8;77
03/09/2015;22:00:00;0;1.1;8;85;0.5;24.5;61
03/09/2015;23:00:00;0;1.1;8;65;0.1;23.7;50
03/09/2015;0:00:00;0;1.1;9;63;0.2;23.2;41
04/09/2015;1:00:00;0;1.1;9;71;0.5;23.2;43
04/09/2015;2:00:00;0;1.1;4;87;2.3;23.8;68
04/09/2015;3:00:00;0;1.1;4;96;2.5;23.7;75
04/09/2015;4:00:00;0;1.1;4;89;1.7;23.5;78
04/09/2015;5:00:00;0;1.1;3;88;1.2;23.4;78
04/09/2015;6:00:00;0;1.1;5;96;2.8;23.1;84
04/09/2015;7:00:00;0;1.1;11;85;4.2;23.1;90
04/09/2015;8:00:00;0;1.2;11;84;4.5;23.7;92
04/09/2015;9:00:00;0;1.2;6;82;3.8;24.1;92
04/09/2015;10:00:00;0;1.1;5;189;1.9;22.7;79
04/09/2015;11:00:00;0;1.3;13;192;0.7;20.9;70
04/09/2015;12:00:00;0;1.7;7;149;2.4;22.1;73
04/09/2015;13:00:00;0;2.4;10;89;4.2;24.7;80
04/09/2015;14:00:00;0;1.5;7;96;4.3;25.2;84
04/09/2015;15:00:00;0;1.6;9;87;5.7;24.8;85
04/09/2015;16:00:00;0;1.2;7;81;6.3;24.8;93
04/09/2015;17:00:00;0;1.1;7;92;5.5;24.3;92
04/09/2015;18:00:00;0;1.1;7;80;3.6;22.4;90
04/09/2015;19:00:00;0;1.1;9;125;0.8;21.2;80
04/09/2015;20:00:00;0;1.1;9;59;1.1;20.9;74
04/09/2015;21:00:00;0;1.1;7;344;0.3;20.8;69
04/09/2015;22:00:00;0;1.1;3;196;1.3;20.8;76
04/09/2015;23:00:00;0;1.1;2;78;1.4;21.1;86
04/09/2015;0:00:00;0;1.2;4;129;0.8;20.4;75
05/09/2015;1:00:00;0;3.7;15;285;0.5;20.0;40
05/09/2015;2:00:00;0;1.1;13;289;0.1;19.8;44
05/09/2015;3:00:00;0;1.1;8;289;0.2;19.7;41
05/09/2015;4:00:00;0;1.3;7;140;0.6;19.4;37
05/09/2015;5:00:00;0;1.1;6;69;0.0;19.1;50
05/09/2015;6:00:00;0;1.3;4;66;0.5;19.0;47
05/09/2015;7:00:00;0;3.5;12;62;0.4;18.8;33
05/09/2015;8:00:00;0;1.8;8;62;0.2;19.1;42
05/09/2015;9:00:00;0;2.3;10;64;0.2;22.0;61
05/09/2015;10:00:00;0;1.2;5;101;1.8;23.6;83
05/09/2015;11:00:00;0;1.2;6;110;2.0;24.4;89
05/09/2015;12:00:00;0;1.1;6;105;2.4;24.8;96
05/09/2015;13:00:00;0;1.1;6;100;2.0;24.9;100
05/09/2015;14:00:00;0;1.2;6;103;2.2;25.6;103
