Fecha;CO;NH3;NO;NO2;PM10;PM25;SO2
23/01/2015;0.63;4;35;76;27;18;6
22/01/2015;0.39;3;8;58;14;9;6
21/01/2015;0.29;4;5;47;10;6;6
20/01/2015;0.35;4;13;57;10;8;6
19/01/2015;0.28;5;4;47;8;5;5
18/01/2015;0.71;6;3;45;4;3;5
17/01/2015;0.71;6;7;69;13;7;7
16/01/2015;0.3;6;5;57;5;3;6
15/01/2015;0.29;7;6;81;9;5;5
14/01/2015;0.38;6;33;85;15;9;8
13/01/2015;0.2;8;5;46;9;9;5
12/01/2015;0.42;7;13;71;8;7;6
11/01/2015;0.41;8;9;62;17;9;8
10/01/2015;0.73;10;35;66;27;18;16
09/01/2015;0.68;9;73;94;34;19;14
08/01/2015;0.59;8;81;86;31;20;14
07/01/2015;0.51;8;58;79;30;20;17
06/01/2015;0.45;9;31;60;27;17;20
05/01/2015;0.45;7;54;89;22;15;13
04/01/2015;0.49;9;23;56;29;18;15
03/01/2015;1.19;9;53;82;34;20;16
02/01/2015;2.33;7;82;95;;20;15
01/01/2015;1.86;7;34;78;;23;10
