Fecha;CO;NO;NO2;O3;PM10;PM25;SO2
07/04/2015;No hay dato;6;22;83;;;3
08/04/2015;No hay dato;4;19;94;;;3
09/04/2015;No hay dato;5;20;99;;;3
10/04/2015;No hay dato;5;22;94;No hay dato;No hay dato;3
11/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
12/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;;;No hay dato
13/04/2015;No hay dato;;;;;;
14/04/2015;No hay dato;13;29;87;;;3
15/04/2015;;4;22;84;;;3
16/04/2015;;4;22;72;;;3
17/04/2015;;5;20;64;;;3
18/04/2015;;4;16;82;;;3
19/04/2015;;4;13;75;;;3
20/04/2015;;8;23;64;;;3
21/04/2015;;6;22;81;;;3
22/04/2015;;5;25;81;;;3
23/04/2015;;4;18;75;;;3
24/04/2015;;4;20;84;;;3
25/04/2015;;4;16;78;;;3
26/04/2015;;4;14;64;;;2
27/04/2015;;4;12;84;;;2
28/04/2015;;4;16;81;;;3
29/04/2015;;5;19;65;;;3
30/04/2015;;5;22;68;;;3
01/05/2015;;4;14;63;;;3
02/05/2015;;4;14;48;;;3
03/05/2015;;4;16;57;;;3
04/05/2015;;6;23;69;;;3
05/05/2015;;4;18;76;;;3
06/05/2015;;4;16;82;;;2
07/05/2015;;4;17;93;;;3
08/05/2015;;4;15;90;;;3
09/05/2015;;4;13;81;;;3
10/05/2015;;4;15;90;;;3
11/05/2015;;4;20;103;;;3
12/05/2015;;4;21;102;;;3
13/05/2015;;6;27;90;;;4
14/05/2015;;;;;;;
15/05/2015;;;;;;;
16/05/2015;;3;11;98;;;2
17/05/2015;;4;12;70;;;3
18/05/2015;;6;19;68;;;3
19/05/2015;;4;18;57;;;2
20/05/2015;;4;10;84;;;2
21/05/2015;;4;13;83;;;3
22/05/2015;;5;15;73;;;3
23/05/2015;;4;14;66;;;3
24/05/2015;;4;14;67;;;3
25/05/2015;;5;14;68;;;3
26/05/2015;;4;12;78;;;3
27/05/2015;;4;14;76;;;3
28/05/2015;;4;18;90;;;4
29/05/2015;;4;17;89;;;4
30/05/2015;;4;15;78;;;3
31/05/2015;;4;13;89;;;4
01/06/2015;;4;17;92;;;4
02/06/2015;;5;19;88;;;4
03/06/2015;;4;18;96;;;4
04/06/2015;;5;21;90;;;4
05/06/2015;;4;18;102;;;5
06/06/2015;;4;17;104;;;4
07/06/2015;;4;14;104;;;4
08/06/2015;;4;18;95;;;4
09/06/2015;;5;19;82;;;3
10/06/2015;;4;15;85;;;3
11/06/2015;;4;18;80;;;3
12/06/2015;;4;17;77;;;2
13/06/2015;;4;15;73;;;3
14/06/2015;;4;13;68;;;2
15/06/2015;;4;15;73;;;3
16/06/2015;;4;13;64;;;2
17/06/2015;;4;14;79;;;3
18/06/2015;;4;15;85;;;3
19/06/2015;;;;;;;
20/06/2015;;4;14;67;;;3
21/06/2015;;4;15;82;;;3
22/06/2015;;4;16;92;;;4
23/06/2015;;4;14;97;;;3
24/06/2015;;4;16;89;;;3
25/06/2015;;4;18;93;;;3
26/06/2015;;4;18;98;;;4
27/06/2015;;4;17;95;;;4
28/06/2015;;4;15;94;;;4
29/06/2015;;4;18;102;;;3
