Fecha;NO;NO2;O3
23/09/2015;7;32;48
24/09/2015;9;42;41
25/09/2015;17;39;53
26/09/2015;11;39;46
27/09/2015;7;40;43
28/09/2015;8;34;52
29/09/2015;5;29;56
30/09/2015;2;23;60
01/10/2015;11;35;51
02/10/2015;8;40;48
03/10/2015;9;48;41
04/10/2015;6;42;42
05/10/2015;24;60;22
06/10/2015;38;48;29
07/10/2015;12;37;38
08/10/2015;7;39;34
09/10/2015;10;40;37
10/10/2015;12;45;39
11/10/2015;8;37;44
12/10/2015;4;23;54
13/10/2015;5;28;33
14/10/2015;7;41;31
15/10/2015;4;37;42
16/10/2015;15;40;39
17/10/2015;3;34;45
18/10/2015;17;60;17
19/10/2015;14;34;31
20/10/2015;5;32;39
21/10/2015;6;34;37
22/10/2015;18;55;30
23/10/2015;25;64;17
24/10/2015;50;67;10
25/10/2015;6;27;39
26/10/2015;10;45;32
27/10/2015;17;54;23
28/10/2015;11;41;41
29/10/2015;44;66;12
30/10/2015;16;46;29
31/10/2015;13;32;47
01/11/2015;2;17;74
02/11/2015;3;14;71
03/11/2015;21;42;37
04/11/2015;36;60;14
05/11/2015;47;42;28
