Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
18/05/2015;2:00:00;35;2;2;2;111;337;0.4;49.4;0;938;17.7
18/05/2015;3:00:00;27;2;2;2;110;337;0.2;52.2;0;938;16.5
18/05/2015;4:00:00;22;2;2;2;109;118;0.2;50.5;0;938;16
18/05/2015;5:00:00;24;2;2;2;103;345;0.8;49.3;0;937;15.5
18/05/2015;6:00:00;24;2;4;3;83;29;0;53.2;0;937;14
18/05/2015;7:00:00;31;2;11;2;69;111;0;55.5;0;937;13.6
18/05/2015;8:00:00;37;2;26;7;55;148;0;56.3;0;937;13.4
18/05/2015;9:00:00;47;4;38;15;48;156;0;49.4;0;937;16.8
18/05/2015;10:00:00;0;0;0;0;0;338;1.6;40.8;0;936;20
18/05/2015;11:00:00;0;0;0;0;0;339;1.9;34.3;0;936;21.3
18/05/2015;12:00:00;0;0;0;0;0;338;1.7;28.1;0;936;23.6
18/05/2015;13:00:00;0;0;0;0;0;94;2;21.7;0;935;25.7
18/05/2015;14:00:00;0;0;0;0;0;18;2.3;18.1;0;935;26.9
18/05/2015;15:00:00;0;0;0;0;0;358;1.5;17.9;0;934;28.5
18/05/2015;16:00:00;19;2;6;4;102;14;2;17.5;0;933;28.9
18/05/2015;17:00:00;16;2;4;3;110;45;2.1;15.5;0;932;29.3
18/05/2015;18:00:00;23;2;5;3;114;72;1.6;16;0;932;29.6
18/05/2015;19:00:00;28;3;11;6;108;67;1.8;16.9;0;931;29.1
18/05/2015;20:00:00;37;3;11;4;106;42;2;17.4;0;931;28.6
18/05/2015;21:00:00;29;3;13;4;103;87;1.8;17.4;0;931;28
18/05/2015;22:00:00;26;3;24;4;80;74;0.9;20.8;0;931;25.6
18/05/2015;23:00:00;34;4;36;5;41;353;0.8;25.4;0;931;23.2
18/05/2015;0:00:00;49;3;5;2;93;337;0.2;28.2;0;931;21.9
19/05/2015;1:00:00;36;2;6;3;103;335;0.8;36.7;0;931;20.6
19/05/2015;2:00:00;35;2;2;2;108;336;0.8;41.4;0;931;19.9
19/05/2015;3:00:00;31;2;3;2;90;336;0.4;44.8;0;930;18.6
19/05/2015;4:00:00;36;3;3;2;87;328;0.6;47.1;0;930;18.1
19/05/2015;5:00:00;41;2;5;2;73;359;0.1;50.1;0;929;17.2
19/05/2015;6:00:00;47;3;3;2;81;336;0.2;51.1;0;929;17.2
19/05/2015;7:00:00;40;3;7;2;85;334;0.6;50;0;929;17.5
19/05/2015;8:00:00;47;3;8;3;78;332;0.3;43.6;0;929;18.1
19/05/2015;9:00:00;39;5;33;17;28;243;0.4;49;0;929;17.8
