Fecha;CO;NO;NO2;NOX;PM10;PM25
05/02/2015;0.38;29;61;76;24;7
04/02/2015;0.5;39;57;93;24;9
03/02/2015;0.37;34;75;90;15;5
02/02/2015;0.47;;71;;16;6
01/02/2015;0.29;;0;;24;4
31/01/2015;0.37;6;31;22;20;3
30/01/2015;0.38;13;65;43;39;7
29/01/2015;0.59;43;84;94;30;7
28/01/2015;0.52;44;63;108;20;7
27/01/2015;0.47;25;44;64;25;6
26/01/2015;0.58;62;68;141;32;11
25/01/2015;0.39;24;41;64;21;7
24/01/2015;0.55;30;56;78;22;10
23/01/2015;0.58;59;57;127;29;16
22/01/2015;0.43;32;71;86;14;5
21/01/2015;0.35;26;63;78;16;5
20/01/2015;0.4;35;56;91;20;8
19/01/2015;0.23;16;44;41;16;2
18/01/2015;0.23;24;51;59;15;6
17/01/2015;0.31;37;54;87;21;6
16/01/2015;0.4;39;58;89;16;4
15/01/2015;0.99;27;40;62;18;8
14/01/2015;1.07;77;81;185;36;12
13/01/2015;0.52;21;43;53;25;6
12/01/2015;0.85;95;87;182;26;9
11/01/2015;0.6;29;52;69;24;8
10/01/2015;1.14;51;38;102;35;15
09/01/2015;1.22;94;71;175;38;14
08/01/2015;0.89;63;48;128;33;12
07/01/2015;0.66;50;57;104;28;11
06/01/2015;0.99;52;44;109;28;16
05/01/2015;1.05;131;57;229;29;12
04/01/2015;0.94;57;46;115;28;14
03/01/2015;0.96;101;65;192;34;14
02/01/2015;1.12;108;59;203;30;13
01/01/2015;0.79;73;74;147;37;19
