Fecha;NO;NO2;NOX;O3;SO2;dd;vv
26/02/2015;8;65;38;63;4;315;3.86
25/02/2015;3;30;23;61;4;312;4.82
24/02/2015;5;61;34;67;6;307;3.53
23/02/2015;34;69;92;56;6;310;1.73
22/02/2015;5;47;33;76;7;296;1.04
21/02/2015;5;31;24;76;5;315;3.12
20/02/2015;49;84;113;49;7;194;0.74
19/02/2015;58;85;140;54;8;190;0.28
18/02/2015;26;54;78;49;6;228;0.24
17/02/2015;3;40;27;65;5;327;2.71
16/02/2015;11;82;56;49;7;311;1.54
15/02/2015;3;58;32;59;5;307;1.09
14/02/2015;7;54;45;40;5;183;0.59
13/02/2015;35;76;90;75;6;232;1.22
12/02/2015;67;126;159;59;7;209;0.33
11/02/2015;75;118;171;46;7;233;0.51
10/02/2015;73;97;170;47;7;228;0.33
09/02/2015;30;94;84;65;5;29;0.47
08/02/2015;12;52;53;37;6;328;0.73
07/02/2015;15;52;59;23;5;124;0.36
06/02/2015;30;70;94;42;5;321;0.81
05/02/2015;12;64;46;59;5;332;2.19
04/02/2015;23;72;80;38;6;322;0.89
03/02/2015;9;65;45;59;6;317;0.56
02/02/2015;;40;;48;6;170;1.6
01/02/2015;;22;;70;5;306;1.88
31/01/2015;4;29;22;67;6;301;3.83
30/01/2015;6;76;35;70;3;312;4.2
29/01/2015;43;75;109;29;5;314;1.78
28/01/2015;31;74;96;25;5;318;0.63
27/01/2015;18;84;78;36;5;307;1.72
26/01/2015;44;73;119;9;9;306;0.35
25/01/2015;11;57;44;57;4;63;0.29
24/01/2015;17;63;57;41;8;24;0.33
23/01/2015;33;69;92;44;5;327;0.93
22/01/2015;14;84;63;68;4;314;1.49
21/01/2015;16;85;58;59;5;288;1.51
20/01/2015;33;59;92;20;5;158;1.21
19/01/2015;13;89;59;51;3;312;1.37
18/01/2015;2;28;19;63;4;147;1.2
17/01/2015;9;52;47;48;6;223;0.4
16/01/2015;15;70;58;57;6;286;1.23
15/01/2015;7;53;27;70;4;194;2.19
14/01/2015;52;85;115;51;6;217;0.87
13/01/2015;7;45;34;52;5;202;0.81
12/01/2015;69;81;151;25;8;163;0.67
11/01/2015;9;41;35;66;6;312;0.38
10/01/2015;33;52;83;13;7;270;0.59
09/01/2015;94;68;193;12;9;229;0.39
08/01/2015;103;83;210;6;14;214;0.23
07/01/2015;57;63;128;17;6;171;0.61
06/01/2015;24;54;71;15;5;297;0.37
05/01/2015;46;65;106;21;3;198;0.43
04/01/2015;35;45;88;22;4;246;0.16
03/01/2015;48;66;114;28;6;235;0.27
02/01/2015;77;78;170;16;8;192;0.27
01/01/2015;22;63;66;33;5;145;0.48
