Fecha;CO;NO;NO2;O3;PM10;SH2;PM25;PST;SO2
18/07/2014;;2;18;66;36;;;;5
19/07/2014;;1;13;47;11;;;;4
20/07/2014;;1;7;44;12;;;;4
21/07/2014;;2;11;51;17;;;;4
22/07/2014;;3;13;64;20;;;;4
23/07/2014;;2;10;83;20;;;;4
24/07/2014;;1;10;88;22;;;;4
25/07/2014;;1;8;85;21;;;;3
26/07/2014;;1;7;92;22;;;;3
27/07/2014;;1;7;92;26;;;;4
28/07/2014;;1;8;80;23;;;;3
29/07/2014;;1;4;73;15;;;;3
30/07/2014;;2;10;71;27;;;;3
31/07/2014;;2;15;73;21;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;3
01/08/2014;;2;12;65;25;;13;;4
02/08/2014;;1;7;48;11;;6;;3
03/08/2014;;1;7;54;15;;6;;3
04/08/2014;;3;12;59;15;;7;;4
05/08/2014;;2;13;70;21;;9;;4
06/08/2014;;2;11;50;22;;11;;4
07/08/2014;;2;10;46;21;;8;;3
08/08/2014;;3;10;39;18;;7;;3
09/08/2014;;1;8;50;12;;5;;3
10/08/2014;;1;5;48;11;;5;;3
11/08/2014;;2;8;58;13;;5;;3
12/08/2014;;2;9;43;15;;5;;3
13/08/2014;;1;6;67;15;;6;;3
14/08/2014;;2;11;56;18;;6;;4
15/08/2014;;2;8;66;20;;8;;5
16/08/2014;;1;5;70;17;;7;;4
17/08/2014;;1;12;60;19;;7;;4
18/08/2014;;2;14;76;21;;8;;5
19/08/2014;;2;11;68;23;;10;;4
20/08/2014;;3;11;51;20;;6;;5
21/08/2014;;3;12;49;21;;7;;5
22/08/2014;;2;12;57;23;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;4
23/08/2014;;1;13;49;20;;;;4
24/08/2014;;2;11;65;17;;;;4
25/08/2014;;2;12;59;19;;;;5
26/08/2014;;1;6;35;12;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;3
27/08/2014;;3;11;39;17;;6;;3
28/08/2014;;3;14;41;15;;6;;2
29/08/2014;;4;16;59;15;;7;;4
30/08/2014;;2;12;60;17;;8;;4
31/08/2014;;2;10;64;14;;6;;6
01/09/2014;;5;17;75;16;;7;;10
02/09/2014;;2;15;79;25;;9;;7
03/09/2014;;2;17;65;22;;11;;6
04/09/2014;;2;12;75;27;;19;;4
05/09/2014;;4;19;52;23;;12;;4
06/09/2014;;1;10;44;12;;8;;4
07/09/2014;;2;12;36;7;;5;;4
08/09/2014;;1;13;42;12;;8;;4
09/09/2014;;3;15;57;12;;7;;3
