Fecha;SO2;NO;NO2;O3;CO;PM10
15/04/2015;1;13;31;86;0.4;32
16/04/2015;1;2;20;87;0.5;34
17/04/2015;1;7;27;70;0.6;24
18/04/2015;1;3;27;71;0.5;21
19/04/2015;1;1;14;72;0.5;13
20/04/2015;1;2;17;68;0.3;9
21/04/2015;1;7;26;69;0.4;15
22/04/2015;1;2;32;77;0.6;14
23/04/2015;1;3;24;84;0.5;18
24/04/2015;1;4;28;81;0.5;33
25/04/2015;1;1;17;79;0.5;38
26/04/2015;1;1;9;83;0.6;33
27/04/2015;1;3;20;55;0.3;11
28/04/2015;1;2;11;76;0.3;14
29/04/2015;1;3;20;75;0.5;17
30/04/2015;1;2;21;71;0.4;14
01/05/2015;1;2;30;62;0.6;30
02/05/2015;1;2;23;78;0.4;23
03/05/2015;1;3;23;68;0.5;23
04/05/2015;1;1;14;79;0.4;22
05/05/2015;1;2;23;70;0.5;35
06/05/2015;1;3;28;73;0.5;30
07/05/2015;2;4;27;75;0.4;21
08/05/2015;1;4;22;82;Sense dades;27
09/05/2015;1;1;14;88;Sense dades;25
10/05/2015;1;1;14;72;Sense dades;22
11/05/2015;1;4;28;65;Sense dades;24
12/05/2015;2;8;35;57;Sense dades;18
13/05/2015;5;5;46;55;0.2;34
14/05/2015;2;2;28;66;0.2;32
15/05/2015;2;1;19;78;0.4;37
16/05/2015;1;1;22;88;Sense dades;22
17/05/2015;1;1;16;95;Sense dades;20
18/05/2015;3;5;34;74;0.2;28
19/05/2015;1;1;24;66;0.2;16
20/05/2015;1;1;12;72;0.3;7
21/05/2015;1;2;19;71;0.3;14
22/05/2015;1;1;21;79;0.2;16
23/05/2015;1;1;22;91;0.5;18
24/05/2015;1;1;20;88;0.2;18
25/05/2015;1;1;17;100;0.5;18
26/05/2015;1;1;19;81;0.2;17
27/05/2015;2;1;19;85;0.4;24
28/05/2015;1;3;29;74;0.6;28
29/05/2015;1;2;32;82;0.2;25
30/05/2015;1;1;29;75;0.2;19
31/05/2015;1;1;20;86;0.2;18
01/06/2015;1;2;29;72;0.3;21
02/06/2015;1;2;32;71;0.2;21
03/06/2015;1;3;37;72;0.2;23
04/06/2015;3;3;40;70;0.2;27
05/06/2015;1;4;44;67;0.2;25
06/06/2015;1;2;29;83;0.2;25
07/06/2015;2;1;30;98;0.2;23
08/06/2015;2;2;28;99;0.2;24
09/06/2015;1;1;24;96;0.2;16
10/06/2015;3;2;19;99;0.2;19
11/06/2015;3;1;16;92;0.2;25
12/06/2015;3;2;18;80;0.4;26
13/06/2015;4;1;14;84;0.3;22
14/06/2015;4;1;12;84;0.3;19
15/06/2015;2;1;12;87;0.3;13
16/06/2015;1;2;21;80;0.2;14
17/06/2015;6;2;20;77;0.2;14
18/06/2015;5;2;25;90;0.3;21
19/06/2015;3;2;16;90;0.3;25
20/06/2015;2;1;23;81;0.3;23
21/06/2015;3;1;21;74;0.2;20
22/06/2015;3;3;24;76;0.3;22
23/06/2015;1;1;23;81;0.4;29
24/06/2015;3;1;13;82;0.3;21
25/06/2015;2;2;17;86;0.3;21
26/06/2015;2;3;22;83;0.3;22
27/06/2015;2;1;18;79;0.3;24
28/06/2015;4;1;21;72;0.3;19
29/06/2015;5;2;29;77;0.4;24
30/06/2015;3;2;25;93;0.2;24
01/07/2015;2;2;20;76;0.4;20
02/07/2015;2;2;19;91;0.3;23
03/07/2015;1;2;25;88;0.3;26
04/07/2015;2;2;24;101;0.4;26
05/07/2015;4;1;28;95;0.2;30
06/07/2015;4;3;34;77;0.4;35
07/07/2015;3;3;25;87;0.4;31
08/07/2015;6;1;14;76;0.3;29
09/07/2015;5;1;19;71;0.3;27
10/07/2015;1;4;29;61;0.3;37
11/07/2015;3;1;13;80;0.3;30
12/07/2015;2;1;15;66;0.4;29
13/07/2015;5;2;16;61;0.3;20
14/07/2015;3;2;22;62;0.4;27
15/07/2015;1;3;32;61;0.3;32
16/07/2015;1;3;24;76;0.3;26
17/07/2015;1;1;15;69;0.3;20
18/07/2015;1;1;16;57;0.3;28
19/07/2015;1;1;15;83;0.3;23
20/07/2015;1;2;22;72;0.3;26
21/07/2015;1;2;25;55;0.5;30
22/07/2015;1;2;23;97;0.5;22
23/07/2015;1;2;24;76;0.3;20
24/07/2015;1;2;24;68;0.4;26
25/07/2015;1;1;17;69;0.5;20
26/07/2015;1;1;21;65;0.3;27
27/07/2015;1;1;17;50;0.3;20
28/07/2015;1;2;24;50;0.2;26
29/07/2015;1;2;18;53;0.3;29
30/07/2015;1;1;16;53;0.4;18
31/07/2015;1;2;20;71;0.3;19
01/08/2015;1;1;14;82;0.5;11
02/08/2015;1;1;17;91;0.2;15
03/08/2015;1;2;28;70;0.2;24
04/08/2015;1;1;21;77;0.4;23
05/08/2015;1;2;29;64;0.3;24
06/08/2015;2;4;23;59;0.5;23
07/08/2015;4;2;16;56;0.6;22
08/08/2015;5;1;18;61;0.8;29
09/08/2015;2;1;12;57;0.3;20
10/08/2015;2;1;10;73;0.4;11
11/08/2015;1;1;16;83;0.3;10
12/08/2015;1;1;15;71;0.5;23
13/08/2015;4;2;21;62;0.6;20
14/08/2015;1;2;21;56;0.4;14
15/08/2015;2;1;15;56;0.5;9
16/08/2015;4;1;15;66;0.3;9
17/08/2015;3;1;15;69;0.4;12
18/08/2015;1;2;22;60;0.4;10
19/08/2015;5;2;23;70;0.3;14
20/08/2015;2;1;16;82;0.3;15
21/08/2015;3;2;16;78;0.6;17
22/08/2015;2;2;18;76;0.6;14
23/08/2015;2;1;17;75;0.5;19
24/08/2015;2;2;21;62;0.4;19
25/08/2015;2;3;24;57;0.5;16
26/08/2015;4;2;20;64;0.3;20
27/08/2015;1;2;26;62;0.6;17
28/08/2015;2;2;22;60;0.5;16
29/08/2015;2;1;14;61;0.4;11
30/08/2015;1;1;25;61;0.4;21
31/08/2015;2;2;23;78;0.5;32
01/09/2015;1;3;27;69;0.5;26
02/09/2015;1;2;24;66;0.6;13
03/09/2015;3;2;24;75;0.5;9
04/09/2015;1;4;39;53;0.5;10
05/09/2015;2;3;24;62;0.4;11
06/09/2015;2;2;24;77;0.4;12
07/09/2015;3;8;37;72;0.4;14
08/09/2015;5;7;46;70;0.5;17
09/09/2015;2;3;35;76;0.5;18
10/09/2015;1;4;37;58;0.7;20
11/09/2015;5;2;23;62;0.5;14
12/09/2015;1;2;19;75;0.5;18
13/09/2015;2;2;25;71;0.5;20
14/09/2015;1;8;29;59;0.4;16
15/09/2015;1;7;36;63;0.5;18
16/09/2015;1;4;36;69;0.6;31
17/09/2015;3;3;27;69;0.5;20
18/09/2015;1;5;32;67;0.4;13
19/09/2015;1;3;30;73;0.4;14
20/09/2015;1;3;27;77;0.4;13
21/09/2015;2;4;43;70;0.4;17
22/09/2015;1;Sense dades;Sense dades;69;0.5;19
23/09/2015;1;1;6;64;0.4;12
24/09/2015;2;2;17;53;0.5;20
25/09/2015;1;5;18;66;0.2;20
26/09/2015;2;1;11;70;0.7;17
27/09/2015;1;1;12;65;0.6;15
28/09/2015;1;1;11;76;0.6;20
29/09/2015;2;1;9;72;0.7;15
30/09/2015;1;1;6;74;0.4;14
01/10/2015;1;1;10;73;0.4;24
02/10/2015;1;2;14;69;0.6;18
03/10/2015;1;1;6;79;0.2;16
04/10/2015;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades
05/10/2015;1;18;51;25;0.5;45
06/10/2015;1;3;18;51;0.5;20
07/10/2015;1;2;17;53;0.4;15
08/10/2015;1;2;14;56;0.5;15
09/10/2015;1;7;23;50;0.5;17
10/10/2015;1;2;18;62;0.4;18
11/10/2015;1;1;14;63;0.4;22
12/10/2015;1;1;11;60;0.6;26
13/10/2015;1;2;17;36;0.5;21
14/10/2015;3;6;27;31;0.6;21
15/10/2015;2;4;16;52;0.5;16
16/10/2015;3;3;19;58;0.4;15
17/10/2015;3;3;20;58;0.5;17
18/10/2015;2;2;24;57;0.6;19
19/10/2015;2;5;20;41;0.5;23
20/10/2015;2;2;22;42;0.7;21
21/10/2015;2;6;25;35;0.5;23
22/10/2015;3;6;33;37;0.6;26
23/10/2015;2;7;32;44;0.5;28
24/10/2015;4;7;43;29;0.7;26
25/10/2015;3;2;14;49;0.5;19
26/10/2015;2;3;22;52;0.6;15
27/10/2015;1;8;29;50;0.5;16
28/10/2015;2;3;21;54;0.2;11
29/10/2015;2;12;36;38;0.2;16
30/10/2015;1;9;34;43;0.4;16
31/10/2015;2;3;21;65;0.3;15
01/11/2015;2;1;9;85;0.3;31
02/11/2015;1;1;7;79;0.3;30
03/11/2015;1;5;30;54;0.5;22
04/11/2015;1;10;34;40;0.4;17
05/11/2015;1;16;36;42;0.4;23
06/11/2015;2;29;46;25;0.5;26
07/11/2015;1;27;45;8;0.6;25
