Fecha;SO2;NO;NO2;PM10
13/10/2015;3;9;33;Sense dades
14/10/2015;3;1;11;Sense dades
15/10/2015;5;7;35;Sense dades
16/10/2015;5;10;37;Sense dades
17/10/2015;3;4;34;Sense dades
18/10/2015;4;3;29;Sense dades
19/10/2015;4;6;39;Sense dades
20/10/2015;4;10;33;Sense dades
21/10/2015;4;5;27;Sense dades
22/10/2015;3;2;12;Sense dades
23/10/2015;4;18;39;Sense dades
24/10/2015;5;6;38;Sense dades
25/10/2015;5;3;26;Sense dades
26/10/2015;5;7;34;Sense dades
27/10/2015;5;4;30;Sense dades
28/10/2015;4;6;27;Sense dades
29/10/2015;4;16;32;Sense dades
30/10/2015;5;12;41;Sense dades
31/10/2015;5;5;33;Sense dades
01/11/2015;5;2;22;Sense dades
02/11/2015;4;1;12;Sense dades
03/11/2015;5;10;35;Sense dades
04/11/2015;4;10;39;Sense dades
05/11/2015;2;13;39;Sense dades
06/11/2015;2;13;42;Sense dades
07/11/2015;1;10;35;Sense dades
