Fecha;NO;NO2;O3;PM10;SO2
20/04/2014;1;4;82;;5
21/04/2014;3;7;69;;8
22/04/2014;2;9;72;;15
23/04/2014;2;5;81;;16
24/04/2014;3;7;92;;13
25/04/2014;3;8;92;;10
26/04/2014;2;5;83;;10
27/04/2014;1;3;81;;6
28/04/2014;3;7;61;;16
29/04/2014;7;7;67;;5
30/04/2014;3;7;76;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;9
01/05/2014;1;3;77;17;6
02/05/2014;4;8;82;17;7
03/05/2014;2;5;70;17;9
04/05/2014;1;5;78;18;8
05/05/2014;3;8;77;21;8
06/05/2014;5;12;75;26;12
07/05/2014;3;7;70;25;7
08/05/2014;3;8;73;25;7
09/05/2014;3;7;59;22;7
10/05/2014;2;4;66;21;6
11/05/2014;1;4;71;19;7
12/05/2014;3;7;70;22;7
13/05/2014;5;10;78;18;11
14/05/2014;4;8;79;20;8
15/05/2014;5;10;89;21;8
16/05/2014;5;13;109;22;7
17/05/2014;1;10;102;23;11
18/05/2014;1;6;101;21;7
19/05/2014;5;11;95;29;8
20/05/2014;2;7;80;15;9
21/05/2014;2;7;88;14;10
22/05/2014;2;6;83;15;11
23/05/2014;3;6;81;13;6
24/05/2014;2;6;73;16;10
25/05/2014;2;5;84;18;8
26/05/2014;8;12;78;16;19
27/05/2014;3;8;73;20;12
28/05/2014;14;18;59;18;17
29/05/2014;3;6;64;15;7
30/05/2014;5;6;83;14;5
31/05/2014;2;4;81;13;6
01/06/2014;1;5;84;19;12
02/06/2014;6;9;72;20;13
03/06/2014;3;8;78;22;9
04/06/2014;5;9;69;19;10
05/06/2014;4;9;76;23;6
06/06/2014;4;8;72;27;5
07/06/2014;1;5;81;15;6
08/06/2014;1;4;68;19;5
09/06/2014;3;6;70;19;5
10/06/2014;3;7;68;22;6
11/06/2014;2;8;78;23;4
12/06/2014;4;12;83;25;9
13/06/2014;5;13;78;29;11
14/06/2014;2;8;87;22;2
15/06/2014;2;6;88;21;2
16/06/2014;2;5;95;23;1
17/06/2014;4;7;102;22;2
18/06/2014;5;9;82;20;8
19/06/2014;4;9;91;24;9
20/06/2014;4;11;97;40;6
21/06/2014;1;5;79;25;2
22/06/2014;1;6;77;21;2
23/06/2014;4;9;80;22;8
24/06/2014;2;11;66;22;4
25/06/2014;3;9;82;27;6
26/06/2014;3;8;75;20;3
27/06/2014;3;7;67;22;4
28/06/2014;3;6;49;14;3
29/06/2014;1;4;57;17;2
30/06/2014;4;6;60;20;3
01/07/2014;3;7;56;16;3
02/07/2014;3;4;71;14;2
03/07/2014;2;6;73;19;2
04/07/2014;4;8;80;19;4
05/07/2014;2;5;39;18;3
06/07/2014;2;5;42;14;3
07/07/2014;3;5;62;19;4
08/07/2014;3;7;62;18;5
09/07/2014;5;8;69;17;6
10/07/2014;4;8;63;18;5
11/07/2014;4;7;53;19;4
12/07/2014;3;7;55;19;3
13/07/2014;4;7;53;19;7
14/07/2014;3;7;60;21;3
15/07/2014;2;6;73;21;2
16/07/2014;2;6;96;29;3
17/07/2014;1;7;89;47;4
18/07/2014;3;11;75;50;2
19/07/2014;1;4;55;15;2
20/07/2014;2;2;;13;1
21/07/2014;2;4;;18;2
22/07/2014;4;8;60;22;5
23/07/2014;2;7;85;23;4
24/07/2014;1;5;92;27;2
25/07/2014;3;6;93;25;1
26/07/2014;1;4;97;26;1
27/07/2014;1;4;104;27;3
28/07/2014;6;16;69;27;8
29/07/2014;2;9;69;21;2
30/07/2014;3;7;77;21;3
31/07/2014;2;6;80;22;1
01/08/2014;3;9;61;25;3
02/08/2014;1;4;48;16;1
03/08/2014;1;3;58;18;2
04/08/2014;2;5;55;17;2
05/08/2014;2;5;68;21;2
06/08/2014;2;6;62;22;2
07/08/2014;2;8;54;24;1
08/08/2014;3;9;54;21;2
09/08/2014;2;6;61;18;1
10/08/2014;1;5;52;17;1
11/08/2014;2;5;60;16;1
12/08/2014;4;7;51;18;2
13/08/2014;2;3;79;19;1
14/08/2014;3;6;68;19;1
15/08/2014;2;4;72;21;1
16/08/2014;5;7;72;18;1
17/08/2014;3;6;69;18;1
18/08/2014;5;8;83;26;3
19/08/2014;3;6;70;21;2
20/08/2014;5;7;55;17;3
21/08/2014;4;7;54;19;2
22/08/2014;5;9;57;23;2
23/08/2014;3;7;63;19;1
24/08/2014;2;5;72;18;1
25/08/2014;4;10;70;20;3
26/08/2014;3;7;39;23;3
27/08/2014;5;9;44;20;5
28/08/2014;5;9;57;19;2
29/08/2014;5;8;61;18;1
30/08/2014;3;7;67;20;2
31/08/2014;3;5;66;16;1
01/09/2014;6;11;79;15;4
02/09/2014;4;9;93;22;3
03/09/2014;3;13;83;32;4
04/09/2014;4;7;81;27;2
05/09/2014;3;8;66;23;2
06/09/2014;4;8;52;21;2
07/09/2014;2;7;47;13;1
08/09/2014;5;9;45;17;2
09/09/2014;4;9;70;19;2
10/09/2014;8;13;83;24;2
11/09/2014;5;11;69;25;2
12/09/2014;7;12;66;22;3
13/09/2014;4;8;65;17;4
14/09/2014;3;7;57;16;3
15/09/2014;7;11;51;17;2
16/09/2014;4;9;69;17;2
17/09/2014;3;7;55;12;2
18/09/2014;4;9;56;14;2
19/09/2014;4;10;54;14;2
20/09/2014;4;8;47;19;2
21/09/2014;2;8;63;19;2
22/09/2014;5;12;68;18;2
23/09/2014;5;12;49;22;3
24/09/2014;6;13;58;36;8
25/09/2014;4;7;61;29;3
26/09/2014;9;16;56;28;13
27/09/2014;4;9;75;25;6
28/09/2014;2;9;62;23;6
29/09/2014;7;10;47;24;7
30/09/2014;6;11;50;24;11
01/10/2014;4;8;61;22;7
02/10/2014;4;11;60;25;8
03/10/2014;6;13;62;26;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
04/10/2014;3;9;63;23;
05/10/2014;3;5;66;15;
06/10/2014;7;11;44;19;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
07/10/2014;3;9;59;17;11
08/10/2014;3;5;43;12;8
09/10/2014;4;10;51;16;6
10/10/2014;7;12;36;24;7
11/10/2014;4;13;43;20;9
12/10/2014;2;6;67;13;11
13/10/2014;2;6;64;17;11
14/10/2014;4;11;48;19;8
15/10/2014;5;12;47;16;14
16/10/2014;3;7;51;15;12
17/10/2014;4;8;53;17;14
18/10/2014;4;8;45;23;11
19/10/2014;4;7;44;34;6
20/10/2014;6;10;43;45;4
21/10/2014;9;15;37;54;7
22/10/2014;9;17;46;25;11
23/10/2014;8;14;43;28;7
24/10/2014;9;14;35;31;7
25/10/2014;4;9;38;28;6
26/10/2014;6;14;36;33;11
27/10/2014;7;13;43;33;6
28/10/2014;7;16;48;33;7
29/10/2014;6;14;50;35;7
30/10/2014;9;17;44;37;7
31/10/2014;9;20;41;39;9
01/11/2014;4;14;42;32;9
02/11/2014;4;10;42;22;8
03/11/2014;4;10;60;17;11
04/11/2014;6;11;58;13;8
05/11/2014;6;10;63;13;7
06/11/2014;4;13;47;23;22
07/11/2014;4;11;54;16;10
08/11/2014;2;8;51;20;13
09/11/2014;2;7;52;17;7
10/11/2014;9;15;45;19;18
11/11/2014;3;11;58;14;26
12/11/2014;4;13;51;16;17
13/11/2014;3;8;63;16;19
14/11/2014;3;10;66;17;16
15/11/2014;2;5;65;14;11
16/11/2014;1;4;67;16;8
17/11/2014;8;18;43;17;10
18/11/2014;9;15;41;21;12
19/11/2014;8;21;35;26;30
20/11/2014;9;19;36;28;38
21/11/2014;12;20;27;36;18
22/11/2014;5;13;28;42;19
23/11/2014;3;11;27;61;22
24/11/2014;3;8;40;21;11
25/11/2014;5;12;35;27;7
26/11/2014;4;13;41;30;17
27/11/2014;7;14;42;23;19
28/11/2014;3;11;64;17;25
29/11/2014;2;7;63;13;13
30/11/2014;2;6;66;17;15
01/12/2014;5;10;67;23;16
02/12/2014;4;15;45;21;25
03/12/2014;12;17;27;20;19
04/12/2014;9;14;36;21;13
05/12/2014;6;14;58;18;7
06/12/2014;2;7;68;16;9
07/12/2014;4;14;54;22;28
08/12/2014;2;6;65;15;10
09/12/2014;9;20;56;22;21
10/12/2014;13;26;34;29;31
11/12/2014;7;22;36;25;32
12/12/2014;5;14;43;23;20
13/12/2014;3;12;58;18;23
14/12/2014;1;4;58;12;6
15/12/2014;7;16;47;19;18
16/12/2014;4;8;68;15;6
17/12/2014;9;16;45;22;17
18/12/2014;8;13;33;23;17
19/12/2014;12;16;28;27;21
20/12/2014;13;21;25;29;39
21/12/2014;4;9;46;17;14
22/12/2014;8;15;49;21;12
23/12/2014;8;17;44;23;11
24/12/2014;5;14;41;23;15
25/12/2014;3;10;43;20;12
26/12/2014;13;21;30;26;22
27/12/2014;6;11;49;39;16
28/12/2014;2;7;74;17;11
29/12/2014;9;26;50;33;33
30/12/2014;8;20;47;26;20
31/12/2014;7;14;55;20;12
01/01/2015;4;9;58;16;10
02/01/2015;13;21;47;22;13
03/01/2015;8;15;38;22;16
04/01/2015;5;12;41;21;17
05/01/2015;8;16;39;20;15
06/01/2015;3;13;39;21;15
07/01/2015;6;15;41;21;12
08/01/2015;11;21;25;26;23
09/01/2015;12;24;31;25;15
10/01/2015;5;18;28;22;15
11/01/2015;5;14;39;21;26
12/01/2015;8;15;47;23;15
13/01/2015;6;16;42;25;14
14/01/2015;8;17;45;19;15
15/01/2015;3;8;64;16;17
16/01/2015;5;14;65;14;15
17/01/2015;4;12;57;21;21
18/01/2015;3;11;57;15;18
19/01/2015;9;16;67;19;17
20/01/2015;5;13;63;13;10
21/01/2015;5;11;69;14;10
22/01/2015;6;15;64;15;11
23/01/2015;4;13;63;14;9
24/01/2015;13;31;51;27;33
25/01/2015;9;28;43;31;55
26/01/2015;18;40;38;35;51
27/01/2015;11;25;50;21;26
28/01/2015;9;23;39;25;27
29/01/2015;7;16;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;16;13
30/01/2015;6;11;64;12;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
31/01/2015;2;3;83;9;
01/02/2015;2;5;78;13;
02/02/2015;5;12;57;14;
03/02/2015;6;16;70;15;
04/02/2015;5;15;69;13;
05/02/2015;7;20;63;18;
06/02/2015;11;28;53;21;
07/02/2015;10;25;43;27;
08/02/2015;2;12;70;23;
09/02/2015;5;18;75;20;
10/02/2015;7;25;63;27;
11/02/2015;11;34;48;32;
12/02/2015;10;30;40;32;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
13/02/2015;6;20;53;25;13
14/02/2015;4;14;60;17;9
15/02/2015;3;13;48;15;5
16/02/2015;3;13;62;17;10
17/02/2015;3;11;74;17;5
18/02/2015;5;17;64;24;21
19/02/2015;6;17;68;23;8
20/02/2015;5;22;49;22;10
21/02/2015;1;6;76;14;10
22/02/2015;2;8;66;14;13
23/02/2015;5;8;61;14;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
24/02/2015;3;7;77;12;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
25/02/2015;5;12;69;16;11
26/02/2015;5;13;52;15;7
27/02/2015;3;7;87;15;4
28/02/2015;2;8;54;17;12
01/03/2015;1;4;50;15;4
02/03/2015;5;9;44;14;2
03/03/2015;3;8;48;15;7
04/03/2015;2;6;79;16;5
05/03/2015;4;13;63;22;16
06/03/2015;4;13;67;20;18
07/03/2015;2;6;73;16;5
08/03/2015;1;4;74;16;3
09/03/2015;2;7;71;18;5
10/03/2015;2;9;77;23;9
11/03/2015;3;13;75;29;8
12/03/2015;3;11;73;39;7
13/03/2015;2;6;82;24;3
14/03/2015;2;5;81;16;4
15/03/2015;2;7;78;24;5
16/03/2015;3;13;63;27;4
17/03/2015;4;19;62;33;11
18/03/2015;3;15;76;26;16
19/03/2015;3;10;81;18;11
20/03/2015;2;8;84;23;6
21/03/2015;2;6;79;13;5
22/03/2015;1;4;81;14;4
23/03/2015;4;9;60;13;7
24/03/2015;2;5;74;13;3
25/03/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
30/03/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
31/03/2015;1;5;75;19;3
01/04/2015;3;12;62;25;11
02/04/2015;2;8;63;19;8
03/04/2015;3;6;61;18;4
04/04/2015;3;11;61;19;11
05/04/2015;2;9;54;19;13
06/04/2015;3;11;64;23;14
07/04/2015;3;12;75;26;9
08/04/2015;3;12;78;29;12
09/04/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;68;34;7
10/04/2015;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
13/04/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
14/04/2015;3;14;74;55;16
15/04/2015;4;15;58;44;14
16/04/2015;5;12;47;27;11
17/04/2015;4;13;70;31;16
18/04/2015;2;6;68;16;11
19/04/2015;1;6;68;13;11
20/04/2015;3;9;64;20;13
21/04/2015;3;13;76;23;17
22/04/2015;5;16;58;23;17
23/04/2015;2;10;67;18;15
24/04/2015;4;12;61;19;13
25/04/2015;2;6;70;14;16
26/04/2015;2;5;75;13;
27/04/2015;6;9;65;14;
28/04/2015;3;9;57;16;
29/04/2015;4;12;61;19;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
30/04/2015;4;15;46;22;8
01/05/2015;2;6;46;15;7
02/05/2015;3;9;39;16;12
03/05/2015;2;6;50;16;5
04/05/2015;3;9;60;21;9
05/05/2015;2;7;81;13;7
06/05/2015;3;10;71;15;6
07/05/2015;3;10;71;22;7
08/05/2015;3;9;70;16;6
09/05/2015;2;7;60;19;7
10/05/2015;1;5;79;23;4
11/05/2015;2;8;82;32;3
12/05/2015;4;11;80;33;3
13/05/2015;5;13;73;31;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
14/05/2015;2;6;85;24;1
15/05/2015;2;4;75;17;2
16/05/2015;2;6;54;20;5
17/05/2015;1;5;56;20;7
18/05/2015;2;5;70;21;4
19/05/2015;2;3;82;17;4
20/05/2015;2;5;82;17;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
21/05/2015;3;7;76;20;
22/05/2015;3;7;78;20;
23/05/2015;2;6;62;21;
24/05/2015;2;5;57;17;
25/05/2015;3;6;58;20;
26/05/2015;3;7;71;18;
27/05/2015;2;8;63;22;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
28/05/2015;4;9;83;20;8
29/05/2015;3;7;71;21;6
30/05/2015;2;4;70;18;3
31/05/2015;1;4;59;20;3
01/06/2015;3;6;53;22;4
02/06/2015;3;8;71;18;3
03/06/2015;2;7;80;26;2
04/06/2015;2;9;85;31;2
05/06/2015;3;13;72;29;2
06/06/2015;1;7;69;24;1
07/06/2015;1;6;86;25;2
08/06/2015;2;8;70;31;2
09/06/2015;2;8;76;27;4
10/06/2015;2;8;83;16;1
11/06/2015;3;10;77;22;1
12/06/2015;2;10;67;22;2
13/06/2015;3;10;71;20;1
14/06/2015;4;13;58;15;4
15/06/2015;2;7;67;14;3
16/06/2015;4;11;64;24;6
17/06/2015;2;7;65;19;3
18/06/2015;3;9;63;18;2
19/06/2015;3;7;61;19;2
20/06/2015;1;6;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
21/06/2015;2;8;;;
22/06/2015;4;12;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
23/06/2015;2;11;66;22;5
24/06/2015;3;8;64;23;6
25/06/2015;2;5;79;21;3
26/06/2015;2;9;94;28;6
27/06/2015;2;8;81;24;2
28/06/2015;1;10;79;22;4
29/06/2015;2;7;86;26;8
30/06/2015;1;9;94;36;5
01/07/2015;2;11;79;34;6
02/07/2015;2;9;68;22;5
03/07/2015;3;9;75;29;3
04/07/2015;2;8;90;26;9
05/07/2015;1;8;59;26;8
06/07/2015;3;10;62;25;6
07/07/2015;3;14;73;25;8
08/07/2015;2;5;54;21;3
09/07/2015;2;8;67;19;3
10/07/2015;2;8;100;24;7
11/07/2015;1;5;58;28;1
12/07/2015;1;4;74;25;6
13/07/2015;3;10;77;27;12
14/07/2015;2;9;95;28;7
15/07/2015;2;10;98;33;11
16/07/2015;2;11;89;32;7
17/07/2015;3;16;69;34;11
18/07/2015;2;11;76;33;7
19/07/2015;2;9;59;26;
20/07/2015;2;8;60;24;
21/07/2015;2;11;66;26;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
22/07/2015;2;9;57;24;5
23/07/2015;2;10;73;21;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
24/07/2015;4;14;62;24;14
25/07/2015;2;7;78;19;4
26/07/2015;2;9;64;26;4
27/07/2015;2;8;76;27;2
28/07/2015;2;8;58;23;3
29/07/2015;3;12;46;25;5
30/07/2015;2;7;53;15;2
31/07/2015;3;8;65;16;2
01/08/2015;2;7;70;17;1
02/08/2015;1;7;85;20;1
03/08/2015;4;12;82;31;4
04/08/2015;2;8;70;25;2
05/08/2015;2;12;82;20;3
06/08/2015;3;15;71;23;7
07/08/2015;3;9;62;22;3
08/08/2015;6;13;67;19;18
09/08/2015;1;6;73;22;5
10/08/2015;3;11;66;33;7
11/08/2015;2;9;85;43;2
12/08/2015;2;10;64;38;3
13/08/2015;2;7;49;19;2
14/08/2015;3;6;62;17;2
17/08/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
18/08/2015;3;10;57;19;7
19/08/2015;3;9;65;21;5
20/08/2015;3;9;68;23;5
21/08/2015;3;12;82;27;4
22/08/2015;2;10;78;31;3
23/08/2015;1;3;58;15;2
24/08/2015;2;6;55;16;2
25/08/2015;3;10;46;19;1
26/08/2015;4;10;48;21;2
27/08/2015;2;6;45;19;1
28/08/2015;4;10;40;19;3
29/08/2015;2;9;72;26;3
30/08/2015;1;7;69;31;3
31/08/2015;3;9;57;32;5
01/09/2015;2;7;53;18;2
02/09/2015;2;8;55;18;4
03/09/2015;3;7;56;15;1
04/09/2015;5;11;57;16;7
05/09/2015;3;9;51;18;5
06/09/2015;2;8;54;19;4
07/09/2015;3;11;58;23;8
08/09/2015;4;11;70;20;5
09/09/2015;2;11;67;24;5
10/09/2015;3;12;62;24;3
11/09/2015;4;13;61;24;4
12/09/2015;2;9;65;22;2
13/09/2015;1;5;55;17;2
14/09/2015;2;7;61;15;2
15/09/2015;4;9;45;15;1
16/09/2015;2;4;61;14;2
17/09/2015;3;7;50;14;3
18/09/2015;4;9;44;17;3
19/09/2015;2;6;52;16;4
20/09/2015;2;6;61;18;4
21/09/2015;4;12;64;21;7
22/09/2015;4;11;53;18;3
23/09/2015;5;14;49;18;6
24/09/2015;4;11;51;21;5
25/09/2015;4;12;57;23;3
26/09/2015;2;9;59;21;4
27/09/2015;2;6;61;19;5
28/09/2015;3;9;67;20;5
29/09/2015;4;12;54;22;6
30/09/2015;5;13;57;24;4
01/10/2015;5;16;66;25;7
02/10/2015;4;14;68;23;8
03/10/2015;3;9;61;20;5
04/10/2015;2;8;43;16;8
05/10/2015;3;6;57;15;7
06/10/2015;2;6;57;13;5
07/10/2015;3;10;46;18;8
08/10/2015;3;9;40;16;7
09/10/2015;6;14;36;17;9
10/10/2015;3;11;51;24;9
11/10/2015;2;7;43;18;9
12/10/2015;3;7;36;15;4
13/10/2015;6;13;52;24;17
14/10/2015;4;10;48;23;15
15/10/2015;5;13;41;22;16
16/10/2015;6;17;36;24;13
17/10/2015;2;11;48;22;21
18/10/2015;2;8;44;18;16
19/10/2015;4;14;39;17;17
20/10/2015;4;10;54;18;10
21/10/2015;5;14;39;24;21
22/10/2015;7;15;25;28;21
23/10/2015;7;13;23;21;9
24/10/2015;3;13;30;28;17
25/10/2015;2;8;44;23;17
26/10/2015;3;14;36;25;17
27/10/2015;2;7;66;16;17
28/10/2015;3;8;63;16;12
29/10/2015;4;14;47;19;23
30/10/2015;4;14;45;22;16
31/10/2015;5;15;31;27;15
01/11/2015;2;9;51;26;18
02/11/2015;1;8;70;20;23
03/11/2015;5;14;50;19;15
04/11/2015;4;15;47;20;35
05/11/2015;;;;;
