Fecha;CO;NO;NO2;O3;PM10;PM25;SO2
05/06/2015;0.3;;;82;;;5
06/06/2015;0.4;;;82;;;4
07/06/2015;0.4;;;82;;;4
08/06/2015;0.4;;;80;;;4
09/06/2015;0.5;17;42;67;;;4
10/06/2015;0.5;16;33;51;;;3
11/06/2015;0.5;12;30;37;;;3
12/06/2015;0.5;13;27;53;;;4
13/06/2015;0.5;10;19;36;;;4
14/06/2015;0.4;6;14;67;;;4
15/06/2015;0.4;13;21;61;;;4
16/06/2015;0.4;11;15;75;;;4
17/06/2015;0.4;10;16;91;;;4
18/06/2015;0.4;12;21;89;;;4
19/06/2015;0.6;11;12;60;;;4
20/06/2015;0.5;6;14;72;;;4
21/06/2015;0.5;6;21;71;;;4
22/06/2015;0.5;9;24;68;;;4
23/06/2015;0.4;15;24;57;;;4
24/06/2015;0.4;14;28;57;;;4
25/06/2015;0.4;14;36;64;;;4
26/06/2015;0.4;14;38;67;;;4
27/06/2015;0.5;6;18;87;;;4
28/06/2015;0.4;6;18;76;;;4
29/06/2015;0.4;8;19;81;;;4
30/06/2015;0.4;3;19;97;;;4
01/07/2015;0.4;3;15;98;;;4
02/07/2015;0.4;3;17;94;;;5
03/07/2015;0.4;3;16;92;;;5
04/07/2015;0.4;3;13;95;;;5
05/07/2015;0.4;4;12;94;;;4
06/07/2015;0.4;7;18;76;;;4
07/07/2015;0.4;8;24;84;;;4
08/07/2015;0.4;11;12;59;;;4
09/07/2015;0.5;13;23;64;;;4
10/07/2015;0.6;12;26;83;;;4
11/07/2015;0.6;6;12;72;;;4
12/07/2015;0.6;5;12;68;;;4
13/07/2015;0.6;13;24;64;;;4
14/07/2015;0.6;14;32;67;;;4
15/07/2015;0.7;8;20;80;;;4
16/07/2015;0.7;6;26;69;;;4
17/07/2015;0.7;10;25;62;;;4
18/07/2015;0.7;7;19;53;;;4
19/07/2015;0.7;6;19;57;;;4
20/07/2015;0.5;11;27;61;;;
21/07/2015;0.4;8;22;62;;;
22/07/2015;0.4;13;18;50;;;
23/07/2015;;;;;;;
24/07/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
25/07/2015;;;;;;;
26/07/2015;0.3;6;21;63;;;
27/07/2015;0.4;13;17;52;;;
28/07/2015;0.4;16;26;50;;;
29/07/2015;0.4;16;20;46;;;
30/07/2015;0.3;12;15;56;;;
31/07/2015;0.4;16;24;34;;;
01/08/2015;0.3;7;18;;;;
02/08/2015;0.3;3;13;69;;;
03/08/2015;0.3;3;15;69;;;
04/08/2015;0.3;11;24;51;;;
05/08/2015;0.3;5;17;63;;;
06/08/2015;0.3;7;17;67;;;
07/08/2015;0.3;9;18;56;;;
08/08/2015;0.3;7;12;49;;;
09/08/2015;0.3;5;11;57;;;
10/08/2015;0.3;10;26;58;;;
11/08/2015;0.3;3;15;68;;;
12/08/2015;0.3;3;13;65;;;
13/08/2015;0.3;11;19;54;;;
14/08/2015;0.4;12;19;51;;;
15/08/2015;0.4;6;11;53;;;
16/08/2015;0.4;8;20;43;;;
17/08/2015;0.5;11;16;52;;;
18/08/2015;0.4;12;18;56;;;
19/08/2015;0.4;14;27;44;;;
20/08/2015;0.5;18;30;41;;;
21/08/2015;0.5;13;17;57;;;
22/08/2015;0.5;3;10;70;;;
23/08/2015;0.4;5;12;64;;;
24/08/2015;0.4;14;22;53;;;
25/08/2015;0.4;12;24;54;;;
26/08/2015;0.5;3;14;67;;;
27/08/2015;0.5;3;14;68;;;
28/08/2015;0.5;8;17;67;;;
29/08/2015;0.5;3;11;72;;;
30/08/2015;0.5;3;9;71;;;
31/08/2015;0.5;6;19;48;;;
01/09/2015;0.4;16;22;50;;;
02/09/2015;0.4;17;27;46;;;
03/09/2015;0.4;13;18;59;;;
04/09/2015;0.4;13;19;61;;;
05/09/2015;0.3;7;14;62;;;
06/09/2015;0.4;6;17;61;;;
07/09/2015;0.4;17;33;47;;;
08/09/2015;0.4;18;33;47;;;
09/09/2015;0.4;12;25;50;;;
10/09/2015;0.4;10;28;58;;;
11/09/2015;0.4;8;17;64;;;
12/09/2015;0.4;2;11;69;;;
13/09/2015;0.4;5;17;53;;;
14/09/2015;0.4;10;27;47;;;
15/09/2015;0.4;7;27;40;;;
16/09/2015;0.4;3;12;53;;;
17/09/2015;0.3;15;25;51;;;
18/09/2015;0.3;24;34;35;;;
19/09/2015;0.4;8;15;58;;;
20/09/2015;0.4;7;20;59;;;
21/09/2015;;;;;;;
22/09/2015;;16;23;56;;;4
23/09/2015;0.3;15;19;54;;;3
24/09/2015;0.3;17;26;47;;;3
25/09/2015;0.3;17;26;44;;;3
26/09/2015;0.3;9;23;48;;;3
27/09/2015;0.3;7;18;53;;;3
28/09/2015;0.3;14;26;47;;;3
29/09/2015;0.3;13;19;54;;;4
30/09/2015;0.3;4;24;52;;;3
01/10/2015;0.3;23;36;38;;;3
02/10/2015;0.3;13;28;49;;;3
03/10/2015;0.3;7;19;55;;;3
04/10/2015;0.3;2;15;38;;;3
05/10/2015;0.3;4;13;55;;;3
06/10/2015;0.2;12;22;46;;;3
07/10/2015;0.2;15;19;53;;;3
08/10/2015;0.2;25;30;34;;;3
09/10/2015;0.2;28;41;27;;;3
10/10/2015;0.2;12;22;41;;;4
11/10/2015;0.3;4;20;41;;;3
12/10/2015;0.3;7;16;38;;;3
13/10/2015;0.3;13;19;48;;;3
14/10/2015;0.1;11;16;68;;;3
15/10/2015;;17;29;52;;;3
16/10/2015;;25;37;27;;;3
17/10/2015;0.1;10;20;37;;;3
18/10/2015;0.1;4;17;42;;;3
19/10/2015;0.1;17;28;17;;;3
20/10/2015;0.1;12;15;50;;;3
21/10/2015;0.1;12;15;65;;;3
22/10/2015;0.1;13;17;58;;;3
23/10/2015;0.1;19;33;32;;;3
24/10/2015;0.1;6;23;34;;;4
25/10/2015;0.1;4;16;40;;;3
26/10/2015;0.2;3;17;51;;;4
