Fecha;SO2;NO;NO2;PM10
28/10/2015;3;Sense dades;Sense dades;Sense dades
29/10/2015;3;Sense dades;Sense dades;Sense dades
30/10/2015;3;Sense dades;Sense dades;Sense dades
31/10/2015;3;Sense dades;Sense dades;Sense dades
01/11/2015;3;Sense dades;Sense dades;Sense dades
02/11/2015;3;Sense dades;Sense dades;Sense dades
03/11/2015;3;Sense dades;Sense dades;Sense dades
04/11/2015;3;2;16;Sense dades
05/11/2015;3;12;23;Sense dades
06/11/2015;3;10;19;Sense dades
07/11/2015;3;6;11;Sense dades
