Fecha;PM10;SO2
08/08/2015;15.0;1.1
09/08/2015;13.0;1.2
10/08/2015;18.0;1.9
11/08/2015;16.0;1.4
12/08/2015;18.0;1.5
13/08/2015;6.7;1.4
14/08/2015;8.6;1.4
15/08/2015;13.0;1.9
16/08/2015;12.0;1.9
17/08/2015;9.9;1.7
18/08/2015;8.3;1.5
19/08/2015;8.6;2.0
20/08/2015;13.0;2.9
21/08/2015;11.0;1.7
22/08/2015;9.3;2.3
23/08/2015;8.5;2.8
24/08/2015;11.0;2.2
25/08/2015;7.6;2.2
26/08/2015;9.0;2.5
27/08/2015;9.3;2.6
28/08/2015;8.4;1.9
29/08/2015;12.0;2.7
30/08/2015;17.0;3.2
31/08/2015;12.0;2.5
01/07/2015;14.0;7.5
02/07/2015;10.0;7.8
03/07/2015;15.0;9.3
04/07/2015;11.0;7.1
05/07/2015;12.0;6.9
06/07/2015;15.0;8.3
07/07/2015;12.0;8.6
08/07/2015;9.5;7.0
09/07/2015;15.0;7.3
10/07/2015;17.0;8.8
11/07/2015;10.0;7.1
12/07/2015;9.6;7.0
13/07/2015;9.5;7.2
14/07/2015;8.0;7.1
15/07/2015;11.0;null(null)
16/07/2015;16.0;8.8
17/07/2015;8.6;8.6
18/07/2015;11.0;9.5
19/07/2015;11.0;9.4
20/07/2015;8.7;8.5
21/07/2015;13.0;9.4
22/07/2015;9.5;8.5
23/07/2015;12.0;9.5
24/07/2015;11.0;9.7
25/07/2015;14.0;9.1
26/07/2015;9.6;9.6
27/07/2015;13.0;9.7
28/07/2015;9.1;10.0
29/07/2015;7.8;4.9
30/07/2015;14.0;1.1
31/07/2015;14.0;1.2
01/06/2015;11.0;5.0
02/06/2015;21.0;7.0
03/06/2015;13.0;4.4
04/06/2015;23.0;5.3
05/06/2015;11.0;4.5
06/06/2015;13.0;4.6
07/06/2015;21.0;4.6
08/06/2015;28.0;4.8
09/06/2015;28.0;5.0
10/06/2015;25.0;5.4
11/06/2015;16.0;8.5
12/06/2015;13.0;6.4
13/06/2015;13.0;5.6
14/06/2015;13.0;5.6
15/06/2015;11.0;5.1
16/06/2015;9.1;4.6
17/06/2015;15.0;4.6
18/06/2015;12.0;4.9
19/06/2015;8.6;4.9
20/06/2015;15.0;5.0
21/06/2015;15.0;5.3
22/06/2015;15.0;6.1
23/06/2015;12.0;5.8
24/06/2015;12.0;7.0
25/06/2015;17.0;7.0
26/06/2015;17.0;6.8
27/06/2015;9.5;5.7
28/06/2015;13.0;6.0
29/06/2015;15.0;6.6
30/06/2015;19.0;8.0
01/01/2015;13.0;6.0
02/01/2015;13.0;2.3
03/01/2015;7.7;1.6
04/01/2015;10.0;1.4
05/01/2015;15.0;5.1
06/01/2015;12.0;2.0
07/01/2015;14.0;2.9
08/01/2015;14.0;3.4
09/01/2015;16.0;4.0
10/01/2015;11.0;3.9
11/01/2015;13.0;1.2
12/01/2015;16.0;2.8
13/01/2015;8.6;1.5
14/01/2015;7.4;2.0
15/01/2015;8.2;1.9
16/01/2015;15.0;4.8
17/01/2015;6.9;3.4
18/01/2015;11.0;3.3
19/01/2015;19.0;2.8
20/01/2015;13.0;5.0
21/01/2015;15.0;7.4
22/01/2015;19.0;4.2
23/01/2015;9.6;2.3
24/01/2015;9.5;2.3
25/01/2015;17.0;2.0
26/01/2015;14.0;3.0
27/01/2015;10.0;2.0
28/01/2015;6.6;2.0
29/01/2015;7.5;3.5
30/01/2015;8.6;3.3
31/01/2015;21.0;11.0
01/05/2015;9.7;4.4
02/05/2015;8.1;4.4
03/05/2015;12.0;12.0
04/05/2015;9.9;5.0
05/05/2015;12.0;4.1
06/05/2015;14.0;4.0
07/05/2015;17.0;4.8
08/05/2015;11.0;4.0
09/05/2015;9.5;4.0
10/05/2015;14.0;3.8
11/05/2015;10.0;3.8
12/05/2015;19.0;3.8
13/05/2015;18.0;5.0
14/05/2015;14.0;5.7
15/05/2015;19.0;4.0
16/05/2015;9.4;3.3
17/05/2015;8.7;3.6
18/05/2015;9.8;3.9
19/05/2015;15.0;3.7
20/05/2015;17.0;2.4
21/05/2015;13.0;2.7
22/05/2015;15.0;3.1
23/05/2015;12.0;3.4
24/05/2015;9.8;3.8
25/05/2015;9.9;3.6
26/05/2015;12.0;3.5
27/05/2015;15.0;4.0
28/05/2015;15.0;4.1
29/05/2015;9.3;4.5
30/05/2015;12.0;8.3
31/05/2015;9.8;7.1
01/04/2015;24.0;1.9
02/04/2015;24.0;3.5
03/04/2015;13.0;2.4
04/04/2015;14.0;2.6
05/04/2015;18.0;3.0
06/04/2015;25.0;2.7
07/04/2015;27.0;2.6
08/04/2015;24.0;5.9
09/04/2015;18.0;3.1
10/04/2015;13.0;3.2
11/04/2015;12.0;3.0
12/04/2015;19.0;3.3
13/04/2015;17.0;3.2
14/04/2015;42.0;4.0
15/04/2015;37.0;15.0
16/04/2015;15.0;3.7
17/04/2015;11.0;3.9
18/04/2015;9.2;3.7
19/04/2015;11.0;4.4
20/04/2015;14.0;3.0
21/04/2015;21.0;4.2
22/04/2015;15.0;4.5
23/04/2015;9.9;3.1
24/04/2015;11.0;4.4
25/04/2015;8.8;4.0
26/04/2015;8.8;5.4
27/04/2015;12.0;3.7
28/04/2015;13.0;3.5
29/04/2015;12.0;4.3
30/04/2015;6.6;3.5
01/03/2015;5.4;2.1
02/03/2015;11.0;2.0
03/03/2015;7.3;1.8
04/03/2015;15.0;1.4
05/03/2015;19.0;1.6
06/03/2015;23.0;2.7
07/03/2015;17.0;5.5
08/03/2015;17.0;6.9
09/03/2015;19.0;2.9
10/03/2015;30.0;3.1
11/03/2015;14.0;3.4
12/03/2015;38.0;3.0
13/03/2015;16.0;1.8
14/03/2015;14.0;1.9
15/03/2015;17.0;2.1
16/03/2015;17.0;3.7
17/03/2015;21.0;4.0
18/03/2015;17.0;2.5
19/03/2015;31.0;2.7
20/03/2015;23.0;2.6
21/03/2015;16.0;2.7
22/03/2015;18.0;2.4
23/03/2015;13.0;2.7
24/03/2015;16.0;2.4
25/03/2015;15.0;2.4
26/03/2015;6.7;2.3
27/03/2015;7.2;2.1
28/03/2015;8.1;2.1
29/03/2015;6.9;2.5
30/03/2015;11.0;3.3
31/03/2015;10.0;2.8
01/02/2015;16.0;6.0
02/02/2015;8.3;3.7
03/02/2015;8.9;4.4
04/02/2015;19.0;3.1
05/02/2015;15.0;2.3
06/02/2015;13.0;3.0
07/02/2015;24.0;2.8
08/02/2015;21.0;1.9
09/02/2015;24.0;2.3
10/02/2015;17.0;4.0
11/02/2015;19.0;5.5
12/02/2015;15.0;5.3
13/02/2015;11.0;2.4
14/02/2015;11.0;2.6
15/02/2015;8.1;2.5
16/02/2015;17.0;2.1
17/02/2015;19.0;1.5
18/02/2015;17.0;1.5
19/02/2015;11.0;5.6
20/02/2015;8.9;3.3
21/02/2015;16.0;5.8
22/02/2015;7.2;2.6
23/02/2015;11.0;2.5
24/02/2015;20.0;2.0
25/02/2015;15.0;1.6
26/02/2015;9.0;1.9
27/02/2015;20.0;2.1
28/02/2015;5.4;2.3
