Fecha;NO;NO2;O3;PM10;PM25;SO2
14/06/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
15/06/2015;;;;;;
16/06/2015;4;12;75;;;
17/06/2015;4;15;96;;;
18/06/2015;4;18;102;;;
19/06/2015;5;15;70;;;
20/06/2015;4;15;81;;;
21/06/2015;4;18;83;;;
22/06/2015;5;18;90;;;
23/06/2015;4;18;95;;;
24/06/2015;5;18;79;;;
25/06/2015;5;18;90;;;
26/06/2015;5;19;101;;;
27/06/2015;5;19;101;;;
28/06/2015;5;18;95;;;
29/06/2015;4;18;89;;;
30/06/2015;3;17;105;;;
01/07/2015;4;18;107;;;
02/07/2015;5;20;103;;;
03/07/2015;5;19;104;;;
04/07/2015;4;16;109;;;
05/07/2015;4;16;104;;;
06/07/2015;4;19;82;;;
07/07/2015;4;21;89;;;
08/07/2015;4;16;69;;;
09/07/2015;4;19;78;;;
10/07/2015;5;21;80;;;
11/07/2015;6;15;83;;;
12/07/2015;5;16;83;;;
13/07/2015;5;19;86;;;
14/07/2015;6;21;87;;;
15/07/2015;5;20;77;;;
16/07/2015;4;20;99;;;
17/07/2015;5;19;88;;;
18/07/2015;;;;;;
19/07/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
20/07/2015;;;;;;
21/07/2015;5;17;82;;;
22/07/2015;4;12;92;;;
23/07/2015;5;20;76;;;
24/07/2015;4;18;85;;;
25/07/2015;5;14;80;;;
26/07/2015;4;19;79;;;
27/07/2015;5;15;68;;;
28/07/2015;5;21;74;;;
29/07/2015;5;17;65;;;
30/07/2015;4;19;59;;;
31/07/2015;4;16;75;;;
01/08/2015;4;17;83;;;
02/08/2015;4;18;83;;;
03/08/2015;5;17;75;;;
04/08/2015;5;18;80;;;
05/08/2015;6;17;80;;;
06/08/2015;6;16;71;;;
07/08/2015;5;17;74;;;
08/08/2015;5;19;45;;;
09/08/2015;4;15;71;;;
10/08/2015;4;19;79;;;
11/08/2015;4;17;85;;;
12/08/2015;4;17;71;;;
13/08/2015;5;15;71;;;
14/08/2015;5;13;70;;;
15/08/2015;4;15;60;;;
16/08/2015;5;19;59;;;
17/08/2015;6;18;60;;;
18/08/2015;5;18;70;;;
19/08/2015;5;20;72;;;
20/08/2015;5;19;72;;;
21/08/2015;6;15;73;;;
22/08/2015;5;16;71;;;
23/08/2015;4;18;74;;;
24/08/2015;4;15;73;;;
25/08/2015;4;20;70;;;
26/08/2015;5;17;74;;;
27/08/2015;5;17;77;;;
28/08/2015;5;16;80;;;
29/08/2015;6;13;79;;;
30/08/2015;5;14;79;;;
31/08/2015;5;19;67;;;
01/09/2015;7;16;65;;;
02/09/2015;8;17;65;;;
03/09/2015;6;17;70;;;
04/09/2015;7;19;56;;;
05/09/2015;5;17;71;;;
06/09/2015;5;19;72;;;
07/09/2015;4;23;66;;;
08/09/2015;6;24;66;;;
09/09/2015;6;18;76;;;
10/09/2015;5;18;80;;;
11/09/2015;5;16;81;;;
12/09/2015;5;15;84;;;
13/09/2015;5;16;62;;;
14/09/2015;5;20;59;;;
15/09/2015;5;17;66;;;
16/09/2015;6;17;61;;;
17/09/2015;6;15;69;;;
18/09/2015;6;21;62;;;
19/09/2015;6;19;66;;;
20/09/2015;6;18;72;;;
21/09/2015;6;19;82;;;
22/09/2015;5;21;73;;;
23/09/2015;6;14;74;;;
24/09/2015;6;27;58;;;
25/09/2015;7;25;61;;;
26/09/2015;5;18;74;;;
27/09/2015;6;15;64;;;
28/09/2015;7;17;69;;;
29/09/2015;5;21;74;;;
30/09/2015;6;21;63;;;
01/10/2015;4;22;64;;;
02/10/2015;5;17;70;;;
03/10/2015;5;14;71;;;
04/10/2015;6;16;56;;;
05/10/2015;5;19;50;;;
06/10/2015;5;25;55;;;
07/10/2015;6;19;56;;;
08/10/2015;8;25;44;;;
09/10/2015;6;26;50;;;
10/10/2015;5;20;61;;;
11/10/2015;5;18;60;;;
12/10/2015;7;21;52;;;
13/10/2015;5;21;54;;;
14/10/2015;4;16;71;;;
15/10/2015;5;21;64;;;
16/10/2015;7;26;56;;;
17/10/2015;6;19;60;;;
18/10/2015;5;22;54;;;
19/10/2015;6;23;43;;;
20/10/2015;7;19;47;;;
21/10/2015;5;17;67;;;
22/10/2015;6;20;61;;;
23/10/2015;8;23;44;;;
24/10/2015;6;22;60;;;
25/10/2015;5;20;60;;;
26/10/2015;5;21;61;;;
