Fecha;Hora;S02;NO;NO2;PM10;O3;dd;vv;TMP;LL
11/03/2015;6:00:00;4;3.3;34;;28;242;1.0;6.2;0.0
11/03/2015;7:00:00;4;3.3;39;;31;311;1.3;6.3;0.0
11/03/2015;8:00:00;5;75.8;88;;6;267;1.2;6.8;0.0
11/03/2015;9:00:00;6;120.8;105;;4;153;1.5;9.1;0.0
11/03/2015;10:00:00;4;18.9;50;;48;118;1.0;12.6;0.0
11/03/2015;11:00:00;4;1.8;11;;101;202;1.1;15.3;0.0
11/03/2015;12:00:00;4;1.2;7;;107;187;1.9;14.9;0.0
11/03/2015;13:00:00;4;1.2;4;;112;191;2.6;15.6;0.0
11/03/2015;14:00:00;4;1.4;4;;117;200;3.3;16.8;0.0
11/03/2015;15:00:00;4;0.9;2;;123;199;3.7;16.9;0.0
11/03/2015;16:00:00;4;1.1;4;;124;199;3.4;16.8;0.0
11/03/2015;17:00:00;4;1.0;3;;125;197;3.0;16.3;0.0
11/03/2015;18:00:00;4;1.0;4;;125;198;2.6;15.8;0.0
11/03/2015;19:00:00;4;0.8;3;;121;191;1.7;14.8;0.0
11/03/2015;20:00:00;4;0.3;2;;105;162;0.5;13.7;0.0
11/03/2015;21:00:00;4;0.4;2;;94;166;0.4;13.1;0.0
11/03/2015;22:00:00;4;17.8;69;;28;80;0.7;11.9;0.0
11/03/2015;23:00:00;6;27.9;84;;3;237;0.8;11.3;0.0
11/03/2015;0:00:00;7;33.8;72;;2;249;1.0;10.7;0.0
12/03/2015;1:00:00;7;25.8;68;;2;41;0.8;9.6;
12/03/2015;2:00:00;6;3.1;28;;42;61;1.2;9.2;
12/03/2015;3:00:00;5;4.1;38;;25;134;1.0;8.8;
12/03/2015;4:00:00;5;1.6;37;;32;265;1.2;8.5;
12/03/2015;5:00:00;5;1.8;26;;22;284;0.9;8.4;
12/03/2015;6:00:00;5;48.4;42;;;199;0.8;7.9;
12/03/2015;7:00:00;7;139.1;68;;;254;0.7;8.1;
12/03/2015;8:00:00;7;188.5;78;;;104;1.0;8.5;
12/03/2015;9:00:00;7;169.3;94;;2;130;0.3;11.6;
12/03/2015;10:00:00;7;72.2;74;;9;209;0.7;15.2;
12/03/2015;11:00:00;8;60.0;66;;19;160;1.5;16.7;
12/03/2015;12:00:00;7;7.3;19;;79;197;3.1;15.5;
12/03/2015;13:00:00;5;2.0;7;;107;210;3.0;14.0;
12/03/2015;14:00:00;4;3.2;18;;100;230;3.2;13.9;
12/03/2015;15:00:00;5;1.9;11;;114;237;2.7;14.5;
12/03/2015;16:00:00;5;2.6;5;;122;237;2.3;15.4;
12/03/2015;17:00:00;4;3.0;8;;119;243;2.3;16.0;
12/03/2015;18:00:00;4;1.3;8;;117;259;1.7;16.0;
12/03/2015;19:00:00;4;0.9;7;;114;272;1.6;15.3;
12/03/2015;20:00:00;5;11.8;74;;42;300;1.5;14.7;
12/03/2015;21:00:00;6;8.1;65;;30;59;2.0;13.7;
12/03/2015;22:00:00;5;2.7;31;;55;48;2.2;12.5;
12/03/2015;23:00:00;5;2.2;32;;49;59;1.9;11.5;
12/03/2015;0:00:00;5;1.5;20;;57;48;2.1;11.1;
13/03/2015;1:00:00;5;1.5;31;;42;240;1.4;10.5;0.5
13/03/2015;2:00:00;5;1.8;36;;23;236;0.8;9.9;0.0
13/03/2015;3:00:00;5;2.4;35;;21;209;0.2;9.6;0.0
13/03/2015;4:00:00;4;1.4;37;;20;211;0.4;9.1;0.0
13/03/2015;5:00:00;5;2.8;40;;23;235;0.8;9.1;0.0
13/03/2015;6:00:00;5;8.8;38;;20;292;0.8;8.8;0.0
13/03/2015;7:00:00;5;53.2;65;;1;277;0.6;8.4;0.0
13/03/2015;8:00:00;5;53.4;67;;2;312;1.2;8.7;0.0
13/03/2015;9:00:00;6;76.9;75;;5;321;1.0;11.4;0.0
13/03/2015;10:00:00;6;16.6;52;;45;266;0.7;14.6;0.0
13/03/2015;11:00:00;6;3.7;23;;82;171;1.2;15.0;0.0
13/03/2015;12:00:00;6;4.0;21;;96;239;2.2;15.1;0.0
13/03/2015;13:00:00;5;2.0;8;;111;230;3.0;15.8;0.0
13/03/2015;14:00:00;4;1.3;5;;112;213;4.2;15.9;0.0
13/03/2015;15:00:00;4;0.9;2;;111;211;3.9;15.8;0.0
13/03/2015;16:00:00;4;1.5;5;;112;214;3.7;15.8;0.0
13/03/2015;17:00:00;4;1.4;5;;116;210;4.1;15.4;0.0
13/03/2015;18:00:00;4;0.7;3;;118;206;2.9;15.0;0.0
13/03/2015;19:00:00;4;0.4;2;;110;204;2.2;14.1;0.0
13/03/2015;20:00:00;4;0.4;3;;106;196;1.4;13.3;0.0
13/03/2015;21:00:00;4;0.4;2;;105;216;1.1;13.2;0.0
13/03/2015;22:00:00;4;15.0;42;;54;168;0.6;12.5;0.0
13/03/2015;23:00:00;5;19.5;81;;5;183;0.7;11.5;0.0
13/03/2015;0:00:00;6;23.2;71;;5;184;0.8;10.7;0.0
14/03/2015;1:00:00;6;5.7;53;;10;280;0.7;10.2;0.0
14/03/2015;2:00:00;5;3.0;39;;17;248;0.9;10.0;0.0
14/03/2015;3:00:00;5;3.4;35;;10;98;0.8;9.4;0.0
14/03/2015;4:00:00;5;1.5;23;;37;240;0.7;10.1;0.0
14/03/2015;5:00:00;5;1.5;18;;55;306;1.4;10.5;0.0
14/03/2015;6:00:00;4;1.1;8;;77;312;1.9;11.6;0.0
14/03/2015;7:00:00;4;1.1;17;;72;303;1.8;11.0;0.0
14/03/2015;8:00:00;4;2.7;38;;52;317;1.2;11.3;0.0
14/03/2015;9:00:00;4;6.1;34;;53;270;2.0;11.8;0.0
14/03/2015;10:00:00;4;1.2;14;;74;309;3.6;11.8;0.0
14/03/2015;11:00:00;4;1.2;14;;74;313;4.3;12.0;0.0
14/03/2015;12:00:00;4;1.3;17;;70;317;3.9;11.6;0.0
14/03/2015;13:00:00;4;2.5;30;;57;314;2.2;11.3;0.2
14/03/2015;14:00:00;4;2.2;15;;70;255;2.4;12.1;0.3
14/03/2015;15:00:00;4;1.6;7;;76;154;1.4;12.1;0.3
14/03/2015;16:00:00;4;1.3;5;;83;198;2.7;11.9;0.3
14/03/2015;17:00:00;4;1.3;9;;82;258;3.2;12.1;0.3
14/03/2015;18:00:00;4;1.3;13;;77;297;2.4;12.3;0.3
14/03/2015;19:00:00;4;1.4;19;;72;284;2.6;11.9;0.3
14/03/2015;20:00:00;4;1.5;18;;80;267;4.2;8.6;1.3
14/03/2015;21:00:00;4;1.8;22;;76;58;3.2;7.6;2.5
14/03/2015;22:00:00;4;1.6;28;;64;284;1.6;7.8;2.5
14/03/2015;23:00:00;4;2.1;37;;47;208;1.1;7.6;2.5
14/03/2015;0:00:00;4;4.8;52;;34;279;0.5;7.5;2.5
15/03/2015;1:00:00;5;19.4;61;;25;203;0.3;7.2;2.5
15/03/2015;2:00:00;5;13.3;51;;5;89;1.1;5.7;0.0
15/03/2015;3:00:00;5;6.8;37;;7;98;0.9;5.3;0.0
15/03/2015;4:00:00;5;1.4;21;;21;134;1.4;4.8;0.0
15/03/2015;5:00:00;4;1.5;25;;22;145;0.9;5.2;0.3
15/03/2015;6:00:00;4;1.3;13;;59;249;3.2;7.0;0.5
15/03/2015;7:00:00;4;3.5;24;;49;217;1.6;7.3;1.0
15/03/2015;8:00:00;4;14.2;30;;11;104;0.8;6.2;1.0
15/03/2015;9:00:00;4;16.5;32;;29;99;1.4;8.4;1.0
15/03/2015;10:00:00;4;6.1;18;;42;83;1.5;10.0;1.0
15/03/2015;11:00:00;4;3.2;14;;62;164;0.9;12.9;1.0
15/03/2015;12:00:00;5;1.2;4;;83;210;2.6;13.3;1.0
15/03/2015;13:00:00;4;1.1;2;;90;223;3.6;13.8;1.0
15/03/2015;14:00:00;4;0.9;3;;92;238;3.7;13.8;1.0
15/03/2015;15:00:00;4;1.2;5;;91;268;2.5;13.7;1.0
15/03/2015;16:00:00;4;1.0;4;;94;226;1.9;14.3;1.0
15/03/2015;17:00:00;4;0.6;2;;97;208;3.1;13.6;1.0
15/03/2015;18:00:00;4;0.4;2;;100;218;3.1;13.1;1.0
15/03/2015;19:00:00;4;0.4;2;;98;219;2.5;12.0;1.0
15/03/2015;20:00:00;4;0.4;3;;97;217;2.0;11.8;1.0
15/03/2015;21:00:00;4;1.1;5;;95;220;2.2;11.9;1.0
15/03/2015;22:00:00;4;1.6;33;;43;296;1.5;10.8;1.0
15/03/2015;23:00:00;5;2.9;36;;31;186;1.4;9.9;1.0
15/03/2015;0:00:00;5;2.6;29;;34;45;1.6;9.1;1.0
16/03/2015;1:00:00;5;3.6;32;;28;311;1.6;8.7;1.0
16/03/2015;2:00:00;4;1.1;5;;88;312;2.8;9.4;0.0
16/03/2015;3:00:00;4;1.1;6;;84;318;2.0;8.5;0.0
16/03/2015;4:00:00;4;1.1;6;;72;318;1.6;7.4;0.0
16/03/2015;5:00:00;4;1.3;16;;53;325;1.9;6.9;0.0
16/03/2015;6:00:00;4;1.8;30;;33;275;1.6;6.7;0.0
16/03/2015;7:00:00;4;21.8;55;;12;312;1.6;6.3;0.0
16/03/2015;8:00:00;5;72.3;77;;3;203;1.7;6.6;0.0
16/03/2015;9:00:00;5;38.9;67;;14;319;1.9;8.9;0.0
16/03/2015;10:00:00;4;15.6;46;;41;191;2.1;10.9;0.0
16/03/2015;11:00:00;4;8.5;30;;63;60;3.0;11.9;0.0
16/03/2015;12:00:00;4;6.6;35;;66;172;2.0;12.4;0.0
16/03/2015;13:00:00;4;7.2;28;;74;219;1.6;11.5;0.4
16/03/2015;14:00:00;4;4.2;29;;73;111;1.2;10.3;2.1
16/03/2015;15:00:00;4;7.7;44;;59;89;2.2;9.8;2.5
16/03/2015;16:00:00;4;9.0;36;;59;75;2.4;9.7;3.4
16/03/2015;17:00:00;4;10.3;42;;52;68;1.9;9.8;3.9
16/03/2015;18:00:00;4;8.5;41;;55;175;2.3;10.1;4.3
16/03/2015;19:00:00;5;7.5;48;;46;314;1.3;10.4;4.3
16/03/2015;20:00:00;5;18.3;81;;17;315;0.7;9.5;4.3
16/03/2015;21:00:00;5;34.2;96;;4;318;1.0;8.8;4.3
16/03/2015;22:00:00;6;29.0;75;;6;236;1.3;7.6;4.3
16/03/2015;23:00:00;6;35.3;70;;3;305;1.1;6.8;4.3
16/03/2015;0:00:00;6;10.6;49;;12;249;1.3;6.3;4.3
17/03/2015;1:00:00;5;6.3;36;;10;139;1.4;5.2;4.5
17/03/2015;2:00:00;5;9.2;30;;7;88;1.4;4.2;0.0
17/03/2015;3:00:00;5;3.7;23;;10;58;1.5;4.0;0.0
17/03/2015;4:00:00;5;14.1;32;;5;183;1.4;3.8;0.0
17/03/2015;5:00:00;5;30.2;32;;2;108;1.3;3.1;0.0
17/03/2015;6:00:00;5;60.0;54;;;112;1.1;3.6;0.0
17/03/2015;7:00:00;6;105.8;59;;;140;1.3;3.4;0.0
17/03/2015;8:00:00;7;114.2;65;;3;45;1.6;3.8;0.0
17/03/2015;9:00:00;5;72.7;70;;9;142;1.2;6.6;0.0
17/03/2015;10:00:00;6;30.9;54;;26;87;0.9;10.6;0.0
17/03/2015;11:00:00;7;8.5;30;;59;196;1.3;12.7;0.0
17/03/2015;12:00:00;6;2.0;10;;85;214;2.2;13.5;0.0
17/03/2015;13:00:00;5;1.4;5;;95;212;2.7;14.1;0.0
17/03/2015;14:00:00;5;1.2;4;;98;212;2.9;14.6;0.0
17/03/2015;15:00:00;4;1.2;3;;105;211;3.7;14.6;0.0
17/03/2015;16:00:00;5;1.1;2;;106;212;3.8;14.6;0.2
17/03/2015;17:00:00;4;1.9;5;;104;217;3.3;14.7;0.3
17/03/2015;18:00:00;4;0.7;2;;106;206;2.6;14.3;0.3
17/03/2015;19:00:00;4;0.6;2;;99;185;1.0;13.0;0.3
17/03/2015;20:00:00;4;14.9;61;;41;134;0.4;11.8;0.3
17/03/2015;21:00:00;6;26.3;93;;8;54;1.0;10.9;0.3
17/03/2015;22:00:00;6;26.9;78;;15;304;1.5;10.6;0.3
17/03/2015;23:00:00;6;13.2;65;;6;290;1.1;9.4;0.3
17/03/2015;0:00:00;6;3.7;42;;16;315;1.2;8.8;0.3
18/03/2015;1:00:00;5;2.5;33;;23;280;1.8;8.5;0.3
18/03/2015;2:00:00;5;1.2;15;;46;217;2.6;8.8;0.0
18/03/2015;3:00:00;4;1.1;11;;45;279;1.4;8.8;0.0
18/03/2015;4:00:00;4;1.1;12;;43;309;1.1;9.0;0.0
18/03/2015;5:00:00;5;4.1;26;;22;267;1.4;8.7;0.0
18/03/2015;6:00:00;4;7.7;50;;12;194;1.5;9.0;0.0
18/03/2015;7:00:00;5;8.6;45;;19;76;2.2;9.2;0.0
18/03/2015;8:00:00;4;16.4;51;;26;50;2.5;10.4;0.0
18/03/2015;9:00:00;4;12.3;43;;39;63;2.8;11.6;0.0
18/03/2015;10:00:00;4;8.0;27;;58;58;4.0;13.0;0.0
18/03/2015;11:00:00;5;5.4;20;;80;63;5.8;14.5;0.0
18/03/2015;12:00:00;4;4.8;15;;87;67;6.4;15.9;0.0
18/03/2015;13:00:00;5;3.6;13;;90;62;7.0;16.6;0.0
18/03/2015;14:00:00;4;3.4;12;;92;64;7.1;16.9;0.0
18/03/2015;15:00:00;4;3.6;16;;89;63;6.2;16.5;0.0
18/03/2015;16:00:00;4;3.3;15;;91;66;7.1;16.1;0.0
18/03/2015;17:00:00;4;3.4;18;;87;68;6.1;15.7;0.0
18/03/2015;18:00:00;4;3.1;17;;88;65;6.8;15.3;0.0
18/03/2015;19:00:00;4;2.9;19;;86;58;6.4;14.5;0.0
18/03/2015;20:00:00;4;2.2;16;;89;58;6.3;14.2;0.0
18/03/2015;21:00:00;4;1.6;12;;90;54;6.3;13.9;0.0
18/03/2015;22:00:00;4;1.2;7;;94;54;7.0;13.8;0.0
18/03/2015;23:00:00;4;1.1;5;;96;54;7.5;13.9;0.0
18/03/2015;0:00:00;4;1.2;4;;96;56;6.7;14.0;0.0
19/03/2015;1:00:00;4;1.0;3;;96;56;6.7;14.1;0.0
19/03/2015;2:00:00;4;0.8;2;;94;68;5.8;14.0;0.0
19/03/2015;3:00:00;4;0.5;2;;92;59;5.8;13.7;0.0
19/03/2015;4:00:00;4;0.6;2;;92;52;5.9;13.5;0.0
19/03/2015;5:00:00;4;0.8;5;;88;107;4.7;13.4;0.0
19/03/2015;6:00:00;4;1.4;11;;79;131;4.1;13.2;0.0
19/03/2015;7:00:00;4;1.4;15;;77;82;4.8;13.3;0.0
19/03/2015;8:00:00;4;4.0;23;;73;60;6.0;13.5;0.0
19/03/2015;9:00:00;4;4.4;21;;74;86;7.0;14.0;0.0
19/03/2015;10:00:00;4;4.1;16;;81;58;7.7;14.7;0.0
19/03/2015;11:00:00;4;3.0;13;;89;55;7.7;15.4;0.0
19/03/2015;12:00:00;4;3.5;14;;90;58;7.5;16.2;0.0
19/03/2015;13:00:00;4;3.2;15;;92;58;7.5;16.8;0.0
19/03/2015;14:00:00;4;3.4;16;;93;62;7.8;17.2;0.0
19/03/2015;15:00:00;4;3.3;16;;92;63;7.7;17.3;0.0
19/03/2015;16:00:00;4;2.5;12;;97;60;9.0;17.6;0.0
19/03/2015;17:00:00;5;3.2;14;;94;56;8.6;17.3;0.0
19/03/2015;18:00:00;5;2.4;13;;94;57;7.9;16.5;0.0
19/03/2015;19:00:00;5;2.1;14;;94;52;6.9;15.5;0.0
19/03/2015;20:00:00;5;1.4;11;;98;59;7.4;15.1;0.0
19/03/2015;21:00:00;5;1.3;11;;93;71;7.1;14.6;0.0
19/03/2015;22:00:00;5;1.2;9;;90;71;8.1;14.3;0.0
19/03/2015;23:00:00;5;1.1;8;;94;63;7.1;14.1;0.0
19/03/2015;0:00:00;5;1.1;7;;94;60;7.1;14.0;0.0
20/03/2015;1:00:00;4;1.0;5;;97;55;7.1;13.9;0.0
20/03/2015;2:00:00;5;0.8;4;;100;51;7.4;13.9;0.0
20/03/2015;3:00:00;4;0.6;3;;102;59;7.8;13.9;0.0
20/03/2015;4:00:00;4;0.5;2;;105;56;7.4;13.8;0.0
20/03/2015;5:00:00;4;0.8;5;;100;55;7.5;13.6;0.0
20/03/2015;6:00:00;4;1.2;8;;97;56;6.7;13.8;0.0
20/03/2015;7:00:00;4;1.3;14;;91;63;5.5;14.0;0.0
20/03/2015;8:00:00;4;2.9;20;;89;74;6.2;14.3;0.0
20/03/2015;9:00:00;4;3.5;20;;89;72;6.7;14.6;0.0
20/03/2015;10:00:00;4;3.1;18;;90;94;7.6;14.8;0.0
20/03/2015;11:00:00;4;2.4;17;;88;124;6.3;14.5;0.0
20/03/2015;12:00:00;4;2.6;20;;86;92;5.8;14.7;0.0
20/03/2015;13:00:00;5;2.5;16;;90;121;8.3;14.6;0.0
20/03/2015;14:00:00;5;2.5;12;;90;74;8.8;15.2;0.0
20/03/2015;15:00:00;4;2.8;11;;90;58;9.5;15.5;0.0
20/03/2015;16:00:00;5;2.4;11;;84;74;9.2;15.0;0.0
20/03/2015;17:00:00;5;3.0;12;;80;57;9.1;14.8;0.0
20/03/2015;18:00:00;4;2.8;13;;77;56;7.8;14.7;0.0
20/03/2015;19:00:00;5;2.3;11;;81;59;7.6;15.0;0.0
20/03/2015;20:00:00;5;2.2;17;;74;109;4.4;14.9;0.0
20/03/2015;21:00:00;4;1.8;14;;74;72;5.5;14.5;0.3
20/03/2015;22:00:00;4;1.2;9;;76;80;5.8;14.0;1.1
20/03/2015;23:00:00;4;1.2;12;;68;74;3.8;13.8;2.3
20/03/2015;0:00:00;4;1.2;8;;71;157;3.7;13.6;4.6
21/03/2015;1:00:00;4;1.1;5;;77;108;3.8;13.9;5.0
21/03/2015;2:00:00;5;1.0;3;;78;56;4.2;14.1;0.0
21/03/2015;3:00:00;5;0.6;3;;81;120;3.2;14.2;0.0
21/03/2015;4:00:00;4;0.6;3;;78;95;4.1;14.2;0.1
21/03/2015;5:00:00;4;0.7;5;;73;87;2.2;13.8;1.6
21/03/2015;6:00:00;4;1.2;22;;49;89;1.0;13.5;1.8
21/03/2015;7:00:00;4;2.8;39;;30;91;0.9;13.6;1.8
21/03/2015;8:00:00;5;1.4;15;;68;123;1.1;13.8;1.8
21/03/2015;9:00:00;4;0.8;4;;83;149;1.4;14.2;1.8
21/03/2015;10:00:00;4;0.8;2;;89;160;1.7;15.0;1.8
21/03/2015;11:00:00;4;0.5;2;;91;177;3.2;15.4;1.8
21/03/2015;12:00:00;4;0.4;2;;93;184;3.6;15.9;1.8
21/03/2015;13:00:00;4;0.6;2;;95;196;3.4;16.3;1.8
21/03/2015;14:00:00;4;0.5;2;;97;210;3.5;16.5;1.8
21/03/2015;15:00:00;4;0.5;2;;95;226;2.9;16.7;1.8
21/03/2015;16:00:00;4;0.5;2;;96;233;3.1;16.8;1.8
21/03/2015;17:00:00;4;0.9;2;;97;234;2.5;16.4;1.8
21/03/2015;18:00:00;4;0.5;2;;96;228;1.8;15.6;1.8
21/03/2015;19:00:00;4;0.3;2;;91;212;1.2;14.7;1.8
21/03/2015;20:00:00;4;1.5;17;;73;192;1.2;14.3;1.8
21/03/2015;21:00:00;5;3.9;38;;43;90;2.8;14.5;1.8
21/03/2015;22:00:00;5;2.9;38;;43;266;2.2;14.3;1.8
21/03/2015;23:00:00;5;2.7;37;;36;125;1.6;13.8;1.8
21/03/2015;0:00:00;5;1.2;16;;56;66;2.4;13.8;1.8
22/03/2015;1:00:00;5;1.1;8;;71;69;3.0;14.0;1.8
22/03/2015;2:00:00;4;1.0;10;;73;194;0.9;14.3;0.0
22/03/2015;3:00:00;5;0.9;12;;70;230;0.6;14.3;0.0
22/03/2015;4:00:00;5;0.9;11;;61;168;0.3;14.2;0.0
22/03/2015;5:00:00;5;0.9;11;;64;294;0.9;13.8;0.0
22/03/2015;6:00:00;4;2.0;26;;29;232;0.6;13.0;0.0
22/03/2015;7:00:00;5;3.5;25;;16;219;0.7;12.7;0.0
22/03/2015;8:00:00;5;;;;56;295;1.6;13.1;0.6
22/03/2015;9:00:00;4;;;;60;312;1.5;12.3;1.2
22/03/2015;10:00:00;4;;;;59;319;2.2;13.1;1.3
22/03/2015;11:00:00;4;;;;77;298;1.7;15.5;1.3
22/03/2015;12:00:00;4;;;;84;73;3.9;16.5;1.3
22/03/2015;13:00:00;4;;;;89;68;4.5;16.8;1.3
22/03/2015;14:00:00;4;;;;89;103;4.5;17.5;1.3
22/03/2015;15:00:00;5;;;;86;74;4.2;17.0;1.3
22/03/2015;16:00:00;4;;;;83;66;4.4;16.0;1.3
22/03/2015;17:00:00;5;;;;83;127;3.6;15.6;1.3
22/03/2015;18:00:00;5;;;;79;114;3.3;15.3;1.3
22/03/2015;19:00:00;5;;;;72;70;3.0;14.7;1.3
22/03/2015;20:00:00;5;;;;67;52;3.0;13.7;1.3
22/03/2015;21:00:00;5;;;;54;53;2.3;12.8;1.3
22/03/2015;22:00:00;5;;;;62;53;2.7;12.1;1.3
22/03/2015;23:00:00;5;;;;46;181;1.4;11.5;1.3
22/03/2015;0:00:00;5;;;;36;112;1.4;11.1;1.3
23/03/2015;1:00:00;5;;;;31;157;1.4;10.7;1.3
23/03/2015;2:00:00;5;;;;33;128;1.6;10.2;0.0
23/03/2015;3:00:00;5;;;;23;215;1.1;9.7;0.0
23/03/2015;4:00:00;5;;;;28;198;1.3;10.0;0.0
23/03/2015;5:00:00;5;;;;33;74;0.6;10.8;0.0
23/03/2015;6:00:00;4;;;;36;130;0.9;11.7;0.0
23/03/2015;7:00:00;5;;;;16;133;1.7;11.7;0.0
23/03/2015;8:00:00;5;;;;8;73;1.9;11.5;0.0
23/03/2015;9:00:00;5;;;;21;204;2.2;12.6;0.1
23/03/2015;10:00:00;11;;;;70;106;4.1;13.8;0.3
23/03/2015;11:00:00;5;;;;82;78;4.5;14.7;0.3
23/03/2015;12:00:00;4;;;;77;74;3.9;16.3;0.3
23/03/2015;13:00:00;5;;;;75;69;3.5;17.2;0.3
23/03/2015;14:00:00;5;;;;81;90;4.2;17.7;0.3
23/03/2015;15:00:00;5;;;;84;79;4.6;17.6;0.3
23/03/2015;16:00:00;4;;;;82;68;4.4;17.6;0.3
23/03/2015;17:00:00;4;;;;78;58;4.6;16.9;0.3
23/03/2015;18:00:00;5;;;;72;66;4.3;16.2;0.3
23/03/2015;19:00:00;4;;;;70;86;4.1;15.3;0.3
23/03/2015;20:00:00;4;;;;63;114;3.1;14.5;0.3
23/03/2015;21:00:00;5;;;;72;85;3.6;14.1;0.3
23/03/2015;22:00:00;4;;;;68;101;2.8;14.1;0.3
23/03/2015;23:00:00;4;;;;75;93;4.1;13.8;0.3
23/03/2015;0:00:00;4;;;;77;83;3.7;13.6;0.3
24/03/2015;1:00:00;5;;;;79;76;3.1;13.7;0.3
24/03/2015;2:00:00;4;;;;81;150;3.3;13.7;0.0
24/03/2015;3:00:00;4;;;;84;103;3.5;13.7;0.0
24/03/2015;4:00:00;4;;;;83;142;3.4;13.6;0.0
24/03/2015;5:00:00;4;;;;79;147;2.9;13.5;0.0
24/03/2015;6:00:00;4;;;;66;63;3.1;13.6;0.0
24/03/2015;7:00:00;4;;;;63;116;3.7;13.7;0.4
24/03/2015;8:00:00;4;;;;53;116;3.6;13.6;0.9
24/03/2015;9:00:00;5;;;;50;107;3.5;13.8;1.0
24/03/2015;10:00:00;4;;;;68;83;4.4;14.7;1.0
24/03/2015;11:00:00;5;;;;81;88;5.7;15.9;1.0
24/03/2015;12:00:00;4;;;;76;91;5.0;16.0;1.0
24/03/2015;13:00:00;4;;;;72;181;4.4;16.3;1.0
24/03/2015;14:00:00;5;;;;72;214;4.2;16.5;1.0
24/03/2015;15:00:00;4;;;;70;246;3.9;16.3;1.2
24/03/2015;16:00:00;5;;;;71;192;4.6;16.6;1.3
24/03/2015;17:00:00;5;;;;59;241;3.9;14.8;1.5
24/03/2015;18:00:00;5;;;;61;169;3.8;14.6;1.5
24/03/2015;19:00:00;5;;;;55;200;3.2;14.3;1.5
24/03/2015;20:00:00;5;;;;37;264;2.3;14.1;1.9
24/03/2015;21:00:00;5;;;;26;297;1.6;13.9;2.4
24/03/2015;22:00:00;5;;;;52;296;2.5;13.3;10.6
24/03/2015;23:00:00;5;;;;71;161;2.7;12.8;21.2
24/03/2015;0:00:00;5;;;;65;312;1.6;12.9;24.4
25/03/2015;1:00:00;5;1.5;13;;67;292;0.9;13.0;24.9
25/03/2015;2:00:00;5;1.7;17;;54;293;0.7;13.2;1.3
25/03/2015;3:00:00;5;1.3;7;;68;316;0.4;12.9;3.9
25/03/2015;4:00:00;5;1.2;9;;58;158;0.2;12.8;5.8
25/03/2015;5:00:00;5;1.4;9;;65;84;3.3;11.9;9.8
25/03/2015;6:00:00;4;2.4;18;;60;155;2.3;11.0;11.0
25/03/2015;7:00:00;5;8.1;55;;25;272;1.1;10.9;11.1
25/03/2015;8:00:00;5;14.9;56;;33;191;2.3;10.9;11.3
25/03/2015;9:00:00;5;;;;19;249;0.8;11.0;11.9
25/03/2015;10:00:00;5;;;;47;129;1.4;11.0;12.0
25/03/2015;11:00:00;5;9.0;35;;55;241;1.7;11.8;12.0
25/03/2015;12:00:00;4;13.0;28;;59;55;2.6;10.9;12.5
25/03/2015;13:00:00;5;6.4;26;;59;60;2.1;10.7;13.0
25/03/2015;14:00:00;5;4.5;20;;68;83;3.1;10.5;13.4
25/03/2015;15:00:00;5;5.0;23;;66;76;2.3;10.6;13.5
25/03/2015;16:00:00;5;4.8;24;;65;66;1.9;10.9;13.5
25/03/2015;17:00:00;5;1.6;14;;73;236;1.0;10.7;13.7
25/03/2015;18:00:00;5;1.4;14;;70;172;0.6;10.2;14.0
25/03/2015;19:00:00;5;5.9;44;;47;116;1.7;10.4;14.0
25/03/2015;20:00:00;5;2.1;40;;49;300;1.5;10.6;14.0
25/03/2015;21:00:00;5;0.8;11;;79;263;1.5;10.8;14.0
25/03/2015;22:00:00;4;0.1;4;;82;229;1.2;10.2;14.8
25/03/2015;23:00:00;4;0.3;3;;81;208;0.8;9.9;15.2
25/03/2015;0:00:00;5;6.0;47;;12;199;0.3;9.8;15.5
26/03/2015;1:00:00;5;5.9;43;;8;301;0.6;9.6;
26/03/2015;2:00:00;6;1.4;31;;13;215;0.8;9.6;
26/03/2015;3:00:00;5;1.7;24;;8;126;0.7;9.5;
26/03/2015;4:00:00;5;1.1;14;;31;114;0.7;9.2;
26/03/2015;5:00:00;5;1.5;25;;22;208;0.2;9.2;
26/03/2015;6:00:00;6;17.1;38;;3;196;0.7;8.7;
26/03/2015;7:00:00;5;20.8;35;;5;67;1.1;8.0;
26/03/2015;8:00:00;5;56.4;55;;2;211;0.6;8.8;
26/03/2015;9:00:00;6;39.7;45;;14;221;0.6;11.1;
26/03/2015;10:00:00;6;10.0;22;;48;161;0.9;12.4;
26/03/2015;11:00:00;5;3.8;12;;61;200;2.0;12.7;
26/03/2015;12:00:00;5;1.1;2;;83;178;2.1;13.4;
26/03/2015;13:00:00;5;1.6;6;;79;242;1.6;15.5;
26/03/2015;14:00:00;5;4.5;12;;78;312;2.7;15.9;
26/03/2015;15:00:00;4;2.2;10;;84;316;3.5;16.0;
26/03/2015;16:00:00;5;1.5;8;;89;318;4.0;15.2;
26/03/2015;17:00:00;5;2.0;10;;90;319;3.9;15.4;
26/03/2015;18:00:00;5;1.6;11;;89;316;3.2;14.8;
26/03/2015;19:00:00;4;1.3;9;;90;294;2.3;13.7;
26/03/2015;20:00:00;4;0.6;7;;93;261;2.9;12.5;
26/03/2015;21:00:00;4;0.4;3;;95;235;2.4;11.9;
26/03/2015;22:00:00;5;0.7;8;;86;258;1.4;11.9;
26/03/2015;23:00:00;;;;;;;;;
26/03/2015;0:00:00;;;;;;;;;
