Fecha;BEN;NO;NO2;NOX;O3;PM10;SH2;SO2;TOL;dd;HR;PRB;RS;TMP;vv
01/08/2015;0.5;3;28;11;102;17;1;5;1.8;266;;1013.9;261.7;19.5;0.7
31/07/2015;0.31;3;32;14;94;16;2;5;1.5;261;;1010;43.3;17.9;0.6
30/07/2015;0.16;3;15;13;74;17;2;4;1;315;;1013.7;171.2;18.7;0.3
29/07/2015;0.49;3;20;16;72;13;3;6;1.93;261;;1012.6;49.2;19.4;0.3
28/07/2015;0.21;4;22;13;94;14;2;7;0.91;308;;1012;294.1;21.6;0.7
27/07/2015;0.05;3;16;11;57;18;1;4;0.25;319;;1013.8;130;21.2;1.3
26/07/2015;0.3;4;25;17;91;18;1;7;1.87;338;;1011.2;262.4;22.1;0.6
25/07/2015;0.09;3;15;9;83;20;1;4;0.41;292;;1017;261.2;19.7;0.8
24/07/2015;0.31;5;51;20;84;17;2;8;1.74;274;;1010.2;216.1;21.5;0.9
23/07/2015;0.47;5;33;17;66;15;2;4;1.82;298;;1013.5;229.1;21.8;0.4
22/07/2015;0.11;4;26;17;57;13;1;4;0.58;317;;1016.7;64.3;21.4;1
21/07/2015;0.42;4;23;17;50;17;1;4;1.49;304;;1013.1;61.3;22.4;0.4
20/07/2015;0.2;5;36;19;79;19;2;5;0.78;293;;1013;299.5;23.8;1.5
19/07/2015;0.26;4;14;14;62;19;2;4;0.78;292;;1013.3;262.9;23.1;1
18/07/2015;0.26;5;26;16;49;19;2;4;0.98;313;;1012.1;204.8;22.3;1
17/07/2015;0.23;4;22;18;69;19;2;5;0.85;295;;1014.1;213.7;21.7;0.8
16/07/2015;0.37;5;23;19;60;20;1;3;1.56;325;;1011.7;170.5;22;0.9
15/07/2015;0.23;4;24;17;54;21;1;3;0.91;333;86;1014.7;159.6;21.9;0.6
14/07/2015;;;32;;52;16;;;;279;78;;266.2;21.5;0.4
13/07/2015;0.47;4;29;16;58;12;2;3;1.22;257;76;;312.4;20.6;0.5
12/07/2015;0.58;2;23;10;65;13;2;4;1.88;357;77;1020;148.6;20.8;0.4
11/07/2015;0.21;2;12;8;82;18;2;3;0.69;332;76;1020.6;160;20.9;0.8
10/07/2015;0.47;7;53;28;115;30;3;5;2.41;300;67;1013.1;314.7;22.4;1
09/07/2015;0.22;3;21;13;70;15;2;4;0.85;360;67;1018;242.2;20.8;0.3
08/07/2015;0.09;2;26;11;69;12;2;2;0.47;330;76;1019.7;163.1;20.3;0.6
07/07/2015;0.32;3;11;11;78;21;2;;0.54;327;84;1015.6;306.9;21.4;1.1
06/07/2015;2.57;5;46;23;92;21;4;;7.64;355;84;1014.6;304.8;21.9;0.8
05/07/2015;0.98;2;15;11;57;9;2;;1.52;324;94;1017.4;85.3;20.6;0.4
04/07/2015;1.28;2;17;10;91;17;3;;2.6;275;71;1017.7;249.7;22.4;0.3
03/07/2015;0.99;7;43;27;110;30;3;;3.17;334;;1013.2;299.9;25.2;0.5
02/07/2015;0.42;3;21;17;64;16;2;;0.82;323;;1016.8;135.8;20.4;1.3
01/07/2015;0.46;3;31;13;79;34;3;;0.86;327;;1010.7;217.7;21.5;1
30/06/2015;0.87;3;25;17;98;38;4;;2.36;148;75;1008.6;279;24.5;0.4
29/06/2015;0.8;4;35;19;77;20;4;;3.01;344;82;1015.6;283.1;22.3;0.7
28/06/2015;0.27;3;11;10;56;15;2;;0.58;287;86;1018.4;174.8;20.5;0.7
27/06/2015;0.24;2;16;10;82;23;2;;0.56;311;81;1018.7;305.9;20.8;0.9
26/06/2015;1.01;4;57;21;95;35;2;;3.79;328;88;1018.6;180.7;19.9;1.7
25/06/2015;0.86;5;42;22;121;23;3;;1.87;285;76;1016.8;328.6;21.2;1
24/06/2015;0.3;3;22;15;71;19;3;;0.91;259;75;1016.4;323.5;19.8;0.7
23/06/2015;0.31;4;17;16;58;23;3;;1.01;327;79;1013.9;325.7;19.8;0.8
22/06/2015;0.21;4;44;15;62;19;3;;0.82;292;86;1012.3;270.3;19.8;0.9
21/06/2015;0.23;3;20;13;82;20;2;;0.65;290;80;1016.8;329.7;19.1;1.7
20/06/2015;0.7;3;16;11;79;18;3;;1.09;300;82;1019.7;328.8;18.2;1.1
19/06/2015;0.25;2;11;9;70;13;2;;0.58;295;87;1020.5;124.3;17.8;0.6
18/06/2015;0.16;2;10;9;104;18;2;;0.43;297;81;1022.2;291;18.1;0.8
17/06/2015;0.17;2;10;8;101;17;1;;0.42;317;80;1023.7;308.5;18;1.9
16/06/2015;;;12;;87;14;;;;322;75;1022.3;271.9;17.2;2.4
15/06/2015;0.21;2;17;10;95;17;2;;0.37;323;83;1016.5;206.3;17.4;2.2
14/06/2015;0.45;2;14;9;104;13;3;;1.01;323;80;1010.2;229.4;17.1;0.4
13/06/2015;0.92;2;31;14;90;16;3;;2.49;360;89;1007.8;127.8;18.1;0.6
12/06/2015;0.51;3;42;16;98;24;2;;0.93;349;88;1008.3;79.8;17.6;0.4
11/06/2015;1.69;3;40;22;88;30;3;;3.91;309;84;1006.8;148.6;19.2;0.5
10/06/2015;0.97;7;64;40;75;30;2;;3.28;289;92;1009.9;63.2;16.8;0.2
09/06/2015;0.45;2;14;12;99;32;2;;0.82;304;85;1015.7;165;17.3;0.7
08/06/2015;0.38;3;27;13;108;31;2;;0.84;318;87;1017.9;307.2;19.1;0.9
07/06/2015;0.48;2;16;11;80;21;1;;0.88;335;87;1020.2;223.8;19;0.6
06/06/2015;0.26;3;32;16;65;20;1;;0.51;344;95;1022;70.1;17;0.4
05/06/2015;1.04;3;39;20;75;29;2;;2.08;330;85;1017;158.4;19.3;2.1
04/06/2015;3.43;7;51;31;90;39;4;;6.75;15;74;1014.2;315.7;22.7;0.7
03/06/2015;0.78;3;23;17;74;26;1;;1.22;353;86;1019.4;85.8;18.6;0.3
02/06/2015;;;20;;39;23;;;;322;89;1017;238.6;18.1;0.8
01/06/2015;0.63;3;22;14;58;17;3;3;0.82;327;93;1016;68.6;17.6;0.6
31/05/2015;0.47;3;25;13;75;24;4;7;0.72;275;77;1015.6;301.6;17.9;1.1
30/05/2015;0.68;2;15;11;91;15;4;3;0.99;276;79;1016.3;295.3;15.8;0.8
29/05/2015;0.67;2;22;12;88;15;3;2;0.99;330;77;1015.2;274.6;16.6;0.8
28/05/2015;0.88;4;35;18;88;23;4;;1.55;278;82;1016.9;325.4;16.4;0.7
27/05/2015;0.65;2;13;11;83;21;3;;0.72;323;87;1020.6;262;16;0.9
26/05/2015;0.43;2;11;9;79;24;3;;0.5;324;86;1021.2;140.5;15.4;1.9
25/05/2015;0.57;2;15;11;63;15;3;;0.87;331;89;1019.7;153.9;15.7;1.9
24/05/2015;0.56;2;9;8;64;13;3;;0.5;329;89;1018.6;124.4;15.9;1.6
23/05/2015;0.73;2;7;7;88;14;3;10;0.61;327;75;1020.7;277.4;15.2;1.3
22/05/2015;0.48;2;16;10;92;19;2;10;0.76;331;74;1025.2;269.9;14.3;0.9
21/05/2015;0.65;2;12;9;89;18;2;9;1.14;325;69;1027;249;13.9;2.2
20/05/2015;0.49;2;14;8;89;16;2;;0.85;315;81;1021;158.8;13.1;2.3
19/05/2015;1.13;2;10;8;86;19;3;;1.4;315;81;1016.5;137.6;13.1;1.6
18/05/2015;;;12;;49;19;;;;272;87;1014.4;179.3;13.5;1.3
17/05/2015;;2;15;10;76;14;2;5;;327;89;1023.6;219.4;15;1
16/05/2015;;2;12;8;86;17;2;4;;324;86;1028.6;124.7;14.8;1.1
15/05/2015;;2;8;7;85;13;2;7;;314;88;1023.2;89.1;13.1;3.2
14/05/2015;;2;25;11;84;24;2;8;;317;79;1016.9;83.4;15;1.6
13/05/2015;;3;38;20;85;34;2;9;;353;90;1016.3;148.8;16.5;1.4
12/05/2015;;3;24;17;96;36;2;13;;1;91;1017;232.3;15.9;1.3
11/05/2015;;3;27;15;95;35;2;6;;6;92;1017.5;113.7;15.8;0.8
10/05/2015;;5;39;26;88;32;4;10;;17;76;1016.9;294.2;19.1;0.5
09/05/2015;1.14;2;25;13;84;15;3;5;0.38;357;89;1022.9;131.5;16.3;0.8
08/05/2015;0.43;3;35;17;102;21;2;7;1.19;343;60;1014.5;289.3;19.4;0.9
07/05/2015;1.1;6;52;34;103;33;3;13;3.75;287;64;1009.9;274;18.2;0.5
06/05/2015;0.2;2;35;14;104;19;2;7;0.58;334;73;1016.9;242.6;14.3;0.6
05/05/2015;0.26;2;27;13;91;23;2;9;0.88;254;70;1009.4;128;15.6;0.3
04/05/2015;0.89;4;18;18;76;23;4;11;1.82;177;58;997;152.6;23.1;3.7
03/05/2015;0.68;3;16;15;73;15;3;9;1.61;173;66;1004.3;128.9;20.8;1.7
02/05/2015;1.58;4;25;19;56;13;5;11;4.38;157;69;1004.9;121.5;21.8;2.3
01/05/2015;0.58;3;16;14;64;14;3;8;1.9;213;70;1009;97.7;19.8;1.9
30/04/2015;0.82;4;65;22;84;21;3;10;2.17;156;62;1012.3;238.1;17.7;0.8
29/04/2015;0.52;3;22;17;82;18;3;8;1.33;289;78;1016.6;172.3;13.4;0.3
28/04/2015;1.25;3;23;14;89;19;4;7;4.02;344;61;1018.1;263.5;13.9;0.8
27/04/2015;0.07;2;15;9;92;13;2;7;0.12;318;81;1010.3;112.8;14.2;2.5
26/04/2015;0.24;2;14;10;87;11;3;9;0.52;274;79;1002.5;70.8;16.1;0.9
25/04/2015;1.08;3;32;17;85;16;3;8;2.27;199;60;1006.4;227.9;19.8;3.1
24/04/2015;1.02;12;55;45;63;31;3;11;3.37;325;87;1009.9;130.7;14.9;0.9
23/04/2015;0.21;2;24;13;86;14;2;6;0.71;296;83;1016;223;14.6;0.9
22/04/2015;1.57;3;25;17;95;19;5;8;5.19;196;54;1014.4;115.4;19.4;2.3
