Fecha;PM10;SO2;NO2;NO;CO;O3
03/06/2015;28;1;18;6;0.4;39
04/06/2015;44;0;19;5;0.2;45
05/06/2015;25;0;13;2;0.1;57
06/06/2015;21;0;13;2;0.1;46
07/06/2015;25;0;9;1;0.1;62
08/06/2015;40;0;15;3;0.2;67
09/06/2015;38;0;20;2;0.2;72
10/06/2015;28;0;24;3;0.2;66
11/06/2015;39;0;24;5;0.3;48
12/06/2015;27;0;27;4;0.2;60
13/06/2015;20;0;18;3;0.2;67
14/06/2015;19;0;11;1;0.2;63
15/06/2015;21;0;18;4;0.1;56
16/06/2015;20;0;15;3;0.1;61
17/06/2015;23;0;15;2;0.1;66
18/06/2015;26;0;15;3;0.2;60
19/06/2015;17;0;14;4;0.2;41
20/06/2015;27;0;19;8;0.3;36
21/06/2015;34;0;17;5;0.3;43
22/06/2015;26;0;18;7;0.2;34
23/06/2015;21;0;17;8;0.2;33
24/06/2015;26;0;18;5;0.3;37
25/06/2015;39;1;24;9;0.3;51
26/06/2015;41;0;12;2;0.2;67
27/06/2015;28;0;11;2;0.2;44
28/06/2015;18;0;11;3;0.2;27
29/06/2015;31;0;16;10;0.3;35
30/06/2015;;;;;;
01/07/2015;;;;;;
02/07/2015;23;0;14;2;0.2;41
03/07/2015;29;0;18;7;0.2;45
04/07/2015;32;0;16;3;0.2;42
05/07/2015;16;0;8;1;0.1;45
06/07/2015;;0;;;0.1;48
07/07/2015;22;0;10;3;0.1;41
08/07/2015;16;0;12;3;0.1;49
09/07/2015;21;0;16;4;0.2;40
10/07/2015;46;1;18;9;0.2;52
11/07/2015;22;0;9;2;0.1;51
12/07/2015;15;0;10;2;0.1;42
13/07/2015;21;0;16;10;0.2;33
14/07/2015;24;1;17;10;0.2;36
15/07/2015;24;1;13;4;0.2;41
16/07/2015;22;0;11;2;0.2;47
17/07/2015;29;1;22;5;0.3;34
18/07/2015;27;1;12;3;0.2;37
19/07/2015;28;1;13;2;0.2;45
20/07/2015;25;1;19;6;0.2;39
21/07/2015;25;2;19;5;0.2;23
22/07/2015;21;1;12;2;0.2;37
23/07/2015;20;0;16;8;0.2;31
24/07/2015;19;0;15;4;0.2;40
25/07/2015;20;0;12;2;0.2;51
26/07/2015;21;0;10;2;0.2;40
27/07/2015;24;0;10;3;0.1;40
28/07/2015;16;0;11;3;0.2;48
29/07/2015;14;0;15;4;0.2;38
30/07/2015;16;0;17;4;0.1;46
31/07/2015;18;1;22;4;0.2;47
01/08/2015;17;0;10;1;0.1;69
02/08/2015;29;1;16;2;0.2;60
03/08/2015;33;1;20;4;0.5;47
04/08/2015;13;0;13;3;0.2;44
05/08/2015;;;;;;
06/08/2015;;;;;;
07/08/2015;;;;;;
08/08/2015;1;0;0;0;0;0
09/08/2015;;0;;;0.1;57
10/08/2015;;0;;;0.2;46
11/08/2015;33;0;16;3;0.2;53
12/08/2015;30;0;14;3;0.2;57
13/08/2015;23;0;11;3;0.2;51
14/08/2015;15;0;7;2;0.1;55
15/08/2015;13;0;10;2;0.1;38
16/08/2015;20;1;12;3;0.2;35
17/08/2015;19;1;15;5;0.2;43
18/08/2015;19;1;17;3;0.2;49
19/08/2015;20;1;17;4;0.3;44
20/08/2015;32;0;22;5;0.3;41
21/08/2015;38;0;18;6;0.3;45
22/08/2015;28;0;13;1;0.2;44
23/08/2015;12;0;7;1;0.2;53
24/08/2015;21;0;10;2;0.2;49
25/08/2015;20;0;18;6;0.3;37
26/08/2015;17;0;23;6;0.2;28
27/08/2015;21;0;16;3;0.2;39
28/08/2015;14;0;11;2;0.1;33
29/08/2015;15;0;10;2;0.2;40
30/08/2015;28;0;14;3;0.2;37
31/08/2015;28;0;12;2;0.2;51
01/09/2015;19;0;18;3;0.2;49
02/09/2015;19;0;20;3;0.2;43
03/09/2015;11;0;20;3;0.2;40
04/09/2015;13;0;20;3;0.2;44
05/09/2015;14;0;17;3;0.2;42
06/09/2015;23;0;17;2;0.4;44
07/09/2015;26;0;23;5;0.3;39
08/09/2015;36;0;26;8;0.5;40
09/09/2015;46;1;24;12;0.4;42
10/09/2015;27;0;21;3;0.3;36
11/09/2015;28;1;24;11;0.4;34
12/09/2015;21;0;19;2;0.2;36
13/09/2015;12;0;10;1;0.2;42
14/09/2015;22;0;12;2;0.3;57
15/09/2015;17;0;10;1;0.2;42
16/09/2015;20;0;12;2;0.2;51
17/09/2015;16;0;13;2;0.2;50
18/09/2015;16;1;16;3;0.2;47
19/09/2015;17;1;14;2;0.2;49
20/09/2015;17;1;19;3;0.3;34
21/09/2015;29;1;22;15;0.6;41
22/09/2015;19;0;10;2;0.2;56
23/09/2015;15;0;15;2;0.2;43
24/09/2015;18;0;25;8;0.3;31
25/09/2015;25;0;24;12;0.3;34
26/09/2015;24;0;22;5;0.4;34
27/09/2015;24;0;19;5;0.4;30
28/09/2015;26;0;23;5;0.5;44
29/09/2015;31;1;29;13;0.4;32
30/09/2015;35;1;35;15;0.5;26
01/10/2015;41;0;26;8;0.4;46
02/10/2015;20;0;24;3;0.2;56
03/10/2015;20;0;21;4;0.2;52
04/10/2015;17;0;14;2;0.3;37
05/10/2015;12;0;16;4;0.2;42
06/10/2015;17;0;14;3;0.2;53
07/10/2015;19;0;24;7;0.3;32
08/10/2015;19;0;26;5;0.2;31
09/10/2015;34;1;38;30;0.4;26
10/10/2015;40;1;39;22;0.7;23
11/10/2015;20;0;23;2;0.3;46
12/10/2015;21;0;17;1;0.3;37
13/10/2015;31;0;28;7;0.3;40
14/10/2015;27;0;35;13;0.3;37
15/10/2015;25;0;34;11;0.2;35
16/10/2015;28;1;39;29;0.3;25
17/10/2015;28;1;32;17;0.3;18
18/10/2015;23;0;19;2;0.3;39
19/10/2015;26;0;24;7;0.3;24
20/10/2015;24;0;32;12;0.4;35
21/10/2015;25;0;37;11;0.3;29
22/10/2015;22;0;27;10;0.3;34
23/10/2015;41;1;43;34;0.4;12
24/10/2015;30;0;35;13;0.4;23
25/10/2015;22;0;18;6;0.3;39
26/10/2015;;0;;;0.5;44
27/10/2015;14;0;21;6;0.3;51
28/10/2015;14;0;24;6;0.3;45
29/10/2015;13;0;14;4;0.3;48
30/10/2015;12;0;12;3;0.4;51
31/10/2015;24;0;15;3;0.6;48
01/11/2015;30;0;25;5;0.4;35
02/11/2015;24;0;24;6;0.6;37
03/11/2015;16;0;36;32;0.6;33
04/11/2015;13;0;17;6;0.3;37
05/11/2015;17;0;25;9;0.3;29
06/11/2015;13;0;26;9;0.4;29
07/11/2015;22;0;32;10;0.3;19
08/11/2015;12;0;19;2;0.2;36
09/11/2015;;;;;;
