Fecha;NO;NO2;O3;PM10;SO2
14/04/2014;1;5;68;25;3
15/04/2014;1;5;74;26;3
16/04/2014;1;4;72;18;3
17/04/2014;1;2;79;13;3
18/04/2014;1;2;81;17;3
19/04/2014;1;4;80;20;5
20/04/2014;1;2;74;4;9
21/04/2014;2;4;63;10;10
22/04/2014;2;5;66;12;5
23/04/2014;1;4;73;11;5
24/04/2014;2;5;73;17;6
25/04/2014;4;6;67;12;5
26/04/2014;3;4;70;11;7
27/04/2014;3;3;63;14;6
28/04/2014;4;4;58;14;7
29/04/2014;7;8;50;16;8
30/04/2014;4;4;62;12;5
01/05/2014;3;2;65;10;2
02/05/2014;3;3;77;10;2
03/05/2014;4;5;63;14;4
04/05/2014;3;5;64;15;2
05/05/2014;3;7;66;23;4
06/05/2014;3;7;60;27;2
07/05/2014;6;11;60;20;7
08/05/2014;3;4;66;17;2
09/05/2014;9;10;62;22;9
10/05/2014;3;3;56;11;2
11/05/2014;3;2;68;12;1
12/05/2014;4;5;68;22;3
13/05/2014;3;3;82;13;1
14/05/2014;4;6;73;14;6
15/05/2014;4;8;72;18;7
16/05/2014;4;6;82;22;3
17/05/2014;3;6;89;17;5
18/05/2014;3;4;80;18;2
19/05/2014;3;6;78;46;2
20/05/2014;4;6;60;14;2
21/05/2014;4;6;71;5;3
22/05/2014;3;5;65;6;2
23/05/2014;3;6;70;6;1
24/05/2014;3;5;66;12;2
25/05/2014;3;3;71;8;3
26/05/2014;6;12;59;19;8
27/05/2014;5;12;50;21;7
28/05/2014;3;6;53;8;2
29/05/2014;4;12;42;11;4
30/05/2014;2;4;71;14;2
31/05/2014;2;2;77;15;2
01/06/2014;2;3;73;12;2
02/06/2014;8;13;60;21;9
03/06/2014;9;14;57;24;9
04/06/2014;4;7;66;12;3
05/06/2014;4;8;56;30;3
06/06/2014;4;8;57;63;3
07/06/2014;3;4;68;14;2
08/06/2014;3;5;55;14;5
09/06/2014;7;10;55;27;12
10/06/2014;4;8;68;21;7
11/06/2014;8;13;66;23;23
12/06/2014;6;13;73;24;18
13/06/2014;3;5;77;23;5
14/06/2014;2;2;89;18;2
15/06/2014;2;2;82;13;2
16/06/2014;5;9;74;20;11
17/06/2014;3;4;83;20;2
18/06/2014;11;18;70;26;27
19/06/2014;4;10;71;25;6
20/06/2014;3;9;79;38;6
21/06/2014;4;6;69;18;5
22/06/2014;5;8;74;24;14
23/06/2014;3;6;75;22;5
24/06/2014;3;6;84;16;2
25/06/2014;10;14;84;24;16
26/06/2014;15;18;73;18;32
27/06/2014;7;12;69;26;12
28/06/2014;4;7;58;12;3
29/06/2014;2;2;66;9;2
30/06/2014;8;10;63;21;12
01/07/2014;4;8;57;25;4
02/07/2014;3;4;66;7;2
03/07/2014;3;4;77;17;2
04/07/2014;6;10;70;24;12
05/07/2014;4;5;44;13;5
06/07/2014;3;4;56;7;3
07/07/2014;4;5;76;10;3
08/07/2014;4;5;63;15;3
09/07/2014;3;2;78;16;2
10/07/2014;3;4;76;13;2
11/07/2014;5;8;63;24;5
12/07/2014;4;5;65;14;5
13/07/2014;3;3;72;16;3
14/07/2014;11;15;73;27;34
15/07/2014;5;13;79;26;12
16/07/2014;2;8;106;29;5
17/07/2014;3;18;88;68;11
18/07/2014;2;18;79;43;7
19/07/2014;1;8;59;9;2
20/07/2014;1;3;51;8;1
21/07/2014;7;18;61;15;24
22/07/2014;23;28;69;25;52
23/07/2014;2;10;98;23;9
24/07/2014;2;11;97;26;5
25/07/2014;1;6;94;30;4
26/07/2014;2;9;98;22;7
27/07/2014;5;14;98;28;16
28/07/2014;1;6;92;21;1
29/07/2014;1;4;81;12;1
30/07/2014;6;16;80;17;7
31/07/2014;4;12;82;23;5
01/08/2014;2;8;77;23;2
02/08/2014;3;8;51;11;3
03/08/2014;1;6;65;11;3
04/08/2014;1;5;75;11;2
05/08/2014;3;13;86;20;46
06/08/2014;6;16;59;19;9
07/08/2014;7;15;57;21;7
08/08/2014;2;8;57;11;2
09/08/2014;2;6;64;7;2
10/08/2014;1;5;60;6;2
11/08/2014;7;11;66;12;11
12/08/2014;4;9;54;12;5
13/08/2014;1;4;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;10;1
14/08/2014;5;11;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;18;5
15/08/2014;17;17;43;18;13
16/08/2014;1;5;59;10;2
17/08/2014;5;13;41;14;13
18/08/2014;6;15;49;25;8
19/08/2014;7;15;44;24;8
20/08/2014;3;11;54;18;5
21/08/2014;6;13;58;23;7
22/08/2014;8;15;61;18;11
23/08/2014;8;12;63;14;8
24/08/2014;4;10;74;15;6
25/08/2014;4;11;67;25;13
26/08/2014;5;11;43;13;7
27/08/2014;6;9;54;19;12
28/08/2014;9;15;55;25;15
29/08/2014;5;14;71;17;19
30/08/2014;8;18;71;17;24
31/08/2014;4;11;83;15;14
01/09/2014;17;19;85;25;33
02/09/2014;5;17;92;27;16
03/09/2014;3;16;84;34;11
04/09/2014;5;13;81;26;14
05/09/2014;5;15;67;20;14
06/09/2014;2;8;59;15;6
07/09/2014;2;7;51;13;3
08/09/2014;5;12;52;;10
09/09/2014;6;14;67;;15
10/09/2014;3;12;75;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;8
11/09/2014;4;16;62;22;10
12/09/2014;5;12;61;20;9
13/09/2014;5;11;65;16;6
14/09/2014;2;6;52;9;2
15/09/2014;4;10;43;13;2
16/09/2014;4;11;49;15;2
17/09/2014;4;9;52;9;2
18/09/2014;2;6;58;11;1
19/09/2014;2;6;60;9;1
20/09/2014;2;4;58;12;3
21/09/2014;1;2;70;12;1
22/09/2014;1;4;66;14;1
23/09/2014;4;7;66;21;8
24/09/2014;4;4;83;26;6
25/09/2014;6;8;66;26;4
26/09/2014;12;17;53;27;17
27/09/2014;5;10;74;22;5
28/09/2014;4;5;68;16;10
29/09/2014;6;8;66;18;13
30/09/2014;5;9;67;21;9
01/10/2014;5;7;68;25;2
02/10/2014;6;9;71;22;5
03/10/2014;7;12;64;25;8
04/10/2014;8;8;63;21;15
05/10/2014;7;7;63;11;13
06/10/2014;10;13;39;28;10
07/10/2014;8;16;62;16;15
08/10/2014;7;5;45;6;3
09/10/2014;7;10;51;15;5
10/10/2014;6;13;43;19;16
11/10/2014;2;8;55;12;22
12/10/2014;1;5;57;7;9
13/10/2014;2;5;60;7;6
14/10/2014;3;13;56;11;13
15/10/2014;2;11;43;8;5
16/10/2014;3;8;48;9;4
17/10/2014;3;7;54;14;2
20/10/2014;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
21/10/2014;4;12;43;68;2
22/10/2014;10;17;45;40;8
23/10/2014;4;12;38;27;2
24/10/2014;5;13;18;30;6
25/10/2014;4;9;24;25;9
26/10/2014;2;7;29;27;4
27/10/2014;3;14;27;35;2
28/10/2014;3;18;31;29;5
29/10/2014;3;19;27;41;5
30/10/2014;6;21;23;38;15
31/10/2014;12;19;24;50;11
01/11/2014;2;12;23;24;2
02/11/2014;2;10;23;15;3
03/11/2014;3;10;31;15;5
04/11/2014;4;9;41;11;11
05/11/2014;2;7;52;8;7
06/11/2014;5;14;17;17;10
07/11/2014;3;13;35;16;12
08/11/2014;2;12;16;17;14
09/11/2014;2;7;30;10;11
10/11/2014;6;13;19;12;12
11/11/2014;2;9;41;12;3
12/11/2014;2;10;36;11;5
13/11/2014;3;8;37;7;2
14/11/2014;2;11;39;9;4
15/11/2014;1;5;41;7;5
16/11/2014;2;7;31;8;9
17/11/2014;9;15;26;15;15
18/11/2014;5;13;20;18;22
19/11/2014;4;18;17;16;25
20/11/2014;6;14;14;23;18
21/11/2014;7;15;11;35;18
22/11/2014;4;10;13;39;17
23/11/2014;2;7;13;28;10
24/11/2014;2;9;29;12;2
25/11/2014;4;14;22;24;15
26/11/2014;5;14;15;31;33
27/11/2014;6;13;23;21;22
28/11/2014;5;15;36;13;17
29/11/2014;2;5;41;9;20
30/11/2014;1;3;46;7;21
01/12/2014;1;5;47;15;15
02/12/2014;2;6;41;11;18
03/12/2014;4;9;26;12;26
04/12/2014;2;9;32;14;20
05/12/2014;1;6;50;11;9
06/12/2014;1;4;55;8;9
07/12/2014;1;5;53;11;16
08/12/2014;2;7;42;12;16
09/12/2014;2;8;50;21;17
10/12/2014;13;22;20;57;28
11/12/2014;6;21;18;38;22
12/12/2014;5;18;16;28;10
13/12/2014;1;6;42;13;11
14/12/2014;2;4;49;5;9
15/12/2014;4;11;45;12;15
16/12/2014;2;6;45;9;9
17/12/2014;4;14;34;22;19
18/12/2014;16;27;6;32;39
19/12/2014;20;28;6;39;19
20/12/2014;21;19;3;39;20
21/12/2014;4;12;21;18;41
22/12/2014;7;23;20;31;20
23/12/2014;13;25;10;34;20
24/12/2014;11;24;5;34;25
25/12/2014;3;12;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;23
26/12/2014;8;18;;;15
27/12/2014;4;11;;;19
28/12/2014;2;3;;;16
29/12/2014;2;9;;;34
30/12/2014;4;15;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;36
31/12/2014;3;13;31;14;23
01/01/2015;2;9;34;12;31
02/01/2015;5;19;24;22;32
03/01/2015;6;23;14;21;25
04/01/2015;5;19;16;22;21
05/01/2015;6;17;15;24;22
06/01/2015;4;15;12;22;19
07/01/2015;10;25;13;34;43
08/01/2015;27;32;2;48;28
09/01/2015;20;25;7;38;32
10/01/2015;17;27;5;;23
11/01/2015;5;15;17;;22
12/01/2015;7;22;16;;25
13/01/2015;5;20;13;;14
14/01/2015;6;18;16;;18
15/01/2015;2;8;39;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;8
16/01/2015;4;10;43;12;14
17/01/2015;2;8;33;17;21
18/01/2015;2;6;38;11;10
19/01/2015;4;15;40;12;22
20/01/2015;3;12;40;12;29
21/01/2015;11;20;37;13;27
22/01/2015;2;9;43;8;14
23/01/2015;8;21;31;18;31
24/01/2015;4;15;31;17;25
25/01/2015;3;16;35;18;22
26/01/2015;7;24;33;28;26
27/01/2015;13;20;31;19;22
28/01/2015;10;27;22;31;26
29/01/2015;9;19;25;20;22
30/01/2015;2;8;42;8;9
31/01/2015;1;3;54;7;7
01/02/2015;1;7;47;8;13
02/02/2015;4;16;29;15;27
03/02/2015;3;11;46;6;12
04/02/2015;2;5;51;13;13
05/02/2015;1;7;47;13;15
06/02/2015;2;9;39;7;17
07/02/2015;2;7;38;10;31
08/02/2015;2;6;45;13;26
09/02/2015;6;19;40;21;29
10/02/2015;3;20;35;24;31
11/02/2015;4;25;34;29;46
12/02/2015;9;34;22;33;49
13/02/2015;10;33;15;26;31
14/02/2015;4;19;25;16;29
15/02/2015;4;16;22;15;27
16/02/2015;5;11;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
17/02/2015;2;4;48;8;21
18/02/2015;2;7;44;15;20
19/02/2015;3;15;35;21;37
20/02/2015;5;23;24;26;23
21/02/2015;1;4;47;8;9
22/02/2015;2;6;36;11;18
23/02/2015;5;12;34;10;14
24/02/2015;1;5;46;8;8
25/02/2015;2;5;43;8;6
26/02/2015;7;10;36;11;18
27/02/2015;2;4;94;9;12
28/02/2015;2;7;54;15;23
01/03/2015;2;6;48;10;23
02/03/2015;2;11;44;10;21
03/03/2015;2;9;52;9;18
04/03/2015;2;5;88;7;12
05/03/2015;4;13;62;23;17
06/03/2015;2;11;66;20;17
07/03/2015;2;8;76;12;29
08/03/2015;2;5;84;14;27
09/03/2015;2;9;78;24;28
10/03/2015;4;13;75;31;28
11/03/2015;4;16;74;26;20
12/03/2015;4;15;62;54;13
13/03/2015;1;3;94;17;3
14/03/2015;1;2;92;10;6
15/03/2015;1;6;88;15;15
16/03/2015;4;18;57;41;24
17/03/2015;2;12;76;29;40
18/03/2015;1;8;95;26;41
19/03/2015;1;6;92;14;41
20/03/2015;1;4;96;23;5
21/03/2015;2;4;89;7;13
22/03/2015;1;3;92;6;14
23/03/2015;2;6;75;9;13
24/03/2015;2;4;87;16;7
25/03/2015;1;2;93;7;8
26/03/2015;2;9;56;9;11
27/03/2015;1;6;49;9;7
28/03/2015;2;6;46;14;14
29/03/2015;2;7;55;15;8
30/03/2015;5;12;51;30;11
31/03/2015;4;8;61;24;6
01/04/2015;2;9;78;23;9
02/04/2015;2;7;66;17;15
03/04/2015;1;4;62;17;13
04/04/2015;2;8;69;24;7
05/04/2015;2;6;62;15;8
06/04/2015;3;9;59;22;13
07/04/2015;3;11;70;24;16
08/04/2015;5;12;72;32;8
09/04/2015;2;12;73;32;8
10/04/2015;2;11;57;10;11
11/04/2015;4;10;56;16;17
12/04/2015;2;7;67;28;19
13/04/2015;2;10;68;54;19
14/04/2015;5;13;65;61;16
15/04/2015;4;14;50;35;20
16/04/2015;3;9;61;19;13
17/04/2015;2;10;71;21;6
18/04/2015;2;6;63;10;11
19/04/2015;2;5;66;6;12
20/04/2015;4;12;67;16;22
21/04/2015;4;12;71;28;17
22/04/2015;4;11;64;23;8
23/04/2015;5;11;67;15;20
24/04/2015;3;12;59;17;18
25/04/2015;1;4;70;10;5
26/04/2015;1;4;76;6;6
27/04/2015;4;7;60;11;7
28/04/2015;2;7;64;17;8
29/04/2015;7;14;59;18;24
30/04/2015;3;8;52;20;15
01/05/2015;1;4;58;11;7
02/05/2015;1;4;44;10;4
03/05/2015;2;5;47;10;5
04/05/2015;3;5;60;10;5
05/05/2015;1;5;84;7;5
06/05/2015;3;8;76;15;12
07/05/2015;3;10;67;23;10
08/05/2015;1;6;69;12;5
09/05/2015;1;5;68;14;5
10/05/2015;1;5;81;;4
11/05/2015;2;12;81;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;8
12/05/2015;2;12;81;29;8
13/05/2015;3;13;69;37;6
14/05/2015;1;6;83;23;4
15/05/2015;1;1;80;8;2
16/05/2015;1;2;76;12;3
17/05/2015;2;4;67;11;5
18/05/2015;1;3;67;23;4
19/05/2015;1;2;88;10;4
20/05/2015;1;2;92;9;4
21/05/2015;1;2;90;13;9
22/05/2015;2;5;87;17;7
23/05/2015;2;6;73;17;14
24/05/2015;1;2;62;11;16
25/05/2015;2;6;65;19;10
26/05/2015;1;3;94;13;5
27/05/2015;2;7;76;20;8
28/05/2015;1;5;86;21;5
29/05/2015;1;4;92;20;5
30/05/2015;1;4;76;16;6
31/05/2015;2;5;63;16;8
01/06/2015;5;8;62;16;13
02/06/2015;6;10;84;18;17
03/06/2015;5;10;91;27;14
04/06/2015;2;6;97;26;7
05/06/2015;2;11;79;17;7
06/06/2015;2;7;87;19;7
07/06/2015;1;5;94;19;7
08/06/2015;1;4;97;17;6
09/06/2015;2;7;83;17;8
10/06/2015;1;6;82;9;7
11/06/2015;1;5;90;17;7
12/06/2015;3;9;67;19;11
13/06/2015;3;6;75;11;10
14/06/2015;3;8;66;7;11
15/06/2015;1;3;79;10;6
16/06/2015;1;4;86;15;13
17/06/2015;2;6;75;18;10
18/06/2015;1;3;77;16;6
19/06/2015;1;2;79;14;5
20/06/2015;1;4;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
21/06/2015;9;15;;;
22/06/2015;2;9;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
23/06/2015;4;14;84;21;18
24/06/2015;10;17;75;25;27
25/06/2015;3;8;96;22;11
26/06/2015;5;11;105;30;15
27/06/2015;4;10;85;26;17
28/06/2015;10;19;92;22;28
29/06/2015;2;7;106;21;10
30/06/2015;2;15;103;33;14
01/07/2015;3;16;74;28;14
02/07/2015;3;11;75;17;12
03/07/2015;6;15;83;28;19
04/07/2015;1;6;101;19;9
05/07/2015;2;6;74;16;9
06/07/2015;6;11;78;21;18
07/07/2015;8;16;83;24;25
08/07/2015;1;5;83;16;9
09/07/2015;8;16;84;26;26
10/07/2015;3;11;108;28;14
11/07/2015;13;11;77;28;50
12/07/2015;7;20;83;25;55
13/07/2015;5;16;112;28;23
14/07/2015;3;12;113;25;19
15/07/2015;2;9;117;29;14
16/07/2015;2;11;109;41;16
17/07/2015;1;9;85;32;6
18/07/2015;4;11;83;26;11
19/07/2015;3;8;76;19;9
20/07/2015;9;18;80;28;18
21/07/2015;3;12;81;26;8
22/07/2015;5;9;69;23;8
23/07/2015;3;8;89;17;6
24/07/2015;2;6;73;22;3
25/07/2015;7;14;87;15;14
26/07/2015;2;8;65;18;5
27/07/2015;8;15;65;22;14
28/07/2015;7;13;61;28;13
29/07/2015;4;11;49;16;7
30/07/2015;1;7;48;6;2
31/07/2015;4;10;63;10;7
01/08/2015;6;12;69;9;9
02/08/2015;3;11;91;13;5
03/08/2015;5;13;94;20;9
04/08/2015;3;8;76;12;5
05/08/2015;5;12;93;15;9
06/08/2015;6;11;75;18;10
07/08/2015;6;8;74;16;10
08/08/2015;1;1;80;6;1
09/08/2015;18;17;76;17;28
10/08/2015;13;19;79;24;18
11/08/2015;2;10;100;35;4
12/08/2015;2;11;69;47;2
13/08/2015;1;5;59;7;1
14/08/2015;1;3;61;6;1
15/08/2015;1;3;59;10;1
16/08/2015;2;6;61;13;2
17/08/2015;1;4;68;14;1
18/08/2015;1;3;75;15;1
19/08/2015;8;14;63;23;11
20/08/2015;4;11;80;16;9
21/08/2015;2;7;102;25;3
22/08/2015;2;5;88;26;3
23/08/2015;1;2;61;18;1
24/08/2015;2;5;57;9;1
25/08/2015;10;13;43;17;12
26/08/2015;3;12;45;18;4
27/08/2015;2;8;43;23;2
28/08/2015;4;10;40;16;3
29/08/2015;4;10;75;23;5
30/08/2015;2;7;77;33;2
31/08/2015;3;8;52;27;3
01/09/2015;2;8;62;10;4
02/09/2015;3;8;55;16;3
03/09/2015;1;3;72;7;1
04/09/2015;2;4;68;8;2
05/09/2015;7;15;45;14;11
06/09/2015;3;7;63;14;4
07/09/2015;6;11;68;18;7
08/09/2015;6;13;76;22;9
09/09/2015;3;13;59;25;4
10/09/2015;5;13;66;25;8
11/09/2015;3;11;64;23;5
12/09/2015;2;8;67;15;3
13/09/2015;1;4;56;8;1
14/09/2015;1;6;66;10;1
15/09/2015;2;8;43;12;1
16/09/2015;1;4;63;9;1
17/09/2015;2;7;48;10;4
18/09/2015;2;6;51;9;2
19/09/2015;1;6;62;12;1
20/09/2015;1;6;69;12;7
21/09/2015;4;13;66;21;8
22/09/2015;2;5;61;16;1
23/09/2015;1;3;71;14;9
24/09/2015;3;9;55;20;7
25/09/2015;1;6;69;14;1
26/09/2015;1;5;75;16;2
