Fecha;NO;NO2;O3;PM10;SO2
10/03/2014;2;3;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;2
11/03/2014;2;3;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;2
12/03/2014;2;4;75;;2
13/03/2014;2;4;77;;3
14/03/2014;2;6;79;;2
15/03/2014;2;5;81;;2
16/03/2014;2;3;67;;2
17/03/2014;2;3;67;;3
18/03/2014;2;6;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;2
19/03/2014;2;2;65;;2
20/03/2014;2;4;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;3
21/03/2014;2;3;;7;3
22/03/2014;2;2;;3;3
23/03/2014;2;2;;6;3
24/03/2014;2;2;;2;3
25/03/2014;2;2;;3;3
26/03/2014;2;2;;2;2
27/03/2014;2;2;;3;2
28/03/2014;2;4;;8;3
29/03/2014;2;3;;9;3
30/03/2014;2;2;;6;3
31/03/2014;2;2;;2;3
01/04/2014;2;2;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2;3
02/04/2014;2;2;79;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;3
03/04/2014;2;2;78;2;2
04/04/2014;2;2;66;2;3
05/04/2014;2;2;50;2;5
06/04/2014;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
07/04/2014;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
08/04/2014;2;2;55;2;2
09/04/2014;2;2;52;2;3
10/04/2014;2;3;61;6;3
11/04/2014;2;2;76;2;2
12/04/2014;2;2;65;4;2
13/04/2014;2;3;53;4;2
14/04/2014;2;3;57;13;2
15/04/2014;2;4;60;19;3
16/04/2014;2;3;60;19;6
17/04/2014;2;4;62;21;8
18/04/2014;2;3;68;23;6
19/04/2014;2;3;71;22;8
20/04/2014;2;2;73;13;9
21/04/2014;2;3;60;10;6
22/04/2014;2;2;69;14;5
23/04/2014;2;2;76;17;4
24/04/2014;2;2;72;16;3
25/04/2014;2;2;84;15;4
26/04/2014;2;2;73;16;3
27/04/2014;2;2;77;18;3
28/04/2014;2;2;57;14;5
29/04/2014;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2;51;16;6
30/04/2014;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;57;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;5
01/05/2014;;;59;;5
02/05/2014;;;72;;4
03/05/2014;;;56;;3
04/05/2014;;;57;;3
05/05/2014;;;58;;2
06/05/2014;;;58;;3
07/05/2014;;;58;;3
08/05/2014;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;59;;5
09/05/2014;9;2;46;;4
10/05/2014;9;2;45;;2
11/05/2014;8;2;70;;3
12/05/2014;8;2;68;;4
13/05/2014;8;2;73;;4
14/05/2014;9;2;62;;3
15/05/2014;7;2;70;;3
16/05/2014;2;2;87;;2
17/05/2014;2;2;79;;2
18/05/2014;2;2;70;;2
19/05/2014;2;2;88;;2
20/05/2014;2;2;71;;2
21/05/2014;2;2;79;;2
22/05/2014;2;2;72;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
23/05/2014;2;2;66;7;2
24/05/2014;2;2;62;10;2
25/05/2014;2;2;64;6;2
26/05/2014;2;2;63;10;2
27/05/2014;2;2;61;10;2
28/05/2014;2;2;54;9;2
29/05/2014;2;3;44;9;2
30/05/2014;2;2;71;10;2
31/05/2014;2;2;62;11;2
01/06/2014;2;2;55;13;2
02/06/2014;2;3;54;11;2
03/06/2014;2;3;51;15;2
04/06/2014;2;3;62;11;3
05/06/2014;2;3;69;12;2
06/06/2014;2;2;71;16;2
07/06/2014;2;2;73;10;3
08/06/2014;2;2;64;11;3
09/06/2014;2;3;60;12;4
10/06/2014;2;4;50;13;3
11/06/2014;2;3;50;14;3
12/06/2014;2;3;53;16;4
13/06/2014;2;3;56;17;3
14/06/2014;2;3;80;18;2
15/06/2014;2;3;69;14;6
16/06/2014;2;3;65;15;4
17/06/2014;2;3;69;17;3
18/06/2014;2;3;58;15;5
19/06/2014;2;4;65;18;7
20/06/2014;2;4;62;27;4
21/06/2014;2;4;57;19;2
22/06/2014;2;3;58;17;2
23/06/2014;2;3;54;13;2
24/06/2014;2;3;67;15;2
25/06/2014;2;3;66;16;2
26/06/2014;2;3;59;15;2
27/06/2014;2;4;52;14;3
28/06/2014;2;5;45;11;2
29/06/2014;2;3;48;12;2
30/06/2014;2;3;52;16;5
01/07/2014;2;4;39;10;6
02/07/2014;4;5;45;10;2
03/07/2014;2;3;48;11;2
04/07/2014;2;3;59;16;3
05/07/2014;2;5;28;11;2
06/07/2014;2;4;38;9;2
07/07/2014;2;3;51;15;2
08/07/2014;2;2;55;12;10
09/07/2014;2;2;63;11;7
10/07/2014;2;2;60;12;2
11/07/2014;2;2;53;11;2
12/07/2014;2;2;54;14;2
13/07/2014;2;2;50;12;2
14/07/2014;2;2;55;16;2
15/07/2014;2;3;65;16;2
16/07/2014;1;2;75;21;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
17/07/2014;1;1;77;43;2
18/07/2014;1;1;70;44;2
19/07/2014;1;1;52;9;1
20/07/2014;1;1;37;8;1
21/07/2014;2;2;42;11;5
22/07/2014;5;5;46;12;2
23/07/2014;4;5;63;16;2
24/07/2014;4;5;69;17;1
25/07/2014;5;6;60;16;1
26/07/2014;5;5;58;14;1
27/07/2014;5;5;66;17;3
28/07/2014;5;4;76;13;1
29/07/2014;5;3;65;9;1
30/07/2014;5;4;49;10;3
31/07/2014;5;4;54;12;1
01/08/2014;5;5;42;12;2
02/08/2014;6;5;33;10;2
03/08/2014;5;4;48;8;1
04/08/2014;5;3;49;7;1
05/08/2014;5;3;57;11;1
06/08/2014;5;3;46;14;1
07/08/2014;5;4;40;14;1
08/08/2014;5;5;41;11;2
09/08/2014;5;6;43;7;2
10/08/2014;5;4;46;8;1
11/08/2014;5;2;42;6;1
12/08/2014;5;4;48;7;2
13/08/2014;5;2;68;7;1
14/08/2014;5;3;52;9;1
15/08/2014;5;2;61;11;1
16/08/2014;5;2;59;6;2
17/08/2014;5;3;42;5;4
18/08/2014;5;4;50;9;5
19/08/2014;5;3;53;9;2
20/08/2014;5;2;46;6;1
21/08/2014;5;3;44;7;4
22/08/2014;5;3;51;9;2
23/08/2014;5;2;52;8;1
24/08/2014;5;2;55;8;1
25/08/2014;4;4;49;9;3
26/08/2014;2;8;22;9;1
27/08/2014;2;5;36;7;2
28/08/2014;2;4;37;7;2
29/08/2014;1;3;53;8;1
30/08/2014;1;4;51;11;2
31/08/2014;1;3;46;9;2
01/09/2014;1;4;65;14;3
02/09/2014;1;4;70;18;1
03/09/2014;1;4;68;20;2
04/09/2014;1;5;61;14;2
05/09/2014;1;4;53;13;3
06/09/2014;1;4;41;14;1
07/09/2014;1;4;38;10;1
08/09/2014;2;7;36;12;3
09/09/2014;2;7;42;11;1
10/09/2014;1;6;49;10;1
11/09/2014;1;6;47;13;2
12/09/2014;2;6;42;14;4
13/09/2014;1;5;37;13;1
14/09/2014;1;5;33;8;1
15/09/2014;1;5;39;6;1
16/09/2014;1;5;57;10;1
17/09/2014;1;2;59;5;3
18/09/2014;1;2;64;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
19/09/2014;1;2;60;;1
20/09/2014;1;3;53;;1
21/09/2014;1;4;37;;2
22/09/2014;1;4;44;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;1
23/09/2014;1;3;53;16;1
24/09/2014;1;3;57;29;1
25/09/2014;1;4;43;25;1
26/09/2014;1;5;41;15;1
27/09/2014;1;5;47;16;1
28/09/2014;1;4;49;13;1
29/09/2014;1;3;49;11;1
30/09/2014;1;4;44;14;1
01/10/2014;1;4;38;15;1
02/10/2014;1;4;42;15;1
