Fecha;BEN;CO;NO;NO2;NOX;O3;PM10;SO2
12/02/15;null(null);0.14;7.1;26.0;36.0;28.0;null(null);1.0
13/02/15;null(null);0.1;2.1;12.0;14.0;45.0;null(null);1.0
14/02/15;null(null);0.1;2.0;15.0;18.0;43.0;null(null);1.0
15/02/15;null(null);0.1;2.0;4.0;6.3;40.0;null(null);1.3
16/02/15;null(null);0.1;3.5;11.0;16.0;38.0;null(null);1.2
18/02/15;null(null);0.1;2.9;18.0;22.0;46.0;null(null);1.5
19/02/15;null(null);0.1;12.0;43.0;59.0;22.0;null(null);5.5
21/02/15;null(null);0.11;1.0;1.5;2.0;49.0;null(null);3.4
22/02/15;null(null);0.1;1.0;1.0;1.3;37.0;null(null);1.0
23/02/15;null(null);0.1;1.6;4.6;6.6;45.0;null(null);1.3
24/02/15;null(null);0.1;5.5;17.0;24.0;38.0;null(null);1.1
25/02/15;null(null);0.1;2.6;12.0;15.0;32.0;null(null);2.1
26/02/15;null(null);0.1;2.3;9.1;12.0;35.0;null(null);1.1
28/02/15;null(null);0.1;2.2;6.1;9.0;39.0;null(null);1.6
1/03/15;null(null);0.1;2.0;3.1;5.5;46.0;null(null);1.0
2/03/15;null(null);0.1;2.2;17.0;21.0;37.0;null(null);1.0
3/03/15;null(null);0.1;3.8;16.0;22.0;41.0;null(null);3.6
4/03/15;null(null);0.1;2.8;7.8;11.0;52.0;null(null);1.7
5/03/15;null(null);0.1;4.3;23.0;29.0;43.0;null(null);1.5
6/03/15;null(null);0.1;7.6;31.0;42.0;38.0;null(null);5.4
7/03/15;null(null);0.11;7.0;20.0;30.0;47.0;null(null);3.2
8/03/15;null(null);0.1;3.4;16.0;21.0;48.0;null(null);6.4
9/03/15;null(null);0.1;17.0;18.0;41.0;41.0;null(null);3.7
10/03/15;null(null);0.11;13.0;29.0;47.0;35.0;null(null);null(null)
11/03/15;null(null);0.16;3.1;19.0;23.0;39.0;null(null);1.0
13/03/15;null(null);0.1;3.7;14.0;19.0;50.0;null(null);1.0
14/03/15;null(null);0.1;2.5;9.9;13.0;52.0;null(null);1.0
15/03/15;null(null);0.1;3.9;9.6;15.0;45.0;null(null);1.0
16/03/15;null(null);0.1;3.8;16.0;21.0;46.0;null(null);1.0
17/03/15;null(null);0.11;7.4;26.0;37.0;37.0;null(null);1.0
18/03/15;null(null);0.1;3.2;19.0;23.0;50.0;null(null);1.0
19/03/15;null(null);0.1;3.0;15.0;19.0;48.0;null(null);1.0
20/03/15;null(null);0.1;2.2;8.0;11.0;55.0;null(null);1.0
21/03/15;null(null);0.1;2.3;10.0;13.0;50.0;null(null);1.0
22/03/15;null(null);0.1;2.2;6.6;9.5;52.0;null(null);1.0
23/03/15;null(null);0.1;3.3;10.0;15.0;47.0;null(null);1.0
24/03/15;null(null);0.1;2.5;8.9;12.0;49.0;null(null);1.0
25/03/15;null(null);0.1;2.9;12.0;16.0;46.0;null(null);1.0
26/03/15;null(null);0.1;2.8;15.0;18.0;27.0;null(null);1.0
27/03/15;null(null);0.16;3.0;9.3;13.0;23.0;null(null);1.0
28/03/15;null(null);0.1;2.0;5.0;7.8;29.0;null(null);1.0
29/03/15;null(null);0.1;2.0;5.3;8.1;34.0;null(null);1.0
