Fecha;SO2;NO;NO2;O3;CO;PM10;PM25;BEN
11/02/2015;3;140;121;13;1;41;26;0.5
12/02/2015;2;53;96;16;0.7;32;21;Sense dades
13/02/2015;5;37;75;21;0.6;42;21;Sense dades
14/02/2015;3;18;47;20;0.4;21;13;0.1
15/02/2015;Sense dades;9;39;Sense dades;Sense dades;14;9;Sense dades
16/02/2015;Sense dades;45;78;Sense dades;Sense dades;26;16;0.2
17/02/2015;2;40;70;15;0.7;24;15;Sense dades
18/02/2015;3;28;60;30;0.5;27;16;0.2
19/02/2015;3;23;56;46;0.5;28;18;Sense dades
20/02/2015;2;23;74;37;0.5;39;24;Sense dades
21/02/2015;2;11;48;51;0.4;21;16;0.1
22/02/2015;1;8;31;65;0.3;14;8;Sense dades
23/02/2015;5;38;58;27;0.7;21;11;0.2
24/02/2015;2;5;25;54;0.2;11;9;Sense dades
25/02/2015;4;19;44;46;0.5;14;8;0.1
26/02/2015;4;55;75;17;0.7;23;12;Sense dades
27/02/2015;1;25;54;30;0.5;19;10;Sense dades
28/02/2015;1;10;43;47;0.3;16;10;0.1
01/03/2015;4;21;60;26;0.4;22;14;Sense dades
02/03/2015;1;14;38;29;0.5;20;13;0.1
03/03/2015;4;17;48;39;0.4;18;10;Sense dades
04/03/2015;1;25;55;24;0.5;19;12;0.1
05/03/2015;4;27;47;47;0.5;16;9;Sense dades
06/03/2015;3;32;63;29;0.4;26;13;Sense dades
07/03/2015;2;32;53;38;0.5;31;18;0.1
08/03/2015;3;10;51;46;0.3;28;18;Sense dades
09/03/2015;3;33;87;27;0.8;37;24;0.2
10/03/2015;4;55;94;24;0.7;41;26;Sense dades
11/03/2015;3;116;128;17;1.2;59;38;0.4
12/03/2015;Sense dades;73;75;45;0.6;48;32;Sense dades
13/03/2015;2;17;61;64;0.5;41;26;Sense dades
14/03/2015;1;10;39;54;0.3;14;9;0.1
15/03/2015;2;13;47;43;0.3;17;13;Sense dades
16/03/2015;1;18;49;45;0.5;18;13;0.1
17/03/2015;1;20;49;49;0.5;18;11;Sense dades
18/03/2015;1;8;29;74;0.3;21;9;0
19/03/2015;1;8;36;74;0.4;24;16;Sense dades
20/03/2015;1;7;28;83;0.3;26;15;Sense dades
21/03/2015;1;4;22;78;0.3;43;14;0
22/03/2015;1;5;25;64;0.3;16;10;Sense dades
23/03/2015;1;6;27;78;0.4;26;12;0
24/03/2015;1;8;31;68;0.3;17;10;Sense dades
25/03/2015;2;21;52;37;0.4;13;9;0.1
26/03/2015;1;29;60;36;0.5;19;13;Sense dades
27/03/2015;2;36;68;27;0.5;23;15;Sense dades
28/03/2015;1;22;45;34;0.4;19;13;0.1
29/03/2015;2;9;41;41;0.3;18;12;Sense dades
30/03/2015;1;20;59;37;0.5;26;19;0.1
31/03/2015;1;15;43;45;0.4;32;31;Sense dades
01/04/2015;1;13;41;44;0.3;27;11;0
02/04/2015;1;11;43;49;0.3;30;13;Sense dades
03/04/2015;1;4;27;64;0.2;27;12;Sense dades
04/04/2015;1;5;25;66;0.3;24;11;0
05/04/2015;1;4;22;63;0.2;16;8;Sense dades
06/04/2015;1;3;17;80;0.2;17;9;0
07/04/2015;1;14;39;64;0.5;22;11;Sense dades
08/04/2015;2;24;63;57;0.5;22;12;0.1
09/04/2015;1;18;60;59;0.4;19;12;Sense dades
10/04/2015;1;18;61;56;0.5;20;10;Sense dades
11/04/2015;1;7;33;78;0.3;20;10;0
12/04/2015;2;5;41;77;0.3;19;11;Sense dades
13/04/2015;5;45;96;31;0.7;32;18;0.2
14/04/2015;2;59;103;27;0.7;39;22;Sense dades
15/04/2015;1;18;63;55;0.4;31;15;0
16/04/2015;3;25;65;48;0.6;40;18;Sense dades
17/04/2015;2;26;60;42;0.5;29;16;Sense dades
18/04/2015;3;19;61;46;0.5;25;16;0
19/04/2015;2;5;26;66;0.2;15;9;Sense dades
20/04/2015;4;24;59;38;0.5;18;9;0.1
21/04/2015;2;31;65;38;0.6;19;13;Sense dades
22/04/2015;3;23;81;29;0.3;23;14;0.1
23/04/2015;1;25;67;48;0.6;24;15;Sense dades
24/04/2015;2;21;64;52;0.6;28;18;Sense dades
25/04/2015;1;6;38;68;0.3;38;19;0
26/04/2015;3;7;43;48;0.3;38;21;Sense dades
27/04/2015;1;7;31;52;0.3;12;8;0
28/04/2015;2;15;41;58;0.5;20;9;Sense dades
29/04/2015;1;14;50;60;0.4;21;10;0
30/04/2015;2;16;51;52;0.5;25;14;Sense dades
01/05/2015;1;6;39;60;0.3;34;18;Sense dades
02/05/2015;2;9;51;54;0.4;23;15;0
03/05/2015;2;10;46;56;0.3;25;17;Sense dades
04/05/2015;3;15;49;60;0.4;27;16;0
05/05/2015;4;35;68;41;0.6;40;20;Sense dades
06/05/2015;3;29;73;41;0.5;29;14;0.1
07/05/2015;2;30;68;45;0.5;26;13;Sense dades
08/05/2015;1;17;60;51;0.4;30;14;Sense dades
09/05/2015;2;7;39;72;0.3;22;12;0
10/05/2015;1;7;38;61;0.3;22;13;Sense dades
11/05/2015;2;38;77;35;0.5;30;15;0.1
12/05/2015;4;39;81;35;0.6;28;16;Sense dades
13/05/2015;4;18;62;47;0.3;29;17;0
14/05/2015;3;24;67;46;0.4;33;20;Sense dades
15/05/2015;1;10;33;67;0.3;36;23;Sense dades
16/05/2015;2;5;31;82;0.3;19;13;0
17/05/2015;2;8;51;59;0.2;23;13;Sense dades
18/05/2015;2;18;64;47;0.4;Sense dades;41;Sense dades
19/05/2015;3;23;63;35;0.4;21;11;Sense dades
20/05/2015;1;19;40;42;0.4;13;8;0.1
21/05/2015;2;12;40;55;0.4;17;9;Sense dades
22/05/2015;3;16;46;60;0.3;19;11;Sense dades
23/05/2015;3;9;43;64;0.3;17;12;0
24/05/2015;3;6;38;71;0.2;16;11;Sense dades
25/05/2015;5;34;75;44;0.4;26;16;0.1
26/05/2015;1;16;41;60;0.4;18;11;0
27/05/2015;2;16;41;61;0.4;22;11;0
28/05/2015;1;11;45;62;0.4;23;13;Sense dades
29/05/2015;4;18;66;53;0.4;23;13;Sense dades
30/05/2015;2;9;46;61;0.3;17;12;0
31/05/2015;3;7;43;63;0.3;15;12;Sense dades
01/06/2015;3;5;36;69;0.3;17;11;0
02/06/2015;3;16;54;58;0.3;20;10;Sense dades
03/06/2015;2;39;79;39;0.5;29;14;0.1
04/06/2015;4;59;85;36;1.2;32;17;Sense dades
05/06/2015;3;33;73;46;Sense dades;24;14;Sense dades
06/06/2015;4;18;65;64;0.3;23;15;0
07/06/2015;3;14;44;77;0.2;22;14;Sense dades
08/06/2015;1;23;74;64;0.9;28;18;0.1
09/06/2015;3;21;75;63;0.3;23;14;Sense dades
10/06/2015;1;17;57;75;0.3;23;15;0
11/06/2015;1;14;41;76;0.3;24;17;Sense dades
12/06/2015;4;22;53;60;0.4;23;13;Sense dades
13/06/2015;2;10;27;82;0.2;21;10;0
14/06/2015;3;7;26;77;0.3;15;10;Sense dades
15/06/2015;1;16;42;67;0.3;18;12;0
16/06/2015;2;15;51;66;0.4;17;11;Sense dades
17/06/2015;3;18;51;59;0.4;20;13;0.1
18/06/2015;2;15;55;70;0.4;26;16;Sense dades
19/06/2015;3;15;60;68;0.5;27;17;Sense dades
20/06/2015;2;8;46;73;0.3;22;16;0
21/06/2015;4;6;41;64;0.3;22;15;Sense dades
22/06/2015;2;9;46;69;0.4;22;14;0
23/06/2015;6;16;56;67;0.4;45;32;Sense dades
24/06/2015;1;5;31;72;0.2;22;15;0
25/06/2015;3;14;56;73;0.4;24;14;Sense dades
26/06/2015;3;13;57;66;0.4;27;16;Sense dades
27/06/2015;2;12;47;71;0.3;23;15;0
28/06/2015;3;8;45;61;0.3;18;13;Sense dades
29/06/2015;3;19;73;54;0.4;27;17;0
30/06/2015;5;21;75;63;0.3;24;16;Sense dades
01/07/2015;4;18;67;52;0.4;26;14;0
02/07/2015;4;16;59;70;0.4;26;13;Sense dades
03/07/2015;4;21;76;62;0.3;27;15;Sense dades
04/07/2015;6;13;87;67;0.4;27;18;0
05/07/2015;1;4;48;90;0.4;24;17;Sense dades
06/07/2015;3;28;91;58;0.4;33;21;0.1
07/07/2015;6;25;90;56;0.5;34;21;Sense dades
08/07/2015;1;21;62;50;0.4;31;16;0.1
09/07/2015;Sense dades;2;21;71;0.2;Sense dades;Sense dades;Sense dades
10/07/2015;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades
11/07/2015;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades
12/07/2015;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades
13/07/2015;Sense dades;15;55;55;0.2;Sense dades;Sense dades;Sense dades
14/07/2015;Sense dades;22;62;43;0.3;31;Sense dades;Sense dades
15/07/2015;Sense dades;29;68;37;0.4;33;Sense dades;0.1
16/07/2015;Sense dades;29;74;46;0.5;31;21;Sense dades
17/07/2015;Sense dades;28;67;39;0.5;27;18;Sense dades
18/07/2015;Sense dades;9;42;49;0.3;28;18;0
19/07/2015;Sense dades;3;34;72;0.2;24;15;Sense dades
20/07/2015;Sense dades;20;56;45;0.4;28;Sense dades;0
21/07/2015;1;26;58;41;0.3;35;Sense dades;Sense dades
22/07/2015;2;15;58;76;0.5;23;19;0
23/07/2015;1;9;43;68;0.4;25;15;Sense dades
24/07/2015;1;10;39;59;0.5;27;16;Sense dades
25/07/2015;1;7;34;59;0.6;20;11;0
26/07/2015;1;2;21;67;0.2;22;12;Sense dades
27/07/2015;2;13;37;40;0.6;23;12;0
28/07/2015;2;19;52;32;0.6;28;13;Sense dades
29/07/2015;1;17;39;42;0.3;26;13;0
30/07/2015;1;16;38;43;0.8;22;10;Sense dades
31/07/2015;1;15;58;51;0.3;22;12;Sense dades
01/08/2015;5;7;40;74;0.2;Sense dades;Sense dades;Sense dades
02/08/2015;2;4;30;82;0.2;Sense dades;Sense dades;Sense dades
03/08/2015;3;14;51;61;0.4;Sense dades;Sense dades;Sense dades
04/08/2015;5;21;55;59;0.6;Sense dades;Sense dades;Sense dades
05/08/2015;6;29;78;43;0.5;Sense dades;Sense dades;Sense dades
06/08/2015;3;28;59;45;0.7;Sense dades;Sense dades;Sense dades
07/08/2015;3;26;62;37;0.6;Sense dades;Sense dades;Sense dades
08/08/2015;4;6;48;52;0.6;Sense dades;Sense dades;Sense dades
09/08/2015;3;2;30;59;0.3;Sense dades;Sense dades;Sense dades
10/08/2015;5;12;50;56;0.3;Sense dades;Sense dades;Sense dades
11/08/2015;2;11;49;68;0.6;Sense dades;Sense dades;Sense dades
12/08/2015;2;13;52;52;0.3;Sense dades;Sense dades;Sense dades
13/08/2015;4;8;52;56;0.5;Sense dades;Sense dades;Sense dades
14/08/2015;1;7;37;59;0.2;Sense dades;Sense dades;Sense dades
15/08/2015;3;7;30;53;0.2;Sense dades;Sense dades;Sense dades
16/08/2015;3;7;36;52;0.2;Sense dades;Sense dades;Sense dades
17/08/2015;3;9;32;58;0.2;Sense dades;Sense dades;Sense dades
18/08/2015;3;17;47;44;0.3;Sense dades;Sense dades;Sense dades
19/08/2015;3;11;43;55;0.4;Sense dades;Sense dades;Sense dades
20/08/2015;4;8;41;56;0.3;Sense dades;Sense dades;Sense dades
21/08/2015;2;6;34;62;0.4;Sense dades;Sense dades;Sense dades
22/08/2015;3;6;33;65;0.3;Sense dades;Sense dades;Sense dades
23/08/2015;3;3;22;72;0.3;Sense dades;Sense dades;Sense dades
24/08/2015;3;5;25;59;0.2;Sense dades;Sense dades;Sense dades
25/08/2015;5;11;35;49;0.2;Sense dades;Sense dades;Sense dades
26/08/2015;1;7;28;61;0.3;Sense dades;Sense dades;Sense dades
27/08/2015;3;9;35;58;0.2;Sense dades;Sense dades;Sense dades
28/08/2015;6;13;42;47;0.2;Sense dades;Sense dades;Sense dades
29/08/2015;3;8;26;53;0.3;Sense dades;Sense dades;Sense dades
30/08/2015;1;6;23;57;0.7;Sense dades;Sense dades;Sense dades
31/08/2015;3;15;56;46;0.5;Sense dades;Sense dades;Sense dades
01/09/2015;3;14;51;54;0.3;Sense dades;Sense dades;Sense dades
02/09/2015;1;16;49;52;0.4;Sense dades;Sense dades;Sense dades
03/09/2015;2;11;37;68;0.2;Sense dades;Sense dades;Sense dades
04/09/2015;1;20;56;40;0.6;Sense dades;Sense dades;Sense dades
05/09/2015;2;8;36;55;0.3;Sense dades;Sense dades;Sense dades
06/09/2015;2;6;29;63;0.4;Sense dades;Sense dades;Sense dades
07/09/2015;2;13;42;54;0.4;Sense dades;Sense dades;Sense dades
08/09/2015;2;15;52;54;0.6;Sense dades;Sense dades;Sense dades
09/09/2015;3;18;66;52;0.4;Sense dades;Sense dades;Sense dades
10/09/2015;2;22;61;47;0.6;Sense dades;Sense dades;Sense dades
11/09/2015;1;7;43;47;0.6;Sense dades;Sense dades;Sense dades
12/09/2015;1;8;38;58;0.8;Sense dades;Sense dades;Sense dades
13/09/2015;2;9;43;51;0.3;Sense dades;Sense dades;Sense dades
14/09/2015;1;11;38;46;0.2;Sense dades;Sense dades;Sense dades
15/09/2015;2;18;54;45;0.9;Sense dades;Sense dades;Sense dades
16/09/2015;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades
17/09/2015;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades
18/09/2015;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades
19/09/2015;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades
20/09/2015;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades
21/09/2015;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades;Sense dades
22/09/2015;1;4;26;59;Sense dades;Sense dades;Sense dades;Sense dades
23/09/2015;1;18;47;45;Sense dades;Sense dades;Sense dades;Sense dades
24/09/2015;1;10;40;49;0.7;Sense dades;Sense dades;Sense dades
25/09/2015;3;24;68;40;0.6;Sense dades;Sense dades;Sense dades
26/09/2015;3;12;57;41;0.8;Sense dades;Sense dades;Sense dades
27/09/2015;1;9;41;47;0.5;Sense dades;Sense dades;Sense dades
28/09/2015;2;16;47;43;0.7;Sense dades;Sense dades;Sense dades
29/09/2015;1;15;43;52;0.6;Sense dades;Sense dades;Sense dades
30/09/2015;1;19;42;46;0.4;Sense dades;Sense dades;Sense dades
01/10/2015;2;31;67;35;0.9;Sense dades;Sense dades;Sense dades
02/10/2015;3;26;65;36;0.5;Sense dades;Sense dades;Sense dades
03/10/2015;1;18;60;36;0.9;Sense dades;Sense dades;Sense dades
04/10/2015;1;10;46;41;0.7;Sense dades;Sense dades;Sense dades
05/10/2015;4;47;69;22;1.2;Sense dades;Sense dades;Sense dades
06/10/2015;1;40;53;31;0.3;Sense dades;Sense dades;Sense dades
07/10/2015;2;24;56;31;0.5;Sense dades;Sense dades;Sense dades
08/10/2015;1;19;53;30;0.4;Sense dades;Sense dades;Sense dades
09/10/2015;9;32;70;20;1.3;Sense dades;Sense dades;Sense dades
10/10/2015;1;13;47;44;0.6;Sense dades;Sense dades;Sense dades
11/10/2015;2;7;44;46;1.1;Sense dades;Sense dades;Sense dades
12/10/2015;1;5;32;48;0.7;Sense dades;Sense dades;Sense dades
13/10/2015;2;26;55;24;0.6;Sense dades;Sense dades;Sense dades
14/10/2015;1;18;53;24;0.7;Sense dades;Sense dades;Sense dades
15/10/2015;2;23;53;33;0.8;Sense dades;Sense dades;Sense dades
16/10/2015;2;21;54;34;0.3;Sense dades;Sense dades;Sense dades
17/10/2015;2;9;44;41;0.3;Sense dades;Sense dades;Sense dades
18/10/2015;3;22;72;20;0.5;Sense dades;Sense dades;Sense dades
19/10/2015;1;20;51;24;0.2;Sense dades;Sense dades;Sense dades
20/10/2015;2;23;54;26;0.4;Sense dades;Sense dades;Sense dades
21/10/2015;3;25;52;25;0.8;Sense dades;Sense dades;Sense dades
22/10/2015;1;31;65;24;0.7;Sense dades;Sense dades;Sense dades
23/10/2015;3;36;71;19;1.2;Sense dades;Sense dades;Sense dades
24/10/2015;3;44;78;14;0.5;Sense dades;Sense dades;Sense dades
25/10/2015;1;8;33;40;0.3;Sense dades;Sense dades;Sense dades
26/10/2015;1;21;56;27;0.7;Sense dades;Sense dades;Sense dades
27/10/2015;3;30;68;23;1;Sense dades;Sense dades;Sense dades
28/10/2015;2;16;45;43;0.2;Sense dades;Sense dades;Sense dades
29/10/2015;2;41;70;17;1.3;Sense dades;Sense dades;Sense dades
30/10/2015;5;38;76;15;2.1;Sense dades;Sense dades;Sense dades
31/10/2015;1;11;44;45;0.7;Sense dades;Sense dades;Sense dades
01/11/2015;2;3;23;70;0.6;Sense dades;Sense dades;Sense dades
02/11/2015;1;7;27;62;0.4;Sense dades;Sense dades;Sense dades
03/11/2015;1;30;63;32;1.5;Sense dades;Sense dades;Sense dades
04/11/2015;3;31;65;23;0.7;Sense dades;Sense dades;Sense dades
05/11/2015;3;61;76;18;1.7;Sense dades;Sense dades;Sense dades
