Fecha;Hora;PM10;SO2;NO2;NO;CO;O3;dd;vv;HR;LL;PRB;TMP
11/03/2015;2:00:00;n;6.5;39.5;2;0.555;19.75;27;0.9;39.475;0;947;7.7
11/03/2015;3:00:00;n;6.5;45;3.25;0.5625;11.75;238;0.5;43.85;0;947;6.5
11/03/2015;4:00:00;n;8.25;56.75;24.25;0.56;14.75;21;0.9;48.025;0;947;5.15
11/03/2015;5:00:00;n;7.5;50.25;13.5;0.5225;9;6;0.7;49.225;0;947;4.85
11/03/2015;6:00:00;n;5.25;27.25;2;0.525;18.25;8;0.7;53.325;0;947;2.875
11/03/2015;7:00:00;n;7;40;5;0.515;14.75;19;1;49.5;0;947;4.125
11/03/2015;8:00:00;n;6.75;34.25;5.5;0.5525;18;19;0.8;52.4;0;948;3
11/03/2015;9:00:00;n;11.25;59.25;49.75;0.755;9.5;5;0.8;47.025;0;948;5.375
11/03/2015;10:00:00;n;10;49.25;35.5;0.6275;16.75;185;0.9;42.025;0;949;7.85
11/03/2015;11:00:00;n;8.75;35.5;20.75;0.575;33.5;23;1;35.35;0;949;11.625
11/03/2015;12:00:00;n;8.5;33.5;9.75;0.6075;60.75;18;0.9;25.825;0;949;17.175
11/03/2015;13:00:00;n;9;31.5;9;0.5975;73.5;284;1.4;24.1;0;948;20.125
11/03/2015;14:00:00;n;9.25;31.5;7;0.6025;89;291;1.2;17.85;0;947.75;22.775
11/03/2015;15:00:00;n;8.25;24.25;4.5;0.6475;105.75;205;1.4;16.5;0;947;24.125
11/03/2015;16:00:00;n;9;24.75;3.5;0.645;108.75;202;1.4;13.9;0;945.75;24.75
11/03/2015;17:00:00;n;8.25;26;3.5;0.58;112.25;249;1.3;13.2;0;946;24.725
11/03/2015;18:00:00;n;8.25;37;4.25;0.5875;103.25;201;1.2;13.2;0;946;24.825
11/03/2015;19:00:00;n;7.75;70.25;6.5;0.6275;74.5;164;0.7;15.85;0;946;23
11/03/2015;20:00:00;n;11.5;133;36.25;0.765;23.25;164;0.8;18.475;0;946;20.1
11/03/2015;21:00:00;n;12.75;143.5;51.25;0.84;24.75;159;0.6;21.875;0;946;17.95
11/03/2015;22:00:00;n;11.25;124.75;34.5;0.9225;9.75;166;0.5;26.675;0;946.25;16.625
11/03/2015;23:00:00;n;10.25;123.5;27.75;0.755;9.5;162;0.6;31.075;0;947;15.85
11/03/2015;0:00:00;n;9.75;91.5;28.5;0.7375;9;179;0.8;39.8;0;946.75;12.1
12/03/2015;1:00:00;n;9;75.5;17.75;0.6525;9;7;0.7;44.525;0;946;10.4
12/03/2015;2:00:00;n;7.25;41;5.5;0.5725;24.5;8;0.7;49.4;0;946;8.6
12/03/2015;3:00:00;n;6.5;24.75;2;0.5525;38.75;18;0.8;49.025;0;945.75;8.325
12/03/2015;4:00:00;n;6.75;32;2;0.56;31;119;0.5;51.45;0;945;7.85
12/03/2015;5:00:00;n;6.25;36.75;2;0.5375;24.5;184;0.9;55.95;0;945;6.875
12/03/2015;6:00:00;n;7;40.75;2.75;0.5325;19.25;8;0.8;59.725;0;945;6.1
12/03/2015;7:00:00;n;7;37.25;3.5;0.505;20.25;17;1.1;63.475;0;945;4.75
12/03/2015;8:00:00;n;7.5;47.5;10.25;0.6225;10;20;0.9;66.65;0;945;3.75
12/03/2015;9:00:00;n;7.5;33.5;10;0.5675;29;9;1.2;59.225;0;945;5.425
12/03/2015;10:00:00;n;8.25;39.5;16;0.545;36.75;267;1;50.4;0;945;8.625
12/03/2015;11:00:00;n;9;27;8.75;0.475;55.25;26;0.7;42.025;0;945;12.325
12/03/2015;12:00:00;n;9.5;35.25;11.75;0.56;59.25;280;1.2;33.25;0;945;16.275
12/03/2015;13:00:00;n;11.5;33.75;9.5;0.55;66.25;232;1.3;30.75;0;944;19.1
12/03/2015;14:00:00;n;20.25;52;19;0.59;53.75;244;1.3;28.675;0;943.5;20.975
12/03/2015;15:00:00;n;16.5;51.75;13.25;0.64;68.75;189;1.6;24;0;942.75;22.75
12/03/2015;16:00:00;n;12;39.5;7.75;0.66;93.5;198;1.5;19.55;0;942;23.3
12/03/2015;17:00:00;n;9.5;35.25;6.25;0.6125;101.25;266;1.7;18.25;0;941.25;23.55
12/03/2015;18:00:00;n;10.25;57.5;8;0.665;84;225;1.1;18.475;0;941;23.725
12/03/2015;19:00:00;n;9.25;84.25;9.5;0.675;55.75;186;1;23;0;941.25;21.55
12/03/2015;20:00:00;n;9.5;103.75;10.75;0.72;31;163;0.8;27.2;0;942;19
12/03/2015;21:00:00;n;9.25;84;11.25;0.6725;35.5;163;1;27.775;0;942;17.4
12/03/2015;22:00:00;n;9;84.75;11.5;0.68;29.25;155;0.6;27.75;0;942;15.85
12/03/2015;23:00:00;n;13.25;106;41.5;0.795;12;155;0.6;31.675;0;942;14.65
12/03/2015;0:00:00;n;15.25;100.5;77.5;0.905;9;321;0.6;42.575;0;942;11.925
13/03/2015;1:00:00;n;9.75;73.25;25;0.68;9;176;0.8;50.175;0;942;9.4
13/03/2015;2:00:00;n;9.75;69.75;28.25;0.74;9;12;0.9;49.825;0;942;9.65
13/03/2015;3:00:00;n;7.5;52;6.5;0.59;11;17;0.9;57.95;0;942;7.1
13/03/2015;4:00:00;n;7;45.5;2.25;0.5925;15;15;0.6;58.575;0;942;7.05
13/03/2015;5:00:00;n;7;27;2;0.5575;32.75;11;1.3;56.05;0;942;6.9
13/03/2015;6:00:00;n;7;15.75;2;0.525;47;5;1.2;58.75;0;942;5.95
13/03/2015;7:00:00;n;7.5;10.5;2;0.48;59.5;20;3.3;52.225;0;942.75;8.425
13/03/2015;8:00:00;n;7.25;12.75;2;0.5;66.75;19;3.9;57.025;0;943;8.825
13/03/2015;9:00:00;n;7.75;21.5;11.25;0.5175;62;28;3.9;59.675;0;943.75;9.15
13/03/2015;10:00:00;n;7;15.5;3.75;0.51;66.75;26;3.6;57.75;0;944.5;10.1
13/03/2015;11:00:00;n;7.25;9.25;2.25;0.4625;74.75;22;4.6;52.225;0;945;11.95
13/03/2015;12:00:00;n;7.5;11.5;3.25;0.495;75.25;25;3.6;47.2;0;945;13.9
13/03/2015;13:00:00;n;7;10;2.5;0.5225;77.5;19;4.1;45.875;0;945;14.175
13/03/2015;14:00:00;n;7;10.5;2;0.5525;87.25;18;3.6;41.125;0;944.25;15.375
13/03/2015;15:00:00;n;7;12;4;0.5925;89.75;18;3;34.775;0;943.5;17.25
13/03/2015;16:00:00;n;7.5;10;3;0.6575;96;18;2.9;30.65;0;943;18.05
13/03/2015;17:00:00;n;6.5;9.75;2.25;0.6425;96.5;18;2.9;29;0;943;18.625
13/03/2015;18:00:00;n;6.5;18;8.5;0.6125;91.25;16;2.9;28.425;0;943;18.5
13/03/2015;19:00:00;n;6;14;2.5;0.5825;93;185;2.3;25.55;0;943;17.55
13/03/2015;20:00:00;n;6.25;21.25;4.5;0.56;83;237;2.2;25.425;0;943.5;14.325
13/03/2015;21:00:00;n;6.25;29;4.75;0.595;72.5;15;1.4;26.125;0;944;11.75
13/03/2015;22:00:00;n;6.25;22.25;3;0.575;78;20;1.8;26.25;0;944;10.275
13/03/2015;23:00:00;n;6;24.25;2.25;0.56;75;21;1.6;24.35;0;944.5;9.675
13/03/2015;0:00:00;n;6.75;28.25;2.75;0.58;65.5;86;0.5;28.525;0;944;8.15
14/03/2015;1:00:00;n;6.5;24.75;2;0.5525;61.75;20;2.3;33.525;0;944;6.575
14/03/2015;2:00:00;n;6.25;10.5;2;0.5125;82;25;3.5;42.775;0;944;6.15
14/03/2015;3:00:00;n;5.75;7.75;2;0.5075;83.5;27;3;54.075;0;944;4.75
14/03/2015;4:00:00;n;6;6.5;2;0.5175;85.75;29;2.8;53.95;0;944;3.85
14/03/2015;5:00:00;n;6;7.25;2;0.5025;89;26;3.1;50.725;0;944;3.9
14/03/2015;6:00:00;n;6.25;5.75;2;0.4925;92.25;25;3;51.325;0;944.5;3.125
14/03/2015;7:00:00;n;6;5.25;2;0.475;95.5;20;4.1;49.7;0;945;2
14/03/2015;8:00:00;n;5.75;5.75;2;0.4725;96.25;9;2.7;51.775;0;945;1.225
14/03/2015;9:00:00;n;6;6.75;2;0.4975;95;18;2.5;49.2;0;946;2.375
14/03/2015;10:00:00;n;6;7.25;2.25;0.5075;96.25;20;1.8;47.025;0;946;3.875
14/03/2015;11:00:00;n;6.25;8.5;3;0.5;96.5;240;1.4;41.175;0;946;5.95
14/03/2015;12:00:00;n;6;7.5;2.25;0.495;101;17;2;32.25;0;945.25;8.1
14/03/2015;13:00:00;n;6.25;7;2;0.4975;103.25;8;2.3;26.225;0;944.25;9.875
14/03/2015;14:00:00;n;6.5;7.25;2;0.5475;105;180;2.3;23.65;0;943.75;11.375
14/03/2015;15:00:00;n;6.75;6.5;2;0.565;106.25;183;2.3;22.55;0;943;12.475
14/03/2015;16:00:00;n;6.5;8.5;2.5;0.575;105;183;2;22.125;0;942;13.275
14/03/2015;17:00:00;n;6;9;2.75;0.5725;105.75;354;2.7;21.675;0;942;13.25
14/03/2015;18:00:00;n;5.5;7.25;2;0.555;105.75;353;3.6;22.825;0;942;13.075
14/03/2015;19:00:00;n;5.75;10.25;2.25;0.57;95.5;90;3.4;29.2;0;942;11.025
14/03/2015;20:00:00;n;6;10.5;2;0.525;87.5;91;2.8;36.825;0;942.5;9.075
14/03/2015;21:00:00;n;6.25;12.25;3.75;0.53;82.75;92;2.6;40.225;0;943;8.475
14/03/2015;22:00:00;n;7;23;8.75;0.595;75.75;13;2.3;42.45;0;943;7.1
