Nombre;Longitud;Latitud
Burjassot;-0.417778;39.509444
Residencia;-0.089722;39.894722
Burriana;-0.065;39.892222
Agroalimentari;-0.682778;38.242222
Parc de Bombers;-0.7175;38.259167
Lacy;-0.806389;38.445
Orihuela;-0.853611;38.086667
El Pinos;-1.064722;38.451667
Torrevieja;-0.69;37.991111
L Alcora;-0.211944;40.068611
Penyeta;-0.056666;40.013139
Ermita;-0.036111;39.959167
Grau;0.010278;39.981944
Patronat d Esports;-0.0283014;39.9903397
ITC;-0.065249;39.99243
Cirat;-0.459174;40.058255
Morella;-0.0925;40.637222
Onda;-0.265337;39.974272
Coratxar;0.157641;40.655633
Sant Jordi;0.3679296;40.5520214
Torre Endomenech;0.0685526;40.2632874
Vall d Alba;-0.034444;40.175
La Vall d Uixo;-0.244444;39.823611
Vilafranca;-0.249167;40.416944
Vila-real;-0.105833;39.941667
Vinaros;0.4535383;40.4716861
Viver;-0.603333;39.930556
Zorita;-0.169444;40.735
Caudete de las Fuentes;-1.282778;39.609167
Cortes de Pallas;-0.9438412;39.2419084
Quart de Poblet;-0.447222;39.481111
Gandia;-0.190278;38.968889
Ontinyent;-0.682778;38.795278
Paterna;-0.460833;39.551389
Sagunt Port;-0.211262;39.656525
Sagunt Nord;-0.3637819;39.7545486
CEA;-0.266389;39.632778
Torrebaja;-1.253889;40.099444
Conselleria Meteo;-0.405278;39.471944
Vilamarxant;-0.625556;39.564722
Villar del Arzobispo;-0.831944;39.708056
Zarra;-1.101944;39.086111
Alsasua;-2.1859693;42.8990415
Sanguesa;-1.283078;42.572819
Tudela;-1.626649;42.05985
Funes;-1.80153;42.315243
Lesaka;-1.7098354;43.2469029
Olite;-1.6538442;42.4830188
Iturrama;-1.6539951;42.8047091
Plaza de la Cruz;-1.642472;42.8110935
Rotxapea;-1.6495703;42.8276421
Alcantarilla;-1.2191767;37.9642812
Aljorra;-1.0742058;37.6908298
Alumbres;-0.913547;37.604009
Caravaca;-1.86373;38.113859
Lorca;-1.7119889;37.6768325
Monpean;-0.9772254;37.6029401
San Basilio;-1.1457151;37.9929557
Valle de Escombreras;-0.7819685;37.8295261
Ciutadella;2.186455;41.386095
El Poblenou;2.202793;41.404993
Gracia;2.1506821;41.3990424
IES Goya;2.1674413;41.421194
IES Verdaguer;2.1346105;41.4212571
Eixample;2.153839;41.385694
Palau Reial;2.1132985;41.3881367
Vall d Hebron;2.1462362;41.4273355
Plaza de la Universitat;2.1618697;41.385461
Sants;2.1305694;41.3791231
Zona Universitaria;2.1176282;41.3855591
Assemblea de Catalunya;2.2460609;41.452317
Guardia Urbana;2.2238509;41.446492
Mont-roig;2.2290476;41.4380823
Bonavista;1.191976;41.115881
DARP;1.246696;41.122896
Parc de la Ciutat;1.24165;41.117388
Sant Salvador;1.239704;41.15945
Universitat Laboral;1.200765;41.103678
Irurita;0.615726;41.615795
Escola de Musica;2.816547;41.976386
Gran Via;2.101405;41.561175
IES Escola Industrial;2.105157;41.548225
Vallcarca;1.859335;41.242375
Estadi;2.238568;41.935666
Francesc Macia;2.287118;41.598667
Av. del Torrent Gornal;2.114973;41.370504
Pl. d Espanya;1.825306;41.73028
Canyameres;1.921203;41.475409
Paseig dels Molins;2.443254;41.54716
El Tallapedra;1.120172;41.150779
Pare Alegre;2.007401;41.556115
Escuela de Minas;-4.06361;43.35583
Parque Zapaton;-4.06417;43.34639
Barreda;-4.04278;43.3675
Guarnizo;-3.838031619815589;43.407125
Cros;-3.84111;43.42083
Santander Centro;-3.80861;43.46056
Tetuan;-3.79028;43.46778
Reinosa;-4.13556;43.01194
Los Tojos;-4.25306;43.15333
CIMA;-4.0542909645435286;43.357441
Los Corrales de Buelna;-4.06278;43.26444
Castro Urdiales;-3.22056;43.3825
