Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;NOX;PM10;PM25;CO;O3;SH2;BEN;TOL;OXL
ABANTO;-3.074155996;43.32047399;2015-08-09;4. BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-08;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-07;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;4. BAJO;5. MUY BAJO;;;;;4. BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-06;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;;;;;5. MUY BAJO;4. BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-05;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;;;;;5. MUY BAJO;4. BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-04;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-03;4. BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-02;4. BAJO;5. MUY BAJO;1. MUY ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-01;4. BAJO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-31;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;4. BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-30;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;;;;;5. MUY BAJO;3. MEDIO;
ABANTO;-3.074155996;43.32047399;2015-07-29;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-28;4. BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-27;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-26;4. BAJO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-25;4. BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-24;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;;;;5. MUY BAJO;1. MUY ALTO;
ABANTO;-3.074155996;43.32047399;2015-07-23;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;;;;;5. MUY BAJO;2. ALTO;
ABANTO;-3.074155996;43.32047399;2015-07-22;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-21;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-20;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-19;5. MUY BAJO;5. MUY BAJO;2. ALTO;3. MEDIO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-18;5. MUY BAJO;5. MUY BAJO;2. ALTO;3. MEDIO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-17;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;;;;5. MUY BAJO;4. BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-16;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;;;;;5. MUY BAJO;4. BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-15;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-14;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;;;;;5. MUY BAJO;4. BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-13;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-12;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-11;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-10;4. BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;;;;;5. MUY BAJO;4. BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-09;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;4. BAJO;5. MUY BAJO;;;;;3. MEDIO;3. MEDIO;
ABANTO;-3.074155996;43.32047399;2015-07-08;5. MUY BAJO;5. MUY BAJO;2. ALTO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-07;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-06;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-05;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-04;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-03;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;;;;;4. BAJO;4. BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-02;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-07-01;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;4. BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-30;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;4. BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-29;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-28;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-27;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-26;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;3. MEDIO;;;;;4. BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-25;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;;;;;4. BAJO;4. BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-24;5. MUY BAJO;5. MUY BAJO;2. ALTO;3. MEDIO;5. MUY BAJO;;;;;4. BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-23;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;;;;;4. BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-22;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-21;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-20;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-19;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-18;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-17;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-16;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-15;5. MUY BAJO;5. MUY BAJO;2. ALTO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-14;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-13;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-12;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-11;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-10;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;;;;;4. BAJO;4. BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-09;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;4. BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-08;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;4. BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-07;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-06-06;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
